O iezseignourbarounDie usuouscroiss e	-⌫--|-------|-----|---⌫-|---|------⌫|
Siherbe riasain tPere	-|-----⌫--|----⌫|---|
elchiefdepr éNoiron	-|----|-|--⌫-|-----|
M arie Madel aineféis lour ai pardon	-⌫---|-----⌫---|----|-|--⌫-|-----|
Sicomme ceestuoirs	-|----|-|--|----|
etnousbienlecréon	-|---|---|-|-----|
Roi ssiuousdoi nt	---⌫|-|---|---⌫-|
ilpanredes paie n suengison	-|----|--|----⌫-⌫|-------|
Etdece usquinecroi e nt	-|-|--⌫-|--|-|----⌫-⌫-|
la sainte Asension	-|-----|-------|
Ets autetbené ielemp e réor Charlon	-|-⌫--|-|-----⌫-||---⌫-⌫----|------|
ler oideF rance	-|-⌫-|-|-⌫----|
.I .present uosfaison	|||------|--|-----|
De . Xm.mule ̀s trossésdegarison	-||-||----⌫-|-------|-|------|
E ttrest ousces chameuse t b ugles	-⌫|-----⌫--|--|------|-⌫|-⌫----|
quii sont.	--||---||
S e lesauezgarderet	-⌫|-|----|-----|-|
mener à rai s on	----|-|---⌫-⌫-|
an po rrois uiure	-|--⌫----|----|
etuostrecompa igno n.	-|-----|-----⌫----⌫||
K arlesotla p arolesibe ss ele	-⌫----|-|-|-⌫----|-|--⌫--⌫|-|
E troeilleleseussamb la ntfaitdefelon	-⌫|------|--|--|----⌫--⌫-|---|-|----|
Tostet isnelemente stsai lliscontr e mont	---|-|---------|-⌫-|---⌫---|-----⌫-⌫---|
OùqueiluoitBer t rantsi lamisà	--|--|-|---|---⌫-⌫---|-|||--|-|
F rance aut re ro i semoinon	-⌫----|---⌫-|--⌫|-|--|--|
Et res po ndiBertransNousne uousc onnoiss on	-|---⌫--⌫--|-------|---|-|---|-⌫-------⌫-|
Si te num denulifor sul de r eiGu ion	-|--⌫--|-|---|--|--|-|-⌫-|--⌫--|
tans niotreisiluinon	---|||-|--|-|--|--|
Etsiuosestes Karleskifu àMorilon	-|-|--|----|-----|-|-|-|------|
Corpléu s t oreà DieuquiLongisfist	|-|-----⌫-⌫|--|-|---|--|-----|---|
Quefui s si ésen France à Parossamaison	--|---⌫-⌫--⌫--|-|-----|-|----|-|-----|
Et s i fuissent	-|-⌫|-------|
lesdame sdepar	--|----⌫|-|--|
toutle roion	---|-|----|
Et si tenistchascune	-|-|-----|-------|
ensa main.I	-|-|---|||
. bast o n	|----⌫-⌫|
Ia uousbatroien ttantle	-|---|--------⌫|---|-|
doset lecrepon	--|-|-|-----|
Quen iuodrie ́sestre	--|||------⌫-|----|
p or lo nor dAualon	-⌫-||-⌫--||-----|
Delor marisaués faited es euroison.	-|--|----|----|----|-⌫--⌫-------||
- Par saintDeni sdis t	|--|----|----⌫|---⌫|
Karlesuousdit esuoir baron	-----|---|---⌫-|---|----|
so rle cors pech i é etmesproison.	--⌫|-|---|----⌫-⌫-|-|---------||
AMIScedi stl iroi s	---|-|--⌫-|-⌫|---⌫|
enentandez	-|-------|
Oùfu priscil auoirsque uos	--|-|---|--|-----|--|--|
mepresen tés	-|------⌫---|
- Ilfu prisa ̀Carsaude	|-|-|---|-⌫|-------|
di stBertranslisene ́s.	--⌫-|-------|-|----⌫-||
-Q uanti uenist esuousdistKarleslimenb rez	|-⌫---||------⌫-|---|---|-----|-|----⌫--|
-Sir ehuia	|---⌫|--||
.Xu.ioursacomplise t	|-||----|-------|-⌫|
Certesnous l	-----|---||
a s a ill imes quantsol au sfu le uez	-⌫-⌫-⌫---⌫---|----|---⌫--⌫|-|--⌫--|
ParDieuelefu	--|---|--|-|
prise ainsso leilescon sé.	----|---|--⌫---|-----⌫--||
Làfu pris cisauoirs	--|-|---|--|-----|
Ieneldipasporceque n enaion s	-|--|-|--|--|-|--||-|----⌫|
Que nos auonsde Francea uecnous	--|--|----|-|-----|-⌫--|---|
maïtDi exdist Karlesonquesmais	|---|--⌫-|---|-----|-----|---|
noi ̈t el.	|--⌫|-⌫-||
Comment ano nu osir eGardés nemecelés.	------||--⌫|-⌫|---⌫|------|-|-|-----||
-S ireGuisl apeleonoupaïsoùfu	|-⌫--|---||----|-|-|----|--|-|
Elroiaumede Francena	-|------|-|-----|||
plus biau bacheler	---|---|-------|
Nemeillorcheual ierporse sarmes	-|------|------⌫--|--|--⌫|----|
Ilestboins cheua lie rsetplainsdeloiaute ́.	-|--|----|-----⌫---⌫-|-|-----|-|-------⌫||
D ieudis t	-⌫--|---⌫|
l e mpere rede quelterrees t il	|-⌫-----⌫-|-|---|----|--⌫|-|
-Sir eced ist	|---⌫|-|-⌫--|
Bertrans de Franceleregné.	-------|-|-----|-|-----||
distl em pere reet	---||--⌫----⌫-|-|
dequele c ont é	-|----|-⌫---⌫-|
u osdiroie	-⌫-|-----|
porcanqueuousaués.	--|-----|---|----||
-Pa rSaintDenis	|--⌫|----|----|
d istKarle squi meschié s es t	-⌫--|-----⌫|--|--------⌫|--⌫|
Sas mainslep uis tenirtousert	|-|----|-|-⌫--|----|---|--|
sescors finés	--|---|-----|
Ielepandraias fourch esian an	-|-|------|-|------⌫-|-||-|
ert trestornés	--|----------|
Et siserauilmentà cheuaus	-|-|---|------|-|------|
traïné s	--------⌫|
D eRains ius c	-⌫|----|---⌫|
àOrliensyoianttotlebarné.	-|------|-----|--|-|-----||
QuantBertransl	----|-------||
a oïàpoiqu il	|--|-|--|-|-|
n estdesués	|--|------|
Silnefus t roi s	|-|-|---⌫|---⌫|
deFr ancem ar les éust panser .	-|--⌫---|-⌫-|-|-⌫----|-----||
Neporq uant siresp ont	------⌫---|-|----⌫--|
auquesdesafiert é	-----|-|-|-----⌫-|
Qu euo usa il mes faitdis tBertranslise nez	--⌫|--⌫-||-|---⌫---|---⌫|-------|-|--⌫--|
QueainsantoteFrancenot chastel	--|---|-|---|-----||-|------|
Nanirec ̧ut	|-||---⌫--|
T rest otlepremi erior queilfucoronez	-⌫----⌫-|-|-----⌫-|--|--|-|-|------|
QuequidamesenFrance dormir	--|-------|-|-----|-----|
etrep oser	-|---⌫---|
Nos fistila prèsuos cheu auchier et	--|---|-|-⌫----|--|----⌫------|-|
Etsi rich e presentuos afa it aporter.	-|-|----⌫|------|--||--⌫-|------||
Bienestaparissantque mestierenaués	---|--|---------|--|------|-|----|
trestou suos homese t	-------⌫|--|----|-⌫|
uelusetanflés	----|-|------|
Apainespu e t chascuns s orses	|-----|--⌫-⌫|-------|-⌫-|--|
.II.piéseste r	|-||----|----⌫|
Neu osn e poésmies or.I	-|-⌫-|-⌫|----|--|-⌫-|||
.cheual monter	|-----|-----|
Ainsaués. I	---|----|||
. bastona ̀coiuou s apoés.	|-----|-⌫|--|---⌫|-----||
Ie q uis quecis bi enfais nos	-|-⌫--|--|--|--⌫-----|--|
er tàmaltornés .	--⌫|-|--|------||
Q uantuoslemenacie ́s n	-⌫---|--|-|-------⌫-||
este sm i esenés	----⌫|-⌫-⌫|-----|
Maissesagesfuissiésuousl	---|-|----|--------|---||
an s éus sie ́sgr é.	-|-⌫----⌫---⌫-|--⌫-||
Quantlen tent	----||--⌫---|
l emperere si	|-------|-|
alechie fcliné	|-|----⌫|-----|
ilse r e drece sis esthautescri és	-|-|-⌫-⌫----|-||--|---|-----⌫--|
Parsain t Denis deF rance uosditesuerités	--|----⌫|----|-|-⌫----|--|----|-------|
en auan t sera	-|----⌫|---|
mondruetmonp riué	--|--|-|--|-⌫----|
Benéoite soitleure q ue	--------|---||---|-⌫-|
il fuangendré	-|-|--------|
Atantes uos	----|-|--|
Rol lant etOliuier	---⌫---|-|------|
Qui uienent	--|------|
de smontaignesdontil s ontde ualé .	--⌫|---------|---|-|-⌫--|--⌫----||
Quantuoient lessomiersgra nti oieen ont mené	----|-----|--|------|---⌫-|-⌫--|-|--|----|
Les enf ansesgarderentquebiensontatorné.	--|---⌫--|----------|--|---|---|------||
Biaus nie ́sdis tl emper ereRol lansauan tuenez	----|---⌫-|---⌫||-----⌫--|---⌫---|----⌫|----|
Si orrois teus nouelesdontuousioian s	-|-----|---|------|---|---|-----⌫|
Ilont fa itroien Franced unmultbiau	-|--|--⌫-|--|-|-----||-|---|---|
ba chelier	--⌫------|
Mais i lnasi richeh omeanla	---|-⌫|||-|----|-⌫--|-|-|
cres tienté	----⌫------|
Nemei llorc heua li e rsico monm	-|---⌫---|-⌫----⌫--⌫-⌫|-|--⌫|-||
Ilest bonsiu sticier	-|--|---|--⌫------|
le m e screrés.	-|-⌫-⌫-------||
QuantRollans lentendi sia.	----|------||------|-|||
I.risgit é	||--|---⌫-|
Sirece dist	---|-|---|
licuen sil ontmultbieno uré.	-|----⌫|-|--|---|---|-⌫---||
Silestsigentilshon comie	|-|--|-|------|--|--|-|
uousoi conter	---|-|-----|
uos li laiss erésFran ceàtous iors àgarder	--|-|-----⌫----|----⌫-|-|---|---|-|-----|
EtuospanroisLuisern ebienuous	-|--|------|-------⌫|---|---|
eng uerirés	-|-⌫-------|
Quantl entandiKarlonsia	----||------|-----|-||
lech iefcrollé	-|--⌫--|------|
Quilsetbie nque ses n iezRollansl	-|-|--|---⌫|--|--|-⌫--|------||
aranposné	|--------|
Haglousdi stlempererecom	-|----|--⌫-||-------|--|
Ainsne m efupartoi. I .	---|-|-⌫|-|--|--||||
bons consaus don és.	---|------|---⌫--||
P arpoi quenelferid e	-⌫-|--|--|--|---|-⌫|
songan tsorlenez.	--|---⌫|--|-|--||
S ire dist Oliuier	-⌫--|---|------|
multgranttortenaués	---|----|---|-|----|
. an sacomp liset passés	|--⌫|-----⌫--|-|------|
Qu eien eiuiensalene enpa lais	--⌫|-|-⌫|--|-|---|-|-|--⌫---|
chansetp ar	----|-|-⌫-|
paruauset par prés	--|---|-|--|----|
Et t ant auonss osfert de	-|-⌫--|----|-⌫-----|-|
p luieset dorés	-⌫----|-||----|
D egr ansfainsetde soise t	-⌫|--⌫--|----|-|-|---|-⌫|
de chaitiuetés	-|-----------|
Que nel porroitescr ir enusclers tant so it	--|--|------|----⌫--⌫|--|----|---|--⌫-|
Etorsansachoi son sifortn osran posn és	-|-|---|-----⌫--|-|---|-⌫-|---⌫----⌫--|
Nemè sparcelSeignorquiancr oisfu	-|---⌫|--|--|------|--|-|--⌫--|-|
Ia neuerrois.uII.iors acompl isetpa ssés	-|-|------||--||---|------⌫-|-|--⌫----|
Que ie man	--|-||-|
France ariere re torn er.	-----|-----|--⌫----⌫-||
Neui p ieçamamereq ui tantfaità	-|-|-⌫----|-|---|-⌫-|---|---|-|
NeA udemas ereurquileui airea	-|-⌫--|-|-⌫----|--|-|--⌫---||
-Pa rmonchiefdistRo llansie ferai autretel	|--⌫|--|----|---|--⌫----|-|----|-------|
Laissomes ceuiell a rtquitous es tassotez	--------|-|-----⌫-⌫-|--|---|--⌫|------|
A.Cm. dyable ssoit	||-||------⌫|---|
s e scorscommandés	-⌫-⌫|---|---------|
Atant es Ganelon etson compainHardré	----|-|------|-|--|------|------|
TebaltetAloriMaluaisinet Mauré	-----|-|----|--------|-|-----|
Cil Siresles	--|----|--|
con fondequi	---⌫----|--|
ancrois fupenés	-|----|-|-----|
Oliuier d e uianea par	------|-⌫|----||--|
nonapelé Guenes	--|-----|-----|
ue it Oliuiersi l aa resonez.	--⌫-|------|-|||-⌫------||
Damoi siausdebon airesa ̀m oien entandés	-----⌫----|-----⌫----|-⌫|-⌫-|-|--------|
Bie n sommes .Xum.	---⌫|-----||--||
delmeillorparenté	--|------|-------|
auons sorsainse tple ui	----|--|----|-⌫|---⌫-|
QuenosandouceF ranc ean	--|--|-|----|-⌫----⌫|-|
d euons retorn e r.	-⌫----|------⌫-⌫||
Pr i sauons leschasti auslesbourset	--⌫-⌫|----|--|------⌫--|--|----|-|
les c ités	--|-⌫----|
Canquenous auonsfaits era toutoblié .	-----|---|----|---|-⌫--|---|-----||
Oruienentcil ga rç on quide France sont	-|------|--|--⌫---⌫-|--|-|-----|---|
Quisontdenosauoirs manans eta sas e ́s	--|---|-|--|-----|-----|-|-⌫---⌫-⌫-|
Etamaine ntleurroiqueil ont que roné	-|------⌫-|---|--|--|-|--|---⌫----|
Parf orce no s	--|-⌫---|--⌫|
told roit totes nos he rité s	----⌫---|----|--|--⌫-----⌫|
Mais par c esaint apos tre co n	---|--|-⌫|----|----⌫--||-⌫|
quiertenNoi ronpré	-----|-|---⌫--|---|
Seuolés otroi er lamoie uolanté	-|-----|-----⌫-|-|---|-------|
Iaserontcistmesage	-|-----|---|-----|
o c is etdecoupé.	-⌫-⌫-|-|-------||
QuantKarlesl	----|-----||
entand isialechief cl iné	------⌫|-||-|----|--⌫---|
Etquan til ser ed rece sap elasonbarné .	-|----⌫|-|-|-⌫--⌫---||--⌫--|--|-----||
LEMPERE R EdeFrance ena pelaOgier	|------⌫-⌫|-|-----|-|-⌫---|----|
EtNaimonàlab arbeetTi er ri et	-|-----|-|-|-⌫---|-|--⌫--⌫-|-|
R ichartdeNormandie etSansonleguerrier	-⌫-----|-|--------|-|-----|-|-------|
E t Yuonet Yuoire Haton et Berangier	-⌫|---|-|-----|----|-|--------|
regar dé RollantetOl iu ie r	-----⌫--|------|-|--⌫--⌫--⌫|
EtsiestGanelon et dantHardrésesnie ́s	-|||--|------|-|---|------|--|---⌫-|
Ti ebautet Alori	--⌫----|-|----|
lecuiuert renoié	-|------|------|
lemperere etcar mecons oilliez	|-------|-|--|-|----⌫------|
Ilont faitroienFrancedeGui onle guerrier	-|--|---|--|-|-----|-|---⌫-|-|-------|
Càmoi nàmon	|-|--||-|--|
pooirnanpristrentainscongié	----||-|--------|---|------|
Quan tNaimeslentandise lprist	----⌫|-----||------|--⌫|----|
àa raisn ier	-|-⌫-----⌫--|
Parmau t alen t reg ardele	--|---⌫-⌫----⌫|---⌫---|-|
bon danoisOg ie r.	--|-----|--⌫--⌫||
Barondist l empe reretrop uosuoi	----|---||----⌫---|---|--|--|
aquoi sier.	-----⌫---||
-SiredistGanelonsie palle rai	|---|---|-------|-|-----⌫--|
Mu lt est desensmauduitneuo usset	--⌫-|--|-|---|------|-|--⌫-|--|
c onsoiller	-⌫--------|
Et deuostredemandene	-|-|-----|------|-|
uosse t apaier .	--|--⌫|-----||
faitroie n Franceduncuiue rtpauto n ier	---|--|-⌫|-----||-|-----⌫-|-----⌫-⌫--|
Quà uousnàuopooirn	-|-|---||-|-|----||
anp ristren tains cong ié	-|-⌫-------⌫|---|----⌫--|
estunechose dont	--|--|----|---|
uosdoitanoie r.	--|---|-----⌫||
Orfaiteslauita ille m aintena ntdes c hargier	-|-----|-|----⌫---|-⌫-------⌫-|---⌫-⌫------|
Si laf aitesliurer a sbar o nscheualier s	-|-|-⌫----|-----|-⌫|---⌫-⌫-|---------⌫|
Asprin ces etas dusetas contesprisiés	-|----⌫--|-|-|--|-|-|-----|-------|
Gardéspouresn anait	------|-----||-|--|
uaill ant.III I.	-----⌫--||---⌫||
Quet ostseroitgas téeseuouslorotroiez	--|-⌫--|-----|---⌫---|-|---|--|------|
P u isfaites lesenfans trest ousnusdespoiller	-⌫-⌫-|-----|--|-----|-----⌫--|--|---------|
Cancornospue entbien	|----|--|---⌫--|---|
lordrasauoir	--|---|----|
Puislorfaites li er et les	---|--|-----|--⌫-|-|--|
m ainsetlespié s	-⌫---|-|--|----⌫|
Etfai tesàchascununeco rde	-|---⌫--|-|------|--|--⌫--|
fo rtestraind reetlie r	--⌫-|--------⌫-|-|---⌫|
Sil es faites noeras	-|-⌫-|-----|---|-|
keuesdes so mi ers	----|--|--⌫--⌫--|
Et sifaites	-|-|-----|
nostreost mei nten antdeslogier	-----|--|---⌫----⌫--|--------|
sorGuioncecuiuer t pautoni er	--|----|-|------⌫|-------⌫-|
E t sifaitess es ho mes ocireetde tranchier	-⌫|-|-----|-⌫-|--⌫--|----|-|--⌫--------|
Etlui me ́ismesfai t e s a sforchesancroie r	-|--|--⌫-----|---⌫-⌫-⌫|-⌫|------|-------⌫|
Iamèsne uouspo rro isplusb element	-----|-|---|--⌫---⌫-|---|-⌫------|
QuantKarlesl	----|-----||
enten din i ot qu e	-----⌫-|||-|--⌫|
cor oucier.	---⌫-----||
DusNaimesdeBaiuiereanest saillisanp ie ́s	--|-----|-|-------|-|--|------|-|-⌫--⌫-|
Sonmantell estchaoirquestàor	--|-----|-⌫--|-----|-|--|-|-|
entailliés	----------|
baloie iuscauneu	-----|---|-|--|
du brai er	-|----⌫-|
Pardesourleso reilles	--|-----|--|-⌫------|
o tlesguernonstreciés	-⌫|--|-------|-------|
Deri erelhaterelge n te ment atachiés	----⌫-|-|------|--⌫-⌫--⌫---|--------|
Multresa mb le bien	---|----⌫--⌫-|---|
p r incequ iterreaità baillier.	-⌫-⌫---|--⌫|----|--|-|-------||
A sauoisqu i l otcler e commença à	|-|---|-|-⌫|-|----⌫|--------|-|
DeDamedieul e per e	-|-------|-⌫|---⌫|
quile mo ntdoit iu gier	--|-|--⌫-|---|--⌫---|
Soithonielacharà itelc ons eillier	---|----|-|---|-|---|-⌫---⌫------|
Etmaudissoitlirois qu i uos aà ba illier	-|-----|---|-|---|--⌫|--||-|--⌫-----|
Sil seloncuoseruisse	|-|-----|-|-------|
QuantGanelon l ente ntlesensquidachangier	----|------||----⌫-|-|---|----|-------|
Neluausist auoirditpor p l ain.I .ual	--|------|----|--|--|-⌫-⌫--||||--|
SIREdist lidus	---|---|-|--|
Naime entandés	----|--------|
Necréezlaparolene conseil Ganelon	-|-----|-|-----|-|------|------|
uosa n repan ti riéspar l e cors saint	--|-⌫|-----⌫--⌫----|--|-⌫|---|----|
Neuol éspaso cir e	-|---⌫--|--|-⌫---⌫|
lesmesagesGuion	--|------|----|
Que lienfantsont nédenostrere g ion	--|-|-----|---|--|-|-----|--⌫-⌫--|
Enc o ruosdiraipl u s empere resfranshon	---⌫-⌫|--|----|--⌫-⌫|------⌫--|----|--|
Es poir mes	--⌫---|--|
filsie stou	---||-⌫-|-|
l Ogierle baron	|----|-|----|
OuTie r i ou Renierou le r icheS an son	-|---⌫-⌫|-|-----|-|-|-⌫---|-⌫--⌫--|
OuRichart le Normant oulebo ndu c Odon	-|------|-|------|-|-|--⌫|--⌫|---|
Maisfaite sdeschargierlauitaille à	---|-----⌫|----------|-|-------|-|
S i en fait es	-⌫|-|----⌫-|
liur eràuostreo st	----⌫-|-|-----|-⌫-|
Siquep ouresneriches nan	-|--|-⌫----|-|-----||-|
aitforsque	--|---|--|
P ui sprenés le senfans qui	-⌫--⌫|------|--⌫|-----|--|
son t de grantrenon	---⌫|-|----|----|
Sesfaites enuoierenuostreregi o n	--|-----|------|-|-----|----⌫-⌫|
Iuscàdema ina ̀ laube	---|-|----⌫-|-⌫||---|
que ilsesueilleront.	--|-||-----------||
Lorssi ma n dez auroi	---|-|--⌫-⌫--|-|--|
gransmercis desond on	----|-----|-|--|-⌫-|
Et uo suiegnesecorrep or Dieu etporson	-|--⌫|-----|------|-⌫-|---|-|--|--|
Etsilaissiés ester	-|-|--------|----|
leconsoildel felon	-|------|--|----|
Qu ant Gane slentendisan otgrantmarison	--⌫--|----⌫||------||-|-|----|------|
apeléHardré s on compaignon	-----|------|-⌫-|---------|
Tibaut etA loriet c eusde	-----|-|-⌫---|-|-⌫--|-|
Etleric h e lina ge quiait maléicon	-|-|---⌫-⌫|----⌫-|--|--|--------|
Bi enfurent.Xum. l i	--⌫-|-----||--||-⌫|
e ncrim éfelon.	-⌫-----⌫-|----||
Iliure ntD a med ieuquis offri passion	-|----⌫-|-⌫-⌫---⌫--|--|-⌫----|------|
Queilferont	--|-|-----|
enco redolant leducNaimon	----⌫-|-----|-|--|-----|
Rol lantet Oliuierlemp eréo r Charlon.	---⌫---|-|------||---⌫-----⌫|------||
mantirentdemotlicorsDieu	--------|-|--|-|---|---|
mallord ont	--|--|-⌫--|
lesuandiGanes auro iMarsilion	--|----|----|-|--⌫|--------|
Ettraïparenuieles . XII	-|----|--|----|--||--|
.co mpa ignons	|--⌫---⌫-----|
EnReinscheuaus	-|-----------|
moru r entàgra ntconf ussion.	----⌫-⌫--|-|---⌫-|----⌫-----||
Huimès porroiso ïrune bon echançon	------|------|-⌫--|--|---⌫|-------|
Iamè s pariugléortelenorra nus	-----⌫|--|-------|---||---|--|
anrepaire.Durement fuirés	-|------||-------|-|----|
Da medieu qui ancrois fup enés	--⌫-----|--|-|----|-|-⌫----|
Qu illesfe ra encore coreceus	-|-|--|--⌫-|-----|-------|
et irés .	-|----||
sanrepaire	|-|------|
aslogesetastre ́s	-|----|-|-|---⌫-|
Puisafait dest ro uss er	---||---|----⌫--⌫---⌫-|
les mulèsafeu trés	--|-----|----⌫----|
La uitaillepar	-|-------|--|
lostp artiretdeui ser.	|--|-⌫----|-|----⌫--||
Onquespouresnerichesn	-----|-----|-|-----||
depar to ste ́s	-|---⌫|-⌫---⌫-|
Chascuns seloncsa	-------|-----|-|
puis sance etselonc sabontés	----⌫----|-|-----|-|------|
Contremont la grantosten	---------|-|----|--|-|
auoitàpla ntez.	----|-|---⌫---||
Deboiureetdemangierfuchascunasasez	-|-----|-|-|------|-|------|-----|
Tuitbene ́iss ent l eure	---|----⌫----⌫--||---|
queGuis fucoro n ez	--|---|-|----⌫-⌫-|
Naimesd ist	-----|-⌫--|
l em per erebi aussi rec ̧àu enez	|--⌫---⌫--|--⌫--|--⌫-|-⌫--|-⌫---|
