unsbersfuiae nlan tifpopled eu	--|---|-|-|-⌫||--⌫--|----|-⌫-|
merueil ledeufraddeuan tuu s	-------⌫-|--|---|-----⌫|--⌫|
ue ez aus t e ste	--⌫-|---⌫|-⌫-||
requerrai deuquilfacetu ne re	--------|--|-|-|---|--⌫--⌫||
pluieenueitenterree nc u ntre	----|-----|-|----|-⌫--⌫-⌫---|
leusa gedecestpais	-|---⌫-|-|---|---|
aicestcun templeesauerez q uegra nt	|----|---⌫-----||------|-⌫-|---⌫-|
m alfeistesen co querei	-⌫-|------|-|-|--|--|
requeistes	---------|
sam ue l d eu prei ad e	---⌫--⌫|-⌫-|----⌫-||
deustuneiree	---|------||
pluiem erueillusea	----|-⌫---------||
celiurenueiadel i poplesoutforment	--|--|------||-⌫|-----|--|------|
grantpour ded eu	----|---|-|-⌫-|
edesamuelsilid istrent	|-|-----|-|-|-⌫------|
priede upurnu s tesserfs	---|--⌫|--|--⌫|--|----|
tuitni murium e nco	---|||-----|-⌫|-|
quereide mand amesmal s urmalfait	--|--|--⌫----⌫---|--|-⌫-|--|---|
auumres p undisam u elmaraurez pou r m ais	---|---⌫-⌫---|---⌫-⌫-|--|----|---⌫|-⌫--|
nostreseignurdeu	-----|------|--|
deltutsiw ezede	--|--|---⌫-||-|
tut uostrequer serue z	--|-----|---|-----⌫|
la isse z decest sieclelesuani te zkiprof iterne	--⌫----⌫|-|---|-----|--|----⌫--⌫|-|----⌫---|-|
uus pu rrunt	--|--⌫----|
karde ceuanteseuainessunt	--|--⌫-------||-----|---|
ed eusneuusguerpirad	|-⌫--|-|--|--------|
tantestgran zkar iladi u réd	---|--|----⌫|--|-|-|-⌫-⌫---|
fr adsunpo ple	--⌫-|--|--⌫--|
neplacede u que	-|----|--⌫|--|
ioces s epur uuspreier	-|---⌫-⌫|--|--|-----|
m aisuoil uusla dreiteueie enseigner	-⌫--|---|--|-|-----|---|--------|
p ur conostreseignur	-⌫-|-|-----|------|
cr em eze en	--⌫--⌫-||-|
ue r iteluiseruez karueuauezles merue il lesque	--⌫-⌫--|--|-----|--|--|---|--|-----⌫--⌫--|--|
faitadentreuusesien	---|-|----|--||-|-|
uostremaliceparmaindre	-----|-----|---------|
uus euostrer ei ense mbleperi rez	--||-----|-⌫-|----⌫---|----⌫--|
saul esteitfizd un an	---|-----|--||-|-|
quanti lcumenc ada r egneredous	----|-⌫|------⌫-||-⌫----||---|
anz regn aden	--|----⌫-|-|
i sraelcest eparole	-⌫----|----⌫|-----|
faitsiae ntendrei nnocenz	---|-||-⌫------|-⌫------|
e h umblescume enf es	|-⌫-----|---|---⌫-|
esteit saulqu ant	-----|---|--⌫--|
primesregnad	-----|-----|
elabuntedous	|-|----|---|
anzlidu radsaul eslist	--|-|--⌫--|---|-----|
t reismili e	-⌫---|----⌫|
de israeleesturentodlui le s	-|-----||-------|-|--|--⌫|
d ousmi lieenmagma s	-⌫--|--⌫--|-|-----⌫|
e el mun t debethe lemi lodsun	|-|---⌫|-|-----⌫||--⌫|-|--|
f izionathasengabaad	-⌫-|-------|-|-----|
beniaminetuit li alt repoplesen	-------||---|-|---⌫-|----||-|
ionathas descunfist les	-------|---------|--|
ph i lis ti enskiesteient en g aba a	--⌫-⌫---⌫--⌫--|-|-------|-|-⌫---⌫|
lialtrephilist ien forment	-|----|-------⌫--|------|
e nf u renttrublez	-⌫|-⌫-⌫---|------|
lorescornadsaulu ne buisineparlaterre edist	----|-----|---|-⌫-|------|--|-|----||---|
qu eoient lihe br e u	--⌫|----|-|--⌫--⌫-⌫|
icestcorner fudsignedeui ctorie	----|-----|--|----|-|--⌫-----|
de nho rtementquebien sous santcesdeisraelqueli	|-⌫---⌫------|--|---|----⌫---|--|-|-----|--|-|
philist ien	-------⌫--|
fussantdesbaretezeform ent trubleze	------|---------||----⌫--|------||
ui ntl afam ea tuzces	--⌫-|-⌫|---⌫||--|--|
deis raelquedescunfitfu rentliphilistien	-|--⌫---|--|--------|--⌫---|-|---------|
pur cosesbrucie rent	--|-||--------⌫---|
ehaite rentelure i ies que en	|-----⌫---||-|--⌫|---⌫--|-|
ga lgala sewirenta	--⌫----|-------||
ce lcuntemp le	--⌫|-------⌫-|
li philistiensa sembl erent a	-|---------||-⌫-----⌫----||
batailleencuntre	-------|-------|
lage nt deuatr entem iliecurrese	-|--⌫-|--||--⌫---|-⌫---|-----||
setm ilie cheua lie rs	--|-⌫---|-----⌫---⌫-|
senznu mbrecum eligrauierski	---|--⌫---|---⌫|-|-------|-|
es tal riuagede	--⌫|-|-----|-|
meralogierentseienma gmas alestdebe tauen	--|---------|--|-|--⌫---|||--|-|--⌫----|
furen t lif izi sraelene st reitpuinte	-----⌫|-|-⌫-|-⌫----|-|-⌫--⌫---|----||
semusc ie r ent	-|----⌫--⌫-⌫--|
enfossese enrochierse	-|-----||-|-------||
en c ist erne s	-|-⌫---⌫----⌫|
alquan tp asserent	------⌫|-⌫-------|
leflumiurdanen	-|---|-----|-|
laterredegad	-|----|-|--|
e degalaadsaulfud	|-|-----|---|--|
engalgala e	-|------||
ces neis pouraueientkiodl u i esteient	--|---|---|------|-|-|-⌫-⌫|-------|
samuelniuintpas esaul setiursl	-----|||---|--||---|--|---||
atendi eparle	-----||--|-|
li poplessenpa rtipurcocumandadsaulque	-|-----||-|--⌫--|--|-|-------|---|--|
lumlifeist	|-|-|----|
uenir d untilpoust sacrefier e	----|-⌫--|-|----|--------||
auint sicum e saulaueit	----|-|---⌫|---|----|
lesacrefi e ment que samu el	-|-------⌫-⌫---|--|----⌫-|
enu eneite	-|-⌫----||
s a u lencun tresamuel	-⌫-⌫-⌫|-----⌫--|-----|
aladebone ment les aluad e	---||----⌫---|-|-⌫----||
samuel qui l ous tfait	-----|-|-⌫|---⌫|---|
demandadsaulr espundipur c o	-------|---|-⌫------|--|-⌫|
qu euiquel i	--⌫|-|--|-⌫|
p oplessen parti	-⌫----||-|----|
eneuenisal iur estab liel iphilistienfurent	|-|----|-|--|-----⌫-||-⌫|---------|-----|
asemblé epensaiq u eil	-------||-----|-⌫-⌫|-|
uenissan tsu rmeisiq ue io n ouss e	--------⌫|--⌫|--|-|-⌫-|-||----⌫|
faitmaoblat iun que	---|-|-----⌫--|--|
t urneradestru ctiun	-⌫----||------⌫----|
par boneentente e nceste	--|---|------|-⌫|----|
g ui se par meiaifait m un sacrefi se	-⌫--⌫-|--|--|-|---|-⌫-|-------⌫-|
samuel respu ndif olement l a s fait	-----|-----⌫--|-⌫------||-⌫|---|
ka rle cumandementdeu	--⌫|-|----------|--|
ase nfraite s ituneloussesfait	-|-⌫-----||-⌫|-|-||-----|---|
deua par eillastt un	--|-⌫---⌫------|-⌫-|
surisraelparma nable mentmaislitue nsregnes	--|-----|-----⌫-----⌫---|---|-|---⌫-|-----|
munte ra dkardeus adaltre	-----⌫--⌫|--|---|-|----|
truu é d suluncsun	----⌫--⌫|-----|--|
querecumandé	---||-------|
liadqu ilseitducssursu npople	-|-|-|-|---|---|--|--⌫|----|
quega rdéd	--|--⌫----|
suncumandementsamuelpar	--|----------|-----|--|
kideusparladoutcumandé	-|---|-----|--|-------|
il l atendis t de lsacre fise q uef airedeure itp ar	-||-------⌫|--⌫|-----⌫---|-⌫-|-⌫---|-----⌫-|-⌫-|
set iurs sic umecuueneita lsacre mentde rei	--|---|-|-⌫--|-------|-⌫|-----⌫---|-|--|
mais s aul	---|-⌫--|
iss inelfi steen co uersdeumesprist	---⌫|--|--⌫-||-|-|---|--|-------|
atantsa muel	|---|--⌫---|
tur nadeen gabaa	---⌫--||-|----|
be niaminsenalad	--⌫-----||-|---|
eli altre e nal ere nt	|-|----|-⌫|--⌫---⌫-|
ods aulencuntre ce s ki sg uerriouenteu i ndren t	-|-⌫--|-------|--⌫|-||-⌫---------||-⌫-⌫-----⌫|
de ga lg alaen	-|--⌫--⌫--|-|
gabaa elmuntb eniamine la	----|-|---|-⌫------||-|
gent saulfur ent	---|---|---⌫--|
asméa sis	----||--|
es turentodluienga baabeniamin	--⌫-----|-|--|-|--⌫--|-------|
e liphilistien	|-|---------|
fur e ntalogezenmag m as	---⌫-⌫-|-----|-|---⌫-⌫-|
li philistienapre ster enttreis cunreiz	-|---------|----⌫----⌫--|----|------|
purcurre parla terreeliunscurut	--|----|--|-|----||-|--|----|
encuntrela ueie	-------|-|---|
e ffraim ala te rre	-⌫-----||-|--⌫--|
saullialtrespar la ueiedebeteronl i	---|-|-----|--|-|---|-|------|-⌫|
turnadalc hemin	-----|-|-⌫----|
delamarche ki	-|-|-----|-|
es t ue rsle ualde	--⌫|--⌫-|-|--|-|
seboime l aterresabaaencunt re le deserta	-----||-⌫|----|----|------⌫-|-|-----||
feuresforianznepoutestretruu ezen l a	-----|------|-|---|----|----⌫-|-|-⌫|
t errede israel	-⌫---|-|-----|
ourentfait liphilistienquel i hebreunenous sent	-----|---|-|---------|--|-⌫|-----|--|---⌫---|
lancee n bataillee ces deisrae lueneient a s	----|-⌫|-------||--|-|-----⌫|-------|-⌫|
philistien spur	----------⌫|--|
aguisereadreciere lesoc elep icois	------||-------||-|--||-|-⌫----|
elac ui gn eee	|-|-⌫--⌫--⌫-||
karre buchiéfu r ent lur	--|--⌫------|--⌫-⌫--|--|
hu stil zdeferle s uns e	--⌫----⌫|-|--|--⌫|--||
iesque al aguilluncume	-----|||-------|---|
uintaliurque	---|-|--|--|
dut estr ela	--|----⌫|-|
nulsnenou tespeenelance	---|--|--⌫|----|-|----|
furentodsaule	-----|-|---||
odiona tha neli oz	-|----⌫---⌫||-|-|
d esphi listiensse	-⌫-|---⌫-------|-|
r emuad demag mas	-⌫----|-|---⌫--|
auniuraui ntqueionathas l e	|-|--|---⌫-|--|-------|-⌫|
fizsauldista unde	--|---|---||-|-|
sesesquiers uiensi n irrum	--|-------|---|-||----|
des p hilist iensma is	--|-⌫------⌫---|--⌫-|
asunperen en	|--|---||-|
sunadmo t e sis	----|--⌫||--|
peresfudaidu nc e n la	----|--||---⌫-|-⌫|-|
luingtainepartiede	---------|-----|-|
gab aa eiut suz une mal eg ranateki	---⌫-||--|--|--|---⌫--⌫-----|-|
es tei ten un champde	--⌫---⌫|-|-|----|-|
gab aaeou t o d	---⌫-||--⌫|-⌫|
luien tursiscenz	--|--⌫--|--|---|
cumpaignuns	----------|
e ac hias le	|--⌫---|-|
fizachitobfrere hic aboth l e	--|------|----|---⌫----|-⌫|
fizph ineeski fiz	--|--⌫----|-|--|
fudhely pre stresfu d	--|---|---⌫----|--⌫|
aliur eportadla	-|--||-----|-|
s aintefie eue stur edeuantdeueli	-⌫--------⌫|--⌫----⌫|-----|--||-|
pople sne soutmot que	-----⌫|-|---|--|--|
ion at has fudal ezenl	---⌫--⌫--|--|--⌫-|-||
ostma is r ochiers ed er ubesestei ent	--|--⌫-|-⌫------||-⌫--⌫---|-----⌫--|
merueilluspu i gn a nze trenchanz par untionathasdut uenir	---------|--⌫-⌫--⌫-⌫-||--------|--|--|-------|--|----|
a lostliun srochiers	||--|-|--⌫|-------|
fudapel e z boses	--|----⌫-⌫|----|
elialtres sene	|-|-----|---|
liunsr ochi ersmuntout al	-|--|-⌫----⌫--|------|-|
northencuntremagmasel i	----|-------|-----||-⌫|
alsudencun tre gabaauienten	-|--|-----⌫--|----|---||-|
fist ionathasa sune s quier	---|-------||--|-⌫-⌫----|
decesgenzkin untreceu	-|--|---|-||--|----|
circumcisio nkar	-----------⌫|--|
altresi legi erement poutdeu par	------|----⌫------|---|--|--|
poicumep armultzfaire	--|---|-⌫-|----|----|
s aluat iunresp untliesqui e rs ua	-⌫-----⌫--|----⌫--|-|-----⌫-⌫-|-|
p larrad e iopartut	-⌫-----||-|-----|
tesiweraifistion ath as aelsirrum epois	-|------|---|---⌫---⌫-||--|----||---|
els aparrum sil nus dient atendez ies qu eauus	--|------||-|--|----|------|---⌫--⌫||--|
nusiarester rume	--||-------⌫--||
a el sn ap rec erumsil nus	|--⌫||--⌫---⌫---||-|--|
a nus uenez nus i irrum ka r a	|--|----|--||----|--⌫||
mort suntliurezeco	---|---|-----||-|
iert ademust ra n c e si deus fairenus	---||------⌫--⌫-⌫-⌫|-|---|----|--|
uol tsa g rac e tant	---⌫|-|-⌫---⌫|---|
t ost c ume l iphilistienui rent	-⌫--|-⌫--|-⌫|---------|--⌫---|
ionathan es un esquierdistrent	-------||-⌫-|------|-------|
entrese iorse nissentl ihebreue sfoss es	----|--⌫|-||-⌫|-----|-⌫|-----|-⌫|----⌫-|
usefurent ta pi	|-|-----|--⌫-|
e d istren ta ionatha n	|-⌫------⌫||-------⌫|
ore enui e nanuseun afaire	--|-|--⌫-⌫||--||-|-----|
mu st erunsl o r esdist ionathas	--⌫--⌫----|-⌫-⌫-⌫-|---|-------|
esqui er baldement	-----⌫-|--------|
alum bie nlesachiezquedeusles	---|---⌫|-|------|--|---|--|
adamortliurezat a nt	-||---|-----||-⌫-⌫-|
laroche passerent en	-|----|--------|-|
r am pan te si tostcum e	-⌫--⌫---⌫||-|---|---⌫|
uint en tr elsdeua nt lichai rentli al quantesi s	---|--⌫-|--|----⌫-|-|----⌫---|-|--⌫----||--⌫|
esqui ersles	-----⌫--|--|
altres ocistefierementlesdescunfiste n	-----|----||--------|--|---------|-⌫|
la prem ieredescunfiture	-|----⌫---|-----------|
quefistio nath as	--|---|--⌫----⌫-|
cumpain zlumipoustde	-------⌫||-||----|-|
freizuintt ru uerentantde placecumedous	----|---|-⌫--⌫--|-|---|-|----|---|---|
boespoussent	---|-------|
areredeusfist sunmiracle	---||---|---|--|------|
enlost de ocis iun	-||--|-|----⌫--|
parce schamps cume coui ren tces	--|--⌫|-----|---|-|--⌫---⌫|--|
d elostkideuantfurent	-⌫||--|-|-----|-----|
partizforment	-----|------|
fure nt esbai zkartutliost fudestur m iz	----⌫-|-----⌫|--|--|-|--|--|-----⌫-⌫-|
guaitessaul sape rceurentkiesteientengabaab eniamine	------|---||---⌫-------|-|-------|-|----|-⌫------||
uirentl ocisiundech a les	-----||------|-|--⌫|--|
morz gesir elesuifs c haelafuir	---|----||--|---|-⌫-||-|---|
sicr ier ent	-|--⌫---⌫--|
el auent u renuncierentli	||-----⌫-⌫-|---------|-|
r eissaul ch al tpase nqu ist	-⌫--|---|--⌫--⌫|--|-⌫---⌫--|
q ueldessuens fussant parti zetos t s a perceurent	-⌫--|--|----|------|-----⌫||---⌫||-⌫---------|
io nat ha se sisesqu iersnifurent	--⌫---⌫--⌫||--|----⌫---|||-----|
pur c osaulcumandada	--|-⌫|---|-------||
achias kil arche portastau antkar l arc he fud	-----|-||----|------|--⌫--|--||---⌫-|--|
elsacoqu ilal	--||-|-|-|-|
pruueire parladme ueillus t umultenl	-------|-----|--⌫------|-⌫----|-||
leuadecrutla noise e lic rize de	----||---|-|----||-|-⌫--||-|
l uinzl oiren tmielz	-⌫---||-----⌫|----|
laisatantfis tsaul a	---||---|---⌫|---||
achiaseleu erent	-----||---⌫----|
uncrisa ule	-|--|--⌫-||
ceskifurento dluieuin drent	--|-|-----|-⌫|--||---⌫----|
enlostdesphilistiense	-||--|--|----------||
esteuusch ascun sse fud	------|--⌫-----⌫|-|--|
mellez asun cunpaignu nefo rment	-----||--|---------⌫||--⌫----|
g rantf udlocisiun e	-⌫---|-⌫-||------||
lih e breuki lesecuntiu r de uantele	-|-⌫-⌫---|-|-|-----|--⌫|--⌫---||-|
furentdeis raelpartizeasphilistiens	-----|-|--⌫---|-----||-|----------|
se furentp ris	-|-----|-⌫--|
e ceskidepou rse	|--|-|-|---⌫|-|
furentmuschiez	-----|-------|
quantuirentque li	----|-----|--|-|
philistienfui rent aslu rssacu mpa ignerent	---------|---⌫---|-|--⌫-||---⌫---⌫-------|
efierement	|--------|
ench alchierentlur ene m is efu renti adismiliecu mbatanz	----⌫---------|--|---⌫-⌫-||--⌫---|-⌫|--|----|--⌫------|
e lienc hal zdura ddesquebatta uen ece l s de	|-|---⌫---⌫|----⌫|-----|-----⌫--||--⌫-⌫|-|
israelpart u t	-----|----⌫-⌫|
salie rentaslure	|----⌫---|-|--||
deus aluadsuenpopleaceliurlores	--|-⌫----|---|----||--|--|----|
cuniurad saul lepople	-------|---|-|----|
quet antn e ntendissenta	--|-⌫--||-⌫----------||
mang ier cu me	----⌫--|--⌫-|
lurenemisuengi ere	--|-----|-----⌫-||
silurdist maleitseitci l ki	-|--|---|-----|---|--⌫|-|
mangerad deuantleuespre deciqu eplenierementme	-------|-----|-|-----|------⌫|-----------|-|
seieuengédemesene mis	---|-----|-|--|---⌫--|
tuitlipoplesl eiu rieunad	---|-|-----|-⌫|--⌫|-----|
d epa innegustad	-⌫|--⌫-|-|-----|
uind rentliplusuren unel andeuil	----⌫---|-|-----|-|--|-⌫---||-|
truu erent	----⌫----|
miel maisnu lne ltuch adfors	---|---|--⌫|-||----⌫-|---|
s u l ionathaskipartie	-⌫-⌫|-------|-|-----|
enmangiad eel mangierla ueueliamendadki	-|------||-|------|-|---|-|------|-|
truble eli	------⌫|-|
er t parlagra n t chalur	--⌫|--|-|---⌫-⌫|-----|
par leiun ieeparlestur	--|-|---⌫-||--||----|
paskesis p e resoutcumande ́a	--|-|--|-⌫-⌫--|--|-------⌫||
pere sad defenduquenulsnemaniue deua ntle	----⌫|-|------|--|---|-|-----|----⌫-|-|
u e spreead maldi tf ormenticelikimangerad respund iionathas	-⌫-⌫---||-|-----⌫|-⌫-----|----|-|-------|-------⌫|-------|
misper esa dlate rretruble ee la uicto r ie	--|---⌫-|-⌫|-|--⌫--|------⌫||-|-----⌫-⌫-|
ueiz cu m la u eue	---|--⌫|-|-⌫--|
amendeeparcelpoi dem ielqueio	------|--|--|--|-|-⌫--|--|-|
ai ma ngiédecum e nt s e lipop lesse	-|--⌫-----||---⌫-⌫-|-⌫|-|---⌫--|-|
f ustd isn é dunne	-⌫--|-⌫---⌫-|--|-|
ser reit demielzaisiédses	---⌫---|-|----|------|--|
en emisapursieure a	--⌫---||--------||
ateindreea	-------|||
descunfireli	---------|-|
fizi s rae la celiur	--|-⌫-⌫---⌫||--|--|
c ha cierente ocistrentles	-⌫--⌫------||--------|--|
philist iensdemagmas iesqueahilo nlore s fudlipoples	-------⌫---|-|-----|-----||----⌫|----⌫|--|-|-----|
multalassez ere turna d alapreie	---|------||--⌫-----⌫||-|----|
pri stberbiz b oes e ueals	---⌫-|-----|-⌫--||----|
si enocist aterre ema niadla	-|-|----||----||--⌫---|-|
charo d lesan cuintla nuuele	---|-⌫|-|---⌫|---|-|-----|
a s aulqu elipoples	|-⌫--|--⌫|-|-----|
outpechié kar odlesanc	--|------|--|-|-|---|
outlacharn	--|-|----|
mangiécumandéd f ud en quesialcunsuolsist	------|--------|-⌫-|-|--|-|-----|------|
sacrefi er	-------⌫-|
elesacrefise asuenues	|-|--------||---|--|
ten irseli	---⌫-|-|-|
seintuariesfus t present	----------|---⌫|------|
le san c sur	-|---⌫|--|
espandist ela g raisse adeuofrist	--------||-|-⌫-----||--|-----|
m aisilquant	-⌫--|-|----|
dela de scunfiturerepairerentea lur oesdem en ie	-|-|--⌫---------|----------|||--|--|---⌫--⌫-|
sacrefisefi rent e larchei	--------|--⌫---|||----||
fud pr esent de	--|--⌫----|-|
la lei ne tindr e nt	-|--|-|-----⌫-⌫-|
lecum a ndementkarles anc	-|---⌫-⌫------|--|-|-⌫--|
s url autelneespandirent nela	-⌫-||----|-|----------|-|-|
g raiss ea deun eoffrirent	-⌫-----⌫||--|-⌫|--------|
dit l esc ri pture que	--||---⌫--⌫----|--|
pechadkarlacharnsi	-----|--|-|----|-|
quelisancssurlautel ne	--|-|----|--||----|-|
uintmaniadsa ul lur distcum	---|-----|--⌫-|--|---|--|
pechiéd auezm ais	-------|---|-⌫--|
g rantpierreturnezepar t utlepopleale z	-⌫---|-----|-----||--|-⌫-|-|----|---⌫|
lur ditesc hascu ns meint chal almaill eele	--|----|-⌫-----⌫-|----|--||-------⌫||-|
multun qu il uolttueresur	-----|-|-|---|---||--|
c este pie rre	-⌫---|---⌫--|
lociezepoisr ais n ab lemen ten ma ngerez	|----||---|-⌫---⌫-⌫--⌫-----⌫|-|--⌫-----|
een cuntredeu	|--⌫-----|--|
nepecherez lipople sfis tc umesaul le	-|-------|-|-----⌫|---⌫|-⌫--|---|-|
