form Cilqu ifist	---|--|--⌫|---|
estraiersQuaseziotdesd ecolezDesplai e z et	--------|-|---||-|--|-⌫-----|--|----⌫-⌫|-|
de safolez.	--⌫|-----||
AlixandresparcorteisieSa premiere	---------|--|--------|-|-------|
cheualerieDon e et presante lareïne	---------|---⌫|-|-------|-|-----|
Neuial t qu	-|----⌫|-|
autresenait seisi neCar t ost les	-----|-|--|-----⌫-|--|-⌫--|--|
feï st li roispandre .	----⌫-|-|---|-----||
Lareïne les afezpr andreEts esfist ga r der	-|-----|--||--|--⌫----|-|-⌫-|---|--⌫-⌫--|
a n prison Comerestez detrai ̈son .	-⌫|-----|---|-----|-|----⌫---||
Mes liroisnes angeuepasA	--|-|---|-||-|---|--||
larei ̈neeneslepasMande qu e	-|---⌫--|-|-|-|--|----|--⌫|
alu i parlerueigneNe ses t r a ïtorsne d eteigne	|--⌫|-----|-----|-|--|-⌫-⌫-⌫-----|-|-⌫------|
Cararandreli couand raOuoltresongré	--||-----|-|------⌫-|-|----|--|---|
lestandra.	--|-----||
La reïneestau roiuen ueLaparoleont	-|-----|--|-|--|---⌫-|-|-----|--|
a ntr ax tenueDes	-⌫--|-|----|--|
trai ̈torssicomi ldurent.	----⌫----|-|--|-⌫|-----||
Et tuit liGrezoisremé sfurentEl	-|---|-|------|-----⌫|-----|-|
tr efla r eïne	--⌫-|-|-⌫----|
a spucelesM outp ar olen tli.xii.	-⌫|------|-⌫--|-⌫--⌫----⌫|-|----|
a e le sMesAlixandresm o tnedist .	|-⌫--⌫|--|---------|-⌫-⌫|-|---||
S oredamor s gar desanpristQui presde	-⌫--------⌫|---⌫-||-|----|--|---|-|
luis efu as sise.	--|-⌫|-|--⌫---||
Delez sacuisse	----|-|-----|
miseEt san b le	---|-|---⌫-⌫-|
s oitpansis.	-⌫--|-----||
Ensiont m out longuemant sisTant	---|--|-⌫--|---------|--|---|
quasonbrazeta	-||--|---|-||
son colui tSored amorslecheuol	--|--|--⌫|-----⌫----|-|-----|
otlacosturefeite .	-|-|------|----||
poplus presde	-|---|---|-|
lui s e s ttreite Carore	--||-⌫-⌫|-----|--|--|
ac heisonDont	--⌫-----|---|
met re lep ue t areisonMes el ne	---⌫-|-|-⌫--⌫||-----|--|-|-|
set anquelmeniere Ele	--|-|---|------|--|
l areisner apremi ere S	|--------⌫|-----⌫--||
an prantco nsoil	-|----|--⌫----|
ali meïsm es Qued iraige	|-|------⌫-|--|-⌫---|-|
primesA peleraile par	-----|-⌫------|-|--|
sonnon Ouparami	--|--|-|--|--|
C o ma ntdonsPar son no nl	-⌫-⌫--⌫-|---|--|--|--⌫||
apele Dexia est la	----|--|-|--|-|
parolebele	-----|---|
dolceamianomer Se	----|--||----|-|
osasseami clamerOsas seQuileme	-----|--|-----|----⌫-|--|-|-|
chalonge Cequeie	-------|-|--|-|
cuit diremançon ge .	---|---|-------⌫-||
MançongeNesai quesera Mes seiemant	--------|-|--|--|---|--|-|-|---|
mo ipe sera .	--⌫|--⌫---||
aconsantirCar	|--------|--|
ie n an que rroieman tir.	-||-|---⌫----|---⌫--||
Dexia nemantiroit	--|-|-|--------|
ilmi eSi lmecla moitsa	-|--⌫||-⌫|-|---⌫---|-|
d olcea mie .	-⌫---|-⌫--||
Et iemantiroiede luiBiendeuriensuoirdi re	-|-|--------|-|--|---|-------|---|--⌫-|
andui Etseie man tsuensiert	----|-|-|-|---⌫|----|---|
Mes porcoim estses non s	--|--|--||--|--|---⌫|
sif orzCa r ieliuueluoi r sorn onmetre Ce	-|-⌫--|--⌫|-|-|---|---⌫|----⌫-|----|-|
me stauistrop ia	|-⌫-|---|---|||
let reSaresteroie tost enmi .	---⌫-||---------|---|---||
Mes se ielapeloi e	--|-|-||------⌫|
ami Cestnondiroieie bie ntot.	--|---|--|-----|-|---⌫|--||
Porce qu alautrefaillirdot uoldroieauoir	--|-|-|||----|------|--|-------|----|
de monsanc	-|--|---|
mis Quilmap elastm es	--|-|-||--⌫----|-⌫-|
dol zamis.	---⌫|---||
panssétantseseiorn eQue	------|---|-|------⌫|--|
larei ̈ ne san retorne	-|---⌫-⌫-||-|------|
Delr oiqui m an dee lauoit.	--|-⌫-|--|-⌫--⌫--||----||
Alixan dre s uenirlauoit Co ntreliuetsi li	------⌫---⌫|----|-|---|--⌫---|-|--|-|-|
demande Que liroisa feirecomand eD eses p ris ons	------|--|-|---||----|------⌫|-⌫|--|-⌫---⌫--|
etquileniert .	-|-|-|-|---||
eleilmerequiertQueie	--|-|-|-------|--|-|
lirandeas a deuiseSi	-|----||-⌫|-----|-|
lan le s f e iresa iustise.	|-|--⌫|-⌫-⌫--|-|------||
liroismout correciez	-|---|---|--------|
iabailliez Sim es tuetqueies li	-|-------|-||--⌫---|--|--|-|
anuoiQuil lesueaust	----|-|-|--|-----|
auoi rdeuer ssoi.	----⌫|-----⌫|--||
Ensi ontceluiiorpasséEte ldem ain	---|--|----|--|-----|-|-⌫|---⌫--|
sontamasséLi boe n	---|------|-|---⌫|
cheual ierlileal	------⌫--|-|---|
Deuantlepaueill onre alPordroitet por	-----|-|-------⌫-|--⌫-|--|----|-|--|
iugemantdir eAquelp oinneet	-------|---⌫||---|-⌫----|-|
martireLi .i iii.	------|-|--⌫---|
traïtormorroient .	-------|--------||
Li undïentqu escorchi ésoientLi	-|-|-----|-|--------⌫-|-----|-|
autrequ anle spandeo uard eEt li	----|-|-|--⌫|----|-⌫|---⌫|-|-|
rois meïs m es esga rdeQuan	---|-----⌫-⌫-|----⌫--|-|-|
doittraïtortraïner .	---|-------|-------||
Lorslesco mande aamenerAmen é	---|--|--⌫----||-----|----⌫-|
lesfet E t	--|--|-⌫|
dit qu eil serontd etret	--|--⌫|-|-----|-⌫----|
Tantquantorlechastelsero ntEtq ue cilde d anz	---|-|----|-|------|----⌫-|-|-⌫-|--|--⌫-⌫--|
le u erront.	-|-⌫-----||
Qan t re mese	---⌫|--⌫---|
fula par oleLiroisquiu eaust qu	-|-|---⌫--|-|---|--|-⌫----|-|
e n lesafoleSenuintou	-⌫|--|----||-|---|-|
grant palais es ter Al i xandre fetde mender	----|-----|--⌫--|--⌫-⌫-----|--|--⌫-----|
Siapel e sonamichier.	-|----⌫|--|--|----||
Amisdisti lmoutuos	---|---|-⌫|---|--|
uihierBelassai lliret	-|---|--|-----⌫---|-|
beldesf andre Legu erredonuosan	--|----⌫----|-|--⌫------|--|-|
doi rand re	--|----⌫-|
cheualie rsgalois uostr ebataille uosacrois	--------⌫-|-----|-----⌫|-------|--|-----|
E tdemilsergenzdema ter r e .	-⌫|-|--|------|-|-|---⌫-⌫||
Qantiauraifi neemaguerr e	---||----|--⌫--|-|-----⌫|
Auoecce queuo s aidoné	----|-|--|--⌫|-|----|
Feraideuosroi coronéDelmeillor	----|-|--|--|------|--|------|
rëaume deGales.	------|-|----||
chastiaxcitezet	-------|----|-|
sal es uosidonrai	---⌫-|--||-----|
enatand ue Tresq uat an tque	-|-----⌫-|-----⌫||-⌫--⌫|--|
uosie rtran dueLa	--|--⌫-|---⌫--|-|
terre que tientuo strepe resD onuosdeue ze streempereres	----|--|----|--⌫---|--⌫--|-⌫-|--|----⌫|-⌫---|--------|
AlixandresporcestotroiMerc ie boenemantleroi	---------|--|---|----|----⌫-|--------|-|--|
con paignonlan me rcïe nt.	---⌫------||-|--⌫-----⌫-||
Tu itli barondela	--⌫-|-|----|-|-|
cortdïentQu an	---|-----|-|-|
Alixa ndreestbienassiseL en orsquelirois	-----⌫---|--|---|-----||--⌫--|--|-|---|
li deuise .	-|-----||
Q antAlixand r esuoitsesge nz S e sc onpaignonset	-⌫--|-------⌫-⌫-|---|--|--⌫-|-⌫-⌫|-⌫---------|-|
sessergenzTexcon li roisli uialtdonerSi	--|------|--|--|-|---|-|----|----|-|
coma ndegresl e ssonerE tbuisine spa r totel ost.	----⌫--|-----⌫-⌫|----|-⌫|-------⌫|--⌫|---||--||
Boe nsn emauuésneuosen ost Q ue ch ascunss es	---⌫-|-⌫|------|-|--|-|--|-⌫-|--⌫-----|-⌫-|
armesne pr aingne Cilde	----|-|--⌫-----|--|-|
Galesetde BretaingneEtdEsco ce	----|-|-|---------|-||----⌫-|
etdeCornoailleCar depar tot sanz	-|-|---------|--|-|--|--|---|
nul e faille Fuanlos tgrantforce	---⌫|-----|-|-||--⌫|----|----|
Et Tamis efudescreüe Quil notpleüde	-|-----⌫|-|--------|-|-||-|----|-|
to te sté	--⌫|-⌫---|
Einzotgranzsecheresce e sté Que	---|-|----|---------|-⌫---|--|
li poisson i furen tmortEt les ne s	-|------||-----⌫|---|-|--|--⌫|
sechiees auportSi	-------|-|---|-|
poïstanpass era g uéLaoue leauoit	-----|-|----⌫-||-⌫--|-|-|-⌫-|----|
leplu s lé.	-|---⌫|--||
OutreTamise	----|-----|
o z ale e Liunpor prenen tl a ualee	-⌫|---⌫|-|-|---⌫------⌫|-⌫|----|
Etli autremontentlan garde.	-|-|----|------||--⌫----||
Cildelchas telsanpranentgardeE t uoientuenir	--|--|----⌫--||-|------|----|-⌫|-----|----|
lameru oill eD el	-|----⌫----⌫|-⌫||
ostq uisi f orts	--|-⌫-|-|-⌫--||
a paroillePor	-⌫-------|--|
le c hast el	-|-⌫----⌫-|
confondree tpran dreCil	--------|-⌫|----⌫--|--|
seratornentpordesfa ndre.	-|--------|--|-----⌫---||
En çoisque n ul	--⌫----|--|-⌫-|
assa utiaitLiroisantor lechast el fait	----⌫-||--|-|---|----|-|-----⌫-|---|
che uaxLe stra ïtors parmi lesuaxEtpar	---⌫--|--⌫|---⌫-----|----|--|--|-|--|
p ar la rriz .	-⌫-|--⌫---||
LicuensAn grésfu moutmarrizPorit an tque	-|----|--⌫----|-|---|-----|--|--⌫--⌫|--|
t raïn eruoitCes	-⌫-----⌫-|---|--|
deua ntluiq uechiersauoit.	----⌫-|--|-⌫-|-----|----||
Etli autremouts anesmaientMes	-|-|----|---||-|-------|--|
p ores maiqu e ilenaient Nont nu lta lant	-⌫-|--⌫--|--⌫|-|-|----||--|--⌫|--⌫---|
Mest ie rslorestquilsedes fandent Ca rbien mostre	----⌫--⌫-|--|--|-|-|-|---⌫------|--⌫|---|-----|
lirois atoz Sonmautalantet so n	-|---||--|--|--------|-|--⌫|
c orrozEtbienuoientsil le ste noit	-⌫----|-|---|-----||-|--⌫|--⌫---|
hontemo rir les feroit.	----|--⌫--|--|-----||
Qantliautretraïnéf ur ent	---|-|----|-------|-⌫--⌫--|
Et li manbre	-|-|-----|
pa rlechanpiure ntL orsrecomance l i a ssauz	--⌫|-|----|----⌫-|-⌫--|--------|-⌫|-⌫----|
Mes toz fuperduzlitrauauzAssezlorlut	--|--|-|-----|-|------|----|--|--|
lancier ettraire	------|-|-----|
A ce smesr ien	|--⌫|--|-⌫--|
niporentfaire	||-----|----|
Etn eporquant bi e nsiessaient Esp essemant	-|-⌫--------|--⌫-⌫|||-------|---⌫-------|
lan cent ettra ient	---⌫---|-|---⌫---|
Quarriaxetiaueloz etd arz	-------|-|------|-|-⌫--|
G ra nz escroisf ont de	-⌫--⌫-|------|-⌫--|-|
totes parz L es arbal este s et lesfondes	----|---|-⌫-|-----⌫----⌫|-|--|-----|
S aietesetpierre sreondesuolent	-⌫-----|-|------⌫|------|-----|
ausiespésetmesle Confet lapl uie auoec	---|-----|-|----|--|--|-|--⌫--|----|
la gresle.	-|-----||
Ensitote iorsetr auaillen t	---|---|--|-|--⌫--------⌫|
Cildesfandentet	--|---------|-|
cilassaillent Tant quelanuizles	--|---------|---|--|-|---|--|
Etliroisde laso epartFet	-|-|---|-|-|--⌫|---|--|
crieretsauoir Quel dondeura	----|-|-----|---|--|----|
deluiauoi rCilp arcuilichasti axiert pri s	-|--|----⌫|--|-⌫-|--|-|------⌫-|---|---⌫|
Un e cou pe de mou tgr antpris Li donrai	--⌫|---⌫-|-|---⌫|--⌫--|---|-|-----|
Laplusrichedemon tresor.	-|---|----|-|--|-----||
Mou tier t bo e ne e triche lacopeEtqui	---⌫|---⌫|--⌫-⌫-|-⌫|----|-|---|-|--|
delitauroitde co pePlusladeur oitiltenir	----|-----|-|--⌫-|---|-|----⌫--|-|----|
chiere Por l ueu r equepo rlam a tier e Mout	-----|--||---⌫-⌫|--|--⌫|-|-⌫-⌫----⌫|---|
est bo ene la cop edueu r e.	--|--⌫--|-|---⌫||---⌫-⌫||
Etqui laue ritédescueureMialzquelueure ne	-|--|-|--⌫----|--------|----|--||----|-|
ualent les pierresdedefors.	-----|--|------|-|-----||
sergenz lacope	------|-|---|
auraPar cuilichastiaxpris sera.	---|--|--|-|-------|---|---||
Ets ilestprispar	-||-|--|---|--|
ch eualierIl	--⌫------|-|
ne s auraquerreloie r A uoe clacopequ	-|-⌫---|-----|----⌫|-⌫---⌫|-|---|-|
ilnelai tSeelmondetr ouer s elait	-|-||--⌫|-|-|----|--⌫---|-⌫|---|
Q a nt c e stecho sefufineeNot	-⌫-⌫-|-⌫-⌫--|---⌫-|-|----||-|
pa s sacostumeoublieeAlixandr es	--⌫|-|------|------|--------⌫-|
quichascunsoirAloi tlarei ̈neueoir.	--|------|---|----⌫|-|---⌫--|----||
A ce soiri r efualez.	|-|---||-⌫--|---||
Assissefuren tlezalezAlixandresetla r eïne	----|-|-----⌫|--||--|---------|-|-|-⌫----|
Deuan tausproc hiene ueisineSoredamo rsse uleseoit Qui	-----⌫|--|----⌫----|------|--------⌫-|--⌫--|----|--|
si uo lantierslesg ardoitQu	-|--⌫-------||---⌫-----|-|
an parad isneu olsist estre .	-|-----⌫-|-|-⌫-----|----||
L ar eïne	-⌫|-⌫----|
pa rlamaindestre Tint Alix andre etremi ra Le	--⌫|-|---|-----|---|----⌫----|-|----⌫-|-|
fildorquimout anpira	--||-|--|---|-----|
Et lic heuoxanbloi ̈ss oitQ uequ eli	-|-|-⌫----|------⌫---⌫--|-⌫----⌫|-|
filzdorpalissoi t .	---||-|--------⌫||
Si lisouint par aua n tur e Qu efeite auoit ce le	-|-|-----|--|---⌫-⌫---⌫|--⌫|----|----|--⌫-|
co st ureS o reda mors	--⌫--⌫--|-⌫-⌫----⌫---|
Alixandresgardes anprist	---------|----||-|----|
Etli prie silfetadire	-|-|---||-|--||---|
Quelli diequi	-|-|-|--|--|
lafetrire.	-|--|---||
La rei ̈neaudirese tardeEt uersSored amorsregarde	-|---⌫--|-|---|-|----|-|---|-----⌫----|------|
Siladeuant li ape le e	-|||-----|-|---⌫--⌫|
Cele iestuolantier s aleeSis	---||--|---------⌫|---|-||
agen oillede u antli.	----⌫----|--⌫-⌫--|-||
Alixandre moutabeli	--------|---|----|
Qant sipre slauitaproic hie rQ u ei llapoïst	---|-|---⌫|-|--|------⌫---⌫|-⌫-⌫|-⌫|-|-----|
a toichier M es il na t antde	-⌫-------|-⌫-|-|||-⌫--|-|
hardem an t Qu	------⌫--⌫|-|
illostregarder se ulem a ntEinz l i	-||--|-------|--⌫----⌫-⌫-|---|-⌫|
esttoz li sans	--|--|-|---|
foïz Si quepre s an	----|-|--|---⌫|-|
esta muiz.	--|-⌫---||
Etcele restsiesb aïeQue deses ialz	-|---|---|-|---⌫---|--|-|--|---|
na nuleaïe	||---|---|
anter re son	-|---⌫-|--|
esgartSi qu	-----|-|-|
cing nenulepar t.	----⌫-|---|---⌫||
Lareïnemo ut s an	-|-----|--⌫-||-|
meruoilleOrlauit pale	--------|-|-|--|---|
et oruermoilleEtpansebie nan son	-|-|--------|-|----|---⌫|-|--|
cora geEt lacontenance et l usa geD e	----⌫-|-|-|---------|-||---⌫-|-⌫|
chascunetdaus .ii.	------|-||--|---|
an sanble.	--⌫-----||
Bien aparç oitetuoirlisanble Parles	---|------⌫--|-|---|-|-----|--|--|
muances descolorsQuecesontaccident	------|--|-----|--|-|---|-------|
dam orsMesneloran	|--⌫--|--|-|--|-|
uialtfeire a ngoisseNe	----|----|-⌫------|-|
fet sanblantqueleconoisseRi ennulede quanquele	--|-------|-|--|-------|--⌫-|---|-|-----|--|
Bien fist cequeele	---|---|-|--|--|
deuoit Quechier ene s anblant n anfis tForsta nt	-----|--|-----⌫|-|-⌫------||-|---⌫|---|--⌫-|
quala puce led istDameisele reg ardezçaEtdites	-||-|----⌫-|-⌫--|--------|---⌫----|--|-|----|
n e lecelez ia Oulach e mi sefu	-⌫|-|----|-|-|-|--⌫-⌫--⌫-|-|
cousueQue cist	-----|--|---|
ch eualiersa	--⌫-------||
Lap uceleart d	-|-⌫----|--||
ir e etdeh onte	--⌫|-|-|-⌫---|
Neporquantuolan tie rslorconteCarbien uialt	---------|-----⌫---⌫-|--|----|--|---|----|
que leuoirenoie	--|-|---|-|--|
C i lquide loïra	-⌫-⌫|--|-||---||
telioie Qant celeli co nteetdeuise La	--|---|---|---|-|--⌫--|-|-----|-|
fe i turede	--⌫-⌫---|-|
lac hemi seQueagrantpoi nneseretarde	-|-⌫----⌫-|--||----|---⌫--|-|------|
La oulecheuoletregardeQue	-|-|-|-------|------|--|
ilne laoreetan cline	-|-||---|-|--⌫----|
Siconp aignone t	-|----⌫-----|-⌫|
lar eï neQui leanzerentauoecluiLifontgrant	-|-⌫---⌫-|--|----|----|----|--|-|---|----|
m aletgrant	-⌫-|-|----|
enu i Carp o r auslet que	---⌫|--|-⌫-⌫|--|--|--|
ilnentoche Eta sesialzet	-||-|----|-||--|---|-|
asaboch eOumou tu olantiers la	|-|----⌫|-|---⌫|-⌫--------|-|
cuidast qua nle u eïst.	------|-|-⌫|-|-⌫----||
Liez e s tquan tde sami e atantCar	---|-⌫-⌫|----⌫|-||---⌫||---|--|
ilnecuiden en atantQuei a	-|-|----|-⌫||----|--|-⌫|
me s autrebienen	--⌫|----|---|-|
ait S esdesirriersdoterl efaitN equedantq uant il	--|-⌫-|---------|----|-⌫|---|-⌫-------|-⌫---|-|
estaneise Pl usde.c.	--|-|---|--⌫-|-|--|
foiz la beise.	---|-|----||
Moutanfet to tenuitgrantioieMes	---|-|--|--⌫-|---|----|---|--|
biensegardequ	---|-|----|-|
anneluoie.	-|--|---||
Qant ilest colchiezansonlitAc eou	---|-|--|-------|-|--|--||-⌫|-|
n apointdedelit Sedelite anuois e et so lace	||----|-|----|-|-----|------⌫|-|--⌫---|
Tote nuitla	---|---|-|
chem iseanbrac eEt qu a nt illeche uol	----⌫--|------⌫|-|--⌫-⌫-|-|-|---⌫--|
t otlemont cuidee stresir e.	-⌫-|-|---|----|-⌫---|---⌫||
Bienfet Amo rsdun s agefolQantcil	---|--|---⌫-||-|-⌫--|--|---|--|
f eti oiedunc h euolM esilch a ngera c estdeduit	-⌫-|-⌫--||-|-⌫-⌫---|-⌫-|-|--⌫-⌫----|-⌫--|-----|
deliteetdeduit.	-----|-|-----||
cle re etle soloil Li	---⌫-|-|-|-----|-|
traïtors ont acons oil Quilporrontfeire et	-------|-⌫--||----⌫--|-|-|------|----|-|
deuen irLoncta nspor rontc ontre ten ir Lechaste lcest	-----⌫-|---|--⌫-|---⌫---|-⌫-----⌫---⌫-|-|------⌫||--|
chos e cert ainneS audesfandrem etent grantp ain ne	----⌫|----⌫----||-|--------|-⌫----|----|-⌫---⌫-|
Mestant s eu entdefiercora ge Leroiqua n	--|---|-⌫--⌫--|-|---|----⌫-|-|--|-|-⌫|
trest otsonaage Ta ntquilier tpris n	-----⌫-|--|---|--⌫-|-|-|---⌫|---||
antorneraIluecmorirlescoua ndra.	-|------|----|----|--|----⌫---||
illecha stel n e	-|-|---⌫---|-⌫|
randentPor	------|--|
cenulemerci n	-|---|----||
ata n dent.	---⌫-⌫---||
uneet lautr e partie	--|-||----⌫|-----|
Lore s t malueisemantpartie	--|-⌫-⌫|-----------|-----|
Mes acelo r	--||-|--⌫|
cons auzrepeire Quedemaineinzqueli	----⌫--|------|--|-----|---|--|-|
i orzpei re	-⌫--|---⌫-|
Istront del	------|--|
cha ste lacelee Si	---⌫---⌫||----|-|
trouer ont l os tdesarme e Etles	------⌫--||--⌫|-------⌫|-|--|
cheualiers andor mizQuiancorgi rront	---------|-----⌫--|--|----|--⌫----|
anl or liz .	-|-⌫-|--||
Einzqu eilsoientesueilliéAtornéneapa re illiéAu ronttele	---|--⌫|-|-----|---------|------|-|---⌫--⌫-----|--⌫---|---|
oci sionf eiteQuetoziorzmes serare tr eite	---⌫---|-⌫---|--|--|---|--|---|--⌫--⌫---|
Lo cisionsde celenuit.	|-⌫------|-|---|---||
Acestconsoil se tienent t uitLi	|---|------|-|------|-⌫--|-|
trai ̈tor p ardesfiance	----⌫---|-⌫-|--------|
Ca ranloruiesnon tfian ce.	--⌫|-|--|---||--⌫|----⌫-||
De sp erance comant qu i l ailleLesanhardistdel abataille	--⌫--⌫-----|-----|-|-⌫|----|--|--------|-|-⌫|-------|
Quil neuoientlor	-|-|-|-----|--|
garis on For s qu edemor t ou	-----⌫-|---⌫|--⌫|-|---⌫|-|
depr ison .	-|--⌫---||
Texgarisonsne st	--|-------||-⌫-|
miesainneNe aufoïr	--|-----|-|-|----|
namestierpainne	||------|-----|
Nilneuoient ouilpoïssen tAusgarir	|-|-|-----|-|-|--------⌫|--|----|
se ilsanfoïssentCarla	-|-||-|--------|--|-|
mersetlorenemiLor so ntantor	---|-|--|----|--|--⌫-|----|
Par lorconsoil	--|--|------|
plu sneseiornentMaintenant s arme nt et atorn en tSis	---⌫|-|--------|---------||----⌫-|-|-----⌫--⌫|-||
ani ssentdeuer s g alerneParuneancienepostern e.	-|-⌫----|-----⌫|-⌫-----|--|--|------|-------⌫||
Ser réetrengiésan	---⌫--|-|------||-|
issirentDelor gent.u.	-------|-|--|---|--|
bataill esf irent Siont	-------⌫-|-⌫----|-|--|
