S ii ertilsi	-⌫|-⌫--|-|-|
quamezHor n	-|---|---⌫|
edeplusdemurra.	|-|---|-------|
Ilsuzcriemt mut lerei si	-|--------|--|-|--|-|
uusdelaie ̈ra	--|------⌫--|
Parl ecunseil delui	--|-⌫|------|-|--|
Hornne uus ame ra.	---|-|--|---⌫--|
uusne lm ander ezmespar lomien loëment	--|--⌫|-⌫-----⌫-|--|--|-|---|-------|
Saparceitquel	|-------|--||
amezsi·n fer a	---|---|---⌫|
i l oncpluspurraferadelaiëmen t	-⌫|--|---|----|---|----------⌫|
Kartauntpar crie mt le re[ i]q uil le harreit	--|----|--|----⌫-|-|---⌫-|-⌫|-|-|------|
mor telment	---⌫------|
Neuoldreita sun u oelke ia·nfus tparlement.	-|-------||--|-⌫--|-|---|---⌫|---------|
Entreuusadamur bi en l e uei	----|--|-|---|--⌫-|-⌫|--|
Amiëdit Rigmelb ienait	----|--|-----|-⌫--|--|
uostreesciënt	-----|-------|
Bon estuostrecunseil io·lme	--|--|-----|------|---|-|
saiue i r e ment.	--|--⌫-⌫-⌫-⌫----|
Bienuuscrerai dicestn i irrezor néén t.	---|--|-----||----|||----|-|------⌫-|
Orue ndrunt	-|--⌫-----|
quantu udrunt eluriert atale nt.	----|-⌫-----||--|---||----⌫--|
En tretauntk untparlée Rigmel Hersent	--⌫-------||--|-----||-----|------|
elpa leis el ireis	-|--⌫---||-⌫|---|
Herlandlisenesc h al	------|-|------⌫-⌫-|
nifaitd emurement	||---|-⌫--------|
Ainzadp risHornod sei pur	---|-|-⌫--|---|-|--|--|
tenirlecouent	----|-|-----|
Quilot faitodRi gmel	-|-|-|---|-|--⌫---|
ersei ralpartement. [f.21a]	-----⌫|-|----------⌫------|
Al achambres enuontmainamain	|-⌫|------||-|---|---||---|
dreiteme nt	--------⌫-|
Ula fillele reibele	|-|----|-|--|---|
Ri gme l aten t	--⌫---⌫|----⌫|
Eluissie rlurouriilentrentbeleme nt	||------⌫|--|---|-|------|------⌫-|
De labeauté deHo rn l amesunenre sple nt.	-|-|------|-|--⌫-|-⌫|----|-|--⌫----⌫--|
T ui t quidentq ue çoe	-⌫--⌫|------|-⌫-|---|
sei tang elinauene m ent.	---⌫|---⌫---|-----⌫-⌫---|
Rigmel quant	-----|----|
lad uëu tut c ha ungasunpensé	|-|---|--|-⌫--⌫---|--|-----|
Quid akefust	----⌫|-|---|
ange leki ifustenu eié	----⌫-|-||---|---⌫---|
Delseignur kisus	--|------|-|--|
ma inten haute	--⌫--|-|----|
Sic um ell esgardet aunt	-|-⌫-|-||------|-⌫---|
belliadsemblé.	--|-|-|-------|
Nepurq uantl i eu esussiladbela pelé	------⌫---|-⌫-⌫--⌫|--|-||-|--|-⌫----|
Bien ui engezs ene sch alde	---|--⌫----|-⌫---⌫---⌫-|-|
m e iaiezbon	-⌫-⌫|---|--|
Qu ante stes sileal	--⌫--|-⌫---|-|---|
uus iertguerredoné	--|---|----------|
Ke le fi z	-|-|--⌫|
Aä lu fça mauezame né.	---⌫--⌫|--||---|---⌫---|
Ebien u iengezsire Hornm u t	|---|-⌫-----|---|---|-⌫-⌫|
uusa idesiré	--|-⌫|------|
A uëeir çoesa cezmuta dgrantt ens	|-----|---|--⌫--|--|-⌫|----|-⌫--|
Ç aserezdeuers mei kesei on sa cointé.	--⌫|----|-----|--|-|---⌫--⌫|-⌫-------|
D anzHer landse nirra kiadci	-⌫--|---⌫---||-⌫|---|-|-|-|
a inze sté	-⌫--|-⌫---|
Asp uceles deladu nti adgrantplenté	-|-⌫-----|-|-|--⌫-||-|----|------|
La fera ses	-|---|--|
deduiz solunc sa uolent é	-----|-----|-|------⌫-|
i l comanderat u t li ie rt	-⌫|--------|-⌫-⌫|-|--⌫-|
graau nté.	-----⌫----|
Beleçoerespu ntHorn kisage	---|---|-----⌫-|---|-|---|
estemembre ́	--||------⌫|
Ioeuincçaenzod	--|---|-----|-|
miad guie ́	||-|----⌫|
Faireest oet kede limiertici	----|---⌫--|-|-|-||---|--|
cummand é	-------⌫-|
Tuzlesbienske	--|--|----|-|
ioesa im ad ilen do ctrin é.[f.21b]	--|--⌫||-|-|--⌫--⌫-----⌫---------|
Puriçoesie std reit quilme	--|----|-|-⌫-|-⌫---|-|-|-|
seitauoe ́.	---|----⌫-|
Dunc adparlé Herland	---|-|-----|------|
[en]uersluiçoem	-------|--|---||
RigmelS ire Hornbe aus amis	-----|-⌫--|---|--⌫--|---|
Eleestfillecelui k igardece st païs.	--|--|----|----|-⌫|----|--⌫-|-----|
Ioem eseraide çaas daunzele sdepris	--|-⌫|----|-|--|-|--------⌫|-|---|
Mut iauraisi pus	--||----|-|--|
duzb e i si ers	--|-⌫-⌫-⌫--⌫--|
ÇoekeuuldraRigme lla bel e o d	---|-|-----|-----⌫|-|---⌫|-⌫|
lecler uis	-|---|--|
Euustut o trï e z	|--|--|-⌫----⌫-⌫|
s eiezeschis	-⌫---|-----|
Karn adt aunt f rancherien entreR omee	--||-|-⌫---|-⌫-----|---|----|-⌫--||
E ploüstoreaDeu	|------|--||--|
alre ide pa raï s	-|--⌫|-|--⌫----⌫|
Ke uus oreoü ssez uostre regn ecunquis	-|--|--|---⌫---|-----|----⌫|------|
Sif ussez corune ́	-|-⌫----|------⌫|
cum estdreiteasis	--|--|----||---|
Pussif ustr eiHunl af enz en muncunsei l	--|-|-⌫--|-⌫-|----⌫-|--|-|--|------⌫|
De uusdousa semblersi m	-|--|---|-⌫------|-||
aïtsaint Deni s	---|----|----⌫|
Bonement lefereieian est ereietard is.	-------|-|-----|-||---⌫----|----⌫--|
dist Rigmel ia	---|-----|-|
ne uus u enistpis	-|--|-⌫----|--|
Mutaurïez deuos	--|------|-|--|
bons parf ei leuuspleu is.	---|--|-⌫-|-|--|----⌫--|
uusf audreitmesor a rgentue rnegri s	--|-⌫------|--|-|-⌫----|--⌫|-|---⌫|
p lus h onure z quoe nsn ed u csnemarchis.	-⌫--|-⌫-----⌫|----⌫-|-⌫|-⌫-⌫-|-|-------|
Bele çoe ditHerl a nddiçoesui	---|---|--|----⌫-⌫-||----|--|
ioetu t fi s.	--|--⌫|--⌫-|
Apres se uasëeir as p ucelesHerlan d.	----|-|-|-----|-|-⌫-----|------⌫-|
ip arlanul corteisne· ldemand	|-⌫---|--|------|---⌫|-----|
Kar b ienlepo et sauoirpu rn entliert	--|-⌫--|-|--⌫-|-----|--⌫|-⌫--||---|
enquerant.	---------|
MesRigmelprist uerss e i parla mainc el	--|-----|----|---|-⌫-⌫|--|-|---|-⌫-|
enfant[f.22a]	------------|
S ur sunlit sesée nta mdou stutioiant	-⌫-|--|--|-|----⌫-|-⌫----⌫|--|-----|
Lac oi lteeniertmu t chier e d un	-|-⌫--⌫--|-|---|--⌫|-----⌫||-|
pailee sca rimant.	----|-⌫---⌫------|
NesatendiRigmeleinzadparlé	-||-----|-----|---|-|-----|
f aiteme ntcumioe uusierc	-⌫------⌫-|--|--|--|---|
Deuu sestmutbienueirçoe q ue	-|--⌫|--|--|---|---|---|-⌫-|
tuitsuntcuntant	---|---|------|
Ketaun t bel	-|----⌫|--|
adencestsie cleuiua nt.	-|-|---|---⌫--|----⌫--|
Ioeuusotrei	--|--|----|
lestesotreia nt	|----|------⌫-|
Parcest anelque	--|---|---|--|
tiencuusen	----|--|-|
suiseisissant .	--|----------⌫|
Unkesmesanulhom	----|--||--|--|
delmund[e]nedistaunt	--|------|-|--|----|
N aautre nel	||----|--|
dirraiparlemienes cï ant	-----|--|-|---|--⌫---⌫--|
Me z uod reieestre arsee nunfeuard ant.	--⌫|---⌫---|----|---|-⌫|-|--|---⌫---|
B ele çoeli ditHorn lis irestutpussant	-⌫--|---|-|--|---|-|-⌫---|--|------|
uusenrendemerciz mes nesui siuaillant	--|-|----|-----|--|-|--|-|-------|
Kem e deuezoffrirdeuuschosetaunt grant.	-|-⌫|----|-----|-|--|----|----|-----|
Pouresu iorphaninnaideterreplein	----|--⌫|-------||-|-|----|----|
Iciuinc parwerec	--|---|--|----|
cumchaitifesgarant	--|------|-------|
uost re perremadfaitnurrirpar sunc om ant.	----⌫-|----||-|---|-----|--|--|-⌫--⌫---|
Cill en ren de le s gr ezkilemund	--||-|---⌫-|--⌫|--⌫-|-|-|---|
fu dformant	--⌫|------|
mes ferai taun tcumserai parlant.	---⌫----|----⌫|--|----|-------|
N a fiertauostrëoe s homd epour e sembl ant	|-⌫----||------|--⌫|--|-⌫|----⌫|-----⌫--|
u usaurez un hautrei	-⌫-|----|-|---|--|
p lusauen an t	-⌫--|----⌫--⌫|
Mei n edeuezamerkiciui ncpain	--|-⌫|----|---|-|-|--⌫-|---|
Idunc par laRi gmelki	----|---⌫-|--⌫---|-|
einz par lapre mere	---|---⌫-|---⌫---|
uus estessireHornc ertes d itiel	--|----|---|---|-⌫----||----|
mani er e[f.22b]	----⌫--⌫-------|
Ken ep us anulsen[en ]uersuu s estre	-|-⌫|-⌫-||--|--|---⌫----|--⌫|----|
Ke me uoillez	-|-|------|
amer dreize stqueu usrequere	---|----|-⌫-|--|-⌫-|------|
D e l paragee stes bienkar reisf uuostrepe re	-⌫-⌫|-----|-⌫---|---|--|---|-⌫|-----|--⌫-|
reallignage fudnééuostr emere	---|------|--|----|-----⌫|---|
EuostreaolsifuddAlemagne	|-----|--|-|--||-------|
medist d e uusn e fu	-|---|-⌫|--|-⌫|-|
m iëmenterr e.	-⌫--|-------⌫-|
Amer mep urrïe zsiuostrepleisirere.	---|-|-⌫------⌫|-|-----|------|---|
Ne ·metruuere zuers uusfausseneloseng iere	--⌫--|-------⌫|---|--|-----|-|------⌫---|
Ke ne fac e de quoer tute	-|-|---⌫|-|----|---|
uostr epreiere.	-----⌫|-------|
Quant Deusuus	----|---|--|
ariualau ala	----|---⌫-||
larochiere	-|-------|
Odquinzecumpaignu nsual lezd e bone chiere	-|-----|---------⌫-|---⌫--|-⌫|---|-----|
Bien semblïeztrest uitestre nez	---|--------|-----⌫--|----|--|
d egent f ie re–	-⌫|---|-⌫--⌫-||
Unpoint ne	-|----|-|
semblïeza	--------||
home quipainquiere–	---|--|---|-----||
K arnioutun tu t	-⌫-|||--|-|--⌫|
sulneüstue sturechiere	--||----|--⌫----|-----|
Iap ourehomnepoüstditieleestrea chat iere .	-|-⌫---|--|-|-----||-----|----|-⌫----⌫----⌫|
S iple stacelseignurki	-⌫|---⌫-||--|------|-|
d elmundestsaluere	-⌫-|---|--|------|
uusuusuen gerez bien d elagentpautonere	--|--|---⌫----|---|-⌫|-|---|--------|
Kiuo s trepereocistr enten	-|--⌫-⌫--|---|------⌫--|-|
murdrecumme lerre	-----|----|----|
La terrekeiltienent	-|----||--|------|
re auerezto teentiere.	--⌫-----|--⌫-|-------|
Sire H orn	---|-⌫--|
beausamisdit	----|---|--|
encore Rigmel	-----|-----|
Karpernez or demeipar	--|-----|-|-|--|--|
am urcestanel	--⌫-|---|---|
Siuu slaue z el	-|--⌫||---⌫|-|
dei pa r amurçoe m	--|--⌫|---|---||
Uncmei llurneforga	--|---⌫---|-|----|
n ulfeure de martel.	-⌫-|----|-|------|
Qui·l uols issedonerneu i	----|----⌫---|----|-|-⌫|
maisdommaisel[f.23a]	---|---------------|
Mesenuusle uu c hsauf s im	--|-|--|-|--⌫-⌫|---|-⌫||
aït Ga briel	---|--⌫----|
KiDeu uintnuncïercum	-|--|---|-------|--|
uos t r e amur m	---⌫-⌫-⌫|---||
a dsuzprissi	-⌫|------|-|
pusdesoschierferusui dun	--|---------|---|--||-|
Dunc respund i s iH ornBelepar	---|-------⌫|-⌫|-⌫--|---|--|
sai ntMarcel	---⌫-|-----|
Meuzu oldreieestrë arstutui fen un f urnel	---|-⌫------|-----|--|--|--⌫|-|-|-⌫----|
ous setauntcumsui iou encel	---⌫-|----|--|--|---⌫----|
Ai nz kearmesportedeuanttur dechastel	--⌫-|-|----|----|-----|--|-|------|
Ek e üsseenturneif eru	||-⌫----|-|-----|-⌫--|
ue ncembel	|-⌫|-----|
Nest pas usalage n t	|--|--|-||-|--⌫-⌫|
akilignag eape l.	|-|------⌫|---⌫-|
Mesquantaurai uas salabatudeput r e l	--|----|----|---⌫--|----|-|---⌫-⌫-⌫|
Uestroée sc u	|------|-⌫--⌫|
enchauntel	-|-------|
Dun cpus porter anel entai lléa	---⌫|--|-----|---|-----⌫---||
Autremen tuaudr e it m ezes treenchamppasturel	--------⌫|-----⌫-⌫-|-⌫-|--⌫--|-|----|-------|
Uadubur de uigne u	|-----|-|----||
feu rëodmartel.	---⌫--|-|------|
Danzeleorme	------|-|-|
cre ezuostre	---⌫-|-----|
anelestuiez	---|------|
Nëam einaautr uip armun	--||-⌫-|||----⌫-|-⌫-|--|
los ne·l don ez	--|---|---⌫-|
Tresquesaciez deueir	------|-----|-|---|
seitenpleie z .	---|-------⌫-⌫|
Tiellepurraa ueirkeuus	---|-|----|-⌫---|-|--|
repenterez	---------|
Ke t iel laureit éú	-|-⌫--||-----|---|
q uantle conoistrïez	-⌫---|-|-----------|
Keil sereitpurcoardepur	|--|-----|--|----||--|
malueisnotez .	------|-----⌫|
ne·lme do nezkarneme cono issi ez.	---|-|--⌫--|--|-|-|----⌫----⌫--|
I oe nesaikei oesui	-⌫-|-|--|-|-⌫-|--|
ne fuionc espruu ez	-|--|--|------⌫-|
Pu rcoen euuil	--⌫|--|-⌫|---|
[uers uus]fer mer[ore] am istez[f .23b]	----|---|---⌫--|----|--⌫-------⌫----|
Ne d e[l ]uostren a icu ren	-|-⌫---⌫|-----||-⌫|--⌫-||
a nelnautr esbuntez	-⌫--||----⌫-|-----|
Duntioea ie ̈ de lrei uostreperemal gr e z	---|--|-⌫--⌫|--⌫|--|-----|---|--|--⌫-⌫|
Kimadfai t biennurrirpar	-||-|---⌫|---|-----|--|
sesben ignitez.	--|---⌫-------|
Mesquantsunple isir iert keseiëadubez	--|----|--|---⌫---|---|-|----|-----|
E ioeiereensa	|--|---|-|-|
curt d[ë ]a rme s bien	---|----⌫|-⌫---⌫|---|
p reisi ez	-⌫-----⌫-|
Purquantquëaiëfa itd ed euant	--|--------|---|--⌫-|-⌫--⌫----|
s esbarnez	-⌫-|-----|
Siidoncmaïdastkoüsse	-|----||------||-----|
me s regnez	--⌫|-----|
Euusdoncpar	|--|---|--|
su nlosautresi m amisse z	--⌫|--|------||------⌫|
d i i oeket ost nefus se cunseillez	-⌫|-⌫-|-|-⌫--|-|---⌫-|---------|
Deuusp ren drelesdunsdafermerço eq uoffrez.	-|--|-⌫---⌫--|--|---||------|---⌫|-⌫|------|
Mes purnee nta utrementdanzele	--|--|---⌫-|-⌫-------|------|
enparl e rez	-|----⌫-⌫--|
Ka r sipusialireisuers	--⌫|-|--|-|-|---|---|
meiniert corociez .	--||---|--------⌫|
B eaus amis dist Rigmelne· lfe rez autrement .	-⌫---|---|---|-----|---⌫|--⌫--|---------⌫|
Iauusmetioemu ncorsmun	-|--|--|--|--⌫|---|--|
aueirenpresent.	----|-|-------|
Per neze na p leisirsoluncuo stret alent	---⌫--|-⌫||-⌫-----|-----|--⌫---|-⌫----|
Kadepe nd re	||----⌫--⌫-|
enaiezquant uoldre zl argement	-|---|----|------⌫|-⌫-------|
E damur sifaçunitielalï ement	||---|-|-----|----|----⌫----|
Quëautrenamere z entutuo streuiuent	---|----||-----⌫|-|--|--⌫---|-----|
Fors m eitaunt cumuersuusmete ndrail ealment.	---|-⌫-|----|--|---|--|-|--⌫----|-⌫-------|
Be leçoerespuntHornne·lf er eiënéént	--⌫-|---|------|---|---|-⌫--⌫---|------|
Si ne fus tparle reienkicunseillement	-|-|---⌫|--|-|--|-|-|------------|
M e suim is	-⌫|--|-⌫-|
pu skeuincensunmein tenement.	--⌫|-|---|-|--|----⌫--------|
Iane limesferaien trestutmunui uent	-|-|-|-------|-|------|--|--⌫---|
Duntachais u nuers m ei	---|------⌫-⌫|---|-⌫-|
a itdecorocement.[f.24a]	-⌫-|-|----------|------|
Sire çoe dit	---|---|--|
Rigmelces t bo npurpe nsement.	-----||--⌫|--⌫|-----⌫-------|
Ioe nedeman d amur	--|-|-----⌫|---|
h uniement	-⌫-------|
Duntseië paruilt énotéé	---|----|--|----⌫-|------|
entr egent	----⌫|---|
Mesamu r d	--|---⌫||
eh onesté enbona tendeme nt	--⌫------|-|--|-⌫-------⌫-|
Tauntquaiez uostre honurquauostredr eitapent.	----|-|---|-----|----|-||-----|--⌫--|-----|
Ne·lfazpur	---|--|--|
legiertédemun c o rsueire ment	--------|-|--|-⌫-⌫-|-----⌫---|
Mesne uuilquau tr ëeitdeuus	--|-|---|-|--⌫--⌫-|--|-|--|
s eisissemen t	-⌫----------⌫|
Kide lam ur de meifacëesloignem ent.	-|-||--⌫-|-|--|----|---------⌫---|
O rseit misen respit	-⌫|---|--|-|-----|
distHornlit ut uaille nt	---|---|-|-⌫-|------⌫-|
K ar a or edicest ne ferai	-⌫-||--⌫||----|-|----|
nulcouent.	--|------|
N e uusfra i nulcouent d a nzele ̈a c e s ttur	-⌫|--|---⌫|--|-----|-⌫-⌫-----⌫||-⌫-⌫-⌫|--|
sei ts e ü	---⌫|-⌫-⌫-|
cumaur aideualur.	--|---⌫-|-|-----|
armes aurai	----|----|
odescua colur	-|---||----|
E io euendrai	|--⌫|------|
esrencs surdestrie r	-|----|--|-------⌫|
milsoud ur	-------⌫-|
Si io ed u nc iabat fizdebon	-|--⌫|-⌫-⌫-||---|--|-|--|
U da un zel	|--⌫--⌫--|
qui seitnez	--|---|--|
deduc ude cuntur	-|--||-|-----|
D untseiëdeplosursremembrépar honu r	-⌫--|----|-|------|--------|--|----⌫|
Esi uusapre s çoeam ei parlez d	|-|--|----⌫|---||-⌫-|-----||
re inostr e sei gnur	--⌫|-----⌫|---⌫---|
u ostrepleisir	-⌫----|------|
feraisiplestalcreatur	----|-|----|-|------|
Par quid euisé uait elan utele	--|--|-⌫-----|---||-|-⌫-||-|
Mesbeleor atend ezsa nz i ree sanz	--|---|-|-----⌫-|--⌫-|-⌫-||---|
Entaunt orr adlifizd	-|----|---⌫-|-|--||
aukunemp ereu ̈r	----|---⌫----⌫-|
Beleparler	---|-----|
kar da utresestesflur[f.24b]	--||-⌫----|----|----------|
Si uusprendraap e r as unoes e	-|--|------||-⌫-⌫||-⌫-|--||
Lagrantb eaute ́deuus	-|----|-⌫-----⌫|-|--|
Tost endirreientmalligarçonmenteür	---|-|--------|--|-|------|-------|
Kimençoingescuntroe u en tc ummeloseng eür –	-|----------|-------⌫-⌫--⌫|-⌫---|------⌫---||
Siaurezti el	-|----|--⌫-|
lireisiert	-|---|---|
Esunre g néaura loengeeprismaor.	|--|--⌫-⌫--|---|-----||---|----|
Beleçoe li distHornt rop	---|---|-|---|---|-⌫--|
auomdemu ré	---|----⌫--|
Nusauom çoe m est uislongeme ntci esté.	--|---|---||--|--|-------⌫-|-|-----|
Mut mecrem	--|-|---|
ke lireisnus eit iad emandé	-|-|---|--|--|-|-⌫------|
Karsanz nusne liiert liuinsg iensaporté	--|---|--|-|-|---|-|---|-⌫---|------|
Esi mad ceste feiz cestmestie r	|-||-|----|---|---|------⌫|
enchargé .	---------⌫|
Ataunt se nturne H ornsi adpris l e	|----||-⌫|----|-⌫--|-|-|---|-⌫|
a enuizlelura dgräaunt é	|----|-|--|-⌫|--------⌫-|
Mesainzkeils enissentsunt	--|---||--||-|-----|---|
souentregardé.	-----|--------|
Ap res lo rdeparti es ou ent adsuzpiré	--⌫--|--⌫|-------⌫|-⌫--⌫--|-|-------|
Epusa dHerselotde uant seiapelé	|--|-⌫|-------|--⌫---|--|-----|
Si li ditKet	-|-|--|-||
en adsiDeustaïdsemble ́	-|-|-|---||---|------⌫|
ueïs maise ncest mund	----|---|-⌫|---|---|
home meu z f iguré	---|---⌫|-⌫-----|
Nedetutes beautezfustsienlumine ́	-|-|----|------|---|-|--------⌫|
M amur e mesaueirslia iia present é	|---||--|-----|-|-⌫|-|-------⌫-|
Mesilcure nen adne	--|-|---||-|-|-|
sai s estpar	--||--|--|
Damedist Herselot nu n es tp aruer it e ́	---|---|-------|--⌫|--⌫|-⌫-|---⌫--⌫-⌫|
Il nadhom enc estmund pl us	-||-|--|-|-⌫--|---|--⌫-|
aitd ehumilité	--||---------|
Esiesttr ophuntusp ar	|-|--|--⌫-|-----|-⌫-|
sadebonairté .[f.25a]	-|-----------⌫-------|
Qua nt nauezore	---⌫-||---|--|
seit au tre fei zmand é	---|--⌫--|---⌫|----⌫-|
Lors uus iert	---|--|---|
sideuien ttres tutau olent é.	-|------⌫|----⌫--||-⌫-----⌫--|
Ses cu m pa ignesapel epur sei	--|--⌫-⌫--⌫----|----⌫|--|--|
esbanei e r	-------⌫-⌫|
Damma i seleRigmel	-----⌫-⌫---|-----|
k arsiuoutublier	-⌫-|-|---|-----|
amu r Horn ki la	---⌫|---|-|-|
fettrop pen ser.	--|---|---⌫---|
Eles uienententurlitrestutespurioer	---|------|----|-|--------|--|---|
A squa ntes dients unspurli	-⌫----⌫---|----|-⌫--|--|-|
rehalegrer	---------|
Rotruen g eseuersdechaunçonshautecler	-------⌫-⌫-||---|-|---------|---||---|
Mes e len iententpas	--|-⌫-|||-----|--|
sun quoern ipoetturner	--|----|||---|-----|
Kar elepe nsede Horn kielet ient	--|--|--⌫--|-|---|-|--|-⌫---|
Ki oncne uoutu ersliune feizr egarder	-|--|-|---|-⌫--|-|--|---|-⌫------|
T a untcumfurentasis oreinceis	-⌫-⌫--|--|-----|---|-|------|
al parler.	-|------|
Dunc pensëe nsun quoer	---|-----|-⌫|--|----|
Deuuera iiustisier	--|----⌫|--------|
Purq uei uousistestiel	--|-⌫--|--------|---|
cel orgoillus furmer	--|--------|-----|
lungse blois	----||----|
n enestsun per	|-|--|--|--|
Oilzu eirsgr osduz r ianz	---|-⌫---|--⌫-|--|-⌫---|
pur dames esg arde r	--|----|---⌫----⌫|
Niesebuchebienf aitepurduz	---||----|---|-⌫---|--|--|
beisie rs prester	------⌫-|------|
L achi ere adriaunt e	-⌫|---⌫--|-|------⌫|
