Mutf etbienkisunsensdespe nt	--|-⌫-|---|-|--|---|-----⌫-|
Que enpenséeussentdemander e ntE liculu ertmult l	--|-------|------|--------⌫-⌫-||-|----⌫--|---||
encuserent	---------|
Cistclerspari ugement	---|----|--|-⌫------|
Ard eraodnusen	---⌫--|-|--|-|
Purceokeseruir ne uoleit	--|--|-|-----|-|-----|
Suncreatur si cumdeu e it	--|------|-|--|---⌫-⌫-|
Nu sseruibie n l ifist grant	--⌫|----|---⌫|-⌫|---|----|
iert e npein es demort	---|-⌫|----⌫-|-|---|
Licele stien es p eri t	-|----⌫----|--⌫-⌫---⌫|
Distre ntaprés sanzlungrespit N iert uo s tr esi	------⌫-|-----|---|---|-----||---|--⌫-⌫--⌫|-|
cum espere z	--|------⌫|
Ia enuozturmenznelmerrez	-|-|--|------|--|-----|
Ai nzens errez tuitcuruci é	--⌫-|-|-⌫----|---|------⌫-|
Kesito stl a iez purchaci é	-|-|--⌫-||-⌫--|--------⌫-|
Duncrespun dire ntli diable	---|------⌫----⌫-|-|-----|
Enturment i rratpard urable	-|------|-⌫---|----⌫-----|
Tu ttensfi stilnostret a lent	--⌫|---|--⌫-|-|-----|-⌫-⌫---|
Altreliud enfe rn ne	----|--||----⌫-|-|
Dementie rsk il	--------⌫-||-|
siestriuerent	-|----------|
Deçade lar aisunsmustrer ent	-|--|-|-|-⌫-----|-------⌫--|
Damenostremere	---|-----|---|
Cum so leil	--|--⌫---|
luisant eeplus clereEd is t	-------⌫||---|----||-⌫--⌫|
asm al fez fierementN	-|-⌫--⌫--|--------||
i rat pasen	-⌫--|--|-|
uostre turment	-----|------|
Cumentosezu ustrauailler	-----|---|-⌫-|---------|
Celskemi sf iz acha tachie r	---|-|--⌫|-⌫-|----⌫-|----⌫|
Duntu usuient	---|-⌫-|----|
telhar dem ent	--|---⌫---⌫--|
De chalengie r m unclercma gent	-|---------⌫|-⌫-|----|-|---|
Limalfédistrent	-|-----|-------|
Nesauompas ke uo stre	-|----|--|-|--⌫---|
Karcistcl ers nefistunkesbiens	--|---|--⌫--|-|---|----|----|
Parceosai bien	--|--|--|---|
q ueilestmiens	-⌫-|-|--|----|
Lesc om mandemenz	--|-⌫--⌫--------|
Deud espist	--|-⌫-----|
Nost reuolentétuttens fistA soen po ei r	----⌫-|-------|--|---|---||---|--⌫--⌫|
de t u z sens	-|-⌫-⌫|---|
DesullenunertcrestiensSilserui	-|--|-|--|--|--------||-|----|
De uleglo r ius	--⌫|-|---⌫-⌫--|
Pu rqueifu di lduncorguillus	--⌫|---|--⌫|-⌫|---|--------|
S e ilseruile auturde ch aste é	-⌫|-|----|-|----|-|--⌫----⌫-|
Purq u eifud ildunc sidesué	--|-⌫-⌫-|--|-|---|-|-----|
Enturfemmes	----|-----|
entur folie	----|----|
Laissezes ter saint e	------|--⌫--|-----⌫|
Quantu ostrefiz estd reituriers	----|-⌫----|--|--|-⌫---------|
Cument peust cist	-----|----|---|
decor slegiers	-|---⌫|------|
Entre re nsu nduz	-----⌫|-⌫|--⌫|--|
uusnu sfaites	--|--⌫|-----|
grant torttut dis	----|---|--|--|
poümrien purchacier	----|---|---------|
De ceokeuusuol e z	-|--|-|--|---⌫-⌫|
Iatantneaitfaitnostre bon	-|---|-|--|---|-----|--|
Nel puet mal féteni ra su en	--|---|---⌫--|----⌫||--⌫-|
ueerpoez keceo	---|---|-|--|
nest dreit	|--|----|
Mil ecin ccens nus	--||---⌫|---|--|
s unttole it	-⌫--|----⌫-|
Par uuseparuost repr ee re	--|--||--|----⌫-|--⌫--⌫-|
Damedametropestes fiere	---|---|---|----|----|
Q ua nt pur	-⌫--⌫-|--|
uo sne poüm	--⌫|-|----|
Icelski funtnostre uoleir	----|-|---|-----|-----|
Se uostrefiz dr eiturierseit	-|-----|--|--⌫-------|---|
Itels surfaiz	----|------|
soffrir nedeit	------|-|---|
Dunc ditladame	---|--|-|---|
Ohi mastin	--|-----|
Multadenuuscul uertueisi n	---|-|-|--|---⌫---|-----⌫|
M isfiz est	-⌫-|--|--|
dr ei turi ersfo rment	--⌫--⌫----⌫--|--⌫----|
Gran ttor tnus	----⌫|---⌫|--|
faites desagent	-----|-|-|---|
Ma isli to rtne uusiertsuffert	--⌫-|-|--⌫-|-|--|---|------|
clerc perdr eenser ez	----|-----⌫|-|---⌫-|
K ar mischier fiz ne lsuffera	-⌫-|--|----|--|--⌫|------|
Ki p ar sunsanclesrechata	-|-⌫-|--|---|--|------|
Dreit uri ersestd egran tmaniereE s aiustisedr eiturire	-----⌫---⌫--|--|-⌫|----⌫|------||-⌫|------|--⌫-------|
Ensementcumestdr eitur iers	-------|--|--|--⌫-----⌫---|
E s tmerciableiustisiers	-⌫-⌫|--------|---------|
Enceoests aius tisesainte	-|--|--|-⌫|---⌫---|-----|
Kedepitié es t tutte ns ceinte	-|-|-----|--⌫|--|--⌫-|-----|
Purceoquedr eizest	--|--|--|--⌫--|--|
uus ne tienge d esp ute ison	--|-|-----|-⌫---⌫---⌫---|
Auantuendrezali u gement Amun cherf iza lumnus	----|------|-|-⌫-⌫-----||--|---|-⌫-|-⌫--|--|
Tu itensemble	--⌫-|-------|
duncia lerent Edeuant	---||-⌫-----||-----|
Ihe sums asemblerent	---⌫--||----------|
Maislidiabletuitp remier	---|-|-----|---|-⌫-----|
Pristrent cele alme ad esrai ner	--------|---|---||-⌫-----⌫--|
Deu bonement	--|-------|
Cistn efis tunkes uostretalen t	---|-⌫|---⌫|----|-----|-----⌫|
Unkesde r ien	----|-|-⌫--|
neuosseru i A tuzuoz	-|--|----⌫||--|--|
faizert enemi	---|--|----|
Kartrestuz	--|------|
les iorz desa	--|---|-|-|
De menatcist	--⌫----|---|
engrant fo lie E qu ant q u e nusuint	-|----|--⌫--||--⌫--|-⌫-⌫|--|---|
F ist il tuttenspurnusseruir	-⌫--|-|--|---|--|--|-----|
Elderainen nostre	-|-----|-|-----|
Mur ut purceo ierten	---⌫-|--|--|---|-|
Duncdi tladamea	---|--⌫|-|---||
sunfizcher	--|--|---|
Esampled unuers de l	------||-|---|--⌫|
Fe l unt estimonieleuerent	--⌫-⌫-|-⌫--------|-------|
Encuntremei eestriuerent	-------|--||----------|
L afelunie as ei menti	-⌫|------||-⌫-|----|
Ensemen tfuntcisten emi	-------⌫|---|---|--⌫--|
uersl esmalfezest puis turnee Edit lu rparol e	---|-⌫-|-----|--|---|-----||--|--⌫|-----⌫|
Orea p rime sperduau ez	--||-⌫----⌫|----|--⌫-|
Cestm un clerc du nt uus b aretez	---|-⌫-|----|--⌫-|--|-⌫-----|
Sicum uusdi tes parcuintiseK	-|--|--|--⌫--|--|-------||
il muru t enuost re	-|----⌫|-|----⌫-|
Orese itsabuchebie noue rteE sauoizseit	--|--⌫-|-|----|---⌫|---⌫--||-|---|---|
oïeaperte	---|-----|
Diek ildis tenmuriant	--||-|---⌫|-|------|
Sis eit desraisnéait ant	-|-⌫--|---------||--⌫--|
Multparestgr a ntl a	---|--|--|--⌫-⌫-|-⌫|
D ulceladame e saamis tié	-⌫---|-|---||-|----⌫---|
Multpa r est	---|--⌫|--|
abo ndreitclamee	|--⌫|----|-----|
Meredepiti é r enumee	---|-|----⌫-|-⌫-----|
En cestclerclepoet	-|---|----|-|---|
lenent endre	|-|---⌫----|
formentleuoltdefen dre	------|-|---|-----⌫--|
D elmalfé e	-⌫-|-----||
desunturment	-|--|------|
lemos tresouent	-|---⌫--|-----|
Cumlic le rssabu cheo uri	--|-|-⌫--⌫-|-|--⌫--|-⌫--|
Duncdistliclers	---|---|-|----|
Pl eine d egrace	--⌫---|-⌫|----|
S icu m ainzdistquantilneia	-⌫|--⌫|---|---|----|-|---|
Ladameduncset resturna	-|---|---|-|-⌫-------|
Enuers lemalféfiereme nt	-----|-|-----|-------⌫-|
Ke poztu fair e	-|--|-|----⌫|
Deq uel chose t esb aud istu	-|-⌫--|----||---⌫---⌫-|-|
Tues miendeue nu	-|-|---|----⌫-|
Purceoketesm ustre ́bien	--|--|-||-|-⌫-----⌫|---|
Ke t uiesuen cu cu mordc hien Aqueit	-|-⌫|--|---⌫-|--⌫|--|-⌫---||---||
esprenttadesue ri e	------|-|-----⌫--⌫|
Purestriueruer s	--|-------|---⌫|
T a mençunge	-⌫|--------|
ta feluni e	-|------⌫|
Te deceitenceste enua ïe	-|-----|-|----|----⌫--|
Orelaisester ces tmien	--|---|----|---⌫|---|
Tropcrue lment	---|----⌫----|
Sedreitest	-|----|--|
kedeiparler	-|--|-----|
Ensembleodtei e de sput e r	-------|-|--||--⌫----⌫-⌫|
Didunca quei astele enuie	-|---||---|-|---|----|
E nuershumainecumpaini eAqu eilaqui erss imetre aual	-⌫----|------|--------⌫||--⌫-|-|---⌫--|-⌫|----|---|
Ianetefi stel enul	-|-|-|--⌫-|--⌫|--|
Ainzfistl atue	---|---|-⌫|--|
Tuno rguil e ta malenuie	--|-⌫----||-|--|----|
Tefistchaïr	-|---|-----|
del cielaua lA to rtquiersenuershome	--|---|---⌫||--⌫-|-----|-----|---|
Sehoe mteeüsta monesté	-|---⌫|-|----|-⌫-------|
Demunterhaltcums urquidé	-|-----|---|--|-⌫-------|
Deuuo leies rese mblerEestreplus	--|--⌫----|----⌫----||----|---|
Du nc se mblastauk e s de raisu nK enuershomefuissez f elun	--⌫-|--⌫-----|---⌫-⌫|-|-----⌫||-----|---|------|-⌫---|
Maispar humenesteitçopas	---|--|---||-----|--|--|
K etuchaïs dehalten b as	-⌫|-|-----|-|---|-|-⌫-|
Par tunmeimes o rguil chaïs	--|--|-----|-⌫----|-----|
San z me rciiser rez tutdis	---⌫|--⌫--||---⌫--|--|--|
detapeineacheisu n Ten uie	-|-|----|-------⌫||--⌫--|
astroué cumfelu n	-|-----|--|----⌫|
fus amo nestement	--|---⌫--------|
Detonchaitiftrebu cheme nt	-|--|------|-----⌫-----⌫-|
Bien tedikehumain egent	---|-|-|-|------⌫|---|
Ketuenseisissi c r uelme n t	-|-|-------|-|-⌫-⌫-----⌫-⌫|
Auru ntde lurpec h iez	----⌫-|-|--|---⌫-⌫--|
Karlipremie rspar	--|-|------⌫-|--|
t ei chaïEp ur quei asdunc telenuie	-⌫-|----||-⌫-|---|-|---|--|----|
Enuershumainecumpaign ieAqueias	-----|------|--------⌫-||---|-|
tu du nc ioieehait	-|--⌫-|---||---|
De ceoque hoemuers	-|--|--|---|---|
DeumesfaitA que iquierstant	--|------||---⌫|-----|---|
odteiaueir	-|--|----|
Quid estupur ce omeinsard er	----⌫-|-|--|--⌫|----|---⌫-|
Ain zardera s pl uscruelment	---⌫|------⌫|--⌫-|--------|
Purc haünreceue ra sturment	--|-⌫----|------⌫--⌫|------|
Pur chaü n quetu qu iersaueir	--|-----⌫|--|-|--⌫---|----|
Diue rsturmentau ras purue ir	----⌫-|------|--⌫--|--|--⌫-|
P ur chaünkem ezen	-⌫-|-----|-|-⌫-|-|
teiuenian ce	--|------⌫-|
Limalfédolente	-|-----|-----||
cum fusSen departidel tut	---⌫--||-|------|--|--|
cunclusE la damesetre s turnat	------||-|---|-|---⌫-⌫-----|
uersleclerc silareisunat	---|-|----|-||--------|
Cumgrantdestresce ascieü	--|----|--------|-|-|--|
Cumpres fusde	--|---|--|-|
lenfern alturmentU per ils ad milliers e cent	|------⌫-|------||---⌫--|-|-------||---|
Ta ntaienq uisuers munfizcherKari ere t	--⌫-|-|---⌫--|---|--|--|---||---⌫--||
e sto e trepairer At un corstest oetreu enir	-⌫---⌫-⌫|-------||-⌫-|---||---⌫--|---⌫---|
Ete spechiezespeni r	|--⌫|------|------⌫|
pre nguardenui teior	---⌫|-----|---⌫||--|
De seruirmunfizc um seigno r	-|-----|--|--|-⌫-|------⌫|
Cunti en t e isiquantseras ui f	-----⌫-|-⌫-⌫|-|----|----|--⌫|
aiestelest ri f	---|--|---⌫--⌫|
Cistre uinta	---|--⌫---||
suncorsar iere	--|---|--⌫---|
Sis eamenda ten	-|-⌫|------⌫|-|
itelman iere	---|---⌫---|
Kepuis q u antdelsieclep arti	-|---|-⌫-⌫--|--|-----|-⌫---|
Lasusalc iel l	-|--|-|-⌫--||
Ceste damenuss eitaïe	----|---|--|-⌫--|---|
malfén e aiumcumpaignie	-----|-⌫|---|---------|
Unsmoinesert sulunc lescr it	--|-----|--|-----||----⌫-|
Entremut moine s enabit	----|--|-----⌫|-|---|
Damecheraueit	---|---|----|
Si must ratkesisc hersesteit	-|----⌫--|-|--|-⌫---|-----|
A uintparmalfécum espeir	-⌫---|--|-----|--|-----|
Kecilouttant	-|--|--|---|
beüuns e ir	---|-|-⌫-⌫-|
poutderie naid er	---|-|---⌫|---⌫-|
T anto utbeü enlu r	-⌫--|-⌫-|---|-|--⌫|
ueirementki	--------|-|
dunclesgarda st Afol a desuéle	---||-------⌫-||--||-----|-|
Iu re sen e issi	--⌫-||-|-⌫---|
delce l ier	--|--⌫-⌫--|
Parlencloistre	--||---------|
ue rs lemostier	--⌫-|-|------|
uerslemostierhasta sun eire	---|-|------|----|--|---|
Diableiui entcurant aneir e	-----||--⌫--|-----|-----⌫|
E nlasemblancedungr anttor	-⌫|-|--------||-|--⌫--|--|
Hisd use r teneircummor E	----⌫-|-⌫-⌫||---|--|--||
mul t h orribleeformentgrant	---⌫|-⌫------||------|----|
Enuers l em oin euintcurant A	-----|-⌫|-⌫---⌫|---|-----||
i releuol ttresperec ier	-⌫-|-|---⌫|---------⌫--|
Desescornesc e lauersier	-|--|-----|-⌫-⌫|-------|
Aneireiuint unepucele	-----||---|--|-----|
def acemultbele	-|-⌫--|---|---|
Odbloiecheuelureamee	-|----|--------|---|
Su rsesesp aules e rtgeteeEtint un	--⌫|--|---⌫----|-⌫-|----||---|-|
frapail ensa main	------|-|-|---|
Dist al dia ble	---|-|---⌫--|
Mult iesuein Aqueiuienstuci	---|--|---||---|----|-|-|
trauaille r	---------⌫|
Munbonmoin emun ami	--|--|----⌫|--|--|
Comandalike s en alas t	------|-|-||-|----⌫|
Kemais i ssi	-|---|-⌫--|
nel t rauail lastAicestdi ts en dep arti	--|-⌫------⌫---||----|--⌫||-|---⌫---|
Celtorcel c uiluert	--|--|--|-⌫------|
enemiElapucele ensem en t	----||-|-----|-----⌫--⌫|
Dep a rti sensudee men tE limoinesiuree	---⌫-⌫--||-|-----⌫---⌫||-|-----|---||
uersle mostier est esm e ü	---|-|------|--|---⌫-⌫-|
Maisqua nti lui ntpresdel	---|---⌫-|-⌫|--⌫-|---|--|
Der echiefuintcel auersier	---⌫-----|---|--|-------|
Enguise d ech ien	-|----|-⌫|--⌫--|
fel diable	--|-----|
Horrib legrant	------⌫-|----|
e espoentable	|----------|
S udeement iuin tcurant	-⌫-------||---⌫|-----|
uerslemoinetuitabaia n t	---|-|----|---|-----⌫-⌫|
Mai s lapucele	---⌫|-|-----|
auantn umee	----|-⌫---|
D erechiefuin tcum b onuree	-⌫-------|---⌫|--|-⌫-----|
Cumai nzifudtuten sement	--|--⌫-||--|--|--⌫-----|
Derech ie fliuint enpresent	------⌫--⌫|-|---|-|------|
Ch açade lic elfelcuilu ert	--⌫---|-|-|-⌫-|--|-----⌫--|
Ef istl emoinealertuitcert	|-⌫--|-⌫|----|---|---|---|
Sis e n de p arti cel felun	-||-⌫|--⌫-⌫---|--|----|
Kinefist nefait semal nunEla	-|-|---|-|---|-|--|--||-|
cheresaintepucele	----|-----|-----|
Par tisengloriuse e be le	---⌫-||-|-------||--⌫-|
Limoin eso utpoürmult grant	-|----⌫-|-⌫-|----|---|----|
Elmustierentrataita nt	-|------|-----||---⌫-|
Mais tut drei t c umilent rat	---|--|----⌫|-⌫-|-|---⌫--|
f elquil ag uei tat	-⌫-|--||--⌫---⌫--|
enemisma lf ez	-----|--⌫--⌫-|
Plus horrib le epluslaidasez	---|------⌫-||---|---|---|
Ke anceisaluine a pa rus t	-|-----||--|-|-⌫--⌫---⌫|
Oruint cum ungrantleu ̈nfus t	-|---|--|-|----|---⌫-|---⌫|
Ruillantdesoil z e abaiant	-------|--|---⌫||------|
Cumde uorer lepe usta tant	--|--⌫----|-|--⌫--||---|
Maistiercefeizuintla pucele	---|-----|---|---|-|-----|
Ki ancei si fud se inte ebele	-|-----⌫||--|--⌫---||---|
Ainz kecistlepeustdamager	---|-|---|-|----|------|
uintlapucel elu i ai der	---|-|-----⌫|--⌫|--⌫--|
uergekensam ai nto ut	----||-|-|-⌫--⌫-|-⌫-|
fel siki lcriout	--|-||-⌫|-----|
For menteegreme ntl ebatiEdi tli	---⌫---||------⌫-|-⌫|---||--⌫|-|
Culu ertenemi	----⌫--|----|
ke tu nemeobeis	-|-|-|-|----|
Necestila issast es cumiodisAparmeimesceoreceue r as	-|----|--⌫------⌫-|--|-|--||--------|--|------⌫-⌫-|
Cum dre itesttu n	--|---⌫-|--|--⌫|
luiera urasE si a	----|-⌫---||-||
luire uiensi amais	--|--⌫----|-⌫----|
Telauraseplu sgreuus fais	--|----||---⌫|-----|---|
Si faitement	-|--------|
fudcel fe lun	--|--|--⌫--|
Trei sfeizu encucummal bric un	----⌫|---|-⌫---|--|--|----⌫-|
griefbatemen t	----|-------⌫|
Si sen departitutdolent	-||-|------|--|-----|
Ense mentcum puldreesuaniE p uis kilesteitdeparti	----⌫---|--|-----|-----||-⌫--||-|-----|------|
Pristla puceleparl a	----|-|-----|--|-⌫|
Celmoine sonamiprece inEcil	--|----|--|--|-----⌫-||--|
aneireenualut	-----|-|----|
e ustsunsenre ç utElapu cele	-⌫--|--|--|--⌫--⌫-||-|--⌫---|
Par lamein süeflamen at	--|-|---|----||----⌫-|
d egrez od pasp etit	-⌫----|-|--|-⌫---|
Le menat tut dreit	-|----|--|----|
a sunlitEquanti	|--|--||----||
uind rent andui	----⌫---|----|
Labelekilifudre fui	-|---|-|-|--|--⌫--|
Descuuerilelit b elementE	--------|-|--|-⌫------||
mist lededenz süefment	---|-|-----|--------|
c hef son oreillir	-⌫--|--|-------|
E començale as eigni er	|-------|-||-⌫-----⌫-|
Signum cruci sason front mis tEami ablementli	-----|-----⌫||--|----|---⌫||---⌫-------|-|
Demainm ati napel atei	-----|-⌫---⌫|---||--|
Cel mo i ne	--|--⌫-⌫-|
kisibiensert me i	-|-|---|---|--⌫|
Munami tu ncu mpai gnun	--|--|--⌫|--⌫----⌫---|
Tumeisme s seztresbien su nnun	-|------⌫|--|---|---|--⌫|--|
estmischiersamis	--|--|-----|---|
b ien me sertt ut	-⌫--|-|---|-⌫-|
Faia luitacunfessi un	--||--|-|--------⌫-|
Deces t eiur e sce	-|---⌫-⌫|---⌫-⌫--|
delaienpaci ence	----|-|----⌫---|
Suncoman dde l apen itenceEli	--|-----⌫|-|-⌫|---⌫-----||-|
mo ines hai ti ement	--⌫---|---⌫--⌫----|
Respu ndim ultpitusem ent	-----⌫--|-⌫--|-------⌫--|
Cherepucele fine	----|-----|---|
De t otmuncuerpar	-|-⌫-|--|---|--|
b oncurage	-⌫-|-----|
C o ue it euuilaime des irAfair e	-⌫-⌫--⌫-||---|--||---⌫-||----⌫|
tutuostre plaisir	--|-----|------|
uostresuientutemanie re	-----|--|-|---|-----⌫-|
Ma issiuus plai st amiech ere	--⌫-|-|--|----⌫-|---|--⌫--|
Dite sauostr es erfde f ei	----⌫||-----⌫|-⌫--|-|-⌫-|
Ainzq ue uusde partezde mei	---|-⌫-|--|--⌫-----|-|--|
Ki uus seezsi belerien	-|--|---|-|---|---|
Kea mei faitessigra ntbien	-||--|-----|-|---⌫-|---|
Ecele senume	|---|-|---|
Marie Em er e	----||-⌫--⌫|
Deumultencherie	--|---|-------|
Distkeleportadlefiz	---||--|-----|-|--|
Kien croizpendi renti ue u	-|-|----|-----⌫---|-⌫--⌫|
Dis tkepar l ipoetsisau uer	---⌫|-|--|-⌫|---|-|---⌫--|
Tut c elskilauolentclam erEcumlimoines	--|-⌫--|-|-|-----|----⌫-||--|-|-----|
Degr ant leesc esesioï	-|--⌫--|-----⌫||-----|
Od fi ance eod	-|--⌫---||-|
f eient ie re	-⌫-|---⌫--⌫-|
Tintsesm ains aladamechere	---|--|-⌫---||-|---|----|
uoleits il a peust retenir	-----|-⌫|-⌫|----|------|
D eu aürer	-⌫-|-----|
Sespie z baiser	--|---⌫|-----|
Ma i sla mere	--⌫-⌫|-|---|
Deuhonurable	--|--------|
Pleinedepitiémerciable	-----|-|-----|--------|
K iestre fuide	-⌫|--|--⌫--|-|
tuz pecheurs	--|-------|
Kip resentea	-|-⌫------||
Kif istaces tui biensigrant	-|-⌫--||---⌫--|---|-|----|
Kedemal fé	-|-|---⌫--|
luifu dguarant	--|--⌫|------|
Quantretenirl a quido utbie n	----|------|-⌫|-----⌫-|---⌫|
Alasen laseintismerien	--||-|-|--------|---|
Hautuolaplus	---|---|---|
clerekero se	----|-|--⌫-|
Suzcielneout	--|---|-|--|
si luisan te	-|------⌫-|
Cilkiceotuituite	--|-|--|---|--||
Mutes g racesa	----|-⌫----||
Deu rendiE	--|----||
asad uce mere ch ere	|-|-⌫--|---|--⌫--|
Keliaida ten telmaniere	-|-|----⌫|-|--|------|
poeirlaseru i	----|-|----⌫|
Des i celiurt antcumuesq ui E cilla	--|-⌫--|--|-⌫--|--|----⌫-||--|-|
seruiadésA kice stui sefist	----|----||-|--⌫---|-|---|
cum fésA lendemai ncumfésse	---⌫---|||-------⌫|------|-|
Tui t sicumladamel i dist	---⌫|-|--|-|---|-⌫|---|
Cilduile miraclecunterentE l a gentladam e	--|--|-|------|--------||-⌫|---|-|---⌫|
Kimustrapars a gr ant pité	-|-----|--|-⌫|--⌫--|----|
A sun serftel amisté	|--|---|--|------|
