c hic om mence	-⌫-|-⌫--⌫----|
fo rches i	--⌫---|-⌫|
ym ene rentl empere eur	|-⌫---⌫---||------⌫--|
apres sil a ssisenten lacaiere	----|-||-⌫------|-|-|-----|
coustenti n etpuisquilfuassisenla	---------⌫|-|-----|-|-|----|-|-|
caierecoustentinsilaourerentto t commesa intempereeur .	-----|---------|-||--------|--⌫|----|--⌫--|--------||
l iemperer e sfut molt lies	-⌫|-------⌫-⌫|--|---|---|
delegranthoune u rq ue	-|-|----|-----⌫-⌫|-⌫-|
diexli auoit	---|-|----|
enteliour donn ee	-|--|---|----⌫-|
si dis tasg ens seigneur	-|---⌫|-|-⌫--|-------|
orueés le gra n t meruelle	-|----|-|---⌫-⌫|-------|
delegrandhouno ur	-|-|----|-----⌫-|
quediex ma	--|---|||
donneeq uee nch eliour	-----|-⌫-|-⌫|--⌫-|---|
meesmequeo nmedeu o i tp re nd re	-----|--|-⌫|-|---⌫-⌫-⌫|-⌫--⌫--⌫-|
etessil li eren cheliormeesmesuic orroune ́sa	-|-----⌫--⌫-|-|---|--|-----|--|-⌫-------⌫-||
empe reeur.	----⌫----||
etpurlegranthounour	-|--|-|----|------|
queuousm aue ́ s fai t euou sdoins i outrestotle	--|---||---⌫-⌫|---⌫-⌫|---⌫|----|-⌫-|------|-|
tresorquiest	-----|--|--|
e n c h estpalaiset	-⌫|-⌫-⌫--|-----|-|
u pa laisde blaker n e .	|--⌫---|-|------⌫-⌫||
quantle sgen soirentchousi en	----|--⌫|---⌫|-----|---|-|-|
fure nt tout li edu grantdonque	----⌫-|---|--⌫|-|----|--|--|
lie mpereres le ureutdo nné	-|-⌫-------|--⌫-|--|--⌫---|
sialerentsi	-|------|-|
esfondr ere ntletresorsi yt ro uerenttantdor	-------⌫---⌫-|-|-----|-||-⌫--⌫-----|---||-|
etdargent comme	-||-----|----|
une finemeruelle si le departiren tentraus .	--|---|-------|-|-|----------⌫|---|--||
lenuitmees mequeandr omess	-|---|----⌫-|--|----⌫---||
enfuio itle u aun e si	-|----⌫-|--⌫-⌫|--⌫|-|
granttormente enl emer etune	----|-------|-|-⌫|--|-|--|
s igranttempestequede uentquedeto unoir re	-⌫|----|-------|--|-|---|--|-|--⌫-----⌫-|
que desc listre queilnes egent ne seurent	--||---⌫-----|--|-|-|-⌫|---|-|------|
quelpartilalo ient	---|---|-|---⌫---|
t an tq ueliorageset le tormenteles racacha	-⌫--⌫|-⌫-|-|-----|-|-|-------|--|------|
coustanti noblequiln	---------⌫----|-|-||
en seurentmot.	-|------|--||
quanti luirrentqu i lfurentatere	----|-⌫|------|-|-⌫|-----||---|
etqu ilnepeu rentauant	-|-|-|-|---⌫---|----|
aler sidistandromesasege ntseigneur	---|-|---|-------||-|--⌫-|-------|
esgardésou	--------|-|
nouss ommes.	---|-⌫----||
ilesgarderentet uirrentbienqu il estoient	-|----------|-|------|---|-|-|-------|
reuenuenconstantinob let ant qui ldisenta	-----|-|------------⌫-|-⌫--|-|-⌫|-----||
andromes sirenousso mmesmortcar	-------|---|---|--⌫---|---|--|
noussomm esreuenu ar riere	---|----⌫-|-----|--⌫----|
en c ousta ntinoble .	-|-⌫-----⌫-------||
quantandromes oic h ou si	----|-------|-|-⌫-⌫-|-|
fusiesmar is	-|-|-----⌫-|
quilne seut quefaire	-|-|-|---|--|----|
s i dis tas egentseigneur	-⌫|---⌫||-⌫|---|-------|
pourdieu m en ésnous	---|---|-⌫--⌫--|---|
ailleursde	-------|-|
etilre spondire ntqu il ne	-|-|--⌫--------⌫-|-|-|-|
po oient auant alerqui leur couperoit	--⌫----|----|---|--|---|--------|
les testes.	--|-----||
qu ant iluirrentqu il	--⌫--|-|------|-|-|
ne peurent auant aler	-|------|----|---|
anulf uersiprisenta nd romes lemp ereeursil	|--|-⌫--|-|------|-⌫--⌫----||---⌫-----|-||
enmen ere nt enune tauernesi lemuchierentd errierele s	-|---⌫---⌫-|-|--|------|-|-|---------|-⌫------|--⌫|
litauerni e rset sefemme	-|-------⌫-⌫-|-|-|----|
esgarderent moltchele gentetsileurfu	----------|---|----|---|-|-|---|-|
bienauisquechestoit delegent	---|---|--|-|-----|-|-|---|
l empe reeur andrometantquelefemm e	|----⌫----|------|---|--|-|----⌫|
aut auernie rala	-|-⌫-------⌫|--|
par auentureentorsestoun iausuei r qui l	--|-------|----|--|----⌫---|---⌫|-|-⌫|
fuiss entb iense ré si	-----⌫--|-⌫--|--⌫--|-|
esgard aa mon te t aua lsiuoit	------⌫|-⌫---⌫|-⌫|---⌫|-|---|
ele androme seir	--|------|---|
derriere les t o uniausa	-------|--|-⌫-⌫-----||
to usses dra s em periaus silereconnut	--⌫-|--|---⌫|--⌫------|-|-|-------|
sisen reuint elearrierea s enbaron si	-||-|-----|--|------||-⌫-|----|-|
lidist elesireandromesliempereresest	-|---|--|---|-------|-|--------|--|
muchiés chaiens.	-------|------||
quantlita uer niersl	----|-|--⌫---⌫----||
o isi enuoia	-⌫|-|-----|
unmes sagepour	-|---⌫---|---|
unhauthomm equi	-|---|----⌫|--|
manoitpresdiluec enu ngrandpal aiscui per e	-----|---||----|-|-⌫|----|---⌫--|--|---⌫|
ache luiand romes	|---⌫--|---⌫----|
auoitde struit etsiauoitiuta	----|--⌫-----|-|-|----|--||
for che ale femmechuhauthomme.	---⌫--||-|----|--|---|----||
quant limessagesuintlasidista chu	----|-|-------|---|-|-|---||--|
haut homme	---|----|
queandr om esestoi ta	--|----⌫--⌫-|-----⌫||
lemaisonc hu tauernier	-|-----|-⌫-|--------|
sile nomma.	-|-|----||
ha ushons oiquean dr ome sestoita lemaison	--⌫-|---|-|--|--⌫--⌫---⌫|-----||-|-----|
chut au er niersi	--|-⌫--⌫--⌫---|-|
enfum oltlies	-|-|-⌫--|---|
il dese gentauec	-|-|-|---|---|
lui siuaale m aisonau tau ernier	--|-|-||-|-⌫----|-|---⌫-----|
il androme silenmaineilensen	-|------|-||-|----|-|-|--|
quant che uintl ende ma inpa rm at insiprist	----|--|---||----⌫--⌫-|--⌫|-⌫--⌫-|-|----|
li hau sh onsandromesi	-|---⌫|-⌫--|------|-|
le n maineilupal aisdeuant	|-⌫|----|-||---⌫--|-----|
l empereeurk yrsac .	|--------|-⌫----||
quantkyrsaacsle uitsile deman daan dromes po ur	----|-------|-|--|-|-|-----⌫-|--⌫-----|--⌫-|
coias tusifai tement tray tenseigneur	--|-|-|-|---⌫-----|---|--|-------|
lemper e eurmanuel et	|-----⌫-⌫--|-----|-|
po ur coimordrisis	--⌫-|--|--------|
tu sef emme etse n	-|-|-⌫---|-|--⌫|
f il et p ourcoi astus iuolentiersfait	-⌫-|-|-⌫--|--|-|-|-⌫|---------|---|
malachiaxqueil en pesoi tquetu	--||----|--|-|-|-----⌫|--|-|
estoiesemperere s etpour coimeuoloie s	------|--------⌫|-|---|--|-|------⌫|
tufaireprendre	-|----|------|
et and romes liresp ondi	-|---⌫----|-|----⌫---|
taissiésuou s f istilqueie ne uou sen	--------|---⌫|-⌫--|-|--|-|-|---⌫|-|
dengneroierespondre	---------|--------|
quantli empereres	----|-|--------|
kyrsacs oi quil	------|-|-|-|
ne lendengneroit r espondresifist	-||-|---------|-⌫-------|-|---|
manderm o ltdechiau sdeleuil equil	-----|-⌫-⌫-|-|-----⌫|-|-|---⌫|-|-|
uenissentdeuantlui.	--------|-----|--||
quant i lf urentdeu antliuenusil eur	----|-⌫|-⌫----|---⌫--|-|---|-|-⌫--|
dis tliempereresseigneur u és	---⌫|-|--------|-------|-⌫--|
chi an dr omequi tan ta	--|--⌫--⌫--|--|---⌫||
faitdemauset	---|-|---|-|
auouset asautr es .	|---|-|-|----⌫-||
ien e porroiemie chemesanlefaireiu st iche	-|-⌫|------|--|--|-|----|----|--⌫--⌫---|
deluia leuolonted euous	-|--||-|------|-⌫|---|
tous mais ieleuous baille afaireent	---|---|-|-|---|-----||----|--|
chouqueuousua ur rés	---|--|---|--⌫--⌫---|
adont sienfurentchilde le	----|-|-|-----|---|-|-|
ui lemoltlie	--⌫-|---|--|
prisenttant que liun	------|---|--|-|-|
dise ntqueonl arsistlia utreque on	----⌫-|--|-||-----|-|-⌫---|--|-|
leb oulist	-|-⌫-----|
en unecaud ierepo ur plusuiurelongement	-|--|----⌫---|--⌫-|---|----|--------|
etpenerliautre queonle	-|----|-|----|--|-|-|
traina stta n tqui lnese peurentacorderen tr	------⌫-|--⌫-⌫|-|-⌫|-|-|------|------|--⌫-|
a usdeque lmort neq ueltormenteil	-⌫-|-|---⌫|---|-|-⌫--|-------|-|
lepeusse nt de struir e tantq u il yeu tun	-|------⌫-|--⌫------⌫|---|-⌫|-||--⌫|-|
sagehomme q uidist seigneurs euousme uoliés	---|----|-⌫-|---|-------|-⌫|---|-|------|
c r oire ieuo usenseingneroi e commen t nousno u s porriemes	-⌫-⌫---|-|--⌫-|------------⌫|------⌫|---|--⌫-⌫|--------|
tr o pbienuengierdelui.	--⌫-⌫|---|------|-|--||
uncamoel en mai sonqu iest leplus	-|-----|-|---⌫--|--⌫|--|-|---|
ordebesteetlepl usfoireuseet	---|----|-|-|--⌫-|-------|-|
lepluslaidedusiecle nous prenderons	-|---|----|-|-----|---|---------|
andromessile	-------|-|-|
despoulleronstrestoutnusi	------------|-------|-|-|
l eloieronsaudo sdu	-⌫|-------|-|--⌫|-|
camoel siqueses uisage s li	-----|-|--|--|------⌫|-|
iertdroitensucul	---|----|--||--|
silemesronsdun kie f del e	-|-|------||-|---⌫|-|-⌫|
uiledu squesa lautre .	---|--⌫----|||----||
siseporrontadonquesbienuengiert ot	-|-|------|-------|---|------|-⌫-|
c hil et t outes c helesa qu i ilames fait.	-⌫--|-|-⌫----|-⌫----||--⌫|-||---⌫---||
sisacor derentto u t	-||----⌫-----|--⌫-⌫|
a cho uque	|---⌫|--|
ch is eutdit	--⌫-|--|--|
siprenentilan drome	-|------|-|--⌫----|
sil eloie ntil	-|-⌫|----⌫-|-|
sicommech ileutdeuisé.	-|----|--⌫-|--|------||
sicommeilmen oient co ntre ual	-|----|-|---⌫----|--⌫----⌫--|
l euilesiueno i entchil a quiil	-⌫|---|-|----⌫-⌫--|---||--|-|
auo i t meffai tsi	---⌫-⌫|------⌫|-|
ledebrocoi ent	-|--------⌫--|
et depicoien t	-|---------⌫|
etferoient liundec outia usl iautre dalesnes	-|-------|-|-|-|-⌫-----⌫-|-⌫|----||------|
li tiers d	-|----||
espeeset disoi entuouspend is t es	-----|-|-----⌫--|---|----⌫--⌫-⌫-|
etsige u stesamefemme	-|-|--⌫-⌫---||-|----|
etles femmesquifilles	-|--|-----|--|-----|
ilauo itprise sa forchele	-|---⌫-|-----⌫||-----|-|
sacoientparlesgrenonsetf isent	-------|--|--|------|-|-⌫----|
l itan t delepure	-⌫|---⌫|-|-|---|
honteque quantil	----|--|----|-|
uirrent alautre kiefdele	------|||----|---|-|-|
auoitilmie d ech arseu rlecorsde lui	----|-|--|-⌫|--⌫-|---⌫|-|---|-|--|
etpuisprisent	-|---|------|
lesoss iles ge terent enune	--|-|-⌫|--|--⌫-----|-|--|
longaingne.	---------||
e ntelemaniere	-⌫|---|------|
seue ngierentild e	-|--⌫-------|-|-⌫|
cheltr ait e ur .	---|--⌫---⌫-⌫-||
tresche iourq uekyr saacs	---|--|---|-⌫-|---⌫----|
fuempererespourtraist ons us lespo rta usdes	-|--------|---------|-|-⌫-|--|--⌫---⌫-|--|
m ou s tierscommentkyr saacauoit est é	-⌫--⌫-⌫----|------|---⌫---|----|---⌫-|
empereresparmira c leet commentnostresire slimetoit	--------|--|----⌫-⌫-|-|------|-----|----⌫|-|-----|
lecoroneu chief dunepartetnostre	-|-----||----||--|---|-|-----|
da medau t reetcommentli	--⌫-||--⌫-⌫-|-|------|-|
anglesc oupale cordedela rcdontandromes	-----|-⌫---|-|----|-||-⌫-|---|-------|
leuautferir pourcho u che dis oient que	-|---|----|---|---⌫|--|---⌫----|--|
seslignagesau oitsornondangle.	--|-------|--⌫--|-----||----||
apressi lipristmolt	----|-|-|----|---|
granstalensdeue ir	----|-----|-|--⌫-|
sen fr erequienpais nie	--|--⌫--|--|-|----⌫--|
prisontant	-----|---|
quilpristmessages	-|-|----|-------|
s ile senuoiaque rresen	-⌫|--⌫|-----|---⌫--|--|
tan tleq uisentque onleurfist entendre	---⌫|-|-⌫-----|--|-|---|---|-------|
quil estoit e nprisonil alere nt	-|-|-----|-⌫|-----|-|-----⌫-|
c helepart.	-⌫---|---||
q ua n tiluinrentla	-⌫--⌫-⌫|-|------|-|
sil edeman derentassar rasins et	-|-⌫|-----⌫-----|-|---⌫-----|-|
li sarrasinau o ient oi dire	-|-------|--⌫-⌫---|-|---|
queliuaslesestoit frer es l	--|-|-----|-----|----⌫-||
empereeurd e	--------|-⌫|
cons tantinoble silen	----⌫---------|-||-|
tinren t moltpluskieret disent	------⌫|---|---|---|-|-----|
q uiln enre nderoientmiesans	-⌫|-||-|--⌫--------|--|---|
grantauoir	----|----|
tan t que li	---⌫|--|-|
mess age leurdo n nerent tant dore tdargentcomme	----⌫--|---|--⌫-⌫-----|---||-|-⌫||-----|----|
il demandere nt.	-|---------⌫-||
quantileurentchelui raca tési	----|-|-----|-----|----⌫--|-|
senr euin ren t	|-|-⌫----⌫---⌫|
arriereencoustantinoble.	------|-|-------------||
quand liemper e reskyrsaa csuitsenfre r es i	----|-|-----⌫-⌫--|------⌫-|--|--|---⌫-⌫|-⌫|
moltliese tmo lt e n fist	---|---|-⌫|--⌫-|-⌫|---|
grantf es te etchi sref uaussimolt	----|-⌫--⌫-|-|---⌫|---⌫|----|---|
liesde chou	---|-|---|
quesesfrer esfu e mperere s e tde	--|--|----⌫-|-|-⌫-------⌫|-⌫|-|
chouquil auoitconquisl empir e	---|-|-|----|------||-----⌫|
par s e forc h e .	--|-⌫|----⌫-⌫||
chu s uasles auo itnon	---⌫|-----|---⌫-|--|
waires apr esque liempereresses fr e re s	-----|---⌫-|--|-|--------|--|--⌫-⌫--⌫|
lefistbailliu d eto uteseterre	-|---|------|-⌫|--⌫--|-|----|
et kemandeeur	-|---------|
a don tsi s en orgueilliside	-⌫---⌫|-||--⌫--------|-|-|
chelebai llie q uileutqueles	----|---⌫---|-⌫|-|--|--|--|
gen sdetout lempire le	---⌫|-|---||-----|-|
renommoien ttrop etredout oient	----------⌫|---|-|------⌫----|
qui l estoitfrereslempe reeur	-|-⌫|-----|-----||----⌫----|
et pou r chouque l i emperereslamoittant	-|---⌫|---|--|-⌫|--------||----|---|
apre ssia uint uniour que l i	----⌫|-|-⌫---|-|---|--|-⌫|
empereresal a	--------|--⌫|
cachierense forest	------|-|-|-----|
si nefaitmaisel ale xe s se sfreressi uient	-|-|---|---|-|---⌫--⌫|--⌫|-----|-|----|
fo rest ou liemp e reres	--⌫---|-|-|---⌫-⌫----|
estoitsi le prentil partrais onsi li	-----|-|-|----|-|--|-----⌫-|-|-|
creualesiex.	----|--|--||
apres q uantileutchefait	----|-⌫---|-|--|--|---|
fist metreenprisonq u e on nenseut	---|----|-|-----|-⌫-⌫|-||-|---|
quantileutchefait	----|-|--|--|---|
si senreu intarriereen cous tant inoblesi	-||-|---⌫--|------|-|----⌫----⌫-----|-|
fistacr oireque liemperere s ses freresestoitmorssi	---|---⌫---|--|-|--------⌫|--|-----|-----|---|-|
sefistco urouner	-|---|--⌫------|
aempereeu r a	|--------⌫||
quant limaistres aufil lempereeurkyrs ac	----|-|-------|-|--||--------|----⌫-|
uitquelionclesal	--|--|-|-----|||
enfanteuttraysenpere	-----|--|---|--|---|
sestoitfaisempereres	|-----|---|--------|
partraisonsinefait maiselsiprentil	--|------|-|-|---|---|-|-|----|-|
l e nfants ilefaitmeneren ale maingne	|-⌫----|-⌫|-|---|----|-|---⌫------|
aseser eurqui estoitfemme l emperee urd al emaingne	|-|---⌫--|--|-----|----||-------⌫-||--⌫-------|
caril neuoloitmieque ses	--|-|-|-----|--|--|--|
l efesist destruire etestoitplus	-⌫|-----|--------|-|-----|---|
droisoi rsquealexessesonclesn estoit.	----|--⌫-|--|-----|--|-----||-----||
oicommentky rsacu inta uantetcomment	-|------|--⌫---|-⌫--|-⌫---|-|------|
ilfuempereresetc o mment sesfixalaen alemaingn e	-|-|--------|-|-⌫-⌫----|--|--|--|-|---------⌫|
pourqui licroisié	---|--|-|-------|
ue ni cien enuoierentpar lecons eldumarchis	--⌫--⌫---|---------|--|-|----⌫-|-|------|
demonferras	-|--------|
leurma istre sicomm e uous aue ́s oienle stoire	---|--⌫----|-|----⌫|---|---⌫-|-|-||-⌫-----|
deuantpour che quileussentacoison	-----|---|--|-|-|------|------|
daler enlet eredecoustantinoble.	|---|-|-|-⌫--|-|-------------||
or uo usdirons	-|--⌫-|-----|
dec hel en fantetdescroisie ́s	-|-⌫--|--⌫---|-|--|-------⌫-|
et comm ent li	-|----⌫--|-|
croisiéenuoie ren t pourlui	-------|------⌫---⌫|---|--|
etcomm ent ilalerenten	-|----⌫--|-|------|-|
coustant inobleetcommentille	--------⌫-----|-|------|-|-|
co nquisent.	--⌫-------||
qua ntlima rchiseutdit aspeler ins	---⌫-|-|--⌫----|--|--|-|-----⌫--|
et asueniciensque quiar oitchelenfant do nt	-|-|--------|--|--|--⌫--|---|-----|--⌫-|
nousauons parl eiparde uan t	---|----|----⌫-|--|--⌫---⌫|
ilaroitboineaco isond	-|----|----|---⌫---||
ale rencoustan t inobleetd ausestoirer	---⌫|-|-------⌫-⌫-----|-||--|-------|
si fise ntlicr oisiéatirerdeu sc h eualiers	-|----⌫-|-|--⌫-----|-----|---⌫|-⌫-⌫-------|
moltbienet	---|---|-|
m oltbelem entsil es	-⌫--|-----⌫--|-|-⌫-|
enuoiere nten	--------⌫-|-|
alemaingnepour chu ua sletquiluenist	---------|---|--|--⌫---|-|-|-----|
aausetselimandere ntqu	|--|-|-|-|-------⌫-|-|
ill ia id eroientsen droit	-|-⌫|-⌫--⌫------|--|----|
a conqu erre	|-----⌫---|
quant limessage	----|-|------|
uinrrentalecourtlempereeur d a lemaingnela	-------||-|----||--------||-⌫--------|-|
ou li uaslesestoi tselidisentlem essage	-|-|-----|-----⌫|-|-|-----|-|-⌫-----|
queonleurauoitcarquiéa	--|-|---|----|-------||
qua ntli uaslesoich o uet entend i	---⌫-|-|-----|-|--⌫-⌫|-|------⌫|
lemande ment quelih aut	-|-----⌫---|--|-|-⌫--|
h ommec roisi e ́liauoien tmandé si	-⌫---|-⌫-----⌫-⌫|-|------⌫|-----|-|
enfum olt lies et molt en	-|-|-⌫--|---|-|---|-|
fist gr antfestee tmolt	---|--⌫--|----|-⌫|---|
fi s t bi ausanlantas me ssag es	--⌫-⌫|--⌫-|------|-|--⌫----⌫-|
s i distquilsen	-⌫|---|-|-||-|
cons eilleroi ta	----⌫--------⌫||
lempereur senserouge.	|-------|--|------||
quantliemp erereslentendisire s po nd iauuaslet	----|-|---⌫-----||------|-|--⌫-⌫--⌫--⌫|-|-----|
quebelecaan c heliestoi tauenu e	--|---|----⌫-⌫-|-|-----⌫|-----⌫|
sililoa bienquily alastet	-|-|--|---|-|-||----|-|
selidi stquil	-|-|--⌫-|-|-|
naroit iamaispointde senhyre tages enparl	|----|-----|----|-|--|----⌫---|-⌫-|--||
aiu ede dieuetdes c roisiés ne	---⌫|-|---|-|--|-⌫-------|-|
liua slesentendibienque	-|--⌫---|------|---|--|
li emper ereslidonnoitboinconsel	-|-----⌫---|-|------|---|-----|
s is atornaau p lus belement qu il	-⌫||-----|-|-⌫--|-------|-|-|
pe utsi sen uintaue clesmessages	--⌫-|-||-|---|---⌫|--|-------|
et deuant che	-|-----|--|
qu eli uaslesneli mes s agef ussentue nua	--⌫|-|-----|-|-|---⌫-⌫--|-⌫-----|--⌫-||
ia dress i s e nfu lies t ore s alés	--⌫---|-⌫||-⌫|-|-|--⌫-⌫---⌫|----|
en lisle decorfa ut	-||---|-|-----⌫-|
pou rchou quele paske	---⌫|---|--|-|----|
es t oitia passee.	--⌫-⌫--|-|-----||
mais quant li	---|----|-|
estoresm u t a	------|-⌫-⌫||
alerisifis tonlaiier d eusgaliespour	---||-|---⌫|-|-----|-⌫--|-----|---|
aten dre l esmessages etleuaslet.	----⌫--|-⌫-|-------|-|-|-----||
etse iornerent li p ele rine nl isl e decorfaut	-|--⌫--------|-|-⌫---⌫--|-⌫||---⌫|-|------|
ta ntqueliuasl eset l imessage uinrent.	--⌫-|--|-|----⌫-|-|-⌫|------|------||
