B oinecanc honplairoituous	-⌫---|----⌫--|-------|---|
pointt aillie.Lorsc omenchieren tlidoipreudo m ea	----|-⌫------|---|-⌫-----------⌫|-|--|------⌫-⌫||
rire.Li quensGuillaumesa	----|-|----|---------||
sesorisons	--|------|
dites Pui s	----|---⌫|
sisenu ont	-||-|-⌫--|
an doiala c uisine. Lisain s herm itesque Dieussoit	--⌫--||-|-⌫------|-|----⌫|----⌫---|--|----|---|
enäieDona	-|---|---|
G uillaume de ce qui lotauiure A grant	-⌫-------|-|-|-|-⌫|-||----||----|
p l enté ain cni fist	-⌫-⌫----|---⌫|||---|
auariceAi gheboulie aun po i	------|--⌫--|-----||-|--⌫|
deferine Etpaindesoileet	-|-----|-|---|-|----|-|
bur ent del cidr eEt puis me ngierentde pumesde	---⌫--|--|----⌫|-|---|--⌫-------|-|----|-|
fäines Les melle s	------|--|-----⌫|
bletesni oublïerentmie.Qu an tme ngie ́	-----|||----------|---|--⌫--⌫|--⌫----⌫|
or ent Da medieuen	--⌫--|--⌫-----|-|
merchïent .	----------⌫|
Dieusdist Guil laumes con ch ia	----|---|----⌫-----|--|--⌫||
b oineuieMieusaim c e st	-⌫---|--|----|--|-⌫-⌫-|
fasunci snePaon	--|-|--⌫--|---|
caponnegeli ne	----|-|----⌫-|
ce rfdelandeorsne cieuroel	--⌫-|-|----|--|-|-------|
ne bisse .L	-|-----⌫||
ermit eslot s a l a	-----⌫-||-|||-⌫|
test ebaissi eUnpe titpe nsesidist a	----⌫|------⌫|-|--⌫--|--⌫--|-|---||
soimëisme Iou quit	--|------|--|---|
chish om aformenteste ́ricesQuichi	---|-⌫-||------|----⌫|----|--|--|
paroledesifie r edeuise.	-----|-|-|---⌫-⌫|------|
Liquenslap elesi li	-|----||--⌫--|-|-|
aprisadi reDitesmoifrerepour	|---||--⌫-|----|--|----|---|
Di eu ouuousnaquistesCom	--⌫-|-|---|--------|--|
auésnonn eleme	----|--|-⌫|-|-|
celésmi e.L	-----|--⌫-||
ermiteslo ttous lisans liform iePleuredes	------||-⌫|---|-|---|-|----⌫-|-----|--|
iex la f ace	--|-|-⌫--|
moullie.uoitleli q uens	-------|---|-|-|-⌫---|
en atenrieFrerefait	-|------|----|---|
iluousfaites	-|---|-----|
uilonieDitesuononquei l ni	------|----|-|--|--|-⌫|||
aitd etrie.	--|-⌫-----|
Etchil respontuol entie rs	-|---|------|---⌫-----⌫-|
biaxd oussi re.O rfu	---|-⌫--|--⌫--|-⌫|-|
Guillaumes	---------|
Distal ermiteDitesmoi uoparageD it es uo	---|||-----|----|--|-|-----|-⌫--⌫-|-|
nonseDieus	--|-|----|
grantbienuou sface.Dis tliherm i tesuolentiers pa rsaint	----|---|---⌫|----|---⌫|-|----⌫-⌫--|---------|--⌫|----|
Iak e NésfuideFrance	---⌫|---|--|-|-----|
de l päisho n erableGaidons a inonniés	--⌫|----|--⌫-⌫-----|------|-⌫|--|----|
sui dame AnestasseFe meGarin dAnsëune le	--|---|--------|--⌫-|----||-------|-|
larg e.Filsfuidun	----⌫-|---|--||-|
duc quif udegrantpa rage	--|--|-⌫|-|----|--⌫---|
Ge r ars otn onet si tintquiteBlaiues.	--⌫-⌫--|-|-⌫-|-|-|---|----|-------|
Ma mere fuestraite d	-|---|-|-------||
un lignageQu iaincneua ut nule träison	-|------|--⌫|---|-|--⌫-|---|-------|
faire Cu ens Aymerisde Nerb one	----|--⌫--|------|-|----⌫--|
dïentmi mais tr e .Iou	-----|-|----⌫--⌫-⌫|--|
leserui mout	-|----|---|
g rantpiecheporarmesEtsi li	-⌫---|-----|--|----|-|-|-|
fi smainte ru istebataille.Il madou baaNerbo n een	--⌫|-----|--⌫---|--------|-||----⌫-||-----⌫-⌫|-|
lasale L a	-|---|-⌫|
Guil laumesl i marchis Fiere bracheHer naus	----⌫-----|-⌫|------|-----⌫-----|---⌫---|
lirousÄymers etli	-|---|------|-|-|
DeCommarchisdu s B ueu esalebarbeAuoec ichiaus	-|---------|--⌫|-⌫---⌫-||-|----|----|------|
fuinorrisenla	--|-----|-|-|
sale.Nesaiqu enmente ne p our	----|-|--|-|-|----|-|-⌫--|
coi lecelai ss e Iouai tantfait	--|-|-----⌫--⌫|--|-|---|---|
de pechiés	-|-------|
mort uablesT anthom emort	----⌫-----|-⌫--|---⌫|---|
ettantecitéarse Terres	-|----|----|---|-----|
destruiteset c astiausfaitab atreQuelipecié	---------|-|-⌫------|---|--⌫---|--|-|-----|
moutdu re mentm	---|--⌫--⌫---||
esmaientQue i oun euoiseeninfer pa rmanabl e.	-------|--|-⌫-|-⌫|----|-|----|--⌫-------⌫-|
uintetqua t re ans	---|-|---⌫-⌫-|--|
auraa cestepaskeQue ioulaissai	---||----|----|--|--|------|
mes uileset mesm arces	--|----|-|--|-⌫----|
en ui n gchaiensencest bos ca g eEn	-|--⌫-⌫|------|-|---|---⌫--⌫-⌫|-|
cesteterre	----|----|
quitantparest	--|---|--|--|
sa luage Deuingh ermi tes	--⌫----|-----|-⌫----⌫--|
etpriscest	-|---|---|
herberg ageAinc	-------⌫--|---|
sieclecertes n emefu gair es. Mout a d	-----|-----|-⌫|-|-|----⌫--|---|||
ermites enicestui	------|-|------|
bosca geQui	-----⌫-|--|
parcest bois	--|---|---|
loruïandeporcacent. Lor bes tele tes i	--|------|---------|--|---⌫----⌫--||
norrissentetpa issentDecoi liueretl e	---------|-|--⌫-----|-|--||---|-|-⌫|
saiso ntr espassent .	-----⌫|--⌫---------⌫|
Mout aboin ta nsparDieu	---||---|--⌫-|--|---|
le spe ritableQ uiDamedieusertde trés	|-⌫---⌫------|-⌫-|-------|---|-|----|
fin corage	--|-----|
EnDieu seruira	-|---|-----||
mouttrésboin usage.	---|----|---|-----|
sire toutcon té	---|---|---⌫--|
monafaire.	--|------|
Maisl i larronmefontsouentcontraire Ma	---|-⌫|-----|-|---|-----|--------|-|
bris entsime fo nt	----⌫--|-|-|--⌫-|
grant damage. Mais par	----|------|---|--|
celDieuqui me f is tas	--|---|--|-|-⌫--⌫|||
image Seuous uol ésia	----|-|---|---⌫--|-|
lairailermitageOduous	-----||-------|-|---|
mais q u il	---|-⌫|-|
uous place.B ien uousc onoisaspoin set a uu isage	---|-----|-⌫--|---|-⌫----|-|----⌫|-|-⌫|-⌫----|
f iercorage etasleese spaulesMes cousins	-⌫--|-----|-|-|---|-⌫------|--|------|
este ssaue ́s an on	----⌫||---⌫-||-⌫-|
GuillaumeDOrengefustessires	--------||-----|-----|----|
et conestablesEtsi pr esistesa	-|----------|-|-|--⌫------||
moullierdameO rable .Aicestmotli cousi n	-------|---|-⌫-----⌫||----|--|-|-----⌫|
sentrebaise nt	|----------⌫-|
Cascuns d ausdeusapla ins les	------||--|---||---⌫--|--|
iex de larme s.Quantli	--|-|-----⌫-|----|-|
sontentracointié	---|------------|
Ambe doifurentmout ioia nt etmout lié. DistGai dons Sire	----⌫--|-----|---|----⌫-|-|---|----|---|---⌫---|---|
me soi t noiéDontuene ́s uouss ipourementapié	-|---⌫|----|---|----⌫-|---|-⌫|--------||---|
Auésperduuos	----|----|--|
honorsetuosfiésEtdist liquensNaiecertes	-----|-|--|----|-|---|-|----|---|-----|
biausniés	----|----|
Mort ee stG ui borsmacortoisem olliers E t mes lignagesdont	----⌫|-⌫-|-⌫--⌫---|-|-------|-⌫------|-⌫|--|-------|---|
suimou tiriés.	--|---⌫|------|
Or aipourDieutoutmonp a ̈isl a issié.Tresto ut	-|-|---|---|---|--|-⌫-⌫--|-⌫-⌫------|------⌫-|
contel i mar chisa u uisfier C ommentil	----|-⌫|---⌫---|-⌫|--|---|-⌫-----|-|
fu mo inessaint G ratiien	-|--⌫---|----|-⌫------|
Toutsonafa ire li dist dec iefencie fEt	---|--|---⌫--|-|---|-|-⌫--|-|---⌫|-|
deslarron squil	--|------⌫|-|-|
mor selrami erLeprïe us mort lesmoineslai dengiésMais	---⌫|-|----⌫-|-|-----⌫-|---|--|-----|---⌫-------|---|
d oienuersDieuamai snierHermitesereseDieusm	-⌫-|-----|---|----⌫----|-------|--|-|----||
enueut aidi er.	-|---|----⌫--|
DistG aidons SireDieusen soit	---|-⌫-----|---|----|-|---|
grat iiésOdmoi m anré s s	----⌫----|-|--|-⌫-----⌫||
il aplais iruo s	-||-----⌫-|--⌫|
ui ent. N aie cou sins distGuillaumesl i	--⌫---|-⌫--|---⌫---|---|---------|-⌫|
fiersEnaut relieuu aurai	----|-|---⌫-|---|-⌫----|
estre osta giés. A	----|----⌫-----||
ces paroles se	--|------|-|
sont alé couchierAss és	---|---|-------|---⌫--|
ont her beet fuelles	--|---⌫-|-|------|
d eramier.I ls	-⌫|------|-⌫||
en dormirent quant il	--⌫--------|----|-|
orent pl aidiét	----|--⌫------|
Maisiuscapoiert Guillaume essaiés	---|---||--|--|--------|-------|
Carlilarron ne	--|-|-----|-|
atargiétPar mi le boiscuerent comeesragie ́t.Deus	--------|---⌫-|-|---|------|---|-------⌫--|---|
hermitageso nt	---------|-⌫-|
celenu it brisiésIlsen	---|--⌫-|-------|-||-|
re pairentunpoi ain s	--⌫------|-|--|---⌫|
lescla irier. P ar	|-----⌫-----|-⌫-|
lermitageGaidonsontadrec hiétMaisil e stoient	|-------|-----|---|-----⌫----|---|-|-⌫------|
de reubes t out	-|-----|-⌫--|
cargiétDontle sher mitesauoientd espo u lli és	-------|---|--⌫|---⌫----|------|-⌫----⌫-⌫---⌫--|
Enkenbeléset batus	----------|-|----|
etloie ́s.Quantdel os tel Gaidonson taproc hiét	-|----⌫--|----|-||--⌫--|-----|---⌫|-----⌫----|
larro nslereconutmout bien S escompai gnonsen prist	-----⌫-|-|------|---|---|-⌫-|------⌫----|-|----|
aaraisnie r	|--------⌫|
Sig no rdistil	---⌫--⌫|---|-|
parlessai ns	--|--|---⌫-|
d eso usci elCimaintGaidons	-⌫---⌫-|--⌫-|-|----|------|
uns he rmi tesproisiésQ ui moutestriches	--|--⌫---⌫--|--------|-⌫-|---|--|-----|
de dr as et dedeniers. Il	-|--⌫-|-|-|-------|-|
t a nsqu ilnefu	-⌫-⌫-|-|-|-|-|
desrochiés.Ioupass aich inapasun	-----------|--|----⌫-|--⌫|||--|-|
moisentierSi l i roua i	---|-----|-|-⌫|----⌫|
de son paina mengier Etilm	-|--|---||------|-|-||
disneruolent iers.Iouleuiriche etlostelaaisiét	-----|------⌫----|--|-|-|----|-||----|-------|
seus si ni osaigrognie rCarmout	---|-|||---|-------⌫|--|---|
est granset fors li	--|----|-|---|-|
paut o niers.Orialons sipo rrons gaaignierEt cil	----⌫-⌫-----|-||----|-|--⌫----|--------|-|--|
res pondent	---⌫------|
Bien faitaotroi e r.	---|---||-----⌫-⌫-|
uersl abitacleen	---||-------|-|
sont t outauoi e ́t	---|-⌫--|----⌫-⌫-|
douse li mal larron	----|-|--|-----|
fossier Lepostis b risentsi l ont iustrebuchiét.	------|-|-----|-⌫-----|-||--|--|-----------|
Gaidesloï a	-----||--||
merueillesl iuientDieus	---------|-⌫|----|----|
distGaid onsbiauspere	---|----⌫--|----|---|
dro ituriersOrsai ioubien	---⌫-------|-|--|--|---|
quei o usuiespi iés.	--|-⌫-⌫|--|----⌫----|
I lno sapas	-⌫||-⌫-|--|
dantGuill aumeesuillierLiquensdormoi tqu i mout ert	---|-----⌫---|--------|-|----|------⌫|--⌫|---|--|
trauill iés.	-------⌫----|
Gaidons li preusfi st	------|-|----|--⌫-|
for mentaprois ierSa	---⌫---||-----⌫--|-|
cloche sonesisaut	-----|---|-|---|
horsdelmostier Tintu nbastonuersleslarrons en	---|--|------|---|-⌫|-----|---|--|------|-|
Signordistil malfait es	-----|---|-|--|----⌫-|
e t pec iéQui	-⌫|---⌫--|--|
cha dede ns	--|----⌫-|
uer goignier.Etc il lassa illentas	---⌫--------|-|-⌫-||----⌫-----|-|
gra n scoutiaxdachier	---⌫-⌫|------||-----|
ParDieufontila	--|---|---|-||
morte ste siugiésSe tout lauoirc	---|-⌫---⌫|------|-|---||----||
bailliés.Et	---------|-|
dist Gaidons	---|------|
uosl aurésuolenti ers	--||-----|-------⌫--|
cestfustuousuoel anchoispaier.Leb aston hauche si	---|---|---|---|------|-----|-|-⌫----|-----|-|
ferilepremierMortlet rebuche deuantl ui	---|-|------|---|-|-⌫------|-----|-⌫-|
asespiés.D ontsont	|--|-----|-⌫--|---|
liautredol ant	-|----|---⌫--|
etco r echié Illauirone ntet	-|--⌫-⌫-----|-||-------⌫-|-|
de uant et derrier	--⌫---|-|------|
Silo ntnauréelcosté et el	-||-⌫-|-----|-|-----|-|-|
il e na unaut re amo rt	-|-⌫||-|---⌫-||--⌫-|
plaiét. Ah autesuoiscomenchaahuc hierSainteMarie	-------||-⌫----|---|-------||---⌫---|-----|----|
cons eilliésSireGuilla ume s orai de	----⌫-------|---|------⌫---⌫|-|-|-|
uosmestierPor amor D ieu	--|------|--|---|-⌫--|
ormeuenésaidierL i quen s sesuei lle si e st	-|-|-----|-----|-⌫|----⌫||-----⌫--|-|-⌫-|
sai ll isen	---⌫--⌫-|-|
Le slarronso ta	--⌫|------|-⌫||
Ga idon desr ainierAsaillilontce setilore	--⌫---|----⌫-----|------||--|-|--|-|--|
bien.Ilsaut	----|-|---|
est pasesm aie ́sSiuinta luis	--|--|---⌫---⌫-|-|---|||--|
marchisauuisfierPren t le hamiedo ntonl	------|-|--|---|----⌫|-|----|--⌫-|-||
otueroillié P artel	-|---------|-⌫-|--|
l uis aluis achiét	|--||--|-⌫------|
Lesaisenr ontligo nsontdepechié t.	--|--|-|-⌫--|-|--⌫|---|---------⌫-|
Ilsailliforsensa main leleu ier	-|-----|---|-|-|---|-|---⌫--|
Le slar rons	--⌫|---⌫---|
uoi tsi lorprent	---⌫|-|--|----|
a huchierMar i entrastesf i l	|------|--||--------|-⌫-⌫|
aputa i nloudier L egrant	|----⌫-⌫|------|-⌫|----|
con tremont hauc hiét	---⌫------|----⌫----|
L un deslarrons parmi	|-|--|------|----|
fi er t Mortle t rebuche quiquen doieanoier.	--⌫--⌫|---|-|-⌫------|--|-|-|---|------|
Quatre causa li	-----|---||-|
quenssiempl oi és	----|-|----⌫--⌫--|
amors et Gai dons	|---|-|---⌫---|
deusfro issiés.	---|---⌫-------|
Qui dont uëi st Guillaumebie naidier	--|---|----⌫-|--------|---⌫|-----|
senes t resou rces	-----⌫-⌫-|---⌫|--|
larrons maill ier Brise cestestes	------|-----⌫--|----|--|-----|
f r oi s selorhanepiersLun	-⌫-⌫--⌫-⌫-|--|--------||-|
faitcao ir l autre a	---|---⌫-||----||
to utmehaigniét.L i larronsonttoutensi	--⌫-|-----------|-⌫|-----|---|---|---|
es maiétLi plushardisuausist estrea	--⌫-----|-|---|-----|------|----||
P oitiers.Dïententreu s	-⌫-------|-----|---|--⌫|
Mal a uons e sploitie ́t Liuifdïablesontchaiens	--|-⌫---|-⌫--------⌫-|-|--|------|---|------|
her bergiét. ués	---⌫--------|---|
comcisestparcrë usetplen ie rs uoirdetel	--|--|--|-------⌫-|-|----⌫--⌫-|---|-|--|
gentochirroitun	---|--------|-|
mi llier uerslui ne	--⌫----|---|--|-|
u au tnostreforce undeni erTout	-⌫--⌫|-----|----|-|----⌫-|---|
soumesmort	-----|---|
nenescaperapié s.Lisissen q uid enta rrier e	|-|-------|----⌫-|-|--||-|-⌫---⌫--|-⌫-----⌫|
repairierParle	--------|--|-|
guichetqu ilorentius plaissie ́ Maisl iissue les	------|-|-|----|--|--------⌫|---|-⌫|----|--|
angoissiés Et	----------|-|
limarchislesasienc auchiés I letGai donsles	-|------|--||-|---⌫-------|-⌫|-|---⌫---|--|
si fortc oitiésAl or ti neu sleso nt	-|---|-⌫------||-⌫-|--⌫---⌫|--|-⌫-|
s icamousiésOnqu esdesdouse	-⌫|---------|----⌫-|--|----|
nenesc a pa uns lie ́s	|-|---⌫-⌫-|--|---⌫-|
Fors untout seulcilotlesbrasb risiés.F ui ant	---|-|---|---|--|-|--|---|-⌫-------|-⌫--⌫--|
s en uaparmil	|-|-|----||
espèsramierTroisl ieu es	-----|-----|----|-⌫---⌫-|
fuit a i ns qui l	---|-⌫-⌫-|-|-⌫|
fustesclairié t.A un	---|----------⌫-||-|
enuintue rs M on pellierI luecafait	-|---|--⌫-|-⌫--⌫------|-⌫---||---|
sesd eus bras	--|-⌫--|---|
reloier .Silne	-------⌫||-|-|
nendonroi e un denier- Gaidesn	|-|------⌫|-|-----||-----||
maisp arlui enc onbrier.	---|-⌫-|--|---⌫-------|
A umatinetquant ilfuesclairiét	-⌫|------|----|-|-|----------|
l arronsfirenttr estousnus despoullier Horsd elpostisles	-⌫-----|-----|--⌫-----|--|----------|---|-⌫-|-----|--|
tousf ait lanchier Si	---|-⌫--|-------|-|
lespendirent au narbreram ier. Lib er	--|--------||-⌫|----|---⌫---|-|-⌫-|
GaidonsenaDieugratiié t Dieus dist	------|-||---|--------⌫|----|---|
porraiioua a is esoumi llierOr m	-----|--||-⌫--⌫|-----⌫----|-||
au ésuousd es	--⌫--|---|-⌫-|
m auslarrons ue n giét.	-⌫--|------|--⌫-⌫-----|
M o ut fuGuill aumesli	-⌫-⌫-|-|-----⌫----|-|
berdegrant u ert uQuantleslar ronsaensi	--|-|----|-⌫---⌫|----|--|---⌫---||---|
confondusTrest ouslesapar l es	--------|-----⌫--|--||--|-⌫-|
gheu les pendu s. A tantesu ous	----⌫--|-----⌫-||---|-|-⌫--|
deushermitesuenus Qui de le	---|-------|----|--|-|-|
clokeore nt öilehuCe furent	----|---⌫-|--|-|-|-|-----|
qui tout orentperduQuelilarron	--|---|----|----|--|-|-----|
orent lanuitbatu.Desloié	----|-|---|----|-------|
furent sisont	-----|-|---|
laa coruuoient Guillaumesi grant	-|-⌫---|-----|--------|-|----|
et sime nbru	-|-|--⌫---|
Li cuerslortramble li	-|----|--|------|-|
sanslorestmëus Dela	---|--|--|----|-|-|
pa our furent tout	--⌫--|-----|---|
e sperdu.Et	-⌫------|-|
distGaid on s	---|----⌫--⌫|
Soiéstou t assëu r Ia niper dre ́s	-----|---⌫|------⌫|-|||---⌫---⌫-|
ualis san tun festu. Or e sg ardésa	-----⌫---⌫|-|-----|-|-⌫--⌫-----||
ce lc aisneramuConissié s uous	--⌫|-⌫----|---|---------⌫|---|
cels q uipe ndent lassusÖilfont ili l	---|-⌫-|--⌫----|-----|---|---|-|-⌫|
nousont tout	---|--|---|
tolu.Et distGaidonsIauousert t out	----|-|---|------|-|---|--|-⌫--|
rendu.Quantcil	-----|----|--|
öir ents enontgrantioie	----⌫--||-|--|----|---|
ëuHé Dieusfontilaorés	--|--|----|---|-|-----|
soiestuOr po rro ns nous	----|-|-|--⌫---⌫-|---|
labo urerasëur	----⌫---||----|
Lorreubesprisent s i	--|-----|------|-⌫|
s ensontr e uestu G uillau me en ren dentet	|-|---|-⌫-⌫----|-⌫------⌫-|-|---⌫---|-|
merchietsalu.	-----|-|----|
Li bersGaidons ne si est arrestusAins	-|---|------|-|||--|-------|---|
lesmenaded e nsson arc	--|---|---⌫-⌫-|--|--|
uolu Dese su ïandesl es abienr epëus.Quantli	---|-|--⌫|-⌫------|-⌫-||---|-⌫------|----|-|
he rmiteon t	--⌫----|--⌫|
Casc u ns s enua la dontilert u enusGran t	----⌫-⌫-||-|-|-|---|-|--|-⌫---|----⌫|
ioie mainent	---|------|
des l arrons ma lostrus.Parle pä isen	--|-⌫-----|--⌫-------|--|-|---⌫-|-|
es tleue ́slihus	--⌫|----⌫-|-|--|
Cun sgrans	|--⌫|----|
leslarrons	--|------|
pendusQuielb os	-----|--|-|-⌫-|
ertnouelementuen u s	--|---------|---⌫-⌫|
neniaquepa r lui seu l	|-|||--|--⌫|--|---⌫|
ne tut.Liaut rel öent	-|---|-|---⌫-||----|
moutensont	---|-|---|
irascuEnt raus di soien t	-----|---⌫|--|--⌫-----⌫|
et souent et menuAsuisdïables soit	-|-----|-|---|-|--|-------|---|
ilch iemb atus Or	-|--⌫|---⌫---|-|
li h ermitee nuertuNeperdront	-|-⌫-----|-⌫|----|-|-------|
mais lemo nte d unfestu.Orf u	---|-|--⌫--||-|-----|-|-⌫|
Guillaumesen s elboisarrestés	---------|--⌫|-|---|--------|
Auoec Gaidon ens iconu ous	----|-----|---⌫|--|-⌫--|
o ̈e ́sMaisiln	-⌫--⌫-|---|-||
