Icicumencelicompuz	--|------|-|-----|
A prés leprimeraine E later ce e nseptembre	-⌫----|-|---------||-|---⌫-|-⌫|--------|
Enlequart endecembre	-|-|----|-|-------|
Maisquisi le fer at	---|--|-|-|---⌫-|
Suuentieiunerat	-----|--------|
Q u ar e m eenuer téd	-⌫-⌫--⌫-⌫-⌫|-|---⌫---|
Sicumest espruu é d	-|--|--|------⌫--⌫|
Mais qui benleferad	---|--|--|-|----|
Lesap os tle ssiuerad Esaint	--|--⌫--⌫---⌫|------||----|
Gregorïum E	---------||
Ieronim um	-------⌫-|
Quiprimeslesguard eren tE	--|-----|--|-----⌫----⌫||
l elaien truuerent	-⌫|--|-|--------|
La primeretr uuerent	-|------|--⌫------|
Quaresm eeruu erent	-------⌫||---⌫----|
Quëelefustguardee Etuz	---|--|---|------||--|
tenscelebree	---|-------|
Pentecosteasis tre nt	---------|----⌫---⌫-|
Lasecunde sidistrent	-|------|-|-------|
Que iloc fust	--|---|---|
celebreeE tuttensbenguardee	-------||--|---|--|------|
Elaterce en	|-|----|-|
sept embre Ela quarteende cembre	----⌫----||-|-----|-|--⌫-----|
ordenerent	---------|
Q uiprimeslestr uue r entE qui siles	-⌫-|-----|--|--⌫---⌫-⌫--||--|-|--|
g uarderat	-⌫-------|
Sace z quebenfera t	----⌫|--|--|----⌫|
Quequeilalgent	--|--|-|-----|
disantUqueq ueilalge ntfeisant	-----||--|-⌫-|-|----⌫-|------|
Ne uoilore plus	-|---|--|---|
Altre uoilcumencer	----|---|-------|
Orue ̈ez p arrai sun	-|--⌫--|-⌫-|---⌫--|
Quetermesa ppell um	--|-----|-⌫-----⌫-|
Ceoestt ermeenuertéd	--|--|-⌫---|-|------|
Sicumest esp ruuéd	-|--|--|---⌫-----|
Quelalune ensuncurs	--|-|---|-|--|---|
Na dnentmais de.x.iurs	|-⌫|---|---|-|--|---|
Alleluiaencloant	-------|-------|
Testimonie	---------|
Siiceoestalioesdi	-|---|--|-|-----|
De celiur alterz di	-|--|--|-|---|-|
Sic eo esta ld iemaine	-|-⌫-|--|-⌫|-⌫------|
Enaltre diemaine	-|----|-------|
Allelu iaencloüm	------⌫-|-------|
S ique ian	-⌫|--|-||
bisexteuen t	------|---⌫|
Quiel quartanauent	--|-|----|-|----|
Xi. iur s icuntum	--|---⌫||-----|
Par mult grant raisun	--|---|----|-----|
terme truue r	----|-----⌫|
Alleluiaguarde r	-------|------⌫|
Gerlant dit	------|--|
Nebrot ensune scrit	-----|-|--|-⌫----|
Maisqu enalgezerrant	---|--⌫||----|-----|
petit folant	----|-----|
Unc o rel euusdiraiEmelz	---⌫-⌫-|-⌫|--|----||---|
l esclarierai	|----------|
L aluneenue rtéd	-⌫|---|-|--⌫----|
Sicum estespruuéd	-|--|--|--------|
Par.xi x.anzue itEsumplener uurs fai t	--|---⌫-|--|--⌫-||--|-----|---|---⌫|
A ch ascun	|--⌫----|
Estsun numbre poséd	--|--|-----|-----|
Entrestuzkalenders	-|------|--------|
a dl iprimers	-⌫|-⌫|------|
tuzfur mez Etrésbenor den ezEpurceode	--|---⌫--||----|--|--⌫---⌫-||--|--|-|
Sa uu mnus senz	--⌫--⌫|--|---|
Cume la lune	---|-|---|
uait E cumele	---||--|--|
sun cu rsfait	--|--⌫-|---|
S eptu age sime	-⌫----⌫---⌫---|
Pur ceo meplaistcu nterEaspruueires mustrer	--|--|-|-----|--⌫---||-|--------|------|
Deceo lesu o ilguarnirU	-|--|--|-⌫-⌫-|------||
p arcestlatendrunt Uuïaz	-⌫-|---|-|-------||----|
ifaldr unt	|-----⌫--|
numbreprendrat	-----|-------|
lunetendra t	---|------⌫|
Enzelmaisdegeneu e r	--|-|---|-|-----⌫-⌫|
Quedesmaisestprimer	--|--|---|--|-----|
Des.ui. idesauant	--|---|---|----|
Entre squedis	-----⌫---|--|
cuntant E udisli	------|||--|-|
Suntermeconceuerat	--|----|---------|
Allelu iae ncloa nt	------⌫-|-⌫-----⌫-|
Sicu m ditladeua ntE.xi.cunterat	-|--⌫|--|-|----⌫-||---|-------|
Sicelanbisextead	-|--|-|------|-|
Qu eltermenus te num	--⌫-|----|--|--⌫--|
Quaresmetruu er	-------|----⌫-|
Cumledeuumg uarder	--|-|----|-⌫-----|
Qua ntla luneen su n curs	---⌫-|-|---|-|--⌫|---|
Nenadmaisdede usiu rs	--|-|---|-|--⌫-|--⌫-|
Pu isle s nonesfeue rier	--⌫-|--⌫|----|----⌫---|
Que ̈est aprofgene uerEde	---⌫|--|----|----⌫--||-|
Pasc hes mustrun	----⌫--|------|
Dun cestenuertéd	---⌫|--|-|------|
Si cumes tespruuéd	-|--|--⌫|--------|
Quantl aluneen s un	----|-⌫|---|-|-⌫-|
Maintent . xiiii . iurs	-------|-⌫-----⌫|---|
Puis le equin octï un	---|-|-----⌫-----⌫-|
Iuer nalsparraisun U	----⌫---|--|-----||
enzenicésiu rsSel	--|-|----|--⌫-||-|
a dtant ens un	-⌫|---|-|-⌫-|
cu rsEu n coren ue rtéd	--⌫-||-⌫-⌫--|-|--⌫----|
C e st term e tr uueras	-⌫-⌫-|----⌫|--⌫-----|
Sique ia n i	-|--|-|||
Eissi faiterement uëezi sultilment	-----⌫----------|----||---------|
Le ter meque	-|---⌫-|--|
Quelquëunkes l	---|---|----||
P as cheposee	-⌫--⌫--|----|
Quëauez celebree	---|---|-------|
Sicestt ermepern ezE aua ntuint	-|---|-⌫---|----⌫-||---⌫-|---|
cu nt ezE siuusiu int cuntez	--⌫--⌫-||-|--||-⌫--|-----|
Enceis queuus	-----|--|--|
En zes.xiii.kalende s	--⌫|-|-----|-------⌫|
Demai queben	-|--|--|--|
terme au eras	----|--⌫---|
Del an q ue	-||-|-⌫-|
tuquerasEsine	-|-----||-|-|
Xx.ice odeie ssaue ir	--|---⌫|----⌫|----⌫-|
Arered ei sturnerEtun	----|-⌫--⌫|-----||--|
n umbreguarder	-⌫----|------|
Enz e s.xii.kalendesDa ueril	--|-⌫|----|-------||-⌫----|
q ue b enle ntendes	-⌫-|-⌫-||-⌫------|
Icelnumbrecreist eras	---|-----|------⌫---|
T resque .xx.	-⌫-----|---|
duncaueras	---|-----|
Sicumestespruuéd	-|--|--|--------|
Ia ceonetefaldrat	-|--|-|-|------|
Tant c umcist	---|-⌫-|---|
tens durat	---|----|
Forsas dederains anz	---|-|--------|--|
De ces .xix. an z	-|--|----|--⌫|
Xixdeis cun ter	--|---|---⌫--|
Celanpurbenguarder	--|-|--|--|------|
Leter m e quaueras	-|---⌫-⌫|-|-----|
Siqueia n i faldr as	-|--|-|||-----⌫-|
Lestermes demust rums	--|-----|------⌫---|
Suluncme n tencïun	-----||-⌫-⌫-------|
Quiduncs unt	--|---|-⌫--|
parr aisun	--|-⌫----|
Q uant lalune en su ncursN	-⌫---|-|---|-|--⌫|---||
ad nentplus	-|---|---|
de.x x.i urs	-|--⌫-|-⌫--|
Aproflé.uiii.ka lende s	----|--|-----|--⌫-----⌫|
De mai q u ebenlentendes E uëez	-|--|-⌫-⌫|--||-------||----|
Pent ec u stegu ardum	----⌫--⌫-⌫--|--⌫----|
Quantla luneen sumcurs	----|-|---|-|--|---|
Neadmais qu e.iiii.iu rs	-|-|---|--⌫|-----|--⌫-|
Puisles non es de m ai	---|--|---⌫-|-|-⌫-|
De iceog uarnid	-|---|-⌫-----|
Delagrantfesteanu el	-|-|----|----|---⌫-|
O r uëez par	-⌫|----|--|
Quelereule nus	----|----|--|
Quibe nuoldrat	--|--⌫|------|
guard er L	-----⌫-||
Aduent e celeb rer	-----||-----⌫--|
S acezebenl	-⌫---||--||
e nten des	-⌫----⌫--|
Deuant les .u. kalendes	-----|--|--|-------|
De decembreenue rtéd	-|-------|-|--⌫----|
Nedeitestre	-|---|----|
e sguar dédNë aprofles.iii.	-⌫-----⌫---|--|----|--|----|
Nonesdeicelmeimesmais	----|-|---|-----|---|
Maisen tre do usuendrat	---|--⌫--|--⌫-|------|
Tuttensian	--|---|-||
i faldr atU ilocenuertéd	|-----⌫-||---|-|------|
Q uë aidet ermi nédE sacez	-⌫--|-|---⌫----⌫---||----|
pur uertéd	--|------|
Sicumes tespruuéd	-|--|--⌫|--------|
Les r eulesqu aidunees	--|-⌫----|-|-|-----|
Sun tdesa inzconfermees E quisis	---⌫|-|--⌫--|---------||--|--|
guarde rat	------⌫--|
Multbenlena u e ndrat	---|--||-|-⌫-⌫-⌫----|
Ianenertencu sét Nëen sené dblasme ́t	-|--|--|----⌫---|--|-|-----⌫|------⌫-|
Et or d emustrum	-|-|-⌫-------|
Qu e saitclefp ar rais un	--⌫|---|---|-⌫-|----⌫-|
estmaisterie	--|--------|
Nel erai neluu sdieE	-|-⌫---|--|--⌫|--||
homquidaitual eir	--|--|---|---⌫--|
b en s aueir	-⌫-|-⌫----|
S i.xi x.per ne zEa	-⌫|---⌫-|---⌫--⌫|||
. uii.lesius t ez.	-⌫---|--|---⌫-⌫-||
Xx .e.u i . iauere z	--⌫||--⌫-⌫||-----⌫|
Ceo es tlaclefquetendrez	--|--⌫|-|---|--|------|
Enzesprim er ai nsans	--|-|----⌫--⌫--⌫-|--|
De ces.xi x.anz	-|--|---⌫-|--|
Du nt ielasu sparlai	--⌫-|-|-|--⌫|-----|
Quant de s term es	----|--⌫|----⌫-|
D ecest numbre en ue rtad	-⌫|---|-----|-|--⌫---|
Qu i.xi. e ns ustrairat	--⌫|---|-⌫|-⌫--------|
Xu.enir emai ndrat	--|-||-⌫----⌫----|
Ceoestla clefquil ten drat	--|--|-|---|-|-|---⌫---|
En lealtre anenuertéd	-|-|----|-|-|------|
Sicumest espruuéd	-|--|--|--------|
Sia.xu. aiust ez.	-||---|-----⌫-||
Xix.s iauere z	---|-⌫|-----⌫|
Xxx.iiiience lan	---|---|-|--⌫|-|
Ceoestlaclefdel ter zan	--|--|-|---|--|---⌫|-|
Ensementdane nan	-------||-|-⌫|-|
Le f erezchascun	-|-⌫---|------|
deuezsu straireE.xix.atrai re	----|--⌫------||----|-----⌫-|
Queteirai e ac unta nt	--|-|----⌫|--⌫----⌫-|
Setun numb recr eistant	-|--|----⌫-|--⌫--|---|
Que iluengeta.xl. .	--|-|-----||---||
Xxx.ost ez	---|---⌫-|
des.xl.Ec eoque	--|---||-⌫-|--|
ir emaindra t	|-⌫--------⌫|
de mu sterat	--⌫--⌫-----|
De lanqueest aue nir	-||-|--|--||--⌫--|
Iani puras faillir	-|||----|------|
Oruëezparraisun	-|----|--|-----|
Cumn usl esa lüum	--|-⌫-|-⌫-|-⌫----|
La cl ef sacez ita nt	-|--⌫-|----|---⌫-|
Alleluiaencloa nt	-------|------⌫-|
Es .u ii.idesparueir	-|--⌫--|---|--|---|
Deienuerd eitsedeirElac lefdeits edeir	-|-----|-⌫--|-----||-|-⌫--|---|-⌫----|
Quar esme parueir	----⌫---|--|---|
Tuztenses.u.kalendes	--|---|-|--|-------|
Def euerer	-|-⌫-----|
ben lentendes	--||-------|
Pa sch areiz	--⌫---⌫----|
Enzelmarzicel	--|-|---|---|
id essera t	--⌫-|----⌫|
ia nifaldrat	-|||------|
La cle fd es	-|---⌫|-⌫-|
Ru ueisuns	--⌫------|
Sacezparraisun s	----|--|------⌫|
Es.xuii.kalendes	-|-----|-------|
D emaiestben	-⌫|--|--|--|
lent ende s	|---⌫----⌫|
P entecuste auerez	-⌫--------|-----|
Lacle f ia	-|---⌫|-|
nifal dre z	||---⌫---⌫|
Enaueril benlente ndes Eenz es .i ii.	-|-----|--||----⌫---||--|-|--⌫--|
Dem ai esten uertéd	-|-⌫-|--|-|------|
Sicumest espr uuéd	-|--|--|----⌫----|
Oraiditpar raisun U	-|-|--|--|-----||
n us le salüun	-⌫-|--⌫|-----|
Siparcesuue ls tru uerE	-|--|--|---⌫-|---⌫--||
lestermes gu arde r	--|-----|--⌫----⌫|
Guard equelc lef	-----⌫|---|-⌫--|
Dunt tuuuldra s pr uuer E	---|-|------⌫|--⌫---||
letermegu a rderA	-|----|--⌫-⌫---||
undeis cumence r	-|---|-------⌫|
Iloc alka lend er	---|-|--⌫----⌫-|
Ula cleftr uueras	|-|---|--⌫-----|
Delterme que queras Dilocirasa uant	--|----|--|-----||---|---|-⌫---|
Tuteueiecuntant	---|---|------|
Tantcumlacleftendrat	---|--|-|---|------|
Tunter meteuend rat	--|---⌫-|-|----⌫--|
Paru eir e senz engan	--|-⌫--||---|----|
fai s deanen an	---⌫|-|-|-|-|
ipurras faill ir	|-----|-----⌫-|
Detunterm e ten ir	-|--|----⌫|---⌫-|
Sulu ncl entende ment	----⌫-||-------⌫---|
Dela païen e gent	-|-|------⌫|---|
Maiscestallegorie	---||--|--------|
Nelarrain eluus die	-|-----|-⌫-|--|--|
Lesnuns kisu nt	--|---|-|--⌫-|
Ro muluslirei s	--⌫----|-|---⌫|
Primieremen t truuat	-----------⌫|-----|
Deulesnuma t	--|--|----⌫|
Or ueezsutilment	-|---|--------|
Pa rqu e l	--⌫|--⌫-⌫|
enten dement	-----⌫-----|
Marzfut liprimiers	---|--|-|-------|
Ro mul usli reisA sun p ereduna t	--⌫---⌫-|-|---||--|-⌫--|----⌫|
Sunnumlienposat	--|--|-|------|
D e usde batail leesteit	-⌫-⌫-|-|------⌫-|-----|
Honurerl euoleit	------|-⌫|-----|
o bscurement	-⌫---------|
D e lapaïe negent	-⌫|-|-----⌫-|---|
B ienertc ̧o quildiseient	-⌫--|--|-⌫-|-|-|-------|
Maisprutne lenten deien t	---|---|-||-----⌫-----⌫|
Kar cest all egorie	--||--|---⌫-----|
Il futdeusde	-|--|---|-|
Senz nu lkicuntre uai l le	---|--⌫|-|------⌫---⌫-⌫-|
Formen tse cumb ati	------⌫|-|----⌫--|
Cuntren o st reen emi	-----|-⌫-⌫--⌫-|--⌫--|
G rantma rt irieoutenterre	-⌫---|--⌫--⌫---|--|-|----|
P ur nozanmes	-⌫-|--|----|
cunquerreEma rzçoertmartire	--------||--⌫-|--|--|------|
Cumsedeue it deduire	--|-|----⌫-|------|
Tuztenscele	--|---|---|
Faimesi e iunaisun	-----|-⌫-⌫-------|
Martir ie signefie	------⌫-|-------|
Encestemorte luie	-|----|-----⌫|--|
Sul unc humanit et	---⌫--|-------⌫-|
Nientsuluncdeït et	----|-----|-----⌫-|
Uncorditita ntpl us	----|--|---⌫-|--⌫-|
L ibonsr eis	-⌫|---|-⌫--|
Marzsispereesteit	---|--|---|-----|
Deusduntil	---|---|-|
Sis pereertillefi s t	--|---|--|-|-|--⌫-⌫|
Per e ertdet utege n t	---⌫|--|-|-⌫--|--⌫-⌫|
len te n dem ent	|--⌫--⌫-⌫---⌫--|
Poanzestparnature	----|--|--|-----|
Surtute creat ureU parcest eac haisun	--|---|-----⌫--||--|----⌫|--⌫-----|
Suluncmen t enciun	-----||--⌫-⌫-----|
Deu sestmarzapelet	---⌫|--|---|-----|
Pa rgrantsutilitet	--⌫|----|--------|
En marzenic elmeis	-|---|-|--⌫-|---|
Meruei lles f istlireis	------⌫---|-⌫--|-|---|
Qu ant ildeselemenz	--⌫--|-|--|------|
Fist les deuisemenz	---|--|---------|
Etrestu t es	|------⌫-⌫-|
Dediuers es nat uresUpurce steachaisun	-|------⌫-|---⌫---||--|--⌫--|-------|
Quelasurrectiun	--|-|---------|
Cristle reis	----|-|---|
Pr imes fut en cest meisEpar c este achai s u n	--⌫---|--|-|---|---||--|-⌫---|-----⌫-⌫-⌫|
Quen icelesaisu n	-|-|----|-----⌫|
IudeusfuttraïtE	-----|--|-----||
L ongi s leferit	-⌫----⌫|-|----|
E nzel destre	-⌫-|-|-----|
Parqueisumess aluetE par çoenpar ti e	--|---|----|-⌫----||--|--|-|---⌫--⌫|
Que asaint e	--||-----⌫|
uintlaniles	---||-----|
Distl emessage bel	---|-⌫|------|--|
fi l cunceureit	--⌫|---------|
C rist se rreitEpurc ez	-⌫---|--⌫----||--|-⌫-|
acha isuns	----⌫----|
Cest meis marzapelunsE c ̧oes tme ru eillus	---|---|---|------||-⌫-|--⌫|--⌫--⌫-----|
Suluncle s enden us	-----|-|-⌫-|-|-⌫-|
Sulu nclaprophecie	----⌫-|-|--------|
Le filsainte	-|--|-----|
MarieE aproficest	----||----|----|
Futfaizaur ilscil	--|---|---⌫--|--|
meisE auril s signef ie	---||-----⌫|------⌫-|
Lefilsain te	-|--|----⌫-|
Eissifait ierement	----|----⌫-------|
ueez isutilme nt	---||-------⌫-|
Aurilsen ceste uieAüuri r sig nefie	-----|-|----|--|------⌫|---⌫----|
Cri st nostr ere i sS aüuriten ce st	---⌫-|-----⌫|--⌫-⌫||------|-|--⌫-|
Karesduzekal endesD aurilqu ebienl	--|-|---|---⌫----||----|--⌫|---||
Fu rmatl esprimiers iurz	--⌫---|-⌫-|-------|---|
Senzsoleile senz lune	---|-----||---|---|
S enzraidest eilenuleEtresbien sem ustrat	-⌫--|--||---⌫---|---||-------|-|-⌫-----|
Parce ziur zquilfurmat	--|--⌫|---⌫|-|-|-----|
ef ilz esteit	|-⌫--|-----|
tru uentdiuin	---⌫---|----|
GenesinUpurçoenpartie	------||--|--|-|-----|
Qu ea sainte	--⌫||-----|
En icele saisu n	-|----|-----⌫|
P uis lasurrectiu n	-⌫--|-|---------⌫|
Crist s aparut	----||-----|
Si quebien le cunutUparce st e achaisun	-|--|---|-|----||--|--⌫--⌫|-------|
Queen celesai sun	--|-|---|---⌫--|
Siremaniat	---|-----|
Puis q u ilresusci tat E ueez	---|-⌫|-|-------⌫--||---|
sut ilment	---⌫-----|
M aisc estesmai emen t	-⌫--||--|-----⌫----⌫|
Maiscistmei sen uerte	---|---|---⌫|-|----|
B iensi gnefiet	-⌫--|--⌫------|
Saciez quam aintegent	-----|-||-⌫----|---|
Deus fu tesma i ement	---|--⌫|----⌫-⌫----|
Grant esmaiementfist	----|---------|---|
Asapostle squa ntdist	-|-------⌫|---⌫-|---|
Quea su n pere irreitE	--||--⌫|---|-----||
puisrepairereit	---|----------|
Sul u nchumanitet	---⌫-⌫-|--------|
N ientsul u ncdeïtet	-⌫---|---⌫-⌫-|------|
Unpoi lesesmaia t	-|--|--|------⌫|
Mais puisl escun fortat	---|---|-⌫-|---⌫-----|
Parç oqueildi seit	--|--⌫|--|-|--⌫---|
Queilrepairereit	--|-|----------|
P u rc ̧oldic est lasume	-⌫-⌫|-⌫--|-||--|-|---|
Delachaisunde	-||-------|-|
Que enceles aisu n	--|-|---|-⌫----⌫|
D euss asu mpc iu nE	-⌫--||---⌫---⌫--⌫||
Deumai apelum	--|--|-----|
Suluncceste raisu n Eiu inz enue rite	-----|----|-----⌫||--⌫--|-|--⌫---|
Bien signefi et	---|-------⌫-|
Suluncm entenciu nÇo	-----||--------⌫|--|
estaiust ai sun	--|-----⌫--⌫--|
Dunefurentaiuste	---|-----|-----|
Tre stu itlifeeil	---⌫---⌫-|-|----|
Parlespirçouus	--||----|--|--|
Dunt les sainzra empli	---|--|----|--⌫----|
Du ncfu til	--⌫-|--⌫|-|
esha lciez	----⌫----|
Quantlesout ali ez	----|--|--|---⌫-|
lisoleilzf ai t	-|------|-⌫--⌫|
Quantcel e	----|---⌫|
partse trait	---|-|----|
Halz es tcele saisun	---|--⌫|---|-----|
Kar ilest encanc ru m	--|-|--|-|----⌫--⌫|
L isoleilzs igne fie	-⌫|------|-⌫----⌫--|
L efilsainte	-⌫|--|-----|
Mari eE pu rlasemblement	----⌫||--⌫||----------|
Qu ilfi stdetute	-|-|--⌫-|-|---|
Enicele saisun	-|----|-----|
n umumE iui g niez signefie	-⌫---||---⌫-⌫---|-------|
Lefilsainte	-|--|-----|
MarieEiuigniez es tiustise	----||-------|--⌫|------|
Ki desu rnusestmiseE bienuu s uo ilnuncier	-|----⌫|--|--|---||---|--⌫|--⌫-|------|
Deus estfor ziu stisier	---|--|---⌫|--⌫------|
Nehomn edeitduter	-|--|-⌫|---|----|
Sil ne uoltforsener	|-|-|---|-------|
De usencel esaisun	--⌫-|-|---⌫|-----|
Futforzcum eleün	--|---|---⌫|----|
Celtensfut cuno üt	--|---|--|----⌫--|
Tresbien q u eueirs	-------|-⌫-⌫|----|
Pa r amurparseruise	--⌫|---|--|------|
N usmiste nsa iustis e	-⌫-|---|-⌫|-|------⌫|
Iusteme n trelinqui	-------⌫-⌫|-------|
Sun mor te l ene mi	--|---⌫--⌫|---⌫-|
Essemplenusdunat	-------|--|----|
Parço qu il sierratE	--|--|-|-|-|----||
parc esteacha isun	--|-⌫---|----⌫---|
cele saisun	---|-----|
S irepram ist	-⌫--|----⌫--|
As apostles edist	-|-------||---|
Quecilkil esiueient	--|--|-|-⌫|-------|
Grantgueredunaureient	----|-------|-------|
Quesursiegeser reien tElemuntiug e re ient	--|--|----|---⌫-----⌫||-|---|---⌫-⌫--⌫---|
Lisiegessignefie	-|-----|-------|
Nel arrainel uusdie	-|-⌫----|--|--|--|
Fermestabilitet U serreient	----|---------||--------|
p oset Epurce stea ch aisun	-⌫---||--|--⌫--|-⌫--⌫----|
Deui uigniet	--|-⌫------|
ap elum E a üst	--⌫---||-⌫---|
Biensignefiet	---|--------|
DeEs acieza ugustus	-||-⌫----|-⌫------|
Latingustus	----|-----|
Enfranceise	-|--------|
Purg ustementatnum	--|-⌫-------|-|--|
purs gustement	---|--------|
Saciez detute gent	-----|-|---|---|
Cu nsei lscun fo rtemen z	--⌫----⌫-|---⌫--⌫------⌫|
Ioie esustenemenzÇ oestpain s	---||----------|--⌫|--|----⌫|
Deus çod it	---|--|-⌫-|
truuumescr i t	-----|----⌫-⌫|
Kidece lmangerat	-|-|--⌫|-------|
Iamais faimnenau ratAcelpurguste ment	-|---|---|--|--⌫--||--|--|-----⌫---|
De ustutegent Epurces teachai sun	--⌫-|---|---||--|---⌫-|-----⌫--|
Deus augustus at num	---|-------|-|--|
E sacie zp arraisun	|-----⌫|-⌫-|-----|
S uluncm entenciun	-⌫----||--------|
Septembre si gnefie	--------|--⌫-----|
Lefilsainte	-|--|-----|
Su luncles clersdiuins	--⌫---|--|----|-----|
Esulu nclesla tinsEcistmeissep t emberCest	|----⌫-|--|--⌫---||---|---|---⌫-⌫----||--|
s eptimusimber	-⌫------|----|
Enfranceise raisun	-|--------|-----|
Las e tme plu ieat num	-|-⌫-⌫--|---⌫-|-|--|
OrueezsutilmentEparquei e cument	-|---|--------||--|---||-----|
Parlessetentenduns	--|--|--|--------|
Delsai n t	--|---⌫-⌫|
Espirlesduns	----|--|---|
Lapluiesi gnefie	-|----|--⌫-----|
Nelarrai neluus die	-|-----|--|--|--|
Esp ir ço nusdit	---⌫-|--|--|--|
Kilessainzraempli tEpur ço enuertet	-|--|----|-------⌫||--|--|-|-----|
Deussepte mbreestnumet Esaciezquoctober	---|-----⌫---|--|----||-----|-|------|
Nou embre e d ecemberIço estuitnof disEe l	---⌫----||-⌫------|---|--|--|--|--||-⌫|
numbrededis	-----|-|--|
Nostreleientendum	-----|--|-------|
Epar multgrant	|--|---|----|
Pluiu sestnostrelei	-----⌫|--|-----|--|
Parlhumurenten dumL	--||----|-----⌫--||
amurqu aueirdeuum	---|-|----|----|
Parualu r de	--|----⌫|-|
Ki est en nostrelei	-|--|-|-----|--|
Pariçoenuertet	--|---|-|-----|
Deuumestre saluet	----|----|-----|
truuumescrit	-----|-----|
Que nostre	--|-----|
pu rcezach aisuns	--⌫|--|---⌫-----|
Eis si cist	---⌫-|---|
meisuntnuns E i enuers	---|--|---||-⌫-----|
Lefil sainte	-|--|-----|
ueezi sutilment	---||--------|
Ien uiers est ueirement	---⌫----|--|--------|
Delan c umencemenz E li defin emenzEsaciez que	-||-|-⌫---------||-|-----⌫----||-----|--|
Signefi etp ortier	-------⌫-|-⌫-----|
Deus estcumencement	---|--|----------|
E findetute g e nt	|--|-|---|-⌫-⌫-|
De usestporte usentree	--⌫-|--|----|-|-----|
Kinuses taprestee Epar	-|--|--⌫|-------||--|
ce ste a chaisun	--⌫--|-⌫------|
De u ienui erapelumEf euriersen uerte	--⌫|-----⌫-|-----||-⌫------|-|----|
Biens ign efiet	---|-⌫---⌫----|
estenlatin	--|-|----|
Curatorfebrium	------|------|
Enfranc eiseraisun	-|-----⌫---|-----|
Curefieur eatnum	---------⌫|-|--|
De tuzmalsen uerte	-|--|---|-|----|
N usc u rat da mnes	-⌫-|-⌫-⌫--|--⌫---|
De Epur ce ste achaisun	-||--|--⌫--|-------|
Deufeurierapelum	--|------|-----|
Rumefu tdus	---|--⌫|--|
Cezmeistuz	--|---|--|
cun truua t Enuns lur enposat	---⌫-----⌫||---|--|------|
P ar le cumant	-⌫-|-|-----|
Ki m a in ten	-|-⌫-⌫--⌫|-|
enm erueiltSil fairele poeit	-|-⌫------||-|----|-|----|
Caÿfas fist	------|---|
Ki primiereme nt dist	-|----------⌫-|---|
Quun s homd eueitmurir	-|--⌫|--|-⌫----|----|
Purlepopleguar irE c ̧o futprophecie	--|-|----|----⌫-||-⌫-|--|--------|
Delfilsa inte	--|--|--⌫---|
MarieEpurce z	----||--|--⌫|
ac hais u ns	--⌫----⌫-⌫-|
Eissicistmeis unt nu ns	----|---|---|--|--⌫-|
Mais c uit	---|-⌫--|
qualq uantd i rrunt	-|---⌫---|-⌫-⌫----|
sens naurunt	---||-----|
Quenuainmetr auailla i	-|-|---|-|--⌫-------⌫|
desm eistraitai	--|-⌫--|------|
mepotblasmer	-|--|------|
Nelsauratamender E cuitquetelsl orrat	--|-----|------||---|--|---||----|
Kipurf o lle	-|--|-⌫-⌫|-|
