#META#TextURILancI	-----|------|----|
#ME TA#DEAF	---⌫--|---|
#META #FEW	-----⌫|--|
#META# ARLIMAhttps//www.arlima.n et/ad/chretien_de_troyes.ht m l#cha	-----|-----|-------------------⌫---------------------------⌫-⌫----|
#META# Au thor Ch rétien deTroyes	-----|--⌫---|--⌫------|-|-----|
# M ETA#AuthorBorn1130	-⌫-⌫---|---------|---|
#MET A# Au thorBo rnAmbc	----⌫-|--⌫------⌫----||
#META#Auth orDie d1180	-----|----⌫-----⌫|---|
#META#Autho rDiedAmba	-----|-----⌫-------||
#M ET A#A uthorFl1	--⌫--⌫-|-⌫-------|
#META#AuthorFl2	-----|--------|
#META#TextTitleLan celot	-----|--------|---⌫----|
#META#TextSub ti tle LeCheualier	-----|-------⌫--⌫--|-|--------|
Tuitloïrent ettuitle	---||------|-|---|-|
De la ioiequeil	-|-|---|--|-|
Lorscroistforce	---|-----|----|
et s anesu ertüent	-||-|---⌫-------|
autresantüent	-----|-|-----|
Etplus lesmain nentle idemant	-|---|--|----⌫---|--⌫------|
Por lebie nfeireseul emant	--|-|---⌫|----|----⌫----|
Dunseul ch eua lie rce	|-|---|--⌫---⌫---⌫|-|
Queportozlesautres	--|--|--|--|-----|
ansan b le.	-----⌫-⌫--|
Etsilnefustsipresde nuit	-||-|-|---|-|---|-|---|
Desconfit san alassenttuit	--------||-|-------|---|
Meslanuizsi	--|-|---|-|
oscure uint	-----|---|
Que departir lesancou i nt.	--|-------|--|-|---⌫-⌫--|
Au departir	-|-------|
tui tli cheitif	---⌫|-|------|
Autresi co mep ar estr if	------|--⌫-|-⌫-|----⌫-|
Enu ir onle cheual i er	---⌫--⌫-|-|------⌫-⌫-|
Detot esparzaufrainleprindr e nt	-|---⌫-|---|-|----|-|------⌫-⌫-|
Silian comancent adire	-|-|--⌫--------||---|
Bien ueignanzsoiezuosbiax sire.	---|-------|----|--|---|----|
E tditch asc u ns	-⌫|--|--⌫---⌫-⌫-|
Si reparfoi	--⌫-|--|--|
u osuosher ber gero iz omoi	-⌫-|--|---⌫---⌫----⌫-||--|
Sirepo rDeuetporsonnon	---|--⌫|--|-|--|--|--|
Neherbergiezseomoi	-|---------|-||--|
Tuitdïentceque dit	---|-----|-|--|--|
Que herbergier l e uialtchascun s	--|---------|-⌫|----|-------⌫|
Ausi li iuen escon	---|-|----⌫-|--|
E tdi tchascunsuosse roizmialz	-⌫|--⌫|-------|--|--⌫---|----|
Elmienostel que an l autrui .	-|---|----|--|-||------⌫|
Cedit c hascu nsa ndroit delui	-|--|-⌫-----⌫-|-⌫-----|-|--|
Et liunsal	-|-|--|||
autre let ost	----|-|-⌫--|
Sic on chascunsauoir	-|-⌫-|-------|----|
Etparp oqu ilnes an c onbat ent.	-|--|-⌫|-|-|-||-|-⌫-----⌫---|
Etillorditqu il	-|-|--|--|-|-|
sedebatent	-|-------|
De g ran t oiseuseetde fo l ie.	-|-⌫---⌫|------|-|-|--⌫-⌫--|
Lessiezfetil ce steanr eidie	------|--|-|--⌫--|---⌫----|
Quilnamestier na moin	-|-|||------|||--||
Noisenestpa s boene antr enos	----||--|--⌫|----|----⌫|--|
Einz de uroitli	---|--⌫----|-|
uns l autreeidier.	--||----|------|
Ne uo scouient miepleidier	-|--⌫|------|--|-------|
Demoiherbergierpar tançon.	-|--|---------|--|-------|
Einzdeueze stre an	---|----|-⌫---|-|
cusanc ̧on	------⌫--|
herbergierantelleu	---------|-|--|--|
Por ceque tuitiaiez preu	--|-|--|---||---|---|
Queie soieanma droiteuo ie.	--|-|---|-|-|-----|--⌫--|
Ancor dit chasc unstoteuoie	----|--|-----⌫--|---|---|
Cestamonostel.- Mesaumi en.	|--||--|-----||--|-|--⌫--|
- Neditesmie anco rebien	|-|----|--|----⌫-|---|
cheualiersamonlos	---------||--|--|
Liplussagesdeuosest fos	-|---|----|-|--|--|--|
Decedon ge uos oitancier.	-|-|--|-|--|-|-------|
uo s me deurïez aua ncie r	--⌫|-|-------|---⌫----⌫|
Etuosmeuolezf ei re to rdre.	-|--|-|----|-⌫--⌫-|--⌫----|
mauïeztu itenord re	|-----|--⌫-|-|---⌫-|
apr és lautre	---⌫--||----|
a d e uise	|-⌫-⌫---|
e noret d eseruise	-⌫--|-|-⌫|------|
Com an porro itf e ire	--|-|-----⌫-|-⌫-⌫--|
Par tozlessainzquan	--|--|--|----|-|-|
p rie a Rome	-⌫--||---|
Ia p lusboengrénela n	-|-⌫--|---|---|-||-⌫|
Quantlabontéprise enauroi e	----|-|-----|----|-|-----⌫|
Que iefazdelau olanté.	--|-|--|-|-|-⌫-------|
SeDe x med ointioie	-|--⌫|-|-⌫---|---|
Lauolantez auta nt mehaite	-|-------|----⌫-|-|----|
Conse chasc unsm au oi tiafaite	--|-|-----⌫--||--⌫--⌫|-|----|
Moltg rant enor etgrantbonté	---|-⌫---|---|-|----|-----|
Sisoitanleudefetconté.	-|---|-|--|-|--|------|
E n si lesuainttoz etapeise.	-⌫-⌫-|--|----|--|-|------|
Chié sun cheualiermolt	-----⌫|-|--------|---|
Elcheminaostel l en mainnent	-|-----||----||-|-------|
Etdeluiseruirtuit se pa innent.	-|-|--|-----|---|-|--⌫------|
Trestuitlenorent	-------||------|
et seruiren t	-|--------⌫|
E tmolttresgr antioie	-⌫|---|---|--⌫--|---|
T otelanuitiusqu au	-⌫--|-|---|----|-|
Car illauoienttuitmoltchier.	--|-||------|---|---|-----|
Lemain quantuintaudesseur er	-|---|----|---|-|-------⌫-|
uostchasc u ns auoec lui aler	---|-----⌫-⌫-|----|--|---|
Chascunssep oroffreet	-------|-|-⌫------|-|
Meslui ne plestnenatalante	--|--|-|----|-||-------|
hom san uoistauoe c lu i	--||-|----|----⌫|--⌫|
Forsqu etantsolem antl i dui	---|--⌫|---|-----⌫--|-⌫|--|
Quei l a uoit laamenez	--|-⌫|-⌫---|-|-----|
C essanzplusen	-⌫-|---|---|-|
auoitme nez.	----|--⌫---|
Cel iorontdeslamatinee	--|--|--|--|-|------|
Che ualchié tresq ualauespree	---⌫-------|-----⌫||-|------|
Quilnet r ouerentauen ture.	-|-|-|-⌫-⌫------|----⌫----|
Cheualchantmolt grantaleüre	----------|---|----|------|
f orestmolt	-⌫----|---|
tart issirent	---|-------|
Al issir une	||----|--|
meisonui rent	-----|--⌫---|
Aunch eualier	|-|--⌫------|
Qu isan bloitestre boeneda me	--⌫|---⌫----|----|----|--⌫-|
uirenta la	-----||-|
porte se oir.	----|--⌫---|
Tantostqu el ele s	------|-|--⌫|--⌫|
S es tc ontreaus an estant dreciee	|--⌫|-⌫----|--|-|-----|------|
Achie remolti oian tetliee	|----⌫-|---|-⌫----⌫|-|---|
Lessa lueet	--|--⌫--|-|
ditBien uain gniez	--|---|----⌫----|
Mon osteluoelqu euosp raigniez	--|----|---|--⌫|--|-⌫-------|
Herber gie zestes descendez	------⌫---⌫|----|--------|
-Dame quant u o s le	|---|----|-⌫-⌫|-|
uostre mercin os de scendrons	-----|----|-⌫-|--⌫--------|
uostre ostelenuitm es	-----|----|----|-⌫-|
prendrons.	---------|
Ildescendent etau des cendre	-|---------|-|-|---⌫-----|
La damefet le scheuaxprendr e	-|---|--|--⌫|-----|------⌫|
Quele auoitmesniee	-|--|----|------|
Ses fil z et	--|---⌫|-|
ses f ill es apele	--|-⌫---⌫-|----|
Eti luindrent tot maintenant	-|-⌫|-------|--|---------|
ua sletco rtoi set auenant	--⌫---|--⌫----⌫|-|------|
Etcheualieretfi lle sbeles	-|--------|-|--⌫---⌫|----|
As unscomandeoste rle ssel es	-|--|------|----⌫|--⌫|---⌫-|
Descheuax etb ien conreer.	--|-----|-|-⌫--|-------|
Ni acelui qu i	|||----|--⌫|
Ein zl efirent	---⌫|-⌫|-----|
molt uolen tiers .	---|-----⌫-----⌫|
Desarme rfet lescheualiers	-------⌫|--|--|---------|
Audesarmerles fil lessail lent	-|-------|--|---⌫--|----⌫---|
Desarmé sontpu issi lorb aillent	-------|---|--⌫-|-|--|-⌫------|
A afu blertr oiscorzmantiax.	|---⌫---|--⌫--|---|-------|
A lo stel qui molt estoit biax	||-⌫---|--|---|-----|---|
mainnent e n eslepas.	-------|-⌫-⌫-------|
Meslisiresn i	--|-|----|||
es toitpas	--⌫---|--|
b ois etauoeclui	-⌫--|-|----|--|
Est oie ntdeses f ilz l idu i	---⌫---⌫-|-|--|-⌫--|-⌫|--⌫|
Mesil u i nt	--|-|-⌫-⌫-|
lué setsamesn iee	----⌫|-|-|----⌫--|
Quimolt estoitbien	--|---|-----|---|
anres niee	-----⌫---|
Sautcontrelui defor sla porte.	---|-----|--|-----⌫|-|-----|
Laueneisonqueil	-|-------|--|-|
Destrossen tmolttost	----------⌫|---|---|
etdeslïent	-|--------|
Etsili recontentetd ï ent	-|-|-|--------|-|-⌫--⌫--|
Si re s ireuos nes auez	--⌫-|-⌫--|--|-|-⌫---|
Tro is ostescheualiersau ez.	---⌫-|----|---------|--⌫--|
-Dex ansoit a ore z fetil.	|--|-|---|-⌫---⌫|--|--|
L icheualiers	-⌫|---------|
et sidui fi l	-|-|--|--⌫|
Font del orostesmolt	---|-|-⌫-|----|---|
gr antioie	--⌫--|---|
Etl amesnieenestpas coie	-|-⌫|------||--|--|---|
Que tozli mandres a prestoit	--|--|-|-----||-⌫-------|
Defeire ce quafei reestoit	-|----|-|-||---⌫-|-----|
Ci l corentlemangier haster	--⌫|-----|-|------|-----|
Etcil lesch andoilesgaster	-|--|--|--⌫-------|-----|
alume ntetesp ra nent	-----⌫-|-|---⌫--⌫---|
La toailleet	-|------|-|
lesbacins pranent	--|-----|------|
S idone ntleue asmainslauer	-⌫|----⌫-||--|-|----|----|
De cenesont	-|-|-|---|
il mieauer	-|--|---|
Tuitleuent siu ont	---|-----|-|-⌫--|
as s eo ir	--⌫-⌫--⌫-|
Riensquanpoï st	----|-|-|----⌫-|
leanzueoir	----|----|
N estoit charia ble nep esanz.	|-----|------⌫--|-|-⌫-----|
Aupremier me suint	-|------|--⌫|---|
uns pres anz	--|----⌫--|
D uncheua liera	|-|-----⌫---||
P lus orguelleusquen	-⌫--|---------|--||
Que cest mo l t o rguilleuse beste.	--||--|--⌫-⌫|-⌫---------|-----|
Ci ldeslespiez iusquala te ste	--⌫|--|--|---|----||-|--⌫--|
Sist toza rmez sorsondest rier.	---|--|-⌫---|--|--|----⌫----|
De luneianbe anson	-||--|----|-|--|
Fuafich iezet	-|-----⌫--|-|
lautreot mise	|----|-|---|
Par cont enanceetpar coi ntise	--|----⌫-----|-|--|---⌫----|
Sorlecolde l destrier crenu.	--|-|--|--⌫|-------|-----|
E stesleuosensiue nu	-⌫---|-|--|---|--⌫-|
C onqu esnusga rd ene s	|----⌫-|--|--⌫--⌫|-||
Tantquiluintde ua nt a uset d ist	---|-|-|---|--⌫--⌫-|-⌫-|-|-⌫--|
Liq uexestcesauoir leuuel	-|-⌫--|--|-|-----|-|---|
Qui t antafolie etorg ue l	--|-⌫--||----|-|---⌫--⌫|
Etde ce ruellatesteuuide	-|-|--⌫---|-|----|----|
Quan ces t paï suient etsi cuide	-|-|---⌫|----⌫|----|-|-|----|
Au Pontde lEs p eepasser	-|---|-||--⌫-⌫-|-----|
Porneantsest	--|----||--|
uenuzlasser	----|-----|
Po rneanta	--⌫|----||
sespaspe rduz.	--|--|--⌫----|
Etcilquinefuesperduz	-|--|--|-|-|-------|
M oltseür emantli re s pont	-⌫--|-----⌫----|-|--⌫-⌫---|
I esuiquiuuelpasserau Pon t.	-⌫|--|--|---|-----|-|---⌫-|
TuCo m a nt	-|--⌫-⌫-⌫-|
los aspanser	|--⌫-|-----|
deüssesapanse r	-------|------⌫|
Quetuanpreïssestelchose	--|-|----------|--|----|
A que lfinetaque lpar close	|---⌫|--|-||---⌫|---⌫----|
Tua nporroies	-|-⌫|-------|
Sitede üst resouenir	-|-|--⌫---|--------|
De lacharr ete outumont as.	-|-|-----⌫--|-|-|----⌫--|
g esetuhonteas	-⌫|-|-|----|-|
Decequet uif usmenez	-|-|--|-⌫||-⌫-|----|
Mesianu s quifust bien s enez	--|-|--⌫|--|---|---|-⌫---|
Neü stsigrant afairea npris	|---⌫-|-|----|-----|-⌫----|
S ildecestbl asme fustrepris.	|-|-|---|--⌫---|---|------|
Ace que ci l dire li ot	|-|--|--⌫|---|-|-|
Nelidaigne	-|-|-----|
resp ondreunmot	----⌫----|-|--|
Mesl i sire s	--|-⌫|----⌫|
delameison	-|-|-----|
l iau treparreison	-⌫|--⌫--|--|-----|
Sanmeruoillent adesme s ure .	|-|----------||-----⌫-⌫---⌫|
HaDex Congrantmesau entu re	-|--|--|----|-----⌫----⌫-|
Fetch ascuns daxalui meïsm es	--|--⌫-----||-||--|------⌫-|
Lorequ e charrete	|--|--⌫|-------|
Pans eeetfeite soitma udite	----⌫-|-|----|---|--⌫----|
Carmoltestuixc hose et	--|---|--|--|-⌫---|-|
H aDex De coi fu	-⌫|--|-|--|-|
Et porcoifu il charr etez	-|--|--|-|-|-----⌫---|
Por quelpechiéPo rque lf orfet	--|---|------|--⌫|---⌫|-⌫----|
Celi ertm es toziorzretre t.	-|-|--|-⌫-|--|---|-----⌫-|
S ilfustde	|-|---|-|
cestr eproche mondes	---|-⌫------|-----|
Antant con dure toz limondes	-|---|--|---|--|-|-----|
Nefustu nscheualiers	-|---|-⌫-|---------|
Tant soitdepröesce esprouez	---|---|-|-------|-------|
ualoirresa n blast	-----|----⌫-⌫----|
Etq uitrestoz	-|-⌫-|------|
l esassanblast	-⌫-|---------|
Si bel nesi gentniueïs t	-|--|-|-|---|||-----⌫|
leu oi ran deï st.	-|-⌫--⌫|-|----⌫--|
Cedisoientcomunemant.	-|-------|----------|
Etcilmol t org uill eusemant	-|--|---⌫|---⌫----⌫-------|
Sa parolereco mança	-|-----|----⌫-----|
Etdis t Cheualiersa nt antça	-|---⌫|---------|-⌫--⌫--|--|
Qui auPontdel	--|-|---|-||
Espeeanuas	----|-|--|
Setu uiax l euepasseras	-|-|---||--|-------|
Molt leg iere mantet söef	---|---⌫----⌫---|-|----|
Ietefer aian unenef	-|-|---⌫-|-|--|--|
Molttost oltreleu ena g ier.	---|---|----||--⌫|--⌫-⌫---|
Messeieteuu e l	--|-|-|-|--⌫-⌫|
lautrepart tetandrai	|----|---|-|------|
Se ieuuel latesteanprandrai	-|-|---|-|----|-|-------|
Ou senon anmamerci	-|-|--|-|-|----|
Etcilrespon tque	-|--|------⌫|--|
Auoirmiede sauenture	----|--|--⌫--------|
Iasatesteances tea uanture	-|-|----|-|---⌫-|-⌫------|
nesunmeschief.	--|-|--------|
Et cilli respontde rechief	-|--|-|------|-|------|
Desquetu ce feir eneu iax	--|--|-|-|----⌫|-|-⌫--|
Cui qu an soitlah on teet	--|-|-|---|-|-⌫--⌫-|-|
ueni rtecouendraça for s	----⌫|-|-------|--|---⌫|
Amoiconbatre cors	|--|-------|---|
di tporluiam u ser	--⌫|--|--|--⌫-⌫--|
Seielpooie	-|--|----|
Moltuolantiers	---|---------|
m an sos fer roie	|-|---⌫---⌫---|
Mesainço isuoir meconbatroi e	--|------⌫-|---|-|---------⌫|
Qu enoauz feirem	--⌫|----|----||
esteu ̈st.	-----⌫---|
Einçoi sque ilse	-------⌫|--|-|-|
Dela t a bleoui ls eseoient	-|-|-⌫-⌫--|-|-⌫|-⌫|------|
D i stasualezquil eseruoi ent	-⌫-⌫-|-|----|--|-⌫|------⌫--|
Quesas elet ost	--|-|-⌫--|-⌫--|
limeïssent	-|--------|
Sorson cheua letsipreïssen t	--|--|-----⌫|-|-|---------⌫|
Sesarmes se liaporta ssent .	--|----|-|-|------⌫-----⌫|
deltostfeirese lassen t	--|---|----|-|------⌫|
luiar mersepainn ent	--|--⌫--|-|-----⌫--|
Etsachiezne resanbloitpas	-|------|-|---------|--|
ils analoitlepas	-||-|----|-|--|
Armez det resto tess es	----|-|-⌫-----⌫--|-⌫-|
Ettintl e scupar le sena rmes	-|---||-⌫--|--|--⌫|---⌫---|
E t fu sorson cheualmontez	-⌫|-|--|--|-----|-----|
Quildeüstestremescontez	-|-|-----|----|--------|
Nan t rel esbiax	|--⌫-⌫-|-⌫-|---|
Bien sanblequil doieestr esuens	---|-----|-|-|---|----⌫|----|
Lic he uaxtantl iauenoit	-|-⌫--⌫--|---|-⌫|------|
E tliesc uzqueiltenoit	-⌫|-|---⌫-|--|-|-----|
Parles en armesanbracié	--|--|--⌫----|--------|
Sio tunhiaumeelch ieflacié	-|-⌫|-|-----|-|--⌫--|-----|
Quitanti estoit bienas sis	--|---||-----|---|--⌫--|
Queil neuo sfust mieauis	--|-|-|--⌫|---|--|---|
Quan pr un ténacreül eüst	-|--⌫--⌫--⌫--||-----||----|
Einzdeïs si eztant uosp leu ̈st	---|-----⌫--⌫-|---|--|-⌫---⌫--|
Qu il fu ens i nezetcreüz	-|-|-|---⌫|--|-|-----|
Deceuoldroie	-|-|-------|
estrecreüz.	----|------|
Fors de lapo rtea nune l a nde	---|-|-|--⌫--|-⌫|--|-⌫-⌫--|
Estcilqui laiostedema nde	--|--|--|-|----|----⌫--|
Ou labataill eestredeuoit.	-|-|-------⌫|----|------|
Tantost con liuns	------|--|-|--|
Pointliuns	----|-|--|
uers l autreaba ndo n	---||----||--⌫---⌫|
antreuie nentderandon	--------⌫---|-|-----|
Et des la nce st ex	-|--|--⌫---⌫|-⌫-|
co s se d onent	--⌫|-|-⌫----|
Quee les ploientet arço nent	--|-⌫--|------|-|-----⌫---|
Etanbedeusanpiecesuolent	-|-------|-|-----|-----|
Ase speesles escuzdolent	-|-⌫----|--|----|-----|
Etl esh iaumeset	-|-⌫-|-⌫-----|-|
leshaubers	--|------|
Tr anchent lesfuz ronpent	--⌫------|--|--|------|
plusorsleussep laient	------|---|-|-⌫-----|
Parire tex coss	--|--|--|--||
antre paient	-----⌫-----|
Consilfussent fet a c ouan t	--||-|------|--||-⌫----⌫|
Mesle sespeesmol t so u ant	--|--⌫|-----|---⌫|--⌫-⌫--|
Ius qu ascrop es	---⌫-|-|----⌫-|
desc he uax colent	--|-⌫--⌫--|-----|
D el sanc saboiurente tsaolent	-⌫-|---||--------|-⌫|------|
Queiusques	--|------|
esfla ns lesanb at e nt.	-|---⌫-|--|---⌫--⌫-⌫--|
Siq ue and eu smorz	-|-⌫-|---⌫--⌫|---|
lesabatent.	--|-------|
Etquantils ont	-|----|-|-⌫--|
cheüa terre	----||----|
Liunsuetlautre apié	-|--|--||----||---|
Et sildemortsantrehaïsse n t	-||-|-|---||------------⌫-⌫|
Iaporuoirnesa ntranuaïssent	-|--|---|-||-⌫-------------|
Asespe espluscr üelman t.	-|----⌫-|---|--⌫-------⌫-|
fieren tm enüemant	------⌫|-⌫--------|
Que cilq uimet	--|--|-⌫-|--|
de niers anmine	--⌫----|-|---|
iöeronq ues nef ine	----|---⌫--|-|-⌫--|
A t otesfa i lles	|-⌫---|--⌫-⌫---|
deuset deus	---|-|---|
Mes moltest oita utrescistieus	--|---|---⌫--|-⌫----|---|---|
Queil ni a uoitnulefaille	--|-|||-⌫---|---|-----|
Mesco setmolt fie re batai lle	--|--⌫|-|---|---⌫-|-----⌫--|
Moltfeleness e etmoltc r üel.	---|--------⌫|-|---|-⌫-⌫----|
Tui t furentiss u d el ostel	---⌫|-----|---⌫|-⌫||----|
Siresda mefil les e tfil	----|--⌫-|---⌫--|-⌫|--|
Qu iln i remestcelene	-|-|||-----|---|-|
Ne lipriué	-|-|-----|
Ai nçoises toienttuitan ra nge	--⌫-----|--⌫-----|---|-|--⌫--|
uenuporueoir	---|--|----|
landequimoltfu	----|--|---|-|
Licheualiersde lacharre te	-|---------|-|-|------⌫-|
Dem aluestiéseblasme et rete	-|-⌫--------|-|-----|-|---|
Qu antso noste uoitquilesgarde	--⌫--|--⌫|---|---|--||------|
autres s ereprantg arde	-----|-⌫|------|-⌫---|
Qui l esgardoienttuitansanb le.	--||----------|---|------⌫--|
Dire trest oz li cors litranble	|--|-----⌫-|-|---|-|------|
Q u ilde üs tce li est	-⌫|-|--⌫---⌫|-|-|--|
Auo i rmoltgran t p i eça conquis	---⌫-⌫|---|----⌫|-⌫-⌫--||------|
Celuiqui aluise conbat.	----|--||--|-|------|
Lorslefiertsiq u	---|-|----|-|-⌫|
i llianba t	-⌫|-|----⌫|
Lesp eemolt presdela teste	|---⌫-|---|---|-|-|----|
Sil anuaïs tc ome t anpeste	-||-------⌫|-⌫--|-⌫------|
Car ill anchauce	--|-||-------|
Tantquepla celi a	---|--|---⌫-|-||
Silitostterree tsile	-|-|---|----|-⌫|-|-|
Tan tquebien	---⌫|--|---|
preslifautlal ainne	---|-|---||--⌫----|
Sa anluimo ltpode	||-|--|--⌫-|-|-|
desfan se.	------⌫--|
Etlo rsl i cheualierssapanse	-|--⌫-|-⌫|---------||-----|
Queilliauoit	--|-|-|----|
moltuilma nt	---|-----⌫-|
La charrete	-|-------|
mis e deu an t.	---⌫|---⌫--⌫-|
Si lipasseet tellec onroie	-|-|----|-|--|-|-⌫-----|
Quil niremaintlazne corroi e	-|-|||------|--|-|------⌫|
Q u il ne ronpeantorlecoler	-⌫|-|-|----|----|-|----|
fetlehiaumeuoler	--|-|-----|----|
Delchiefetcheoirla	--|----|-|-----|-|
uantaille.	---------|
Tantle painneetta ntle t rauaille	---|-|-----|-|--⌫-|-|-⌫-------|
Queame rciue nirlestue t	--||--⌫--|--⌫--||-----⌫|
Come l aloequinepuet	---||---|--|-|---|
esmerillon d urer	---------|-⌫---|
Ne nesa o u aseürer	-|-|||-⌫|-------|
Puisqueillapasseet	---|--|-|-|----|-|
Ausicila totesaho nte	---|--||---|-|--⌫--|
Liuetrequerre et	-|--|-------|-|
Merci quilnel puet amander.	----|-|-|--|---|-------|
Et quan ti lotque cil requ iert	-|----⌫|-⌫|-|--|--|----⌫---|
Merci s inel	----|-⌫|--|
toche nefiert	----|-|----|
Einzdit uiaxtumer ci auoir	---|--|---|-|---⌫-|----|
auez ordi tgrant sau oir	---|-|--⌫|----|---⌫--|
cedeuroitdiref os	-|------|---|-⌫-|
Onquesr iennuletant neuos	-----|-⌫--|---|---|-|--|
fazmerciora ndroi t.	--|----|-|-⌫-----⌫-|
Et ci ldit Il te	-|--⌫|--|-|-|
couandroi t	---------⌫|
So r unecharrete mont er	--⌫|--|-------|----⌫-|
A neantporroi esconter	|----|------⌫-|-----|
diremesauro ies	---|-|-----⌫--|
S anlacharre tene montoie s	|-|-|------⌫-|-|-------⌫|
Porce q uetant f olle bo cheas	--|-|-⌫-|---|-⌫---|--⌫--|-|
Que uil mantla mer ep rochas.	--|---⌫---|-|-|-⌫--⌫------|
Etlicheu al iersl i resp ont	-|-|----⌫--⌫---|-⌫|----⌫--|
IaD eune pla ce	-|-⌫-|-|---⌫-|
q uegimont.	-⌫-|||----|
-Non fetcil	|--|--|--|
etuosimorroiz.	-|--||-------|
bienfeire leporroiz	---|----|-|------|
MesporD eu uos quier e tdema nt	--|--|-⌫-|--|----|-⌫|----⌫-|
M ercifo rs q ueta ntseulemant	-⌫---|--⌫-|-⌫-|--⌫-|--------|
Quancharrete monter	-|-|-------|-----|
rec ̧o i ue	---⌫--⌫-⌫-|
Forsces tui tantsoitgr ié sne	---|---⌫--|---|---|--⌫---⌫|-|
M ialzuoldroieestrecent	-⌫---|-------|----|---|
foiz mor z	---|---⌫|
Quefeteüsse tel	--|--|-----|--|
m eschief.	-⌫-------|
Ian ulautr echosesi grief	-|-⌫-|----⌫|----|-|----|
Ne mediroizque	-|-|-----|--|
Pormerci et p oruostregrace.	--|----|-|-⌫-|-----|-----|
Que quecil mercilidemande	--|--|--|----|-|------|
Atantezu os	|---|-|-⌫-|
parm ilalande	----⌫|-|----|
Unepucelel anbleüre	--|-----||--------|
ueni rsorunefauu emure	----⌫|--|--|----⌫|---|
Desafubleeetd eslï ee	---------|-|-⌫-----⌫-|
Et si ten o it	-|-|---⌫-⌫-|
