asonbonseigneurlooysfilzduroy	|--|--|-------|----|---|-|--|
auoiepasmilliureesde terre	----|--|--|------|-|----|
mech aria iquantialeou tre mer de moy	-|--⌫----⌫|----||--|--⌫---⌫--|-|--|
disie s medecheualiers et	-----⌫-⌫-|-|---------|-|
dedeuxcheualiersbanieres por tans .	-|---|---------|-------|---⌫---||
etm auintainsiquequ antie	-||----|----|--|--⌫--|-|
demour e ́deremenan t	------⌫-⌫|-|-------⌫|
que douze uin sliure sdetour n oismanefpaiee .	--|----|---⌫|-----⌫|-|----⌫-⌫--|-|--|----||
dont aucun sdemes	---|-----⌫|-|--|
che ualiers me ma nderentqu e	---⌫------|-|--⌫------|--⌫|
seienemep ourueoie dedeniersq ueil me	-|-|-|-|-⌫-------|-|------|-⌫-|-|-|
leroien t .	-------⌫||
et dieuqui	-|---|--|
onq ues nemef ailli mepourueut	---⌫--|-|-|-⌫----|-|-------|
entelmaniere q ue	-|--|------|-⌫-|
esto itanic hocie	----⌫-||---⌫----|
menuoiaqu e rreetmeretin tet	|-----|--⌫-⌫--|-|-|-----⌫|-|
memisthuitcentli ures	-|---|---|---|--⌫---|
enmescofres .	-|--|-----||
etlo rso z ieplus de deniersq ueil	-|--⌫-|-⌫|-|---|-|------|-⌫-|-|
ne meconueno it.	-|-|-------⌫-||
ence point que	-|-|----|--|
nouss eiour name sencyprememandal	---|-⌫-----⌫----⌫|-|----|-|----||
e mpereris de	-⌫-------|-|
con stantinn obleque elle	---⌫--------⌫---|--|---|
estoita r iue eabaph eun eci tede cyp r e etque	-----|-⌫-⌫---⌫||----⌫|--⌫|--⌫-|-|---⌫-⌫|-|--|
iel alas sequerre e t	-||----⌫-|-----|-⌫|
mo nseigneurerar tdebrienn e	--⌫|-------|----⌫|-|------⌫|
q uantnousuen imeslan o ustrou uames queunfort	-⌫---|---|---⌫---|-|-⌫-⌫-|----⌫----|--|-|---|
rom pu eslesc ord es desan cres	---⌫--⌫-|--|-⌫---⌫-|--|--⌫---|
desanefetenot m ene ́ lanefen	-|-|--|-|-|-|-⌫---⌫|-|--|-|
nelifudem ouré	-|-|-|---⌫----|
detout son har noisques a	-|---|--|---⌫---|--|-⌫|
ch apequeelle ot uestuee tunseu rcot	--⌫--|--|---|-|-----|-⌫|-|---⌫---|
nouslamenamesalimesonla ou leroy	---||-------||------|-|-|-|--|
et laroyneet	-|-|----|-|
touzlesbaronslarecurent m oulthono rablement.	---|--|-----|-|-------|-⌫---|----⌫--------||
lend e ma in ielien uoia idrap etcendalpour	|---⌫-⌫--⌫-|-|-|--⌫----⌫|---|-|-----|---|
fourre r larobe.	------⌫|-|---||
mo ns eigne urphelippe	--⌫|-⌫-----⌫-|-------|
denenteille b on	-|------|-|-⌫-|
cheuali e r qui estoitentour le	-------⌫-⌫|--|-----|-----|-|
trouu amonescuier qui al oital	-----⌫|--|------|--|--⌫--|||
e mpereis.	-⌫------||
q uantlepreudommeuit ceilalaau	-⌫---|-|--------|--|-|-|--|-|
lidist quegrant honte	-|---|--|----|----|
auoie fa ita	----|--⌫-||
l iet au s a utre s baronsdeses robesqueie	-⌫|-|--⌫|-⌫----⌫|-----|-|--|----|--|-|
liauoieenuoiéquant il	-|----|------|----|-|
enesto ientauisezau ant.	-|----⌫---|-----|--⌫--||
lemperei s	|-------⌫|
ui n t querresecoursauroyp o ursonseig neurquiestoit	--⌫-⌫|-----|------|-|--|-⌫-⌫-|--|----⌫---|--|-----|
enconstanti nnobledemourezetpourcha ssatantque ell e	-|---------⌫-----|-------|-|-------⌫--|------|---⌫|
empo rta centdelet tresetplusquedemoy	----⌫--|---|-|---⌫---|-|---|--|-|--|
que desau tres amis	--|--|--⌫---|---|
qui la est oientesquiexlettresnousestionstenuspar	--|-|---⌫----|-|----|------|---|------|----|--|
nosser eme nsques e	--|---⌫---⌫-|--|-⌫|
le royoulelega z	-|--|-|-|----⌫|
uou loientenuoiertroiz	---⌫-----|------|----|
cens cheualiers enconstan tinnobleaprescequeler oy	---|---------|-|-------⌫-------|----|-|--|-|-⌫-|
seroit par t i doutremerquenous	-----|---⌫-⌫||-------|--|---|
yestionstenu da ler par	|------|---||-⌫--|--|
sonse r emens .	--|--⌫-⌫----||
e tie po ur	-⌫|-|--⌫-|
monserement aqu iterr equi sleroya u departirquenou s	--|-------|---⌫---|-⌫----⌫|-|--|-⌫|-------|--|---⌫|
feismes pa rdeuantleconte dont	------|--⌫|-----|-|----|---|
la l ettre	-|-⌫----|
qu eseilyuouloit enuoier	--⌫|-|-||------|------|
tr ois ce n scheualiersqueie iroi epour	--⌫--|--⌫-⌫|---------|--|-|----⌫|---|
mo n serem ent	--⌫|-----⌫--|
acquiter .	-------||
etleroym erespondi queil n auoit	-|-|--|-⌫|-------|--|-||----|
dequo yet queilnauoit	-|---⌫|-|--|-||----|
tresord ont	-----|-⌫--|
feusta lalie.	----||-|--||
ap resc equenous fe umesariu ez en	--⌫--|-⌫|--|---|--⌫---|----⌫-|-|
egyptelemperer i sse nala	-----||-------⌫-⌫||-⌫|--|
enfrance eten m enaau ecl imons eig neu riehan	-|-----|-|--⌫-⌫--|--⌫-|-⌫|--|-⌫---⌫---⌫|----|
dacresonf rere	|---|--|-⌫---|
le quelellemariaal a contescede mo ntfo rt	-|---|---|----||-⌫|-------|-|--⌫----⌫-|
encepoint quenous	-|-|----|--|---|
uenimesen cypre l e sou dancdu c oyneestoitle plus	------|-|----|-⌫|---⌫---|-|-⌫---|-----|-|---|
richeroy de toute	----|--|-|----|
l a paenn imeetauoitfaitune merue ille	-⌫|-----⌫--|-|----|---|--|-----⌫---|
carilauo it fait fondregrant deson	--|-|---⌫-|---|-----|----|-|--|
or en pozdeterre.	-|-|--|-|----||
etfistbrisier	-|---|------|
lespozetlesmasse sd or es t oient	--|--|-|--|-----⌫||-|--⌫-⌫----|
demour eesadescouue rtenmiun	------⌫--||--------⌫-|---|-|
sie n chastel quechascun	---⌫|------|--|------|
quientroitouchastel	--|------|-|------|
ypoo ittoucheretueoir	|---⌫-|------|-|----|
y auoitbiensisousept	|----|---|--|-|---|
sa grantr iche s ce appa rutenunpaue i llon que	-|----|-⌫----⌫-⌫-|----⌫--|-|-|----⌫-⌫---|--|
l er oydermenieenuoiaau r oy	-⌫|-⌫-||------|-----|-|-⌫-|
de franc e quiualoit biencinqcens	-|-----⌫|--|-----|---|---|---|
etli mandaler oydeher men ie	-|-|----|-|-⌫-|-|---⌫---⌫-|
queu nferrai sau	--|-⌫|------⌫|-|
soudancd uc oyneliauoit donné.	------|-⌫|-⌫---|-|----|-----||
ferrais est	------|--|
cilqui tientl es pa u eillons au s o udan cet	--|--|----|-⌫-|--⌫-⌫------|-|-⌫-⌫----⌫|-|
qui l in e t toiesesmesons .	--|-⌫|-⌫-⌫-⌫---|--|-----||
le r oy dermen iepourlideli urer du seruageau	-|-⌫-||-----⌫-|---|-|----⌫---|-|------|-|
soudancduco yne en al aau roydes tartar ins et	------|-|--⌫--|-|--⌫|-|--|--|------⌫--|-|
semist en leur	-|---|-|---|
se ruagepourauoirleura ide.	--⌫----|---|----|---|-⌫--||
etamenasigrantfoisondegensd ar mesque	-|----|-|----|-----|-|---||--⌫--|--|
il o tpooir	-|-⌫|----|
decombattre ausoudanc	-|--------|-|------|
etdura grantpiece	-|---|----|----|
la b at ai lleet li tu e rentles	-|-⌫--⌫--⌫--|-|-|--⌫-⌫---|--|
tarta r i n stan tdesagent que	-----⌫-⌫-⌫-⌫|---⌫|-|-|---|--|
len noy p uis nouuelles	--||-|-⌫--|--------|
pourlarenommee	---|-|-------|
q uie stoit	-⌫-|-⌫----|
gr antencyp re	--⌫--|-|---⌫-|
bat aille quideuoitestre passerent de nos	---⌫----|--|-----|----|--------|-|--|
gensseriansenhermeniepourgaaingneretpour	---|------|-|-------|---|--------|-|---|
bata ille.	----⌫---||
neonques n ulzd eulzn enreuint	-|-----|-⌫--||---||-|-----|
le souda ncdebabiloin nequiattendoit	-|-----⌫-|-|--------⌫-|--|--------|
le roy quil ueniste neg ypteaunouuelte mp s	-|--|-|-|-----|-⌫|--⌫---|-|-----|--⌫--⌫|
sapensaqueiliroit confondr ele so uda nc	|-----|--|-|----|--------⌫|-|--⌫---⌫-|
dehamantquiestoit	-|-----|--|-----|
sonennemi e tl a laas sieger	--|-----|-⌫||-⌫-|--⌫-----|
deua ntla citedehamant.	----⌫-|-|---|-|-----||
le soudan c de hamantne sesot	-|------⌫|-|-----|-|-|--|
comm ent che uird u	----⌫--|---⌫--|-⌫|
soud anc d ebabiloinne carilueo it bienques eil	----⌫--|-⌫|---------|--|-|---⌫-|---|--|-⌫|-|
uiuoitlonguementqueillec onfondroit	-----|---------|--|-|-|-⌫---------|
t an tbagingnerauf errais	-⌫--⌫|--------|-|-⌫-----|
leso ud ancde babiloi nequelefer rais l	-|--⌫--⌫--|-|-------⌫-|--|-|---⌫---||
empoi sonna.	-----⌫----||
etlamaniere	-|-|------|
d elempoison nementfutele quelef erraiss	-⌫||--------⌫-----|-|---|--|-|-⌫-----||
au isaq ue les ou dancuen oit touziourz	--⌫--|-⌫-|-|-⌫--⌫---|---⌫--|---|----|
i ouerauses chez ap res releu ee su s les	-⌫---|--|--⌫---|--⌫--|-----⌫-|--⌫|--|
nate squie stoientau pie de sonlit.	----⌫|--|-⌫------|-|--|-|--|--||
l aquelenattesurquoy ilsot	-⌫|----|----|--|---|-|--|
quelesouda ncsasseoit touz	--|-|-----⌫-||------|---|
lesioursil lenuenima.	--|----|-||-------||
ora uintains iqu ele soudanc	-|-⌫---|----⌫|--⌫|-|------|
quiestoi tdesch aus setourna suru ne	--|-----⌫|-----⌫--|-|-----|--|-⌫-|
escorcheu requ ei l auoitenla iambe.	---------⌫-|--⌫|-⌫|----|-|-|----||
toutmai ntenantleu eni nse feriou uif	---|---⌫------|-|-⌫---⌫|-|---|-|--|
etlitolli tout l e poo ir	-|-|----|---|-⌫|---⌫-|
moitiedu corsdecell e	-----|-|---|-|----⌫|
pa rtil fubiendeuxioursque	--⌫-|-|-|---|---|----|--|
ilnebut nenemani ane	-|-|--|-|-|----⌫|-|
lesoudancdehamantlessie rent	-|------|-|-----|------⌫---|
etlemen erentsagent enegypte .	-|-|---⌫----|-|---|-|-----||
maintenantquemarsent ra	------------|---|---⌫-|
pa rle commandementle roy le roy et	--⌫|-|-----------|-|--|-|--|-|
l esba ronsetles	-⌫-|--⌫---|-|--|
a u tre spelerin scommender ent queles n ez refeusse ntchargiees	-⌫-⌫---⌫|-------⌫|---------⌫--|--|--|-⌫-|--------⌫-|--------|
etdeuiandespour mou uoirq uant leroylecomm anderoit	-|-|------|---|---⌫---|-⌫---|-|--|-|----⌫-------|
auintainsi quequantlachosefubien	----|----|--|----|-|----|-|---|
l eroy etlaroyn e se requ eilliren tenleur	-⌫|--|-|-|----⌫|-|----⌫--------⌫|-|---|
uendredideuant penthecouste.	-------|-----|-----------||
sesba ronsqueilalassen t a pre s lienleurnez	--|--⌫---|--|-|-------⌫|-⌫---⌫|-|-|---|--|
dr oitu ers legypte.	--⌫--|-⌫--||-----||
fist ler oyuoilleett ouzles	---|-|-⌫-|-----|-|-⌫--|--|
autre sues siausauss i que m oultfu belle	-----⌫|---⌫----|----⌫|--|-⌫---|-|----|
c hose aue oi r ca r il	-⌫---||--⌫--⌫|--⌫|-|
sembloitquetoute	-------|--|----|
ta ntcomm el enpo o itueoiralueil fe ust	--⌫-|----⌫|-⌫-|--⌫-⌫-|----|||---|--⌫--|
c ouue rtedetouai llesdesuoille sde suessiausquifurent	-⌫----⌫--|-|-----⌫---|--|------⌫|--⌫|-------|--|-----|
nombrezadishuit	------||--|---|
cens uess iaus quegra nzquepet iz	---|----⌫---|--|---⌫-|--|---⌫-|
le roy enc raau boutd	-|--|---⌫-|-|---||
u ne t erreque len	-⌫-|-⌫---|--|--|
appellelapointe	------|-|-----|
delimeso net touzlesaut res uessiau xentour	-|------⌫|-|---|--|---⌫--|-------⌫|-----|
l ero y descend ia terre	-⌫|--⌫|-------⌫||----|
leiourdelapentecou ste	-|---|-|-|--------⌫--|
quantnouseumesoylamesseunuentgriefet	----|---|----|-|-|----|-|---|----|-|
fort qu ueno it	---|-|----⌫-|
deuersegy pte	-----|---⌫--|
leuaente l maniere quededeux millehu itcens	---|-|--⌫|------|--|-|---|----|--⌫-|---|
c heualie rsquele roy menaen egypte ne	-⌫-------⌫-|--|-|--|---|-|-----|-|
lendemo uraqu es eptcens	|-|----⌫--|--⌫|-⌫--|---|
qu e leuen tneleseust desseu rés	--⌫|-|---⌫|-|--|---|------⌫---|
delaco mpaignie	-|-|--⌫-------|
l eroy etmeneze nac reet	-⌫|--|-|----|-⌫|--⌫-|-|
enautresterres estranges quipuis ne reui ndrent	-|-----|-----|--------|--|---|-|----⌫-----|
auroy degrantpiece.	-|--|-|----|----||
l endemai nde la penthecoust e	|-------⌫|-|-|-----------⌫|
leuent fuc h eu.	-|---|-|-⌫-⌫-||
leroyetnou s qui esti onsaueclidemourezsi	-|--|-|---⌫|--|----⌫--|---|-|-------|-|
comm e dieu	----⌫|---|
u oult feism e s	-⌫---|-----⌫-⌫|
uoi l lede rechief	---⌫-⌫-|--⌫------|
et encontrame sleprincedelamo reeet	-|----------⌫|-|-----|-|-|--⌫--|-|
le d uc debourgoingnequiauo itseiournée n l a moree	-|-⌫-|-|----------|--|---⌫-|--------|-⌫|-⌫|----|
leie udiaprespenthecousteariua	-|--⌫--|----|-----------|----|
le roydeua ntdamieteet	-|--|----⌫-|------|-|
trouua m es lato utlepooirdu	------⌫-⌫-|-|--⌫-|-|----|-|
soud ancsurlariuedela mer	----⌫--|--|-|---|-|-|--|
moltbele sgentaregarder.	---|----⌫|---||-------||
carlesoudancport elesa rmesdo rla	--|-|------|----⌫|--|-⌫---||-⌫|-|
so le ilferoitquifesoit	--⌫--⌫-|-----|--|-----|
le s armesr e splendir	--⌫|----|-⌫-⌫-------|
la n oi se q u e	-|-⌫--⌫-|-⌫-⌫|
ilmenoientdeleur	-|-------|-|---|
nacaireset del eur	-------|-|-|-⌫--|
corssarrazi nnoisestoitespouentableaescouter .	---|-------⌫----|-----|-----------||-------||
leroymandasesbarons et pourauoi rconseil	-|--|----|--|-----|-|---|----⌫|------|
que il f eroit.	--|-|-⌫----||
moultdegensliloerent	----|-|---|-|------|
at tendittantq ueses ge nsfeussentreuen us pource	--⌫-----|-----⌫-|--|--⌫-|-------|-----⌫-|---|-|
queil ne liestoitpas demouré	--|-|-|-|-----|--|-------|
latier cep arti edesesgens.	-|----⌫-|-⌫----⌫|-|--|---||
etilne lesenuoult onquescroire.	-|-|-|--|-|----|-----|-----||
lare s onpourquoyqu eilditqueile n	-|--⌫-⌫-|---|---|--⌫|-|--|--|-|-⌫|
donroit cuerases	------|---||--|
enn emiset	---⌫---|-|
meismem entqueenlamer	-------⌫--|--|-|-|--|
deu antdamiet enapoint	---⌫--|------⌫|||----|
de portla ouil peu ts a	-|---|-|-|-|---⌫|-⌫|
gent attendrepour cequeun	---|-------|---|-|--|-|
fortuentn es prei stetlesmenast	---|---||-|----⌫-|-|--|-----|
enautreste rre saussicommel es	-|-----|--⌫---⌫|----|----|-⌫-|
a utres auoientleiour depenthecouste .	-⌫----|------|-|---|-|-----------||
accordéfu	-------|-|
que le roydescendroita te rre le	--|-|--|----------||--⌫--|-|
u en d redide u ant latriniteetiroitcombatre aus	-⌫--⌫-⌫---|--⌫-⌫--|-|------|-|----|-------|--|
sarraz insse	------⌫--|-|
ene u lzne	-|-⌫-⌫-|-|
demo uroit.	----⌫----||
l eroy commanda amonseigneur iehan	-⌫|--|-------||--|-------|----|
d ebia u mon t que ilfe ist	-⌫|---⌫-⌫---⌫|--|-|--⌫--|
baillerunegaliea	------|--|----||
m o n se i gneu r era rt	-⌫-⌫|--⌫-⌫----⌫|---⌫-|
debr i enneeta moypourno usd escendreet	-|--⌫-⌫---|-||--|---|--⌫-|-⌫-------|-|
nos cheuali erspour ceq ue le	--|-------⌫--|---|-|-⌫-|-|
gran snefzn a uoi ent pooirdeueniriusquesa	----⌫|---||-⌫---⌫--|----|-|----|------||
aussi commed iex uoul t	----|----|-⌫--|----⌫|
quan t iereuinga ma nefietr ouua i une	----⌫|-|-----||-|--|-|--⌫----⌫|--|
petite ne f que	-----|--⌫|--|
ma damede baruc hq ui	-|---|-|-----⌫|-⌫-|
etoit cousinne	----|-------|
germainne le	--------|-|
conted e monbeliartetlanostre	----|-⌫|---------|-|-|-----|
mau oit don ne e	|--⌫--|---⌫--⌫|
mescheu au s.	--|----⌫--⌫||
quantuin tauuendredi	----|---⌫|-|-------|
e ntre moyetmon seig neurerart touz arm e ́sala mes	-⌫---|--|-|--|----⌫---|----|---|---⌫-⌫-|---⌫--|
auroyp ourlagaliedemander	-|--|-⌫--|-|----|-------|
dont mo n seigneu riehan debiaum ont	---|--⌫|-------⌫|----|-|-----⌫--|
nousrespondiq ue no usnen a rionsp oin t	---|-------|-⌫-|--⌫-||-|-⌫----|-⌫---⌫|
quantnosgensui rentque nousn	----|--|---|--⌫---|--|---||
a rienspointde galiei lse lesserentcheoirde	-⌫----|----|-|----|-⌫|-|--------|-----|-|
l a grantnef e n	-⌫|----|--|-⌫|
decant iersqu i	-|----⌫---|--⌫|
qu a ntles	--⌫-⌫-|--|
marinniersu irent qu ela	---------|-⌫----|--⌫|-|
barge de ca nti ers seesfondroi tpouapouils	----|-|--⌫---⌫--|-|---------⌫|--||--|-||
e nfuirentenla	-⌫-------|-|-|
grantnefetlesserentmesc he uali ersenl a	----|--|-|--------|--|-⌫--⌫----⌫--|-|-⌫|
barg edecantiers .	----⌫|-|-------||
ie demandai aumestre	-|-------|-|-----|
com bienilli auo itt ropde gens.	---⌫---|-|-|---⌫-|-⌫--|-|---||
e tsilidemandai	-⌫|-|-|-------|
se il menr oitbien	-|-|----⌫--|---|
no streg enta terreseieledescharg o i ede	--⌫---|-⌫--||----|-|-|-|--------⌫-⌫-⌫|-|
t antgent.	-⌫--|---||
et il meresp ondi oyl.	-|-|-|----⌫---|--||
deschar ga i ente l manierequepar	-------⌫--⌫|-|--⌫|------|--|--|
troi sfoiz il les m en aenma	----⌫|---|-|--|-⌫--⌫|-|-|
n efoumesch eu aus estoi ent.	-⌫-|-|--|--⌫--⌫--|-----⌫--||
endemen tresque ie menoieces gensuncheualie rqui	-------⌫------|-|-----|--|---|-|--------⌫|--|
estoit am on	-----||-⌫-|
sei gneur erart debrenequiauoit	---⌫----|----|-|----|--|----|
a nonp lonquetcuidadescen drede l agrantnefen	|--|-⌫------|----|------⌫--|-|-⌫|----|--|-|
labargedecantiersetla ba rge esloignaetchei	-|----|-|-------|-|-|--⌫--|-------|-|---|
enla me re tfu noyé .	-|-|--⌫|-⌫|-|----||
quantie reuing amanef iemis	----|-|-----||-|--|-|--|
e nmapetite bar ge un e sc uierque ie f i z cheuali er	-⌫|-|-----|---⌫-|-|-⌫--⌫---|--|-|-⌫-⌫|-------⌫-|
nonm on seigneurhue de wanquelouretdeuxmoultuail lans	--|-⌫-|-------|--|-|---------|-|---|----|----⌫---|
bachelers dontl un auoitnonmo n	--------|---||-|----|--|--⌫|
sei gne uruilla in deuerseyetlautre monseigneurguillaum e	---⌫---⌫-|-----⌫-|-|-----|-||----|--|-------|--------⌫|
deda nmartinqu i	-|--⌫------|--⌫|
engriefco urine l unuerslautrene nulz	-|----|--⌫----||-|---||----|-|---|
ne enpooit	-|-|----|
faire lap ezcar i l	----|-|-⌫-|--|-⌫|
s estoiententre prisp ar lesche ue uxala m oree .	|-------|-----⌫---|-⌫-|--|---⌫--⌫-||-|-⌫---||
etleurfizpardo nnerleu r m altalen tetbesier	-|---|--|-----⌫---|---⌫|-⌫-------⌫|-|-----|
au treparc e que leu r	--⌫--|--|-⌫|--|---⌫|
i urai sur sainsque	-⌫---|--|----|--|
nousn irienspa saterreatout	---||-----|--⌫||----|----|
leurmalt ale nt	---|----⌫---⌫-|
lorsnousesme ume spour al era	---|---|----⌫---⌫|---|--⌫-||
te rre etuenimes pardelezla barge	--⌫--|-|------|--|----|-|----|
decantiers dela gr antnef leroy la ou	-|-------|-|-|--⌫--|--|-|--|-|-|
leroy esto it.	-|--|----⌫-||
etsagentmeco mmencerent	-|-|---|-|--⌫---------|
a escrierpourceque	|------|---|-|--|
nous alion splustost	---|-----⌫|---|---|
queilnefes oient	--|-|-|---⌫----|
queieariuasseal	--|-|-------|||
ensaignesaintdenis	-------|----|----|
qui en aloitenunautr e ua isseldeu ant	--|-|----|-|-|----⌫|--⌫----|---⌫--|
mes ien elese n	--|-|-⌫|--|-⌫|
crupas aincoisn ousfizari uerdeuantune grosse bataille	--|--|------|-⌫--|--|---⌫--|-----|--|-----|-------|
ou i lauoit	-|-⌫|----|
biensismillehomesacheual.	---|--|----|----||-----||
sitost co mme	-|---|--⌫--|
ilnous uirent	-|---|-----|
a terre iluindr ent fe rant desesperons uers nous	|----|-|-----⌫--|--⌫---|--|-------|---|---|
quantnouslesueism esuenirnousfichames les pointesd e	----|---|--|-----⌫-|----|---|-------|--|------|-⌫|
nosescu sou	--|----⌫|-|
sablo n et lefustdenos l an cesou	-----⌫|-|-|---|-|--|-⌫--⌫--|-|
sablonetlesp oint e suers eulz .	-----|-|--|-⌫----⌫-⌫|---|---||
maintenantque iluirenta insi	------------|-|-----|-⌫---|
comm epour	----⌫|---|
aler p armilesuentres	---|-⌫---|--|------|
il tournerentcedeuant darie re set senfouirent.	-|---------|-|-----|-----⌫--⌫|-||---------||
m o ns eigneurbaudoi ndereinsunpr eudomme quiestoit	-⌫-⌫|-⌫------|------⌫|-|----|-|--⌫------|--|-----|
de s cen du aterre mema nda par son	--⌫-⌫---⌫-||----|-|--⌫--|--|--|
escuier que iel attendi sse	------|--|-||-------⌫--|
etielima ndai que s i	-|-|-|--⌫---|--|-⌫|
ie moult uolent ie rs	-|----|------⌫--⌫-|
quete lpr eudomme c omme il estoitdeuoit	--|--⌫|--⌫------|-⌫---|-|-----|-----|
bien estreattenduaun	---|----|------||-|
t el besoing .	-⌫-|------||
dont ilmesotbongreto ute	---|-|-|--|--|--|--⌫--|
aueclinou s	---|-|---⌫|
uind r entm ilcheualier s .	----⌫-⌫--|-⌫-|---------⌫||
etsoié s certain	-|-----⌫|------|
ie arriu eien ozne	-|-----⌫|-||-|-|
esc u ierne che ualierne uarlet	---⌫-⌫--|-|---⌫-----|-|-----|
queie eusseamené a u ecmoy demonpays	--|-|----|-----|-⌫-⌫-|--|-|--|---|
nem en lessapas	-||-|----|--|
dieuaa idier.	---||-⌫----||
anostremainsene s treariu ale	|-----|---|----⌫-⌫--|----⌫|-|
con t edeia phequies toit cousingermain	---⌫-⌫|-|--⌫--|--|--⌫---|-----|------|
dem onbel iart	-|-⌫-----⌫---|
et dulig nagedei oinu ill e.	-|-|---⌫---|-|-⌫----⌫---⌫||
cefuc eli qui plus	-|-|-⌫--|--|---|
no blement ariuacars a galiea ri uatou te peint e ded ens	--⌫------|----|--|-⌫|----|-⌫--⌫-|---⌫-|-----⌫|---⌫--|
meretdehors	--|-|-----|
aescussiausde sesarmeslesqu elesarmessont	|---------|-|--|----|--|--⌫---|----|---|
doraun e croizdegueulesp atee.	|-||--⌫|----|-|------|-⌫---||
ilau oitbie ntroisc ens	-|--⌫--|---⌫|----|-⌫--|
n a geurs e nsagali e e t acha sc unde	-⌫-⌫----|-⌫|-|----⌫|-⌫||---⌫--⌫-|-|
sesnageursauoit unetargede ses	--|------|----|--|----|-|--|
armeset a c hascune targe	----|-||-⌫------|----|
auoitun p ennoncel	----|-|-⌫-------|
deses armes bat uaor.	-|--|----|---⌫||-||
endeme nt ier e s queiluen oient il	------⌫--⌫---⌫-⌫-⌫--|-|---⌫----|-|
semb loi tque lagalie	----⌫---⌫|--|-|----|
uo las tparlesnageursquila contreingnoientausauironset	--⌫---⌫|--|--|------|--|-|--------------|--|------|-|
se mbloitquefoudre cheist	--⌫-----|--|-----|-----|
quel espe nnonciaus	--|-⌫-|--⌫--------|
m enoiente t que lesnacairesles	-⌫------|-⌫|--|--|-------|--|
tab oursetles corssarr az inoismen oient qui esto ie nt en	---⌫---|-|--|---|----⌫--⌫----|---⌫----|--|----⌫--⌫-|-|
sitostc omme lagaliefuferueousablo n	-|---|-⌫---|-|----|-|----|-|-----⌫|
siauantc omm el en	-|----|-⌫---⌫|-⌫-|
lipotme ne retil	-|--|--⌫--⌫|-|-|
etses c heualierssaillir ent dela	-|--|-⌫--------|-------⌫--|-|-|
g aliemoul tbie narmezetmoultbien	-⌫---|----⌫|---⌫|----|-|----|---|
atire z etse uindrentarrangerdecostenous.	-----⌫|-|-|-------|-------|------|---||
ieuous auoieoubliéa direquequant	-|---|----|------||---|--|----|
lecontede iap hefu descendui lfisttendreses	-|----|-|---⌫-|-|-------|-⌫|---|-----|--|
paueill ons .	-------⌫--||
etsi tost comm eless arrazinsles ui rent t e ndus	-|-|---|----⌫|--|-⌫-------|--|--⌫---|-⌫-⌫---|
ils euin drent touzassemblerdeuantnousetr euindrent f erant	-|-⌫|---⌫----|---|--------|-----|---|-|-⌫--------|-⌫----|
desesperons	--|-------|
p our nous	-⌫--|---|
courresus.	-----|--||
etqua nt iluirentqu e	-|---⌫-|-|-----|--⌫|
nou s n e fuirions	---⌫|-⌫|-------|
raler enttantosta rieres.	-----⌫--|------|-⌫-----||
anos tremaindestrebie n	|---⌫--|---|-----|---⌫|
le tre tau ne grant	-|---⌫||-⌫-|----|
a rba lestreeari ua	-⌫---⌫------|---⌫-|
lag alielaoulenseignesa int d enis	-|-⌫---|-|-||-------|--⌫--|-⌫---|
et ot uns arrazin	-|-|-|-⌫------|
quanti l furent	----|-⌫|-----|
ari uezquiseuintferirentreeulzou	---⌫--|--|-|---|----|----|---|-|
pourcequei l ne pot	---|-|--|-⌫|-|--|
son c heualteniroupour cequeilcuido itque	--|-⌫----|----|-|---|-|--|-|-----⌫-|--|
lesa utres lede ussentsuiur e .	--|-⌫----|-|--⌫-----|-----⌫||
mesil fu toutdeco u pé.	--|-|-|---|----⌫-⌫--||
quant leroyo y	----|-|--|-⌫|
direquelensei gnesaint de nis est oi taterre	---|--||-----⌫--|----|--⌫--|---⌫--⌫||----|
ilenala gra ntp asp armisonuessel ne on ques	-|-|--|---⌫-|-⌫-|-⌫---|--|-----|-|--⌫---|
por lelegatquiestoi t	--|-|----|--|-----⌫|
neleuoultle ssierets ailli enl a	-|-|----|--⌫----|-|-⌫----|-|-⌫|
merd on tilfue nyaue iusqu esaus	--|-⌫--⌫|-|-|-⌫|---|-----⌫-|--|
heaume enlatesteet le glaiue en la main	-----|-|-|----|-|-|-----|-|-|---|
iusquesasagent	------||-|---|
q uiestoien tsurla riuedela me r .	-⌫-|-------⌫|--|-|---|-|-|--⌫||
quantil uint aterr e	----|-|---||----⌫|
etilchoisilessarrazinsil de mand aquelle	-|-|-----|--|--------|-|--⌫----⌫|-----|
ge ntces t oient e tenlidi	--⌫-||--⌫-⌫----|-⌫|-|-|-|
que cestoient	--||-------|
sa r razinset	--⌫-⌫-----|-|
ilmis tlegla iue	-|---⌫|-|---⌫--|
dessoussesse llee t	------||----⌫--|-⌫|
l escu deua n t li	|---|----⌫-⌫|-|
eteust courusus aussarrazinsse sespreudes	-|---|----|--|--|--------|-|--|------|
h ommes quiestoi ent	-⌫----|--|-----⌫--|
aueclilieussentsouffert	---|-|-|------|-------|
les sarr azins enuoierentau soudanc parcoul onsmessagie rs par	--|----⌫----|---------|-|------|--|----⌫--|--------⌫-|--|
r oyestoita riué queonques	-⌫-|-----|-⌫----|--|-----|
messag enen orentpo urceque le soudancestoit	------⌫||-|----|--⌫-|-|--|-|------|-----|
ensama la die.	-|-|--⌫--⌫--||
