L AFI LLE	--⌫|--⌫--|
Eti l diren ttout	-|-⌫|-----⌫|---|
uneuo isDamenona	--|--⌫-|---|--||
i l.L adame commenchaa plourermoltt e nrement.Sir e	-⌫-|-⌫|---|--------||------|---|-⌫-⌫-------|---⌫|
orpoé suous dontdirekeuous	-|----⌫|---|---|---|-|---|
este smonp ereet queiesuiuo stre	----⌫|--|-⌫--|-|--|-|--|--⌫---|
fi lle etu ous	--⌫--|-|-⌫--|
estesme s barons etuouse s te smesfrere s.Quant	----|--⌫|-----|-|---|-⌫-⌫--⌫|--|-----⌫-|----|
chousifurentmoltlié e t	---|-|-----|---|---|-⌫|
----------- -- ------ ------------	-----------⌫--⌫------⌫-----------|
uer sionXIII(2) p038	---⌫-------|--|---|
dauoircomioueue onques enma	|----|--|--|--|-----|-|-|
Damefa itam esi reTiebau s	---|--⌫--|-⌫---⌫-|------⌫|
si medoi nst	-|-|---⌫--|
Diexioie dele rienske iepl usdesirre i e	---|---|-|-|----|-|-|--⌫-|------|-⌫|
n eseroiemiesi lie ́sdestre	-⌫|-----|--|-|---⌫-||----|
ro isde Franche — Da mecer t es faitbli	--⌫-|-|------||--⌫-|---⌫-⌫-|----|-|
ual léskisesfreresestoito nn e me	---⌫---|-|--|-----|-----|-⌫|-⌫|-|
poroitne dounernec	-----|-|-----|--|
pr oumetreco sedontie	--⌫------|--⌫-|---|-|
fuissesiliés commeiou	-----|-|----|----|--|
seroi eddelau ie ma	-----⌫||-|-|-⌫-|-|
sere urki tantestoi tboine dameetbiele e 1Quantf	----⌫-|-|---|-----⌫|----|---|-|-----⌫||-----|
la dameot%oies	-|---|-||---|
lorparolesse li aten ri	--|------|-|-|----⌫-|
lihcuers et3silo r	-||----|--|-|--⌫|
dist Diusens oitgrassiés1	---|---|-|-⌫--|--------||
Orgardéskllnait	-|------||-||--|
faintiseen	-------|-|
uos paroles. Etil res pondirentetdisent Da menon	--|-------|-|-|---⌫--------|-|-----|--⌫-|--|
a ll.Lada mecom-menc lia it enrementa	|--|-|--⌫-|--------⌫--||-⌫-------||
p loureret distk	-⌫-----|-|----|
Sireo rpo ésuoiis	---|-⌫|--⌫--|----|
b iendire(fol.320 d) ke	-⌫--|---|----|--|-|-|
uous iestesmes peresetiousuiuo stre fil leet	---|-----|--|----|-|--|--|--⌫---|---⌫-|-|
celedontuous presistes	---|---|---|--------|
sicru eusseiust icliee tuo usmesireTieba ut	-|---⌫----|----⌫----|-⌫|--⌫-|-----|-----⌫-|
ie stes me	--⌫---|-|
mesbar on setuossireua llétestesmesfreres.	--|---⌫--⌫|-|--|---|--⌫----|----|--|------|
Etpui slor 1	-|---⌫|--||
con tacom ment	---⌫-|---⌫---|
l imarcheant lauoienttrouue ́eetco mm entilen	-⌫|--------||------|------⌫-|-|--⌫--⌫--|-|-|
uersionXII Ip039	----------⌫----|
sifi rentsanllant	-|--⌫---|-------|
d ume lieru ers liet ele le urdesfend iet	|---⌫---|-⌫--|-|-|--|--⌫-|-------⌫|-|
di stIesui Sar rasin e etsi uous	--⌫-|-|--|---⌫-----⌫|-|-|---|
queuousa iéso ïen ul plus	--|---|-⌫---|-⌫--|-⌫-|---|
biau sanllantnenfaitesmais sinplement uous	---|-------||-|-----|---|---------|---|
maintenéset moilais i éscouuenir (fol.213). Or uous	---------|-|--|----⌫-⌫--|-------|----|----|-|---|
dirai porquoi	----|------|
ie suidemoustree1a uous.	-|--|---------|||----|
Lisoudan s mesir e en doit	-|------⌫|-|---⌫|-|---|
al eren unecheuaucie	--⌫-|-|--|--------|
et ie uo u sconnoisbiensiquerraiqueuousirés	-|-|--⌫-⌫|------|---|-|------|--|---|----|
auoecli etseuous	----|-|-|-|---|
onques fustespredoumemoustrés le oreAtant	-----|-----|-------|--------|-|--|----|
s e taisentet elese	-⌫|------|-|--|-|
lieueetuient a u soudante td ist Sireli uns	----|-|----|-⌫|------|-⌫|-⌫--|---|-|--|
demesprisonsa	-|--|------||
oï par lerdeuostre	--|---⌫--|-|-----|
gue rre e t	---⌫--|-⌫|
madit qui l	||--|-|-⌫|
iroituolentiersauoec	----|---------|----|
la i se ur.—Damefait	--⌫-⌫--⌫--||---|---|
il ie noseroiequ il	-|-||------|-|-|
---------------------------- ---	----------------------------⌫--|
uersionXII I(2 )p039	----------⌫|--⌫|---|
fi sen tprésentauSoudan. Etquantiloïr entçou s i	--⌫---⌫|-------|-|------|-|----|-|----⌫--|---|-⌫|
en fure nt	-|----⌫-|
moutliét etaenf isentmout g rantioie et	---|----|--|-|-⌫----|---|-⌫---|---|-|
sum elierentuiersli. Elle	|--⌫-------|----|--|---|
lordesf en di kiln en	--|----⌫--⌫-||-||-|
fe sissentnulsamblantet distI ou	--⌫------|--|-------|-|---|-⌫-|
suiSarrazine	--|--------|
renoïebcar	-------|--|
aut rement ne pooiecdurercarioufu issepiec ha	---⌫-----|-|----||----|--|--|--⌫---|----⌫-|
mortemaiso r uousprie	----|---|-⌫|---|---|
iou etchasti sichier com	--|-|-----|-|----|--|
uousaués uosuies ethouneu rsa	---|----|--|---|-|------⌫-||
auoirgreignours keuouseüstes donques	----|---------|-|---|------||-----|
kepourc osekeuousalle ́sueüeneoi ̈ee	-|---|-⌫--|-|---|----⌫-|----|-|--⌫--|
nu lplusbiel sa mblant ne nfaites	--⌫|---|---|--⌫-----||-⌫|-----|
maissimplementuous maintenés.	---|---------|---|----------|
l aisiéscouuenir.Oruousdiraip our	-⌫------|--------|-|---|----|-⌫--|
quoi ioumesuidemoustree	---|--|-|--|---------|
a uous. Li	|----|-|
soldansmesir ek ioreestf endoit	------|-|---⌫|-⌫|--|---|-|---|
alerproçai- n ement en unech euaucie etiou uou scouno isbien	---|--------⌫-⌫----|-|--|--⌫------|-|--|---⌫|-----⌫-|---|
distelleamonseignou rT iebaut keuousest es	---|---||----------⌫|-⌫-----|-|---|---⌫-|
preudome tboins che ualier s.Iou pro ierai	------|-⌫|----|---⌫------⌫-|--|---⌫----|
ke i lu ousmai n e auoeclui	-|-⌫|-⌫--|---⌫-⌫|----|--|
fustesonquespreudom or lemou s trésetsierue ́s	-----|-----|------|-|-|---⌫-⌫----|-|------⌫-|
sibienieS oudan keilnen puist	-|---|-|-⌫----|-|-||-|----|
nule uilounie( fol. 320e)conter La damehs	---|-------|-⌫---|--|-|-----|-|----||
en départetuint	-|------|-|---|
au Soudanet li d istSire li unsde	-|-----|-|-|-⌫--|---|-|--|-|
mespri souniers ira au oe c uous sei luousplai st.	--|---⌫-------|--|--⌫--⌫|---|-|-⌫|---|----⌫--|
iou ne miosser oie	--|-|||-----⌫--|
uersionXIIIp040	--------------|
fesist fauset é .— Sirefaiteleseürementle	-----|------⌫--⌫||---|---|--|---------|-|
faite s car iou retenrailes	-----⌫|--|--|-------|--|
seciluous me sfai soit iepen-deroie	-|--|---|--⌫----⌫---|-|---------|
c esparlesgueles.	-⌫-|--|--|------|
—Da me fa itiletiou	|--⌫-|--⌫-|-|-|--|
liliu rerai	-|---⌫----|
ceualet armesetcequ	----|-|----|-|-|-|
ill ico nue nra. A tantel esenret ourne en	-|-⌫|--⌫---⌫---|-⌫---|--⌫||-|---⌫----|-|
l achambreetdistSireuo us ire ́sauoec	-⌫|------|-|---|---|--⌫-|---⌫-|----|
leso udant.Ets ezf r eressagenoill aet pria Por	-|--⌫-----|-|-⌫-|-⌫-⌫---||--------⌫|-|---|--|
Dieuseurfait es queiouuoiseauoec . — Non	---|---|----⌫-|--|--|----|-----⌫||--|
ferés fait e l e	-----|---|-⌫-⌫|
quetropse roitl e	--|---|--⌫---|-⌫|
cozea perte.	---|-⌫-----|
1 8. —Lisoud a nsmutetmesiresT .auoec	-⌫-||-|----⌫-⌫-|--|-|------|-⌫|----|
lui etuinren tseurleur	--|-|------⌫|---|---|
a nemis.Li soudansli	-⌫-----|-|------|-|
liu racanques	---⌫-|------|
mest ierliestoit .P arleuolenté deD ieu	----⌫--|-|------⌫|-⌫-|-|-------|-|-⌫--|
etenl aïedautruitantfistmesir eT.	-|-||---||-----|---|---|-----⌫|-|
quen paude tansmistlesanemisle	-|-|--|-|---|---|--|-----|-|
soudantaude sous.	------|-|--⌫----|
Etmol t leprist engré	-|---⌫|-|----|-|---|
----- ------------------ --------	-----⌫------------------⌫-------|
u ersi onXIII (2)p 040	-⌫----⌫-----|--|-⌫--|
fier k llneme fe si stfauseté.— Sire	---||-|-|-|--⌫--⌫-|--------||---|
disteles eürement len me n éscar	---|--|-⌫--------||-|--⌫-⌫--|--|
iou ret enrailesautres. S	--|---⌫----|--|------||
ilme sfaisoite nuiers uous	-|--⌫-------|-⌫-----|---|
iou penderoie lesautres. —Damedistll	--|--------|--|------||---|---|-|
menraipuis ke	-----|---|-|
u o usleme	-⌫-⌫-|-|-|
loés et s elili uer-r aicheualmout	----|-|-⌫|-|--⌫-----⌫-|-----|---|
boinet armesettout çouquil	---|-|----|-|---|---|-|-|
licon-uenra	-|--------|
b.Atantcla	-|-----|-|
damesenretourne et	---||-|-------|-|
d i st a mon s ei-gnourT iebaut Iouaitant	-⌫-⌫-||---⌫-⌫-------|-⌫-----|--|-|---|
f aiten uie r sle Souda nke uousirésauoecluior	-⌫--|--⌫---⌫-⌫|-|-----⌫|-|---|----|----|--|-|
pe nsésde lb ienf aire.Etd sesfreres	--⌫----|--⌫|-⌫--|-⌫---||--|--|-----|
s agenoill adeuantlietli proiapor Diuek	|--------⌫|-----|-|-|-|----|--|---||
elefesisttantenuiers le	--|-----|---|------|-|
Soud ankeilialast	----⌫-|-|-||----|
ausi.Non feraid istelet rops er oitla	----|--|----|-⌫--|--|-⌫--|-⌫--⌫--|-|
cose a p ierte.	---|-⌫-⌫-----|
18.—Lisoudansatouf na so nafaire	--||-|------|-----⌫-|--⌫|-----|
etmut etmesiresTie-bausa uoe clui et uinrent sour	-|--|-|------|-------|-⌫---⌫|--|-|------|---|
loranemis.Lisoudansf liuraamonseig nourTiebaut armes	--|------|-|-------|----||-------⌫---|------|----|
e t clieual.	-⌫|-------|
Parlauolenté Ih esu	--|-|-------|--⌫--|
Crist kionqu es n	----|-|----⌫-||
oubliaciauskienlui ontfianc eet	-----|----|-|-|--|--|-----⌫|-|
boine creanc lie t an tfis tmesir e Tiebausd armes	----|------⌫--|-⌫--⌫|---⌫|-----⌫|------||----|
et de coursskeempoi de t ans	-|-|----||-|-|--|-|-⌫--|
furent misaudesousl i	-----|--|-|-----|-⌫|
hane miau souda nt	|---⌫-|-|-----⌫-|
uersionXIIIp041	--------------|
repairauainki ere e tam e na	------|------⌫--|-⌫|--⌫-⌫-|
grantple ntéde	----|---⌫---|-|
prisonse n sacompaignieetuintala dame et	------|-⌫|-|---------|-|---||-|---|-|
distliD a me parmaloyieme lode	---|-|-⌫-⌫-|--|-|--|-|-|-|-|
uos treprisounierets iluoloit	---⌫--|---------|-||-|-----|
grantterre	----|----|
prendreche rtesiouli	------|---⌫---|--|-|
dour oie. Etelelidist Sireilne	----⌫---|-|--|-|---|---|-|-|
leferoitmies ans droiteloy.Atantse	-|-----|--|-⌫--|-----|---|----|-|
teu rent e t	---⌫---|-⌫|
elesatorn eetdis t Sireiesui	--||-----⌫|-|---⌫|---|-|--|
enchain te et	-------⌫-|-|
enenferté s ui keu ̈e.(fol.213b) Etil	-|-------|-⌫-|---⌫--|----|--|-|-|-|
l idistDamei enefuss e	-⌫|---|---|-⌫|-|----⌫|
mies iliés	--|-⌫|----|
p or cruture	-⌫-|------|
dautan tde terrequeiouai—S ire	|-----⌫|-|----|--|--|-||-⌫--|
f aiteleie neme niaine	-⌫--|--|-|-|--⌫---|-|
nebuipuskeuousenalastes	-|--|--|-|---|-|------|
parsaue uretm e distme suiex prison sque se	--|----⌫-|-|-⌫|---|--⌫|---|------⌫|--|-|
genesui su s	-|-|--|--⌫|
terrede droitenaturemort esui.	----|-|-----|-----|----⌫|---|
----------- --------------------	-----------⌫-------------------|
uersionXIII(2)p04 1	----------|--|---⌫|
etamoutl iplotetot uictoi reet amenagra nt	--|---|-⌫|---|-|-|------⌫-|-|----|---⌫-|
plent é bdeg en t auoeclui.Lisoudans	-----⌫-||-|-⌫--⌫|----|---|-|------|
si tostcomilfurepairiés uinta (fo l.320	-|---|--|-|-|---------|---||---⌫-|--|
i)la damee tdistD ame pa r	-|-|---|-⌫|---|-⌫--|--⌫|
me loe moutdeu ostre p risou niercar ilm	-|--|---|-|-⌫----|-⌫-----⌫---|--|-||
am o utbiensi erui et siluoloi t	|-⌫-⌫-|---|--⌫---|-||-|-----⌫|
sa loyg uerpir et	-|--|-⌫-----|-|
lanostrep rendreioulidon ro i egr ant tieree t	-|-----|-⌫-----|--|-|---⌫--⌫-⌫|--⌫--|----|-⌫|
ri chementle m ariero ie. — Sire ioune saimai s	--⌫------|-|-⌫------⌫--||---|--|-|--|---⌫|
iounec roi	--|-|-⌫--|
pask ei llefesist. Atant	--|-⌫|-⌫|-|------|----|
seteuren t	-|------⌫|
beplusnencdisent.Lad amea touma son	-|---||-||------|-|-⌫--|-⌫----|--|
afaireauquestostapriés dceste	-----|-----|---|------||----|
a uentureau	-⌫------|-|
elep otetuint a ses	--|-⌫-|-|---||--|
pri-souniersetlor distSeignoreor	-----------|-|--|---|-------|-|
uo usmainte néssagem ent ke	--⌫-|------⌫---|-----⌫--|-|
Sarrazinne sapier choiuentfno stre con seil carseDiu	-------|-||-----⌫--------|--⌫---|---⌫---|--|-|--|
pla isten core seronsnousen	---⌫--|--⌫---|-----|---|-|
France ete nlatie rede Pontiu.Uniourau int	-----|-|-⌫|-|---⌫-|-|------|-|---|--⌫--|
keladame sedolousa moutetplain s tet	-|-|---|-|------|---|-|-----⌫-⌫|-|
uintde uantleSoudanetli	---|--⌫---|-|-----|-|-|
dis tSire iousui en ch ainte etgbie n	---⌫|---|--|--|--⌫--⌫----|-||---⌫|
lesaietengrantenfre me tésui	-|--|-|-|----|-----⌫--⌫--|--|
enk eüeneo nquespuiskeu ousen	---⌫---|-|-⌫----|---|-|-⌫--|-|
alaste s nemaniai cose kisaueu rmeüs t.	------⌫|-|-----|---|-|-----⌫||----⌫-|
—Dame fai tilço upoisemoide uostr emaladie	|---|---⌫|-|---⌫|----|--|-|-----⌫|------|
mai smo utsui liés de çouqueu ou s este senchainte.	---⌫|--⌫-|--|----|-|---|--|-⌫--⌫|----⌫|---------|
Ma is or deuise ́setcommandés ‘tou tes	--⌫-|-|------⌫-|-|---------||---⌫--|
le scoseske	--⌫|----|-|
uo uscuidiés	--⌫-|-------|
kiboinesuoussoientet io u	-|-----|---|-----|-|--⌫|
les feraiqueire et	--|----|-----|-|
apa- reillercoi kil	----⌫------|--||-|
i d oiuecouster.Etq uant la dame	|-⌫---|-------|-|-⌫---|-|---|
uersionXIIIp042	--------------|
faitilu ost rem ort	---|-|-⌫---⌫-|-⌫--|
ne uoelioumiem ais	-|---|--|--|-⌫--|
d euisés seur	-⌫------|---|
quelterreuousuo lésestre i euous iferaimener.	---|----|---|--⌫---|----|-⌫|---||----|-----|
—Sirefaitelemoi	|---|---|--|--|
necautseur	-|---|---|
qe l terrechousoit maiskei ousoiehorsde	--⌫|----|---|---|---|-|-⌫-|---|---|-|
c est llle. Li	-⌫--|----|-|
sou-d ansli fist apareller ufiemol tbele	-----⌫--|-|---|--------|---|---⌫|---|
nefet ga r ni r d euinetde u iande.	--|-|--⌫-⌫--⌫|-⌫|--|-|-|-⌫-----|
Sire fait ele iemenrai	---|---|--|-|-----|
pr ison etleio ine siiuer ontdeua nt	--⌫---|-|-|--⌫--|-|----⌫--|----⌫-|
moiasesk ie ́set as tauleset	--|-|---⌫--⌫-|-|-|-----|-|
simenr a imonfilpor m oi dé du ire.—	-|----⌫-⌫|--|--|--|-⌫-|---⌫--⌫----|
D ame fait il etque	-⌫--|---|-|-|--|
deuenrali tiers prisonsI euoelmiexque	------|-|----|------|-⌫|---|---|--|
e mmenés que lesautres. ii.car iln	-⌫------|--|--|-----||--|--|-||
estliex nesor terrenesor	--|---|-|--|----|-|--|
ne uousdesfend e	-|---|-------⌫|
se uousenaués	-|---|-|----|
mestier . —Si refa it ele e tiou	-------⌫||--⌫-|--⌫-|--|-⌫|--|
leuoelbie n	-|---|---⌫|
----- - --- ----------- -- ---------	-----⌫-⌫---⌫-----------⌫--⌫--------|
uersi onX III(2) p042	-----⌫---⌫--|--|---|
sien otmou tgran t io ie enson	-|-|-|---⌫|----⌫|--⌫-|-|--|
onquesnenmous tr asamblant	-----||-|----⌫--⌫|-------|
fors tan tke el e dist S ire(fol 321	---|---⌫|-|--⌫|---|-⌫--|---|--|
a ) me s ui ésprisoun iers m a dit kese	-⌫|--⌫|--⌫--|-------⌫---|||--|-|-|
ioun esuihasteement*sour t ier e	--|-⌫|--|----------|---|-⌫---⌫|
dedroitenat ureke ie suimort e	-|-----|---⌫--|-|-|--|----⌫|
etkeblonge-mentne poroie	-|--|---------|-|-----|
uiure. — Dam e faitlisoud ans	-----||---⌫|---|-|----⌫--|
uostre mortne uoelioumiemaisdeuisé ssour	-----|---|-|---|--|--|---|-------⌫|---|
qu eletiereuou suolésestree t	--⌫--|----|---⌫|-----|----|-⌫|
iou uousiferai me ner . —Sire fa itc	--|---||----|--⌫---⌫||---|--⌫--|
elenemencaut	--|-||-|---|
maiske iousoi ehor sdeceste uile. Lid	---|-|--|---⌫|---⌫|-|----|----|--|
soudanslifistaparei l lier une nef	------|-|---|------⌫-⌫---|--|--|
beleetfortetl ef ist bie ngarnirde	---|-|---|-|-⌫|-⌫--|---⌫|-----|-|
uinsetde ui andesSire faitela damea	---|-|-|--⌫----|---|----|-|---||
ioufen me nr ai mon	---|-|--⌫--⌫-|--|
uielp risonnieretle iouenesi iue ro nto moias	---|-⌫--------|-|-|-----|-|---⌫--⌫-||--|-|
eschié s et	-------⌫|-|
as tabl es	-|----⌫-|
etsime nraimon fi l	-|-|--⌫---|--|--⌫|
il bien meplai st	-|---|-|----⌫-|
ke uous en faite suos treuo lenté.Et	-|---|-|-----⌫|---⌫--|--⌫------|-|
kedeu enrali tierspr isouniers—Sireg	-|---⌫---|-|----|--⌫--------||---||
u o usenhferésuostre uolenté .—Damedist	-⌫-⌫-|-||-----|-----|--------⌫||---|---|
iliou uoelkeuouslenmenés	-|--|---|-|---||-|-----|
a uoecuouscar	-⌫---|---|--|
ilestpreudom s i	-|--|------|-⌫|
uousgardera biensourterre et sour	---|------|---|---|----|-|---|
mer se mestieren aués.—Sire‘f aitele	--|-|------|-|-----||---||-⌫--|--|
bien s oitp uiskeuousleuolés	---|-⌫--|-⌫--|-|---|-|-----|
etke tan t	-|-|---⌫|
uersionX IIIp04 3	--------⌫------⌫|
mener.Lanés fuaparellieet entrèren tenmer.	-----|-|---|-|--------|-|---------⌫|-|---|
Si tost ke lima ronnierfurent	-|---|-|-|--⌫------|-----|
mer il direntaladame Nostreuensnous p orte	--|-|-----||-|---|-----|---|---|-⌫---|
Brandis.Et	------||-|
eledistL ai siésale ra band ouneement ca riou	--|---|-⌫--⌫----|---⌫|-⌫----⌫--------|--⌫|--|
sa ifranchoiss i uous conduiraib ien	--⌫|--------|-⌫|---|--------|-⌫--|
19.— E tiluinrent en haule as auuetéet	--||-⌫|-|------|-|----||-⌫------|-|
montèrent so r te rre.Ladame leur dis t S eigneur	---------|--⌫|--⌫---|-|---|---|---⌫|-⌫------|
keuousre cordés l e spar o lesquidites	-|---|--⌫------|-⌫-⌫|---⌫-⌫--|--|----|
furen tc aren cor aiioubien pooi rdu	-----⌫|-⌫-|--⌫--|-|--|---|----⌫|-|
re tourne rse iouuoel . Et ildisent	--⌫------⌫|-|--|----⌫|-|-|-----|
------ --------- ----------------	------⌫---------⌫---------------|
u ersionXIII (2)p043	-⌫---------|--|---|
debi e nendites . Ila prendent	-|--⌫-⌫|-|-----⌫|--|-------|
congiét au	-------|-|
Soudanet il	-----|-|-|
lorb douneetmoutlo rc	--||----|-|---|--⌫||
proiedetost r euenir.La	----|-|---|-⌫------|-|
nésfuapa-reillie et	---|-|----------|-|
tout elo r	----⌫|--⌫|
estoir eatornee.Il entrèrent enset ddépartent	------⌫|-------|-|---------|--|--⌫|---------|
del port. Ilorent boin u entsicoiirurent	--|----|-|----|---|-⌫--|-|---------|
dur- men t e.L imarounier	----⌫---⌫-⌫-|-⌫|--------|
apielerentlada mesef li	---------|-|--⌫-|--|-|
disentDam echisuensnousma in e	-----|---⌫|---|---|---|--⌫--⌫|
B ran disorcomman dés(fol . 321b)	-⌫---⌫--|-|------⌫---|----⌫|--|-|
uos t r eplaisiru deialergcelepa rt	---⌫-⌫-⌫|------||--|---||---|--⌫-|
u ail -lours	|---⌫-----|
leur di stSeignourlaissiéscorrehar -diementc ar iou	---|--⌫-|-------|--------|----|---⌫-------|-⌫-|--|
saibien parlerfrançoisetautre	--|---|-----|--------|-|----|
langagesi uousconduir ai	------|-|---|-------⌫-|
19. — Tantontcourutpari ouret p ar nuit	--||---|--|-----|--|-⌫--|-|-⌫-|---|
parlauolentéIhesuCrist kilsont uen ut	--|-|-------|----|----||-|---|---⌫-|
etp risent por ta‘moutgr antsauuetée td escendiren t	-|-⌫-----|---⌫|||---|--⌫--|-------|-⌫|-⌫----------⌫|
furent recheü a mou tgrantio ie.	-----|------||---⌫|----|--⌫--|
Ladame ki mou testoitsaget rais t asesk pri souniers	-|---|-|---⌫|-----|---|-⌫----⌫||---|---⌫-------|
silor distSeign or	-|--|---|-----⌫-|
iouuo elkeuou srec ordés	--|--⌫-|-|---⌫|---⌫-----|
lesp arolesetlescouuenen ces kiditesfurent1	--|-⌫-----|-|--|--------⌫--|-|----|------|
etuoel estr ebiencertained e uousetauoir	-|---|----⌫|---|-------|-⌫|---|-|----|
boinesseürté sde uost ressairemens	-----|--------⌫|-|----⌫--|--------|
so u rqua nques uou s tenés	--⌫-⌫|---⌫----|---⌫|-----|
deDiuetmmeditesseuou sme	-|--|--|-|----|-|---⌫|-|
uole ́st enir	----⌫-|-⌫---|
lesc ouuenenc e s	--|-⌫--------⌫-⌫|
ke uo u sm eüstesencouuent u	-|--⌫-⌫||------|-|------||
nonc a re ncoreaiiou bienpooirde	--|-⌫-⌫|-⌫----|-|--|---|----|-|
retourner.Il li	---------|-|-|
disentDamesachiés	-----|---|-------|
san sdoutance	---⌫|-------|
u ersionXI IIp044	-⌫--------⌫-----|
Damenousned esimesc oze que nous	---|---|-|-⌫-----|-⌫--|--|---|
neuoello nsbientenir.	-|------⌫-|---|-----|
—Seigneursfaitele ué schimonfilquen	|--------|---|--|---⌫|--|--|--|-|-|
feron snous —Dameagra nt bieneta	-----⌫|---|----||---⌫-|---|-||
gran t(fo l.214) houneursoit	----⌫|---⌫-|---|------|---|
i lue nu s* — Seigneu rsfait	-⌫|--⌫--⌫-||-------⌫-|---|
eleiaimolt tolu au soudantquant	--||-|---|---|-|------|----|
iouli ai tolu mon cors et	--|-|-|---|--|---|-|
son filne plus de sezcozesiou	--|--|-|---|-|--|----|--|
neli béatoli r. Ele	-|-|--||----⌫-|--|
reuinta smarouniersalenef	-----|-⌫|---------||-|--|
et dis t Reto r tournés et dites l e	-|---⌫|----⌫|-------|-|----|-⌫|
soudantque io uli aitolumoncorsetson	------|--|--⌫|-|-|---|--|---|-|--|
filet ietéde sa	--|-|----|-|-|
pris onmo n	----⌫-|--⌫|
pereet m enbar onetmen frere.	---|-|-⌫-|---⌫-|-|--|-----|
Lima rouni er furent molt dolanteta	-|--⌫-----⌫-|-----|---|-----|-||
lainsquilp uerent	|---|-|-|-⌫-----|
retorne re nt.	-------⌫--⌫--|
20. —Liquen ss	--||-|----⌫||
aparellaet bie n	-------|-|---⌫|
otdeqoipar mar-	-|-|--|--|---|
-- ------------ ---- ------ ---- ---	--⌫------------⌫----⌫------⌫----⌫--|
uersionXIII (2)p 044	----------|--|-⌫--|
kenous ne uou s desim esa onque scoseki	-|---|-|---⌫|-----⌫--|-----⌫|---|-|
tenuene uo usso itparno u sl o ia ument et	----|-|--⌫-|--⌫-|--|--⌫-⌫|-⌫-⌫--⌫----|-|
sachié sparnos	-------⌫|--|--|
crestient é set sourbnosba pt e smes et sour q uan qu esnousten ons	---------⌫--⌫|-|----|--|--⌫--⌫-⌫---|-|---|-⌫---⌫--⌫-|---|---⌫--|
dec Diukedb ien les	--|--|-||-⌫--|--|
tenronsnenensoiiésennuledoutance.	------|-||-|------|-|---|--------|
—Etiouuousen	|-|--|---|-|
croiatan tfait adame.Sei gnorfait	---|----⌫|---||----|---⌫---|---|
ele ueés chimonfilkeiou ai	--|----|--|--|--|-|--|-|
delSoudan k enferons	--|-----||-|-----|
nous — Damea	---||---||
grantli onor e ta	----|--⌫---|-⌫||
grantioies oit	----|---|-⌫--|
—Seignorf aitladam eio u	|------|-⌫--|-|---⌫|--⌫|
aimoutmesfaiten uierslesou - dan	-|---|---------⌫----|-|---⌫-⌫--|
(fo l.3 21c)cariouli ai	---⌫-|-⌫-|-|--|--|-|-|
tolumon corset	---|--|---|-|
sonfilk il mout	--|--||-|---|
amoit. Elef	-----|--||
reuintasma rouniers etlesapielaetlor	-----|-|--⌫-------|-|--|-----|-|--|
dis tSeignourretournés etditesauSoudan	---⌫|-------|---------|-|----|-|-----|
kei e liai tolu moncorsetsonfil	-|-⌫|-|-|---|--|---|-|--|--|
et gieté delapr ison	-|-----|-|-|--⌫---|
mon pe ree t	--|--⌫-|-⌫|
monbarone tmonfre re .	--|----|-⌫|--|---⌫--⌫|
Qua n t limarounier oïrentçou si en	---⌫-⌫|-|--------|------|---|-|-|
f urentmou t dotant	-⌫----|---⌫|-----|
maisplus n enporent faire.Ils	---|---||-|-----|-----|-||
entor nerentt ri streetdolan t pour io r dameetpour	-|---⌫-----|-⌫--⌫---|-|-----⌫|---|--⌫|---|-|---|
lordamoisie l k ilmout amoien t et	--|--------⌫||-|---|------⌫|-|
despris ouniers kiensisont pi erd u	--|----⌫------|-|---|---|--⌫---⌫|
sansrec ouurie r.	---|---⌫------⌫-|
20. —Liquen s	--||-|----⌫|
sa pareillaet bienot de	|-⌫-------|-|---|-|-|
c oi parmar-	-⌫-|--|---|
uers ionXIII p045	----⌫-------⌫---|
céans e t pa r Templiers qui	-----|-⌫|--⌫|--------|--|
uolentiers lipre stentd uleur. Aparel lié	---------|-|---⌫----|-⌫|----|------⌫---|
murent d e la	-----|-⌫|-|
etu inrentaRo me.Liquensuintdeuant	-|-⌫-----||--⌫--|-|----|---|-----|
l Aposto leatoutesacompaignie.Chascuns seconfessaa	|------⌫-||----|-|----------|-------|-|-------||
luie tqua nt	--|-⌫|---⌫-|
ileutcho u oïsifistmo l tgrant	-|--|---⌫|--|-|---|--⌫-⌫|----|
ioiedesoeuure set	---|--|------⌫|-|
dumira clequeDiexm o ustr oit a sentans.	-|----⌫--|--|---|-⌫-⌫----⌫--||--|----|
l enfant etot	|-----|-|-|
nomde Guilliame.A prèsil	--|-|---------|-⌫----|-|
remistladame en	-----|-|---|-|
droitecrestientéetconferma etl ietson	-----|----------|-|-------|-|-⌫|-|--|
seigneurendroitmari a geetdounachascunpenitance de	-------|-|----|----⌫-⌫-|-|----|------|--------|-|
sesmesfais.Aprèsilmon-	--|-------|-----|-|---|
- ------------- ------- ---- ------	-⌫-------------⌫-------⌫----⌫-----|
uersionXIII(2)	----------|--|
cheansetparTempl iers	-----|-|--|-----⌫---|
kiuolentierslor pres te rentadelleur.Et quant li	-|---------|--|----⌫--⌫----|--|----|-|----|-|
q uens etsa	-⌫---|-|-|
c ompaignieorent bseio rnéenle u ilede	-⌫--------|----||----⌫---|-|-|-⌫--|-|
Brandisctan tc omilloruint	-------|---⌫|-⌫-|-|--|---|
ap lai sirilsapa-re illierentet murent de	|-⌫---⌫--|-||------⌫--------|-|-----|-|
