Cycom me nc e	-|---⌫--⌫--⌫|
sçauronsadi reque lquecho se silleur	--------||--⌫-|---⌫---|---⌫-||-|---|
plaistnous laisserentrere t	-----|---|------|-----|-⌫|
Paris de paruoussa lueronset	----|-|--|---|--⌫------|-|
sanobleco mpaignie	-|----|--⌫-------|
Commen tle royd	------⌫|-|--||
Angleterreenuoya six des es baro n sdeuers	---------|-----|--|-|-⌫-|----⌫-⌫|-----|
P arisluy remercierlesbiensquilluy auo itenu oyez	-⌫---|--|--------|--|----|-|-|--|---⌫-|---⌫---|
luydire quiluintcoucher auecle roy	--|---|-|-|---|------|---|-|--|
L es baronsd u roy d	-⌫-|-----|-⌫|--||
Angle terresenal ler entau	-----⌫----||-|--⌫---⌫--|-|
quar tie rde	----⌫---⌫|-|
Parisquilztrou ue renttout	----|-|--|----⌫--⌫---|---|
fossoyé et barrédeta udisetga rdes	-------|-|-----|-|--⌫---|-|--⌫---|
armezalaporte	----||-|----|
S ifur enttous esmerueil l ez et demand erent ausdictsgardesa qui	-⌫|---⌫--|---|---------⌫-⌫-|-|------⌫----|-------|-----||--|
ilzestoi ent	--|-----⌫--|
leur r espond ir ent	---|-⌫------⌫--⌫--|
Nous s ommesa	---|-⌫----||
aqu i estes uous	|--⌫|----|---|
Messe igneursno ussommes di re ntles	-----⌫------|--⌫-|-----|--⌫--⌫-|--|
Ang lois au	---⌫---|-|
Angle ter requenous enuoye	-----⌫---⌫-|--|---|-----|
Parisluyremercierles biensqu il	----|--|--------|--|----|-|-|
anostre maist resiluous plaistnousfere z	|-----|-----⌫-||-|---|-----|---|----⌫|
parler aluy	-----||--|
uoulen tiersdirent ilz carilnousacommand équ e	------⌫----|-----|--|--|-|---||-------⌫-|--⌫|
Angloisnesoitriens r efusé	------|-|---|----|-⌫-----|
pour cequilzs o ntuen us	---|-|-|--|-⌫-⌫-|---⌫-|
ensacompa ig nie	-|-|-----⌫--⌫--|
Les baronsentrerenttousesme rueillez de	--|-----|--------|---|----⌫-------|-|
ce quilzueoientetquantil z furentdeuantle	-|-|--|------|-|----|--⌫|-----|-----|-|
Parisilztrouuerentaultres gardesquelaporte gardo ien t	----|--|---------|------|-----|--|-|----|-----⌫---⌫|
a u squelzilz	-⌫-⌫-----|--|
fi re nt reuerence etleurdirentl a cause	--⌫--⌫-|--------|-|---|-----|-⌫|----|
de leu ru e nue	-|---⌫|-⌫-⌫--|
Et lorsle cap pi tain e decelle gar deallasau oirsi	-|---|-|---⌫--⌫----⌫|-|----|---⌫-|---|---⌫--|-|
onlesl a issero itentrerlequelfut	-|--|-⌫-⌫------⌫-|-----|-----|--|
inconti nant reuenuet dita ux	-------⌫---|-----|-|--|-⌫-|
Messeigneu r snostremaistre	----------⌫-⌫|-----|------|
estatablemaiscenonobst antil	--||----|---|-|--|----⌫--|-|
ueultbien queuo us e ntrez	----|---|--|--⌫-|-⌫----|
Oruousenuenezap rèsmoy	-|---|-|----|--⌫---|--|
Adonc semitdeua n tetles	----|-|--|----⌫-⌫|-|--|
baronsaprès	-----|-----|
Etquant i lent rae nlasalle o u	-|----|-⌫|---⌫-|-⌫|-|----|-⌫|
Paris estoitil se gec taa genoulz	----|-----|-|-|---⌫-||------|
aussifirentles	----|-----|--|
An glois quantilz	--⌫----|----|--|
uirentungte lestat	-----|--|--⌫|----|
Parisestoit a	----|-----||
t abletoutseul etsesgensau tourdeluy	-⌫---|---|---|-|--|---|-|---|-|--|
ens i belles illen ceet ceulxa qu i	-|-⌫|----|-⌫-----⌫-|-|----||--⌫|
ilparloitmect oient tousiourslegenoi l a	-|------|----⌫----|--------|-|-----⌫||
L asallee stoitto u t ete ndue	-⌫|----|-⌫----|--⌫-⌫-⌫|--⌫---|
de moultrichetapisserie	-|----|----|---------|
etlecieletl epauementaussitout	-|-|---|-|-⌫|-------|----|---|
Pa risbi enueignale s	--⌫--|--⌫-------|--⌫|
Angloisetleur fitgr antchiere	------|-|---|--|--⌫--|-----|
et ensou ppan t	-|-|---⌫----⌫|
deu isa longuementauec	---⌫--|---------|---|
Etquant ileu t	-|----|-|--⌫|
souppée t	------|-⌫|
gracesfurentdictes	-----|-----|-----|
instrumentzdet o utessortes commancerentaso nnerengr ant	----------|-|-⌫-⌫---|-----|-----------||--⌫---|-|--⌫--|
m elo die Lonmena soupperl es	-⌫---⌫--||-|---|------|-⌫-|
Anglois au ec lesbaronsde	------|--⌫-|--|-----|-|
Fr ance si f urentmoul thaultementseruiset	--⌫---|-|-⌫----|----⌫|---------|-----|-|
toutdeu iande	---|-|-⌫----|
chauldesisenesmerueil l o ien tgrandem ent de lagr antlargesse	------|-||-|---------⌫-⌫-⌫---⌫|-------⌫--|-|-|--⌫--|-------|
debiensquiyestoit etdela grant	-|----|--||-----|-|-|-|----|
qu an tité de uexel led oret dargent	--⌫--⌫----|-|-----⌫-||-|-||-----|
A prèssoup perles	-⌫----|----⌫--|--|
Anglois prindrent congiée t sen	------|--------|------|-⌫||-|
retournerentau ro yauquel	-----------|-|--⌫|-----|
ilzconterenttout	--|--------|---|
a u longceque auoientueudonti lfut	-⌫|---|-|--|------|--|---|-⌫|--|
deplusenplus esbay	-|---|-|---|----|
S in e sçau oit	-⌫|-⌫|-----⌫--|
que d ire mais	--|-⌫--|---|
quepoint nele	--|----|-|-|
laisse roittantqueleurchemi n	------⌫---|---|--|---|-----⌫|
iluouldr oitt eni r	-|------⌫--|-⌫---⌫|
Quantuintau	----|---|-|
Paris alla	----|---|
alesglis e	||------⌫|
auoi tfaittendreung moult richeet	----⌫|---|-----|--|----|----|-|
beaup auillon	---|-⌫------|
Puis fu t comma n cé ela messe a bea uxch antre squil	---|--⌫|-----⌫-⌫---⌫|-|----||---⌫-|--⌫-----⌫|-|-|
menoi tauecques lu y	-----⌫|-------|--⌫|
Il yeutdes	-||--|--|
Anglois qui lalerent bientostracompter	------|--||------|---|---|--------|
aur oy lequels en uint le pl ushastiuementq u	-|-⌫-|-----||-|---|-|--⌫-|----------|-⌫|
ilpeutalesglis e	-|---|||------⌫|
Parisl u yman daquiluint enson	----|-⌫-⌫|---⌫-|-|-|---|-|--|
p a uillon si l a l erentqueri retlu y	-⌫-⌫-----|-||-⌫-⌫----|-----⌫|-|--⌫|
Parisuousp rieque ue niezensonpauill ons i	----|---|-⌫--|--|--⌫---|-|--|------⌫-|-⌫|
ser ezmieulxa	---⌫-|-----||
uostre aize	-----|---|
Leroy leur	-|--|---|
uoule ntiers ieiray	-----⌫-----|-|---|
Etquantleroyentradedansle	-|----|-|--|----|-----|-|
pauillonil salua	-------|-|----|
Paris lequel luyrenditsonsalutet luyfit plasse	----|-----|--|-----|--|----|-|--|--|-----|
aup rèsluyetfai soitm oult beauueoi rledictpauillonpar	---⌫---|--|-|---⌫---|-⌫---|---|----⌫|-----|-------|--|
dedansetlesbeauxcarre aulxet	-----|-|--|----|-----⌫---|-|
or eilliersquiy	--⌫-------|--||
Aussifaisoit beau	----|------|---|
ueoirlesorneme ns desa chapelle	----|--|------⌫-|-|-|-------|
quie stoientmoultfort be auxetriches	--|-⌫------|----|---|--⌫--|-|-----|
Qua ntlamessefutdictechascunprint	---⌫-|-|----|--|----|------|----|
c ongiéets en uindrent en le urs	-⌫-----|-||-|-------|-|--⌫--|
logispourdesieuner	----|---|--------|
Paris enuoya	----|-----|
Angleterr ede uia nd etoutechauldecommeil au oit fai t	---------⌫|-|---⌫--⌫|----|------|----|-|--⌫--|---⌫|
Puismonterenta cheu al	---|--------||----⌫-|
etch euaucheren tenlamanierequeauezouyiusques	-|--⌫----------⌫|-|-|------|--|---|--|------|
Ettous i ours	-|----⌫-⌫---|
Parisauoit	----|----|
s eslogis faitzet aou rne z	-⌫-|----|----|-|---⌫---⌫|
e tfo u rnis	-⌫|--⌫-⌫---|
d eu i uresa plantéetachascunrep as il	-⌫|-⌫-⌫---||------|-||------|---⌫-|-|
e nenuoyoitauroyd	-⌫|-------|-|--||
A n gleterre quemoult c	-⌫-⌫-------|--|----||
esmerueilloitdonti celle uiandepouuoit	------------|---|-⌫----|-----|------|
uenir eten cypetit esbourgadesco mmeilzlogeoient	----|-|-|-|-----⌫-|--------|--⌫--|--|--------|
aulcunssoirs	------|----|
Commeleroyet	----|-|--|-|
Parischeuauch oient ensemble	----|--------⌫----|-------|
et deu iso ient deleur ch emin	-|---⌫---⌫---|-|---|--⌫---|
Ungiour comme ilzcheuauchoient	--|---|----|--|------------|
Bourdea uxle royangl oisdemandaa	-------⌫-|-|--|----⌫--|------||
P aris seilyroitius ques	-⌫---|-|-|----|---⌫---|
I e han de	-⌫-⌫--|-|
Parisluy respond i t queouy	----|--|-------⌫-⌫|--|--|
Dieudit ler oy	---|--|-|-⌫-|
queuostreuo yagesadressatde	--|-----|--⌫---||-------|-|
u enir iu sq ues en	-⌫---|--⌫--⌫--|-|
Espaignecar	-------|--|
i ensero yemoultioyeulx	|-|----⌫-|----|------|
Certe s ditlors	-----⌫|--|---|
P ari s a l au enturesiferailcar	-⌫---⌫|||--⌫-----|-|---|-|--|
sil e uou loi rmenprent ielacom plira ys	-|-⌫|---⌫---⌫||-|----|-||----⌫-----⌫||
il plais ta	-|-----⌫||
aultrechose nesuis	-----|----|-|---|
iesubgectaprè s	-|------|-----⌫|
Dieusi non amonuoulo ir	---|-|--||--|-----⌫-|
car pourhomme	--|---|----|
quiuiueie ne feroys	--|---|-|-|-----|
queama uoulenté Ce stgrantcho se d itle	--||-|--------||-⌫-|----|---⌫-|-⌫-|-|
roy queceuous ui uezlon gue m ent	--|--|-|---|--⌫--|---⌫---⌫-⌫--|
mond e iluousfau ldra	----⌫|-|---|---⌫---|
changerpr opo z ouuou spourre zb ien sauoir	------|--⌫---⌫|-|---⌫|------⌫|-⌫--|-----|
que ueultdire soufferte	--|----|---|--------|
Cert esdit	----⌫-|--|
Par isd ecen ayi egardecarla	---⌫-|-⌫|-||-|-⌫|----|--|-|
Di eu mercyiay des bi ensasse zplus	--⌫-|----||-|--|--⌫--|----⌫|---|
pourr ay en t outm o nuiu a ntgas te ra	-----⌫-|-|-⌫--|-⌫-⌫|---⌫-⌫-|---⌫--⌫||
tenirlordr e	----||----⌫|
queietiensetlestatque iem ai ne	--|-|----|-||----|--|-|-⌫--⌫-|
rega rdasesgens	----⌫--|--|---|
en disant asoy mesm esque c est homme n	-|-----||--|----⌫-|--|-⌫--|----||
au o it pasbonsensnaturelet estoittout	--⌫-⌫-|--|--|---|------|-|-----|---|
esbay tantquilnesauoitque y pencer	----|---|-|-|-|-----|--||-----|
Mais tanty auoit	---|---||----|
Paristeno itlero yle	----|----⌫-|-|--⌫|-|
pl us aizequeoncquesenson	--⌫-|---|--|------|-|--|
ui uanteutes té	--⌫---|--|--⌫--|
Ungiourc ommeilzc h euau choiententre	--|---|-⌫---|--|-⌫-⌫----⌫------|----|
Bayonne il	------|-|
s e mit tr esfortaplouuoir	-⌫|--|--⌫-----||-------|
Pari setsesgensuo yant	----⌫|-|--|---|--⌫---|
l apluyeuenir	-⌫|----|----|
uestirentleu rsmante auxetchapperons	--------|---⌫-|-----⌫--|-|---------|
Parisetsesgen s uirent que la	----|-|--|---⌫|-----|--|-|
pluyeuenoita	----|-----||
forceil zprirent leurs mantea u x e t	----|--⌫|------|----|------⌫-⌫|-⌫|
chappe ronsa g orgeet uindrent iusquesaupr ès du	------⌫---||-⌫---|-|-------|------|----⌫--|-|
Angleterr equ e commença	---------⌫|--⌫|--------|
alesregarder	|--|-------|
estatquil znauoientgardede	----|-|--⌫||------|----|-|
lapluyeetalorsle roy	-|----|-|----|-|--|
a myuouset	-⌫-|---|-|
aue ztrouuezbo ns habille mens co ntre lapluye	---⌫|------|--⌫-|-------⌫---|--⌫---|-|----|
et lemauluaistemp s	-|-|-------|----⌫|
Carluyneses gens nauoientnulz mante aulx	--|--|-|--|---||------|---|-----⌫---|
pourcequeautempsd alors n	---|-|--|-|----||----||
enusoi ent p o inten	-|----⌫--|-⌫-⌫--|-|
Engleterr eet aussinesçauoient	---------⌫|-|----|-|---------|
pasla man ieredele s faire	--|-|---⌫---|-|--⌫|----|
Et siportoient	-|-|--------|
Angloisleursbo nne sr ob besqu i lzauoi e nt	------|----|--⌫---⌫|-⌫--⌫--|-|-⌫-|----⌫-⌫-|
faitfai re pourle s nopces	---|---⌫-|---|--⌫|-----|
caren l eurpaysnestoit	--|-|-⌫--|---||-----|
poin tn o uuellesdep ortermalles	----⌫|-⌫-⌫------|-|-⌫----|-----|
nemener ba utzp arquoyuou spouez penceren	-|----|--⌫--|-⌫-|---|---⌫|----|-----|-|
quelpointpouoientestr eleursrobbes	---|----|-------|----⌫|----|-----|
Lesune sestoient longu es lesaultrescourteslesaultresfourreez	--|---⌫|-------|-----⌫-|--|------|------|--|------|-------|
demar t r es	-|---⌫-⌫-⌫-|
der ena rdsetdeplusieurs	-|-⌫---⌫--|-|-|--------|
aultres four ru res qu ic estoi e ntretraicte spourl	------|----⌫--⌫--|--⌫||-----⌫-⌫-|---------⌫|---||
amourde leaue et lelendemain	----|-||---|-|-|--------|
euss iezue ule drap quefloctoitsurlesdi ctes	----⌫--|--⌫|-|---|--|-------|--|-----⌫---|
forruresquiestoi en t gastees	-------|--|-----⌫--⌫|------|
etretraictes	-|---------|
L ors respondit	-⌫--|--------|
Parisauroyen	----|-|--|-|
cestemaniere	----|------|
Sire uousqui	---|---|--|
Angl eterree t grantseigneurdeussiezfair e porter	----⌫-----|-⌫|----|-------|-------|----⌫|-----|
auozge nsmai s o nspour eulxcouuri r	|--|--⌫-|---⌫-⌫-⌫-|---|---|------⌫|
entemp s de	-|----⌫|-|
Angleterrepourcesparollesceprint moul t for t	---------|---|--|-------|-|----|----⌫|---⌫|
etluyuar espondr e	-|--|-|-⌫-------⌫|
Dieumon amyil	---|--|--|-|
fauldroitauoi r desholiffansgrant	--------|----⌫|--|--------|----|
planté aportertant de mais ons	------||-----|---|-|----⌫--|
retirau ersses baronsendi san tetriant N	-----|-⌫--|--|-----|-|--⌫---⌫|-|----||
a uezuou spa sbien ouy seque cegal lant	-⌫--|---⌫|--⌫|---|--|-|--|-|---⌫---|
Cemonstre ilpasbienque	-|------|-|--|---|--|
cestungfol lastre	|--|--|---⌫-----|
I llu yest aduy spourle	-⌫|--⌫|--|----⌫|---|-|
grant tr esorquila le quel	----|--⌫---|-|-||--⌫---|
ilnapas acqu isque riens	-|||--|----⌫-|--|----|
neluyestimpo ssible	-|--|--|----⌫-----|
Sirediren tl es	---|-----⌫|-⌫-|
baronsangloisc estung	-----|------||--|--|
b eaupasse tempsqu e	-⌫--|----|----|--⌫|
des treauprèsde luys i ne	|--⌫--|------|-|--|-⌫|-|
uou sendebuez ennuye rm esmementcaril	---⌫|-|-----|------⌫|-⌫-------|--|-|
uous fait beaucoupdepl aisirsetsien	---|---|-------|-|--⌫-----|-|-|-|
passezplus legierementlepaïs	-----|---|----------|-|----|
Quep lusta	--|-⌫---||
D ieu quil u oulsistal ler auecquou sauxno pcescar	-⌫--|-|-|-⌫------|--⌫--|----|---⌫|--|--⌫---|--|
toutuo stre e statenseroit honnor e ́	---|--⌫---|-⌫---|-|-----|------⌫-⌫|
mais que ilseuoulsistallouera	---|--|-|-|-------|------||
uo usenlu ydonnant u n ebon ne sommedargent	--⌫-|-|--⌫|------|-⌫-⌫|---⌫-|----||-----|
Ie leuouldr oy s bien ditle	-|-|------⌫--⌫|---|--|-|
roy maisseil nesedisoitanous	--|---|-|-|-|-|-----||---|
ce nousseroit u negrandeme spr is oncar peupris eroi entles	-|---|-----|-⌫-|-----|--⌫---⌫--⌫-|--|--|----⌫----⌫--|--|
damesnozesta tzcontre lesien	----|--|----⌫-|-----|-|---|
Dieudiren tlesbaronssireuousdictes	---|-----⌫|--|-----|---|---|-----|
Silaisser entdutoutleparlement les	-|-------⌫--|-|---|-|--------|--|
Angloi scarlapluyeles chargoittant	------⌫|--|-|----|--|-------|---|
qui lnyauoit	-|-⌫|||----|
qui le l ogis neluy tard ist	--|-|-⌫---|-|--|----⌫--|
Quantilzfurentenl au ille	----|--|-----|-|-⌫|-⌫---|
chasc un senallalo gi er aulogisquiluy	-----⌫-||-|---|--⌫--⌫-|-|----|--|--|
estoitappareillé	-----|----------|
Parisauroy d	----|-|--||
Angleterredeses biens	---------|-|--|----|
Lelendemai naumatin partirentetuindrent	-|--------⌫|-|----|--------|-|-------|
l o gi e ra	-⌫-⌫--⌫-⌫||
Et le lendemain matinsepartirentdud ict	-|-|--------|----|-|--------|---⌫--|
Bayo nneetse	----⌫--|-|-|
mirentaux c hampsetencheuauchant	-----|--|-⌫----|-|-|----------|
trouu erent unepetite r iui ere qui e stoitmoult	-----⌫----|--|-----|-⌫---⌫--|--|-⌫----|----|
mauluaisecarils	--------|--|-||
i noyaplusieurs	|---|--------|
An gloisc ommeuousorr ez	--⌫----|-⌫---|---|---⌫-|
Commentenpassant	------|-|------|
une petit eriuie re beauco pde s	--|-----⌫|-----⌫-|------⌫|--⌫|
A ngloisseno ye r entetcomme	-⌫-----|-|--⌫--⌫-⌫--|-|----|
P ariset ses genspa ssere nt	-⌫---|-|--|---|--⌫-----⌫-|
Quantilzfur ent	----|--|---⌫--|
arriueza u près de la riu iere	------|-⌫-⌫----|-|-|---⌫---|
Angleterree tses gen s	---------|-⌫|--|---⌫|
quiestoientde uantsemirentapass er	--|-------|--⌫---|-|-----||----⌫-|
la riuier eague ́ouil	-|------⌫||---⌫|-|-|
yen eutde troisa quatreuingts	|-|--|-|----||-----|-----|
denoyezquiesto ient	-|----|--|----⌫---|
do n t ledict royfutmou ltdesplaisant	--⌫-⌫|-----|--|--|---⌫-|----------|
Parisquiue noitap rè stout bellement	----|--|--⌫---|--⌫---⌫|---|--------|
qui nesesmayoit guieresdecelleriuierepou r	--|-||-------|------|-|----|------|---⌫|
ceque luyet saco mp aignieestoi e ntbienmontezcomman ceren t	-|--|--|-|-|--⌫--⌫-----|-----⌫-⌫-|---|-----|------⌫-----⌫|
apasserl es	|-----|-⌫-|
ungsaprès le saultres e ntellefasson	---|-----|--⌫|------|-⌫|----|-----|
etmanier eque tous passe rentpa rla	-|------⌫|--|---|-----⌫---|--⌫|-|
u oulen té et grac ede	-⌫-----⌫--|-|----⌫|-|
Dieusansnulperilne danger carlariuie reestoit	---|---|--|----|-|-----|--|-|-----⌫-|-----|
deue nue grosse et auoit abbat ule	----⌫--|-----|-|----|-----⌫|-|
estoitpa r quoy	-----|--⌫|---|
ilyauoit grantdang iermais	-||----|----|----⌫--|---|
Dieuacelle foiz garda	---||----|---|----|
Parise t ses gensd es trenoyez	----|-⌫|--|---||--⌫--|----|
A ngleterreestoitau bourtde	-⌫--------|-----|-|----|-|
la riuierelamantant etpl oura ntses	-|------|--------|-|--⌫----⌫-|--|
auoit pardus et	----|-----|-|
r egardoit comme	-⌫-------|----|
Pa ri s et sesgens	--⌫--⌫|-|--|---|
passoi en tdontestoit fort e smerueillédecequeper sonne	------⌫--⌫|---|-----|---|-⌫----------|-|-|--|---⌫----|
de sgensde	--⌫|---|-|
Pari snedemo uroient	----⌫|-|----⌫------|
en lariuiere	-|-|------|
ilzfurent dehors oult releroy commen sa a	--|-----|-----|----⌫-|-|--|------⌫-||
amyuo usauez	--|--⌫-|---|
heumeilleuraduentureen cesteriuiere	--|-------|--------|-|----|------|
qu emoyquiyaypard u plu si eursde	--⌫|--|--||-|----⌫|---⌫--⌫---|-|
Par iss eprint	---⌫-|-⌫|----|
asoubzriree tluydit	|--------|-⌫|--|--|
Iem esme rueillede uous q ui	-||----⌫------|-|---|-⌫-|
estessi pu i ssantet riche	----|-|--⌫-⌫----|-|----|
nefaictespo rterungpont	-|------|--⌫---|--|---|
pourpasse ruozge nscar	---|-----⌫|--|--⌫-|--|
quan tiluient a ux riuieresp as s erill eur se roitbien	----⌫|-|----|-⌫-|-------|-⌫--⌫-⌫-|-|-⌫--|--⌫---|---|
necessai re	--------⌫-|
seprint arirenonobstan t sa perteet di t	-|----||---|---------⌫|-|----|-|--⌫|
Dieuuous me baill ezdebonnes raisons	---|---|-|-----⌫-|-|-----|------|
Orsuscheuau chonscar	-|--|------⌫----|--|
i e suisfort mo illé	-⌫|---|---|--⌫----|
