domineexaudiorationemmeam	domine exaudi orationem meam
fenumetaruitcormeumquiaoblitussum	fenum et aruit cor meum quia oblitus sum
comederepanemmeum.avocegemitusmei	comedere panem meum . a voce gemitus mei
adhesitosmeumcarnimee.similis	adhesit os meum carni mee . similis
factussumpellicanosolitudinisfactussumsicut	factus sum pellicano solitudinis factus sum sicut
nicticoraxin	nicticorax in
domicilio.vigilavietfactus	domicilio . vigilavi et factus
sũsicutpasser	sũ sicut passer
solitariusintecto	solitarius in tecto
totadieexprobrabantmichi	tota die exprobrabant michi
inimicimeiet	inimici mei et
quilaudabantme	qui laudabant me
adversũmejurabãtquiacyneremtanquampanemmanducabam	adversũ me jurabãt quia cynerem tanquam panem manducabam
etpotummeumcumfletumiscebam.afacieire	et potum meum cum fletu miscebam . a facie ire
etindignationistuequia	et indignationis tue quia
elevansallisisti	elevans allisisti
mediesmeisicutumbradeclinaveruntetego	me dies mei sicut umbra declinaverunt et ego
sicutfenũarui.tuautemdomineineternumpermanes	sicut fenũ arui . tu autem domine in eternum permanes
etmemorialetuũingenerationemetgenerationẽ.tu	et memoriale tuũ in generationem et generationẽ . tu
exurgensdominemisereberissyonquiatempusmiserendiejusquiavenit	exurgens domine misereberis syon quia tempus miserendi ejus quia venit
tẽpusquoniamplacueruntservistuislapides	tẽpus quoniam placuerunt servis tuis lapides
ejusetterreejus	ejus et terreejus
miserebunturettimebuntgentesnomẽ	miserebuntur et timebunt gentes nomẽ
tuumdomineetomnesregesterre	tuum domine et omnes reges terre
gloriamtuam	gloriam tuam
.quiaedificavitdominussyonet	. quia edificavit dominus syon et
videbiturĩ	videbitur ĩ
gloriasua.	gloria sua .
respexitinorationemhumiliumetnõsprevitprecemeorũ	respexit in orationem humilium et nõ sprevit precem eorũ
.scribanturhecingenerationealteraetpopulusqui	. scribantur hec in generatione altera et populus qui
creabiturlaudabitdominum.	creabitur laudabit dominum .
quiaprospexitdeexcelsosc̃osuodominusde	quia prospexit de excelso sc̃o suo dominus de
celointerramaspexit	celo in terram aspexit
.utaudiretgemituscompeditorumutsolveret	. ut audiret gemitus compeditorum ut solveret
filiosinteremptorumutannuntient	filios interemptorum ut annuntient
insyonnomen	in syon nomen
dominietlaudemejusiniherusalem.	domini et laudem ejus in iherusalem .
inconveniendopopulos	in conveniendo populos
inunumet	in unum et
regesutserviantdomino	reges ut serviant domino
.respondit	. respondit
eiinviavirtutissuepaucitatemdierummeoꝝnuntia	ei in via virtutis sue paucitatem dierum meoꝝ nuntia
michi.ne	michi . ne
revocesmeindimidiodierummeorumin	revoces me in dimidio dierum meorum in
generationemetgenerationemannitui.initiotu	generationem et generationem anni tui . initio tu
domineterramfundastietopera	domine terram fundasti et opera
manuumtuarumsuntceli.ipsi	manuum tuarum sunt celi . ipsi
peribunttuautemꝑmanes	peribunt tu autem ꝑmanes
etomnessicutvestimentum	et omnes sicut vestimentum
veterascent.et	veterascent . et
sicutopertoriummutabiseoset	sicut opertorium muta bis eos et
mutabunturtuautẽ	mutabuntur tu autẽ
idemipseesetannituinondeficient	idem ipse es et anni tui non deficient
.filiiservorumtuorumhabitabuntetsemeneoruminseculum	. filii servorum tuorum habitabunt et semen eorum in seculum
dirigetur.ps̃davidDÑEexaudioratiõemmeã	dirigetur . ps̃ david DÑE exaudi oratiõem meã 
⁊clamõm̃sadteꝑueniat.Neau͛tas	⁊ clamõ m̃s ad te ꝑueniat . Ne au͛tas
faciemtuamameinqͣcũq	faciem tuam a me  in qͣcũq
dietribulorinclinaadmeaurẽtuam	die tribulor inclina ad me aurẽ tuam
.Inquac̃qdieinuocaũote	. In quac̃q die inuocaũo te 
uelocit̃exaudi	uelocit̃ exaudi
me.Quiadefecerũt	me . Quia defecerũt
sicutfum᷒diesm̃i⁊ossam̃asicutcremiũ	sicut fum᷒ dies m̃i  ⁊ ossa m̃a sicut cremiũ
aruerũt.ꝑcussus	aruerũt . ꝑcussus
sũutfenũ⁊aruitcormeũ	sũ ut fenũ ⁊ aruit cor meũ 
oblitussũcomed̃epanẽmeũ.Auocegemitus	 oblitus sũ comed̃e panẽ meũ . A uoce gemitus
m̃iadhesit	m̃i  adhesit
osmeũcãnimee.Simil̃fc̃ssumpellicano	os meũ cãni mee . Simil̃ fc̃s sum pellicano
solitudinisfc̃ssũsicutnicticoraxindomicilio.	solitudinis  fc̃s sũ sicut nicticorax in domicilio .
Vigilaui⁊fc̃ssũsic̃passersolitari᷒in	Vigilaui  ⁊ fc̃s sũ sic̃ passer solitari᷒ in
tecto.Tota	tecto . Tota
dieexprobrabãt	die exprobrabãt
mͥinimicim̃i⁊quilaudabãtmeadu͛sum	mͥ inimici m̃i  ⁊ qui laudabãt me adu͛sum
meiurabãt.Quiacinerẽtãꝙͣpanẽmãducabã	me iurabãt . Quia cinerẽ tãꝙͣ panẽ mãducabã 
⁊poculũmeũcũfletumiscebã.	⁊ poculũ meũ cũ fletu miscebã .
Afacieireetindignationistue	A facie ire et indignationis tue  
eleuãsallisistime.Diesm̃isicutumbradeclinauerũt	eleuãs allisisti me . Dies m̃i sicut umbra declinauerũt 
⁊egosicut	⁊ ego sicut
fenũarui.	fenũ arui .
Tuaut̃dñe	Tu aut̃ dñe
inet̃numꝑmanes⁊memorialetuũ	in et̃num ꝑmanes  ⁊ memoriale tuũ
ingñatione⁊gñem.Tuexũgensmisereberissyon	in gñatione ⁊ gñem . Tu exũgens misereberis syon 
tp̃smiserẽdi	 tp̃s miserẽdi
eius.ueñ	eius .  ueñ
tp̃s.Qm̃placuerũtẜuistuis	tp̃s . Qm̃ placuerũt ẜuis tuis
lapideseius⁊t̃reeiusmiserebũtu᷑.Et	lapides eius  ⁊ t̃re eius miserebũtu᷑ . Et
timeb̃tg̃s	timeb̃t g̃s
nom̃tuũd̃⁊õsregeᷤt̃re	nom̃ tuũ d̃  ⁊ õs regeᷤ t̃re
gl̃amtuã.Quia	gl̃am tuã . Quia
hedificabitdñssyon⁊uidebr̃	hedificabit dñs syon  ⁊ uidebr̃
ingl̃asua.	in gl̃a sua .
Respex̃inoratõnẽhũiliũ⁊ñspreũcem	Respex̃ in oratõnẽ hũiliũ  ⁊ ñ spreũ cem
eoꝝ.Scribant᷑h̃ingñatiõealt̃a⁊	eoꝝ . Scribant᷑ h̃ in gñatiõe alt̃a  ⁊
ppl̃squicreabr̃laudabit	ppl̃s qui creabr̃ laudabit
dñm.Qͥa	dñm . Qͥa
prospex̃deexcelsosc̃osuo	prospex̃ de excelso sc̃o suo 
dñsdeceloin	dñs de celo in
t̃rãaspex̃Vtaudiretgemituᷤconpeditoꝝ	t̃rã aspex̃ Vt audiret gemituᷤ conpeditoꝝ 
utsolũetfiliosint̃emptoꝝ.Vtannũtiẽtinsyon	ut solũet filios int̃emptoꝝ . Vt annũtiẽt in syon
nom̃domini⁊	nom̃ domini ⁊
laudẽeiusinierl̃m.In	laudẽ eius in ierl̃m . In
ꝯueniẽdopopulosin	ꝯueniẽdo populos in
unũ.⁊reges	unũ . ⁊ reges 
utsẽuiãtdñoR̃	ut sẽuiãt dño R̃
responditeiinuiauĩtutissue	respondit ei in uia uĩtutis sue
paucitatẽdierũeoꝝnũtiamͥNereuoces	 paucitatẽ dierũ eoꝝ nũtia mͥ Ne reuoces
meindimidiodieꝝm̃oꝝĩgñatiõe⁊	me in dimidio dieꝝ m̃oꝝ  ĩ gñatiõe ⁊
gñem.ãni	gñem . ãni
tui.Initiotudñet̃ram	tui . Initio tu dñe t̃ram
fũdasti⁊oꝑamanuũtuarũsũtceli.Ip̃	fũdasti  ⁊ oꝑa manuũ tuarũ sũt celi . Ip̃
peribũttuaut̃ꝑmanes⁊õsut	peribũt tu aut̃ ꝑmanes  ⁊ õs ut
uestim̃tũuet̃ascẽtEtsic̃	uestim̃tũ uet̃ascẽt Et sic̃
oꝑtoriũ.mutab̃eosetmutabũt᷑	oꝑtoriũ . mutab̃ eos et mutabũt᷑ 
tuaut̃idẽip̃ees⁊	tu aut̃ idẽ ip̃e es ⁊
ãnituiñdeficiẽt.Filiiẜuorũ	ãni tui ñ deficiẽt . Filii ẜuorũ
tuoꝝhabitabũtetsem̃eoꝝinscl̃mscl̃i	tuoꝝ habitabũt  et sem̃ eoꝝ in scl̃m scl̃i
diriget᷑.Oratiopauperis	diriget᷑ . Oratio pauperis
cumanxiatusfuerit&coramdño	cum anxiatus fuerit & coram dño
effuderitprecem	effuderit precem
suamCIDÑEEXAUDIORATIOnẽmeã&clamor	suam CI DÑE EXAUDI ORATIOnẽ meã  & clamor
m̃sadteueniat.	m̃s ad te ueniat .
Nonauertasfaciẽtuãameinquacũq.die	Non auertas faciẽ tuã a me  in quacũq. die
tribulorinclinaadme	tribulor inclina ad me
aurẽtuã.Inquacũq.dieinuocauerote	aurẽ tuã . In quacũq. die inuocauero te 
uelociterexaudime.Quia	uelociter exaudi me . Quia
defeceruntsicutfum᷒diesmei&ossameasicut	defecerunt sicut fum᷒ dies mei  & ossa mea sicut
gremiũaruerunt.	gremiũ aruerunt .
ꝑercussũẽut	ꝑercussũẽ ut
foenũetaruitcormeũquiaoblitus	foenũ et aruit cor meũ  quia oblitus
sumcomedere	sum comedere
panẽmeum.Auocegemitusmeiadhesit	panẽ meum . A uoce gemitus mei  adhesit
osmeũcarnimeę.Similisfactussũpellicano	os meũ carni meę . Similis factus sũ pellicano
solitudinisfactussũsicutnicticoraxin	solitudinis  factus sũ sicut nicticorax in
domicilioVigilaui&factussũ	domicilio Vigilaui & factus sũ
sic̃passer	 sic̃ passer
solitariusintecto.Totadieexꝓbrabant	solitarius in tecto . Tota die exꝓbrabant
michiinimicimei&quilaudabantme	michi inimici mei  & qui laudabant me
aduersũmeiurabant.Quiacinerẽ	aduersũ me iurabant . Quia cinerẽ
tãquãpanẽ	tãquã panẽ
manducabã&poculũ	manducabã  & poculũ
meũcũfletumiscebã.Afacieirę&	meũ cũ fletu miscebã . A facie irę &
indignationistuęquiaeleuansallisisti	indignationis tuę  quia eleuans allisisti
me.Diesmei	me . Dies mei
sicutumbra	sicut umbra
declinauer̃&egosicutfęnũarui.Tu	declinauer̃  & ego sicut fęnũ arui . Tu
autẽdñein	autẽ dñe in
ęternũꝑmanes&:memorialetuũin	ęternũ ꝑmanes  & : memoriale tuũ in
generatione&generationẽ.Tuexsurgens	generatione & generationẽ . Tu exsurgens
misereberissionquiatemp᷒miserendiei᷒quia	misereberis sion quia temp᷒ miserendi ei᷒ quia
uenittemp᷒.:Qm̃placuer̃seruistuislapidesei᷒	uenit temp᷒ .: Qm̃ placuer̃ seruis tuis lapides ei᷒
&terrę	 & terrę
ei᷒miserebunt᷑.Et	ei᷒ miserebunt᷑ . Et
timebuntgentesnomendñi&om̃sregesterrę	timebunt gentes nomen dñi  & om̃s reges terrę
gl̃amtuã.Quiaędificauitdñs	gl̃am tuã . Quia ędificauit dñs
sion&:	sion  & :
uidebit᷑in	uidebit᷑ in
gl̃asua	gl̃a sua
.Respexitin	. Respexit in
orationẽhumiliũ	orationẽ humiliũ 
&ñspreuitprecẽ	& ñ spreuit precẽ
eorũ.Scribant᷑hęc	eorũ . Scribant᷑ hęc
ingenerationealtera&populusquicreabit᷑laudabitdñm	in generatione altera  & populus qui creabit᷑ laudabit dñm
.Quiaꝓspexit	. Quia ꝓspexit
deexcęlosc̃osuodñsdecęloin	de excęlo sc̃o suo  dñs de cęlo in
terrãaspexit	terrã aspexit
Vtaudiretgemitũcompeditorũ&solueretfiliosinteremptorũ	Vt audiret gemitũ compeditorũ  & solueret filios interemptorũ
.Vtadnuntientinsionnomendñi&laudẽ	. Vt adnuntient in sion nomen dñi  & laudẽ
ei᷒inhierusalẽ.Inc̃ueniendopopulosinunũ	ei᷒ in hierusalẽ . In c̃ueniendo populos in unũ 
&regesutseruiantdño.Responditei	& reges ut seruiant dño . Respondit ei
inuiauirtutissuę	in uia uirtutis suę 
paucitatẽdierũmeorũnuntiamichi.Ne	paucitatẽ dierũ meorũ nuntia michi . Ne
reuocesmeindimidiodierũmeorũingenerationẽ	reuoces me in dimidio dierũ meorũ  in generationẽ
etgenerationẽanni	et generationẽ anni
tui.Inicio	tui . Inicio
.tudñe:terrãfundasti&opera	. tu dñe : terrã fundasti  & opera
manuũtuarũsuntcęli	manuũ tuarũ sunt cęli
.Ipsiperibunttuautẽ	. Ipsi peribunt tu autẽ
permanes&om̃ssicutuestimentũueterascent.Et	permanes  & om̃s sicut uestimentũ ueterascent . Et
sic̃opertoriũmutabis	sic̃ opertoriũ mutabis
eos&mutabunt᷑tu	eos & mutabunt᷑  tu
autẽidẽipsees.&annituiñdeficient	autẽ idẽ ipse es . & anni tui ñ deficient
.filiiseruorũtuorũhabitabunt	. filii seruorũ tuorũ habitabunt 
&semeneorũinsęculũdiriget᷑.	& semen eorũ in sęculũ diriget᷑ .
Oratiopauꝑiscũanxiat᷒fuerit	Oratio pauꝑis cũ anxiat᷒ fuerit
etcoramd̃o	et coram d̃o
effuderitcẽsuãCIDÑE	effuderit cẽ suã CI DÑE
exaudiorationem	exaudi orationem
meamet	meam  et
clamorm̃sadteueniat.Non	clamor m̃s ad te ueniat . Non
auertasfaciemtuamameinqͣcũq	auertas faciem tuam a me  in qͣcũq
dietribulorinclinaadmeaurem	die tribulor inclina ad me aurem
tuã.Inquacũqdieinuocauero	tuã . In quacũq die inuocauero
teuelocit̃	te  uelocit̃
exaudime.Quiadefecer̃sicutfum᷒diesmei	exaudi me . Quia defecer̃ sicut fum᷒ dies mei 
etossameasicutcremiũaruer̃	et ossa mea sicut cremiũ aruer̃
.ꝑercussus	. ꝑercussus
sumutfenũet	sum ut fenũ et
aruitcormeũquiaoblitussumcomederepanẽmeũ	aruit cor meũ  quia oblitus sum comedere panẽ meũ
.Auocegemitusmeiadhesitosmeum	. A uoce gemitus mei  adhesit os meum
carnimeę.Similisfactussũpelicanosolitudinisfactus	carni meę . Similis factus sũ pelicano solitudinis  factus
sumsicut	sum sicut
niticoraxindomicilio	niticorax in domicilio
.Uigilaui	. Uigilaui 
etfactussũsicutpassersolitarius	et factus sũ sicut passer solitarius
intecto	in tecto
.Totadie	. Tota die
exꝓbrabantmichiinimicimeietqͥlaudabant	exꝓbrabant michi inimici mei  et qͥ laudabant
meaduersũmeiurabant.Quiacineremtanquã	me aduersũ me iurabant . Quia cinerem tanquã
panẽmanducabã	panẽ manducabã 
etpocl̃mmeũcũfletumiscebam.Afacie	et pocl̃m meũ cũ fletu miscebam . A facie
ireindignationistuę.	ire indignationis tuę .
quiaeleuans	quia eleuans
allisistime.Diesmeisicutumbradeclinauer̃et	allisisti me . Dies mei sicut umbra declinauer̃  et
egosicutfenumarui.Tu	ego sicut fenum arui . Tu
autemdñe	autem dñe
inæt̃nũꝑmanes	in æt̃nũ ꝑmanes 
etmemorialetuũingeneratione	et memoriale tuũ in generatione
etgenerationẽ.Tuexurgensdñemisereberissyonquia	et generationẽ . Tu exurgens dñe misereberis syon  quia
tẽpusmiserendieiusquiauenittempus.Qm̃placuer̃	tẽpus miserendi eius quia uenit tempus . Qm̃ placuer̃
seruistuislapideseiusett̃reeiusmiserebuntur	seruis tuis lapides eius  et t̃re eius miserebuntur
.Ettimebuntgentesnom̃tuũdñeet	. Et timebunt gentes nom̃ tuũ dñe  et
om̃sregest̃regl̃iamtuã.Quia	om̃s reges t̃re gl̃iam tuã . Quia
ædificabitdñssyonetuidebituringl̃ia	ædificabit dñs syon  et uidebitur in gl̃ia
sua.Respexitinorationemhumiliũ	sua . Respexit in orationem humiliũ
etnonsuit	 et non suit
cemeorum.Scribanturhęcingenerationealtera	cem eorum . Scribantur hęc in generatione altera 
etpopulusquicreabiturlaudabitdñm	et populus qui creabitur laudabit dñm
.Quiaꝓspexit	. Quia ꝓspexit
deexcelsosc̃osuodñsdecelo	de excelso sc̃o suo  dñs de celo
int̃ram	in t̃ram
aspexit.Utaudiretgemitus	aspexit . Ut audiret gemitus
cõpeditorũut	cõpeditorũ  ut
solueretfiliosinteremptorũ.	solueret filios interemptorũ .
Utannuntientinsyon	Ut annuntient in syon
nom̃dñiet	nom̃ dñi  et
laudẽeiusinierl~m.In	laudẽ eius in ierl~m . In
conueniendopopulosinunum	conueniendo populos in unum
etreges	 et reges
utseruiantdño.Responditeiinuiauirtutis	ut seruiant dño . Respondit ei in uia uirtutis
suępaucitatemdierummeorumnuntiamichi.Nereuoces	suę paucitatem dierum meorum nuntia michi . Ne reuoces
meindimidiodierũmeoꝝ	me in dimidio dierũ meoꝝ
ingenerationeet	 in generatione et
generationẽanni	generationẽ anni
tui.Iniciotudñet̃ramfundasti	tui . Inicio tu dñe t̃ram fundasti
etoperamanuum	 et opera manuum
tuarũs̃tcęli.Ipsiꝑib̃ttuautemꝑmanes	tuarũ s̃t cęli . Ipsi ꝑib̃t tu autem ꝑmanes 
etom̃ssicutuestim̃tumueterascent.Etsicutoꝑtoriũ	et om̃s sicut uestim̃tum ueterascent . Et sicut oꝑtoriũ
mutabiseosetmutabunt᷑tuautẽidẽipsees	mutabis eos et mutabunt᷑  tu autẽ idẽ ipse es
etannituiñ	et anni tui ñ
deficient.Filiiseruorũtuorumhabitabuntetsemen	deficient . Filii seruorũ tuorum habitabunt  et semen
eoꝝinseculum	eoꝝ in seculum
dirigetur.DÑEexaudiorationẽmeã.&clamorm̃s	dirigetur . DÑE exaudi orationẽ meã . & clamor m̃s
adteueniat.neabscondasfaciẽtuãame	ad te ueniat . ne abscondas faciẽ tuã a me
.Indietribulationis	. In die tribulationis
meęinclinaadmeaurẽtuã.in	meę inclina ad me aurẽ tuã . in
quacũqdieinuocauerote.uelocit̃exaudi	quacũq die inuocauero te . uelocit̃ exaudi
me.Qm̃consũptisunt	me . Qm̃ consũpti sunt
fum᷒diesmei.&ossamea	fum᷒ dies mei . & ossa mea
quasifrixacontabuerunt.	quasi frixa contabuerunt .
Percussũestquasi	Percussũ est quasi
fenũ&arefactumẽcor	fenũ & arefactum ẽ cor
meũ.quiaoblitussũcomederepanẽmeũ.	meũ . quia oblitus sũ comedere panẽ meũ .
Auocegemit᷒meiadhesitosmeũ	A uoce gemit᷒ mei adhesit os meũ
carnimeę.Assimilatussumpelicanodeserti	carni meę . Assimilatus sum pelicano deserti
.factussumquasi	. factus sum quasi
bubosolitudinũuigilaui	bubo solitudinũ uigilaui
&fuisic̃auissolitariasuꝑtectum.Totadie	& fui sic̃ auis solitaria suꝑ tectum . Tota die
exꝓbrabantmeinimici	exꝓbrabant me inimici
mei.exultantes	mei . exultantes
ꝑmeiurabant.Quiacinerẽ	ꝑ me iurabant . Quia cinerẽ
