tandus.si	tandus . si
.⁊hereditatẽꝮsequat᷑.quedecet̃oñpossit	. ⁊ hereditatẽ Ꝯsequat᷑ . que de cet̃o ñ possit
auferri:hocestꝙip̃edominus	auferri : hoc est ꝙ ip̃e dominus
ait:pat̃uoloutubisum:	ait : pat̃ uolo ut ubi sum :
illicsit⁊ministermeus.Etalibi	illic sit ⁊ minister meus . Et alibi
pat̃.quosdedistimͥ:uoloutubiego	pat̃ . quos dedisti mͥ : uolo ut ubi ego
sum⁊illisintmecũutuideantclaritatẽmeã	sum ⁊ illi sint mecũ ut uideant claritatẽ meã
qͣmdidistimͥ.quiadilexistime.	qͣm didisti mͥ . quia dilexisti me .
añꝮtitutionẽseculi.Inhac	añ Ꝯtitutionẽ seculi . In hac
autemgl͛ificatione.tͥaquilibet	autem gl͛ificatione . tͥa quilibet
electorumdiuinomuñeconsequit᷑:quib;absortamorteĩ	electorum diuino muñe consequit᷑ : quib; absorta morte ĩ
uictoriam:sñt̃minofeliciter	uictoriam : sñ t̃mino feliciter
ꝑfruet᷑.pͥmũestet̃nasacietasind̃i	ꝑfruet᷑ . pͥmũ est et̃na sacietas in d̃i
Ꝯtemplatione.scd̃m:int̃na	Ꝯtemplatione . scd̃m : int̃na
iocunditasinꝮscientiepuritate.t̃cium:iocunda	iocunditas in Ꝯscientie puritate . t̃cium : iocunda
unitas.insc̃orumsocietate	unitas . in sc̃orum societate
.Eth̃quidemdebonitateredẽptorisnr̃isuccincteꝑcurrentes	. Et h̃ quidem de bonitate redẽptoris nr̃i succincte ꝑcurrentes
:nc̃adsollicitudinẽ⁊	: nc̃ ad sollicitudinẽ ⁊
affectumip̃ius	affectum ip̃ius
erganosꝮsiderationisoculosaccollamus.Egosuminquitpastor	erga nos Ꝯsiderationis oculos accollamus . Ego sum inquit pastor
bonus:quipascooues	bonus : qui pasco oues
meas.pascitdominus	meas . pascit dominus
ouessuas.i.fideles	oues suas . i. fideles
populosmultiplicit̃	populos multiplicit̃
.siqͥdempascit	. siqͥdem pascit
tẽporaliũsubministratione:pascitdiuiniũbieruditione	tẽporaliũ sub ministratione : pascit diuini ũbi eruditione
.pascitetiam	. pascit etiam
sacͣmentoꝝparticipatione:adextremumpascitet̃nasuediuinitatis	sacͣmentoꝝ participatione : ad extremum pascit et̃na sue diuinitatis
uisione.pascittẽꝑaliũ	uisione . pascit tẽꝑaliũ
subministͣtione:	subministͣtione :
sicuthabetisin	sicut habetis in
psalmo.Quicustoditueritatemĩsecl̃m	psalmo . Qui custodit ueritatem ĩ secl̃m
.facitiudiciũĩiuriampatientib;	. facit iudiciũ ĩiuriam patientib;
:datescamesurientib;	: dat escam esurientib;
.escamuidelicettamcorporalẽqͣmspiritalem.⁊alibi	. escam uidelicet tam corporalẽ qͣm spiritalem . ⁊ alibi
.Quidatescam	. Qui dat escam
ium̃tisip̃oꝝ:⁊pulliscoruoꝝĩuocantib;eũ	ium̃tis ip̃oꝝ : ⁊ pullis coruoꝝ ĩuocantib; eũ
.pascitdiuiniuerbieruditione:sic̃in	. pascit diuini uerbi eruditione : sic̃ in
aliopsalmo	alio psalmo
scͥptumest.Dñsregitme	scͥptum est . Dñs regit me
.⁊nich̃mͥdeerit.ĩlocopascue	. ⁊ nich̃ mͥ deerit . ĩ loco pascue
.hocestintelligentiadiuinisermonis	. hoc est intelligentia diuini sermonis
.ibimecollocauit.pascitetiamsacͣmentoꝝparticipatione:	. ibi me collocauit . pascit etiam sacͣmentoꝝ participatione :
⁊p̃cipue	⁊ p̃cipue
sacͣcorporis⁊sanguinissuiꝮmunione.ũn	sacͣ corporis ⁊ sanguinis sui Ꝯmunione . ũn
ip̃e.Egosum	ip̃e . Ego sum
panisuiuusqͥde	panis uiuus qͥ de
celodescendi.siquismanducaũitexhocpane:	celo descendi . si quis manducaũit ex hoc pane :
uiuetin	uiuet in
et̃num.adextremumpascit.et̃nasue	et̃num . ad extremum pascit . et̃na sue
diuinitatisuisione.uñbeat᷒.g̃g.aitpascuae	diuinitatis uisione . uñ beat᷒ . g̃g. ait pascua e
lectorumst̃:uult᷒presensdei.qͥdumsñ	lectorum st̃ : uult᷒ presens dei . qͥ dum sñ
defectuꝮspicitursinefinemens	defectu Ꝯspicitur sine fine mens
cibouitesaciatur.	cibo uite saciatur .
sequit᷑.⁊ꝓouib;meisponoaĩammeã.	sequit᷑ . ⁊ ꝓ ouib; meis pono aĩam meã .
Eccediuinebonitatiseffectusĩenarrabilis.maiorẽ	Ecce diuine bonitatis effectus ĩenarrabilis . maiorẽ
enĩcaritatẽnemoh̃t:qͣmut	enĩ caritatẽ nemo h̃t : qͣm ut
aĩamsuamponatqͥsꝓamicissuis	aĩam suam ponat qͥs ꝓ amicis suis
.xp̃cuͦ	. xp̃c uͦ
largiorecaritatishabundantia.etiãꝓĩimicis	largiore caritatis habundantia . etiã ꝓ ĩimicis
.crucis	. crucis
suppliciũꝑtulit:⁊uitali	suppliciũ ꝑtulit : ⁊ ui tali
mortisĩꝑiumdestruens.serpentẽcallidũquiineo	mortis ĩꝑium destruens . serpentẽ callidũ qui in eo
escamcorporisappetiit.aculeodiuinitatissuetransfixit.tres	escam corporis appetiit . aculeo diuinitatis sue transfixit . tres
aũrationabilescausas	aũ rationabiles causas
p᷒sumusassignare	p᷒sumus assignare
.qͣreredemptornr̃ꝓsalutehumanigñis	. qͣre redemptor nr̃ ꝓ salute humani gñis
.calicemgustaueritpassionis:cumtñtestante	. calicem gustauerit passionis : cum tñ testante
scͥptura.aliusmodusredẽptionisnr̃e.eiutpote	scͥptura . alius modus redẽptionis nr̃e . ei ut pote
om̃ipotenti:fũitpossibilis.pͥmacausa	om̃ipotenti : fũit possibilis . pͥma causa
fuit.hu	fuit . hu
humanigenerismiseria:deqͣĩpsalmodr̃	humani generis miseria : de qͣ ĩ psalmo dr̃
.ꝓpt̃miseriamĩopum	. ꝓpt̃ miseriam ĩ opum
.⁊gemitumpauꝑum:nc̃exurgam.i.	. ⁊ gemitum pauꝑum : nc̃ exurgam . i.
manifestabor.dic̃	manifestabor . dic̃
dñs.ponãinsalutari.ḣestin	dñs . ponã in salutari . ḣ est in
xp̃o.salutemgenerishumani:	xp̃o . salutem generis humani :
⁊fiducialit̃agamineo.scd̃acausafuit	⁊ fiducialit̃ agam in eo . scd̃a causa fuit
.filialisꝗͣpr̃iexhibuitobedientia:dequadicit	. filialis ꝗͣ pr̃i exhibuit obedientia : de qua dicit
apl̃us.xp̃cfc̃sestobediensdeo	apl̃us . xp̃c fc̃s est obediens deo
patriusq;admortem:mortemautẽcrucis.Et	patri usq; ad mortem : mortem autẽ crucis . Et
ip̃efili᷒adpatrem.clarificaui	ip̃e fili᷒ ad patrem . clarificaui
teinqͥtsupert̃ram:opusꝮsũmaui:qd̃	te inqͥt super t̃ram : opus Ꝯsũmaui : qd̃
dedistimͥutfaciam.terciacausa	dedisti mͥ ut faciam . tercia causa
fuit:singularisdehosteuictoria.consonũenim	fuit : singularis de hoste uictoria . consonũ enim
eratequitatidiuine.	erat equitati diuine .
⁊suꝑnedispositioni:utsapĩaq̃	⁊ suꝑne dispositioni : ut sapĩa q̃
attingitafineusq;adfinemfortiter	attingit a fine usq; ad finem fortiter
.⁊disponitom̃iasuauit̃.hostisantiquimalitiã.	. ⁊ disponit om̃ia suauit̃ . hostis antiqui malitiã .
nonpotentia.	non potentia .
s;iusticiadeuinceret.&	s; iusticia deuinceret . &
om̃inoꝮueniensfuit.uͭqͥinlignouicerat:	om̃ino Ꝯueniens fuit . uͭ qͥ in ligno uicerat :
inlignoquoq;uictus.	in ligno quoq; uictus .
⁊inlaq̃umquemparaueratp̃cipitatus:	⁊ in laq̃um quem parauerat p̃cipitatus :
instrum̃tosuefraudisint̃iret.neq;enim	instrum̃to sue fraudis int̃iret . neq; enim
lexequiorulla	lex equior ulla
.qͣmnecisartificemarteꝑiresua	. qͣm necis artificem arte ꝑire sua
.Insupernosĩconflictutemptationũ	. In super nos ĩ conflictu temptationũ
positos.dñssuauictoriaad	positos . dñs sua uictoria ad
uincendũroborauit:uͭ	uincendũ roborauit : uͭ
exemploip̃ius.patirntiãintͥbulatiõib᷒amplectens.cumꝓbati	exemplo ip̃ius . patirntiã in tͥbulatiõib᷒ amplectens . cum ꝓbati
fuerimus.coronãuiteꝑcipiamus.nuncitaq;	fuerimus . coronã uite ꝑcipiamus . nunc itaq;
qͥcumq;pastorẽ	qͥ cumq; pastor ẽ
animarũ.uideantutfaciatom̃iaiuxtaexemplar	animarũ . uideant ut faciat om̃ia iuxta exemplar
.ꝙeiĩmonte	. ꝙ ei ĩ monte
monstratũest.uideatinqͣmnesitmercennari᷒.	monstratũ est . uideat inqͣm ne sit mercennari᷒ .
quilupoueniẽtedimittitoues⁊fugit:	qui lupo ueniẽte dimittit oues ⁊ fugit :
s;ueripastorisfungensofficio	s; ueri pastoris fungens officio
.curamdebitãsusceptisinpendat	. curam debitã susceptis inpendat
