P A TROLOGIAETOMUSuIII .	-⌫-⌫--------|----|----⌫|
Tot t antasqueres adamp lificationemet glor iam Ecclesi eDeiimper atorcum ageret,c unctaqueeo con silioadministraretutSer uatorisnos tri do ctrinas ummi somn iumlaudibusexciperetu r,ciuiliainterim neg otiahaudqua quamn eglexit.	--|-⌫-------|--|-|---⌫-----------|-|----⌫--|-------⌫|--|-----⌫---|--|------|-⌫-------|-|---⌫----|------------|-|---⌫------|---⌫--|--⌫-----|-⌫----⌫|---⌫--|-------|----------⌫-|------|------|---⌫---|-------⌫---|-⌫-------|
uerum hac quoqueinparte omnium proui nciarum incolas uariisetcontin uisbeneficiisaffi cerenunqu amdestitit.	----|--|-----|-|----|-----|-----⌫------|------|-----|-|------⌫--|---------|----⌫---|-----⌫-|--------|
n uncqui dempubliceerg aomnespaternam quamdamexhiben ssollici tudinem,nuncpriuatimsingulosexfamili aribu s sui s uariis ornansdig nitat ibus,et pr olixa a nimima gnitudineomnia om nibusl argiens.	-⌫--|---⌫--|------|---⌫|----|-------|------|-------⌫|-------⌫-------|---|-------|-------|-|------⌫-----⌫|---⌫|-----|-----|---⌫-----⌫----|-|--⌫----|-⌫---|--⌫--------|----|--⌫----|-⌫-------|
Nec eueniebat unqu amut ascopo ab errare tquia b imperatorebeneficiumpet ebat.	--|--------|----⌫-|-||----|--⌫------⌫|--|-⌫|---------|---------|---⌫----|
necull u squi bon umali qu od ab e o sperau i sset,spesua frustratusdiscessit .	--|---⌫-⌫|--|---⌫-|---⌫--⌫-|-|-⌫|------⌫-⌫----|--|--|---------|---------⌫|
Quippealii pecunias, al iipredia im pe trabant.	-----|---|--------|--⌫-|-----|--⌫--⌫-------|
Qu anto p ere uerostudueritutuniuers oho m i numge n eri hilarem actranqui l lamuit ampr e staret,uelex hocuno ex emplo perspicipote st,quodad uitamhominum i mp ri mis utile,etgenerali ter adomnespropagatum, etiam numco mmuniomni um sermone celebratur.	--⌫----⌫-⌫--|---|--------|-|-------⌫|--⌫-⌫-⌫--|--⌫-⌫--|------|-|-------⌫-⌫--|---⌫-|--⌫-⌫------|--|-|--|--|--⌫----|-------|----⌫--|---|-|----|------|-⌫--⌫--⌫--|-----|-|--------⌫--|-|----|----------|-----⌫--|--⌫----|----⌫-|------|----------|
Exannuistribut isquet erre nomineco nfereb antur,quartamdetrahens pa rtem,agr orumposs essoribusdonau it:a deoutsihuius annu e detractionis r ationem in ier is, quarto q uo queanno fru ctuum Dominiaprest ationetributar iaimm unesessent .	-|-----|------⌫-|--|-⌫---|-----|--⌫------⌫-----|------|--------|--⌫----|---⌫---|----⌫--------|-----⌫--|-⌫--|-|-|----|----⌫|-----------|-⌫------|--⌫---⌫--|-----|-⌫--⌫--|---|---⌫----|-----||-----⌫-----|--------⌫-|---⌫---|------⌫|
CAPUTII I.	----|--⌫-|
Iamuero cumnonnulli terre descriptio nesetiugationesasuperioribus pri n cipibusfactas repre hender ent,agros quesuos nimium oppressosessequererentur,h icet iamprinceps, iustitielegib usobtemper ans,perequa tor esmit tebatquia sup plicantibus damnu mde pelle rent .	--|---|--|-------|----|----------⌫--|-|---------||-----------|---⌫-⌫------|-----|-----⌫------⌫---|-----⌫--|---|-----|--------|---|-----------|-⌫-|--⌫--|--------|-------|-----⌫-|--------⌫---|-------⌫---⌫-|---⌫----|--||---⌫----------|-----⌫|--⌫-----⌫----⌫|
Quine t iamquoti esinterd uoslitig antessenten tiampronuntiau erat, n e f o rte is qui causa cec ideratt r istioreo secundumquemlisdic taer a tab scederat, exp ropr i is bonisd onab at u icti s, inte rdumpredia,no n numqua m pecunias;	-----⌫-⌫--|-----⌫-|----|-⌫--|-----⌫----|------⌫---|----------⌫----|-⌫|-⌫-⌫--|-|--|----|---⌫-----|-⌫-⌫-----|-|-------|---|--|---⌫-|--⌫-⌫|--⌫--------|-|-⌫----⌫-⌫-|----|-⌫----⌫-|-⌫----⌫-|----⌫---|------|--⌫-⌫------⌫|--------|
hacratione efficiensutuictusnonminus quamis quicausamobt inueratletusdomum rediret, utpote quiinconsp ectumpri ncipisueniremeruisset.	--|------|--------|-|-----|--|----|---|-|--|-----|---⌫------|----|----|-------|-----|--|-|-----⌫----|---⌫-----|-----|---------|
Qu idhicnec es se es tquasi obitercomm emorare,quomod oi llebarbarasgentes subimperiiRom.	--⌫-|--|---⌫--⌫-|--⌫|----|-----|----⌫-------|------⌫|-⌫--|-------|-----|--|------|---|
di tio nemredegit,qualiterindominat asanteh ac, neculliunquamparere sue tasScytharum Sarmatarumque nation esprimus subiugum misit, acperui m eoadegit,utuel inuiti dominosagnoscere ntRom anos.	--⌫---⌫--|-------|-------|---------⌫-|-----⌫--|--|---|-----|-----|---⌫--|--------|------------|------⌫-|-----|--|----|-----|-|--|--⌫|-|------|-|--|-----|------|---------⌫-|---⌫----|
Scythisquidemsuperioresetia m imperatorestributapendebant,etb arbarisRomanireipsa seruiebant,annuamso luentespecu niam.	------|-----|---------|----⌫|----------|------|---------|-|-⌫------|-----|-----|----------|-----|--⌫------|----⌫----|
ueru mimperato rhancindignitatem ferre n onpotu it,nec uicto riprincipidecorumess eexistimauit eadem pendere q ue prioresprincipespependi ssent.	----⌫|--------⌫|---|-----------|----|-⌫-|----⌫--|--|-----⌫-|-------|------|---⌫|----------|----|------|-⌫-|------|--------|-------⌫-----|
At Sarma tasD eusipse Constantini pedibu ssubstraui t, ethominesba rbaric ofastuintumescentesh o c subegit mod o.	-|-----⌫--|-⌫--|---|----------|------⌫|---------⌫-|-|------|--⌫------⌫|----|------------|-⌫-⌫|------|---⌫-|
NamcumScy thebellum eisintu lissent, Sarmate seruoss uosuthosti busre sistere nt,armau erant .	--|--|---⌫--|-----|--|----⌫-------|------|-----|-⌫--|-|-----⌫--|--⌫-------⌫--|-----⌫-----⌫|
Serui,parta de host ibusuictor ia,armain dominos u ertere c eper unt,cunctosqu e patriissedibusexpulerunt.	-----|----|-|----⌫---|------⌫--|---|-|------|-⌫-----|-⌫----⌫---|---------⌫|------|------|----------|
Hi uero nullumal iumsalutispo rtumquamCon stantinumre perere.	-|---|-----|--⌫--|------|--⌫---|---|---⌫--------|--⌫------|
Quippeexomnibusl ocislegat icontinue adeumacce debant,quecumque a pudipsospretiosissim a habenturdo naeio fferentes.	-----|-|------|-⌫---|-----⌫|-------|-|--|----⌫------|--------|-⌫--|----|------------⌫|-------|--⌫-|-|-⌫---------|
Ad eoutnosipsip rofo r ibuspalati i,uarias f ormas atque habitus Barbarorumordinestan tium aliquando consp ex e rim us, quorum e tuestitusetornatusdisparer at,coma i te metbarbalongedissimilis;	--⌫-|-|--|---|-⌫-|--⌫-⌫---|------⌫-|-----|-⌫----|----|------|---------|-----|----⌫---|--------|-----⌫--⌫-⌫---⌫--|-----|-⌫|-------|-|------|-----|--⌫--|---|-⌫--⌫|-|----|----|----------|
Toruus asp ectusetbarb a rusacter roremincut iens.	-----|---⌫----|-|----⌫-⌫--|-|---⌫----|-----⌫----|
corporume normis procerit as.	-------|-⌫-----|--------⌫--|
Etaliorumquidemrub icundiuultus, aliorumueroniueipsaca nd i diores;	-|------|-----|---⌫-----|------|------|---|---|---|--⌫--⌫-⌫------|
Nonnullis mediaque damcolorisinerat temperatura.	--------|----|---⌫--|------|-----|-----------|
Quippe Bl emmyes etIndi atque Aethi opes,qui,utaitHomerus,bifariamdiuisi ine xti mo ter r aru mdegu nt,int er illos quosdixibar baroscon spici ebantur;	-----|--⌫-----|-|---|----|-----⌫----|---|-|--|-------|-------|-----|-|-⌫---⌫-|---⌫-⌫---⌫|----⌫--|---⌫-|----|---|---|---⌫----|---⌫-----⌫-------|
CAPUTuII I.	----|---⌫-|
Iam uero cumre xetiam Pe r sar umperlegato s no titia mambiretConstantini,donaquea deu mmis isset,pacisetam i citiesigna;	--|---|--|--⌫|----|--⌫-⌫---⌫-|--|------⌫|--⌫-----⌫|------|-----------|------|-⌫|--⌫|---⌫-----|----|-|--⌫-⌫----|-----|
idagenss cilicetut cumillofe du s iniret.	-|----|-⌫------|-|--|---|--⌫--⌫|------|
h ic etiamimperator,e xcellentiqu adamanimiutensmagnitu din e,eumquiprio r honoreipsum affecerat , m u nerum magnificentia lo nge superauit.	-⌫-|----|---------|-⌫--------|--⌫---|----|----|-------⌫---⌫-|--|--|----⌫|-----|----|---------⌫|-⌫-⌫----|------------|--⌫--|---------|
CAPU T XIu.	----⌫|---|
I n huncmodumcum omnesubiqu egentes insta rnauiscuius dam, uniusgubernator isregerenturind ustria,eti mperiumacreligi onem famuliDeilib entissimeamplecterentur;	-⌫|---|----|--|----|-----⌫|-----|-----⌫|----|-----⌫---|----|----------⌫-|---------|---⌫------|-|-⌫------|-|------⌫---|-----|--|---⌫--------|--------------|
necullus ampliusR omanu m imperiu mpe rturb aret, cuncti posthactranq uillam etquietam uit amag ebant.	--|----|------|-⌫-----⌫|-------⌫|--⌫-----⌫----|-----|------|-----⌫-----|-|------|---⌫-|--⌫-----|
Quantap o rrodiuinefideiuis acuirtusineius animoinsederit, u ele x hoc un oconiicifacile potest, quodina ureisnummis expr imise iussituultu incelu m sublato, etman ibusexpansis instarpre cantis .	-----|-⌫-⌫--|-----|----|--|-|-----|-|---|----|---------|-⌫-|-⌫|--|--⌫|------|-----|------|---|-|-⌫----|-----|----⌫--|-|-----|----|-|----⌫|-------|-|---⌫---|-------|-----|---⌫------⌫|
E thuiusquidemfo rmenummiperun iuersumorbemromanumcucurrer unt.	-⌫|----|-----|--⌫--|----|--|--⌫------|----|------|--------⌫---|
CAPUT XuI.	----|---|
Sic i gi turilles e De osupplicant emetiamintabulis pictis exhibuit.	--|-⌫--⌫--|---|-⌫|--⌫|----------⌫-|----|-|------|-----|--------|
CAPUTXu II.	----|--⌫--|
uerumhislong eaugustioraperspicietquicu mqu e attend ereuoluer itqualiter illeinpalatioquam damuelutecclesia m Dei constituit.	----|--|----⌫|---------|---------|-----⌫---⌫|------⌫--|------⌫-|-------|---|-|------|----⌫--|----|--------⌫|--|----------|
Acdiligentiaquideme t a lacri t atepreibatcunctisquiinecclesia millamerantadscr i pt i :etsacroscodice sin manussumensoracula aDeoedit aat tento a nimomeditabatur .	-|---------|-----|-⌫|-⌫-----⌫-⌫--|------|------|--|-|--------⌫|----|----|-----⌫-⌫--⌫-⌫|-|-----|------⌫|-|----|-----|------||--|----⌫|--⌫----|-⌫---|-----------⌫|
CAP UTX uI II.	---⌫-|-⌫--⌫--|
Diemueropreca tio n ibuscon g ruumhabericon stituiteum quiprimusest et caput ceteroru m,e t quireueradominicus e stacsalutaris.	---|---|-----⌫---⌫-⌫---|---⌫-⌫---|-----|---⌫------|--|--|-----|--|-|----|--------⌫-|-⌫|--|-----|--------|-⌫-|-|---------|
PretereadiaconosetDeo cons ecratos ministros, quiuite grauitateet reliquis uirtuti busorn at iessent,tot ius domuscustodesordinauit ;	-------|-------|-|--|----⌫------|---------|--|---|--------|-|-------|-------⌫--|---⌫--⌫|------|---⌫--|----|-------|---------⌫|
Deniq ueprotectores et stipatoresfidi,beneuolentieetf ide iarmis inst ructi,imperatore mipsum pietatis m a gist rum h abebant.	-----⌫-|----------|-|---------|----|-----------|-|-⌫---⌫|----|----⌫-----|----------⌫|----|-------|-⌫-⌫----⌫--|-⌫-------|
etsalutar emacdominicu mdiemperindehonorabant.	-|-------⌫-|-|--------⌫|---|------|----------|
eoquediep rec ationesimper atorigratasadDeumf undeb ant.	----|--|-⌫---⌫------|-----⌫----|-----|-|---|-⌫-----⌫---|
CA PUTXI X.	--⌫--|--⌫-|
R eliquisueroqui di uinefidei doctrinam no ndumsusc eperant,alter alegepr ecepitutdo minicisdiebus incampumpur umproce derent ,etprecationem qu a mant eadidi cissent,simu lomnes signodatoadDeum funderent.	-⌫------|---|--|--⌫---|----|--------|--⌫---|----⌫-------|-----⌫|---|--⌫-----|-|--⌫------|-----|-|-----|---⌫-|-----⌫------⌫|-|----------|--⌫-⌫|---⌫-|----⌫-------|----⌫|----|----|---|-|---|---------|
Nequeen imhas tisetarm a tura,neccorporisui ribusconf idereeos opor tere,sedsummumomnium Deum, a uctorembono rumomnium ips iusqueadeouictorieagno sce ndumesse , ciques olemnespr ecespers olui debere,manibu squidemin celum sublatis,me nti s autemoculis altiusadip sumusque celi regeme rectis .	----|--⌫-|---⌫--|-|---⌫-⌫----|--|-------|--⌫----|----⌫----|--|----⌫----|--|-----|-----|----|-⌫------|----⌫--|-----|---⌫-----|---|-------|----⌫---⌫---|----⌫|----|-⌫------|--⌫---|----⌫---|------|------⌫|-----|-|----|--------|--⌫---⌫|----|-----|-----|-|--⌫--|----|---|----|-⌫------⌫|
T esolumagnoscimus Deu m;	-⌫|----|---------|---⌫-|
teRe gem profit emur.	-|--⌫--|------⌫----|
tea diutoreminu ocamus.	-|-⌫-------|---⌫------|
Tuimu ne r i s estquod u ictoriasretulim us, quodho stessu perau imus.	--|--⌫--⌫-⌫-⌫|--|---|-⌫-------|-------⌫--|---|--⌫---|--⌫-----⌫----|
Quin etiaminipsis armissalutaris tropeisignu m iussit effingi.	---|----|-|----|----|--------|-----|-----⌫|-----|-------|
CAPUTXXII.	----|----|
Ip seueroutp otesacrorummysteriorum particeps ,inintimispalatiisui pene tralibusquotidi estatish oris sese inc lu dens,remotis arb itrissolus cumsoloc ol loquebatu rDe o;	--⌫-|---|---⌫--|-------|----------|---------⌫|-|------|------|--|----⌫-------|-------⌫|-----|-⌫---|---|---⌫--⌫----|------|---⌫----|----|--|---|-⌫--⌫---------⌫|--⌫-|
et ingenua prouolutus,eaquibusopushaberet s up plicip rece po stulabat .	-|-|----|----------|-|-----|---|------|-⌫--⌫----|-⌫---|--⌫--------⌫|
I nip sis au tem salu t iferefestiuitatisdiebus,d iscipline atque exercitati onumuigo rem intenden s,cunctis animi et corporisuiribusc ol lectis,pontificis a tquehierophan te munerefu ngebatur.	-⌫|--⌫--|--⌫--|----⌫-⌫----|-----------|------|-⌫--------|----|----------⌫---|----⌫--|--------⌫-|------|----|-|-------|------|-⌫--⌫------|---------|-⌫---|---------⌫-|-----|--⌫--------|
Etipsequidemc eterisomnib uspreibatadfe sticelebrationem.	-|---|-----|-⌫-----|-----⌫-|------|-|--⌫--|-------------|
S acram autemuigiliamindiurnu msplendoremconu e rterat ,accensistota u rbe cereorumq uibu sd a mcolumnis per eosquibusidop er ise rat iniunctum.	-⌫----|----|-------|-|------⌫|---------|----⌫-⌫------⌫|-------|---|-⌫--|-------|-⌫----⌫--⌫-⌫|-------|--|--|-----|-|--⌫--⌫-|-⌫--|---------|
CAPUTXXIII.	----|-----|
Ho cigit urmodoipse Deo s uosacra fa cie b a t.	--⌫|----⌫-|---|---|--|-⌫-|----|--⌫---⌫-⌫-⌫-|
Ceterumcunctis subromanoimper iodegenti b us, tam plebiisquamm i l itibus,o cc luseerantfores cultussimulacrorum,et quoduis sacrif iciorumgenusinterdi c tu m.	------|------|--|-----|-----⌫-|-------⌫-⌫--|--|------|---|-⌫-⌫-⌫------|-⌫--⌫---|----|----|-----|------------|-|------|------⌫------|----|-------⌫-⌫--⌫-|
Miss a quoquel e xest adpresidesprouin ciarum,utdiemdominic umetiamipsiueneraren tur.	----⌫|-----|-⌫-⌫|--|-|-------|------⌫------|-|---|-------⌫-|----|---|---------⌫---|
CAPUTXXIu.	----|----|
Qu ocircanonabsurde,cumepiscoposaliquand oconuiuioexciperet, sequ oq ueepiscopume sse dix it,his fereuer bisususnobis pres ent ibus.	--⌫-----|--|-------|--|--------|--------⌫|-------|---------|-|--⌫--⌫-|--------|-⌫--|---⌫--|--|---|---⌫--|---|----|----⌫---⌫----|
uos quid em,i nquit, iniisqueintraEc clesi am suntepiscopi estis,egouero iniis queextra gerunturepis copus a Deosumconstitutus;	--|----⌫--|-⌫-----|-|--|--|----|--⌫-----⌫-|---|-------|-----|--|---|-|--|--|----|-------|----⌫----||--|--|-----------|
CA P UT XXu.	--⌫-⌫-|---|
H inc estq uo dcrebris legibusetconstitutio nibus interdixit omn ibus,nesimul acrissacrificarent;	-⌫--|--|-⌫--⌫|------|------|-|-----------⌫----|---------|---⌫----|-|-----⌫----|-------------|
n e uatescurios econsulerent ;	-⌫|----|------⌫|-----------⌫|
neuesimul acraerigerent,autarcanas acraperagere n t;	---|-----⌫---|---------|--|-----|-⌫---|--------⌫-⌫-|
postre m o necruentisg la diatorumspectaculisu rbescontamina ren t.	------⌫-⌫|-|-------|-⌫--⌫-------|----------|-⌫---|---------⌫---⌫-|
Cu mqueAe gyptiietAlexandr i nifluuiumsuummini ster ioquo rumdamhomi nume ffeminatorumco le rec on sueuiss ent , lexquoqueadeosdataest,utomnisAndrogyno rumna tiota nquamadulter i naemedio tolle retur;	--⌫---|--⌫-----|-|--------⌫-⌫-|------|---|----⌫----⌫-|---⌫-----|----⌫--|-⌫-----------|--⌫--⌫-|-⌫--⌫-------⌫---⌫|--|-----|-|--|---|---|-|----|---------⌫--|--⌫--|--⌫----|-------⌫-⌫-||----|-----⌫-----|
CAPUTX XuI.	----|-⌫---|
uerum enimuerocumh uiusmod ire speneinn umer abil esinsi ngulisp rouinciisabim peratoreges t esint,quicumq ue eas cur i osiusscribere ag gressi fuerint, a mpl issi mamcertemateriam habit uri sunt.	----|-------|--|-⌫-------⌫|--⌫|---|---⌫----⌫----⌫-|-|--⌫-----|-⌫--------|-|--⌫-------|---⌫-⌫|----|-------⌫-|--|---⌫-⌫----|-------|--⌫-----|-------|-⌫---⌫----⌫--|----|-------|-----⌫--|----|
