PATROLOGIAE TO MUSCXXuIII.	----------|--⌫--|-------|
Inquo typ oom nesomnino uoces s an ctorumPatrumcum nefandissimorumhereticorumdiction ibus[f1 Kb] enerua uit, sc ilicetnecunam,ne c duasuol u ntates , autoperationesinChristo Domin onostrodefinien.	-|--|---⌫|--⌫--|-----|----|-⌫--⌫-----|-----|--|--------------|----------|-------⌫---|-|-⌫--|------⌫---|--⌫-----|--|----|--⌫|---|---⌫-⌫------⌫|--|----------|-|------|-----⌫|-----|--------|
confiteri.	---------|
Quade rehuiusm o diprauitate msuamdefendens,quodnun quam necap rioribu shereticispres umptumest,ip sein lite[a 1Kb]presumeres tuduit i n tantum[b 1Kb], utaltar esanctenostresedis ,quoder at indomo Placidiesacratuminu enerabili or aculosubuertens, diriperet, prohib ensneadorandam etimm aculatam hostiam apo crisarii nostr i ibidemD eoofferreual eant ,necc ommunionis s acrame n t apercipiant.	--|-|-|------⌫-⌫-|---------⌫|---|---------|---|---⌫---|--||-⌫-------⌫|--------|----⌫-----|---|--⌫-|-|---|-|---|--------|-⌫-----|-⌫|-----|-|---||-|-----⌫|-----|-----|-----⌫|---|--⌫-|-|---|-------|-------|-|-⌫--------|--⌫----|----------|---------|------⌫--|-|--------|-|---⌫-------|------|---⌫-------|-----⌫|-----|-⌫-|------|---⌫----⌫|--|-⌫---------|-⌫------⌫-⌫-⌫|----------|
131Tu ncMarti nus sanct issimus acbea t iss imusepiscopusmisit,etcongregauitepisco pos inurbemRom amnumer o centum etquinque,et f ecit sy nodum secundum i nst i tu tum[i1Kb]Patrumorthodoxoruminecc lesiaSalu atori siuxtaepiscop iumL ateranense.	--|--⌫-|-----⌫--|-----⌫------|-|---⌫-⌫---⌫---|--------|-----|-|----------|------⌫--|-|----|---⌫-|-----⌫|-----|-|-------|-|-⌫---|--⌫----|-------|-⌫---⌫-⌫--⌫--|-|---|-----|-----------|-|---⌫----|----⌫-----⌫|----|-------⌫--|-⌫----------|
Sedentibu s epis cop isetpresb yteri s,asta ntibusdiaconisetclero uniuerso,condemnaue runtC yrumAlexandrinum,Serg ium,Pyrrhum etPau lump atriarchasCon s tan ti nopolitan os,quinouita tesco ntra im macul atamfid em presumpseruntinne ctere.	---------⌫|----⌫---⌫-|-|-----⌫-----⌫-|----⌫-----|-------|-|----|--------|----------⌫---|-⌫---|------------|----⌫---|------|-|---⌫--|-⌫---------|---⌫-⌫---⌫--⌫---------⌫--|--|------⌫--|--⌫---|--⌫-----⌫---|---⌫-|------------|----⌫-----|
Quippequo niamipsamexc ludereprope ranteshereticorumdogmatumc o ntracatholicam DeiEcc lesiamconfusionemconcinna uerunt[i 1Kb] ,anathematisu ltioneperculsi[k1Kb] sunt[l1Kb].	-----|---⌫---|----|---⌫-----|-----⌫-----|----------|-------|-⌫-⌫---|---------|--|---⌫-----|----------|--------⌫-----|-|---||----------|-⌫-----|-------|-|---|---|-|---||
Q uesynodus hodiearchiuoEcclesie continetu r.	-⌫-|------|----|------|-------|---------⌫-|
Et faciensexe mp lariapero mnes tractusO rientis etOccidentisdirex it, etpermanusorthodoxorumfideli umdi sseminauit;	-|------|---⌫--⌫----|--|-⌫---|------|-⌫------|-|---------|-----⌫--|-|--|----|-----------|------⌫-|--⌫----------|
132Quipredict usOlympiusueniens inci ui tatemRomanaminuenit sanctamRomanam Eccl esiamcoadunat a mc umomnibusepiscopi sItalie,seusacerdotib us,uel clero.	--|--|-------⌫-|-------|------|-|--⌫--⌫----|------|------|------|------|----⌫----|--------⌫-⌫|-⌫-|------|--------⌫|------|--|----------⌫--|--|-----|
Et uolen simplereea queeiiuss a sunt,a manssecum exerci t umuirt u tis[t 1Kb ],u oluitschi smasancteecclesie[u1Kb] in t r omit tere.	-|-----⌫|------|-|--|-|----⌫|----|-⌫---|----|------⌫-⌫-|----⌫-⌫--|-|---⌫||-⌫----|----⌫--|-----|-------|-|---|--⌫-⌫-⌫----⌫----|
Ho c perplurimumt empusactu m est.	--⌫|--|-------|-⌫----|----⌫|---|
Etnoni llumomnipotensDeusp ermis itquenitebaturp erfice re.	-|--|-⌫---|---------|---|-⌫-----⌫-|--|--------|-⌫------⌫--|
133ui den sergoOlympius exarc husqui amanusDeicircumtegebatMarti nums anctissimumpapam, necesseha bui tsecumponti fic emconcordare, eto mniaqueeii ussafuer ant, e idem sanctis simo uiroi ndicare.	--|--⌫---⌫|---|-------|-----⌫--|---⌫|----|--|------------|-----⌫--|-⌫----------|-----|------|--⌫---⌫|----|-----⌫---⌫-|----------|-|-⌫---|--|-|-⌫---|----⌫---|-⌫---|-------⌫---|---|-⌫-------|
Quifa ctapace cumsancta DeiE cclesia ,coll igensexerc itum,profec t us estSiciliamadue rsusgentem Saracenoru m,quiibidemh abita bant .	--|--⌫--|---|--|-----|--|-⌫-------⌫|----⌫----|-----⌫----|------⌫-⌫-|--|-------|----⌫---|-----|----------⌫-|--|-----|-⌫-----⌫----⌫|
[c1Kb]Etpeccatofaciente maiorinteritus i nexercituRomanoperu enit,etpost hoc isdemex archusmorboi nt eriit.	-|---|-|------|-------|----|--------|-⌫|-------|-----|----⌫----|-|---|--|----|--⌫-----|----|-⌫--⌫-----|
Deind e directusestabimp eratore Theodor usexarchus, quicognomentoCalliopa dicitur ,cumTh eo doroimperiali cubiculario, qui etPellurius[d1 Kb]dicebatur cum iussione.	-----⌫|-------|--|-|---⌫------|-------⌫-|--------|--|---------|-------|-------⌫|--|--⌫--⌫---|--------|-----------|--|-|--------|-|-⌫--|--------|--|--------|
Qui tollentessanctissimu mMartinum p apam d eec c l esiaSaluatoris,quee tConst anti n ia naappellat ur,pe r duxeruntConstantinopolim,e t nec sic eisa cq uieuit .	--|--------|-----------⌫|-------|-⌫---|-⌫|--⌫-⌫-⌫---|----------|--|-⌫|-----⌫----⌫-⌫--⌫-|--------⌫--|--⌫-⌫-------|----------------|-⌫|--|--|--|-⌫--⌫------⌫|
SANCTU S EUGENIUS.	------⌫|--------|
[2Kb ][Al taser ra,Anto nius:3Kb][Bal dinus:15Kb][Bencinus:11Kb][B inius,Seu erinu s;	----⌫|---⌫-----⌫--|----⌫----|---|----⌫-----|----|---------|----|--⌫-----|---⌫-----⌫-|
134Eugenius ,nationeRomanus, deregioneprimaA due ntinense [a1Kb], clericusa cu nabu lis,expa tre Ruffi niano,seditan nosduos, men ses octo, dies uigint iquatu or[b 1Kb] .	--|--------⌫|------|-------|-|------|----|-⌫---⌫-------|-|---||-------||--⌫----⌫---|-|--⌫--|-----⌫-----|----|--⌫--|----|---⌫--|----|---|------⌫|-----⌫-|-|---||
Fui tenimben i gnus,mitis,mansuet us, omnibusaffabi l isetsan ctita tep reclarior.	---⌫|---|---⌫-⌫----|-----|-------⌫--|------|------⌫-⌫-|-|---⌫-----⌫-|-⌫---------|
Roga mclerosolitamtribuit,et in dig entibus eleemosynammi ni strauit.	----⌫|----|------|-------|-|--⌫---⌫------|----------|--⌫--⌫-------|
Utetiamdietransitus sui pauperi bus ,uelclero, seufam i lie,presbyter iain i ntegru m[c1Kb]erogar ip rec iperet.	-|----|--|--------|--|-------⌫---⌫|--|-----|--|---⌫-⌫---|---------⌫-|-|-⌫------⌫|-|---|------⌫|-⌫---⌫------|
[d1Kb]HuiustemporibusPet ruspatriar cha Constantinopol it anus dir e xitsyn odicamepis tolam adsed emapost olicam, i uxtac onsu etudin em priorem o mninoobscurissimam, etultraregulam, nona utemdeclara ns op erationes[e1Kb] autuol untat esinD ominonostroIe s u Christo.	-|---|----|---------|---⌫--|-------⌫--|--------------⌫--⌫---|---⌫-⌫--|---⌫-----|----⌫----|-|---⌫-|-----⌫------|-⌫---|-⌫----⌫------⌫-|------|-⌫----|-------------|-|----|-------|--|-⌫---|-------⌫-|--⌫--------|-|---|--|---⌫-----⌫-|-|-⌫----|-----|--⌫-⌫|-------|
LX Xu III.	--⌫--⌫---|
SANCTUSuIT ALIANUS.	------|---⌫-------|
[5K b][Altaserra,Anto ni us:5Kb][Bencinus :20K b][Binius,Seuerinus;	---⌫-|----------|----⌫--⌫--|---|---------⌫|---⌫-|-------|---------|
135 uitalian us, nationeSignien sis , prouincieCampanie,depat reAnastas io,seditan nosqua tuo rd ecim,m en s essex[a1Kb] .	--|--------⌫--|------|-------⌫---⌫|--------|--------|-|---⌫-|-------⌫--|----|--⌫--|---⌫---⌫--⌫----|-⌫--⌫-⌫-|--|-|---||
Hicd irexit re s ponsal es,suocumsyno dicaiuxta con suetudin eminregiamurbemapud pii ssimosprincipes,significansde ordinationesua.	--|-⌫-----|--⌫-⌫------⌫--|--|--|----⌫---|----|---⌫--------⌫-|-|-----|----|---|---⌫-----|---------|----------|-|----------|---|
Etdumsusc eptiessent renouan tes p riui legia E cclesiereuersi sun t,quorum[b1Kb]clementia pereosdemmi ssos direx eratbeato Petroapostol o, etEuangeliaaureacum g emmis albismire magnit udinisin circ uituornatus[c1Kb] .	-|--|----⌫---|-----|-------⌫--|-⌫----⌫----|-⌫------|------|---⌫-|-----|-|---|--------|--|-----|--⌫---|-----⌫---|----|----|-------⌫-|-|--------|----|--|-⌫----|----|---|------⌫-----|-|----⌫---|------|-|---||
Hicr egulamecclesias ticamatqueuigorem,utmos erat,omnimodo conseruau it.	--|-⌫-----|---------⌫----|----|-------|-|--|----|-------|---------⌫--|
Huius temporibusuenit C onstantinusAugustusderegia urbeper littoraria in At henas,etexindeTara ntum , inde Ben euen tum , e tNeap olim p erindictionemuI.	----|---------|----|-⌫----------|-------|-|----|---|--|---------|-|--⌫-----|-|-----|----⌫----⌫|---|---⌫----⌫---⌫|-⌫|----⌫---|-⌫-|----------|--|
Postmodum uenitRomam,id est quinta diemensisIul ii,fe riaquarta,indictionesuprascrip ta,etoc curriteiobuia mapostolicuscumclerosuo milliario sextoaburbeRoma,etsuscepiteum.	--------|----|-----|-|--|-----|--|-----|---⌫--|--⌫--|------|---------|----------⌫--|-|--⌫-----|-|-----⌫|----------|--|----|--|--------|----|-|---|----|-|-------|---|
1 3 6 Omniaq ueerantinereadorna tum ciu itatis dep osuit,sedetecclesiam beate Mariea d Mar tyres, q uedete gulis ereis erat cooperta,discooperuit ,etinregiamur bemcumaliisdiuersis quedeposuer at,direxit.	-⌫-⌫|----|-⌫-|----|-|--|-|----⌫--|---⌫-----|---⌫-----|--|-|--------|----|----|-⌫|---⌫-----|-⌫-|-|--⌫----|----|---|--------|------------⌫|-|-|-----|--⌫--|--|----|-------|--|--------⌫--|-------|
Et post modumsecunda fe riaeg ressus dec i uitateRomana,reuer susestNeap olim.	-|----⌫----|------|--⌫--|--⌫-----|-|-⌫-⌫-----|------|-----⌫--|--|----⌫----|
Indeterrenoi tinere per re xitRh egium[a1Kb] ,ing ressus Siciliamperindict.	---|------|-⌫-----|---⌫--⌫--|--⌫----|-|---||---⌫-----|-------|--|------|
Ethabitauitin ciuitateSyracusana,ettalemafflictione mposu it inpopulo,seuh abitatoribusuel po ssessor ibu sprouinciaru mCal abrie,Sicilie ,Africe, Sardi nie,perd iagraph a seu capitaa tquenauticat ionesper a nnosp lurimos, qualesasecu lon unquamfu erant,ut etiamuxores a maritis, uel f ilios a patre[b1 Kb] se par arent ,etalia mult ai nau dita perpe ssi sunt,ut alic uispesuite nonremaneret,sed etua sasacratauel cymiliasanctarumDeieccle siarum tolle ntes nichildimiseru n t .	-|--------|-|-------|----------|-|----|-----------⌫|----⌫-|-|------|--|-⌫-----------|--|--⌫-------⌫---⌫|-----------⌫|---⌫-----|-------⌫|------|-----⌫---|--|-⌫-------⌫|--|-----|-⌫---|--------⌫----|--|-⌫---|-⌫-------|-----||----⌫-|-⌫-----|--⌫-----|-|----|-----||-------|--|-⌫----||----|-|-⌫--|--⌫---⌫-----⌫|-|---|----⌫|-⌫---⌫---|-----⌫--|----|-|----⌫-|---|---|--|---------|--|-|--⌫-|------|--|------|--------|--|-----⌫-----|-----⌫---|-----|--------⌫-⌫-⌫|
Etpos tmodumquint o decim od ie mensi sIuli iperi ndict.	-|---⌫-----|-----⌫|-----⌫|-⌫-|-----⌫|----⌫|--|-⌫-----|
S ANCTUSADEODATUS.	-⌫-----|---------|
[ 5 Kb][Altaserra,Antoniu s: 3Kb] [Bi nius,Seuerinus;	-⌫-⌫--|----------|-------⌫-|---|---⌫----|---------|
137Adeodatus, nationeRomanus,ex monac his,de patre Io biniano[a1 Kb],sedi tannos qu atuor,menses duos,di esquinque [b1Kb ].	--|---------|------|-------|-|-----⌫---|-|----|--⌫------|-|-⌫--||----⌫|----|--⌫-----|-----|----|--⌫-|------|-|---⌫||
T an temagnitudinis [c 1K b]fui t mitissimus,acbenignis simus,utom n em hominem amaioriusquead minimum lib entersusciperet,peregrini sco mpassionemexh ib uit [ d1Kb], ut etiamu nusquisquequ odpost ul auit, sinedubioimpetrau it [ e1Kb].	-⌫--⌫-|-----------|-|--⌫-|---⌫|----------|-|--------⌫-----|-|--⌫-⌫-|------||-----|----|-|------|---⌫----|----------|---------⌫|--⌫---------|---⌫--⌫--|-⌫|---||-|----|-⌫---------|--⌫-|----⌫--⌫----|---|----|--------⌫-|-⌫|---||
Sedetrogamomnibusampliauit.	--|-|----|------|---------|
Huius temporib usMezz etius[f 1Kb], quierat inSiciliacumexercitu Orientali,intartiz a uit[g1K b] ,etarripuit regnu m.	----|--------⌫-|----⌫----|-|---||--|---|-|------|--|-------|---------|--------⌫-⌫--|-|--⌫-||-|-------|-----⌫-|
Et [h1Kb] pe rrexitexercit usItalie p e rpartesIstrie ,aliiper partesCampanie, necno net alii pe rpartes Sa rdi nie, etA fr ice.	-|-|---|--⌫-----|-------⌫-|-----|-⌫-⌫|-----|------⌫|---|--|-----|--------|--|--⌫|-|---|--⌫|-----|--⌫---⌫---|-|-⌫--⌫---|
1 38Hicecclesia mbeatiP etri,que estuiaPortuensi iuxta campum Meru l i,utdecuit, restaurauit,atquededicau it.	-⌫-|--|--------⌫|----|-⌫----|--|--|--|--------|----|-----|----⌫-⌫-|-|------|-----------|----|-------⌫--|
Sedet in monasteriosancti Er asmisituminCeliomonte, i n quoconcreuisse [l 1Kb]u isusestpredictussanct issimu suir,multanoua edifici a augmentauit, sedetcasa liaconquis iuit [m 1Kb],et inuitasua abbatem,ue lcong regati onemibidemins t itu it.	--|-|-|---------|-----|--⌫---|----|-|----|-----|-⌫|--|----------|-|---|-⌫---|--|--------|-----⌫------⌫|---|----|---|-------⌫|-----------|--|-|----⌫--|-------⌫---|-|---||-|-|---|--|-------|--⌫|----⌫------⌫---|-----|---⌫-⌫---⌫--|
Post c uius tr ansitumtantepluu ie, ett oni truafuerunt,qu ales nu llaetas hominummeminite sse,ute tia mho mines, etpec udes de fulgureinterir ent.	---|-⌫---|--⌫------|----|----⌫--|-|-⌫---⌫---|-------|--⌫---|--⌫--|---|------|------|-⌫---|-|-⌫---⌫|--⌫-----|-|---⌫---|-|------|-------⌫---|
Etnisiperlitanias, quequotid ie fiebant,Dominusessetp ro pit iatus, nonpotuissenthominestriturare ,uel inhorrei sfrumen t arecondere.	-|---|--|--------|--|------⌫-|-------|------|----|-⌫--⌫---⌫-----|--|---------|------|---------⌫|--|-|------⌫|------⌫-⌫|---------|
A tempore ordinatio nissan c tiGr eg o riipapeusqu e hu c ,suntanni nonag in taquinque, menses quinque,dies quatuordecim.	|------|---------⌫--|---⌫-⌫-|--⌫--⌫-⌫--|---|----⌫|--⌫-⌫|---|---|-----⌫--⌫-|-------|-----|-------|---|------------|
ANNOC HRISTI676, CONST ANT.	---|-⌫-----|---|-----⌫---|
[3Kb ] [Altaserra, A ntonius: 3Kb] [Baldinus:8Kb][Benc i nus:18Kb ][Bini us, Seuerinus;	----⌫|----------|-⌫-------|---|---------|---|-----⌫-⌫---|----⌫|-----⌫--|---------|
139Donus,natione Rom anus, expatreMauricio, sedit annumu num,mensesqu inque, dies decem.	--|-----|------|---⌫----|-|----|--------|----|----|-⌫---|-----|--⌫-----|---|-----|
H icatri umbeatiPetriapos tolisuperi us,quod es t[a1Kb] a n teeccles ia minquad riporticu mmagn is ma r moribusstrauit, sedet eccle siamapo stolorum, sitamuiaOstiensi,ut decuit,restaurauitatquededicauit.	-⌫-|----⌫-|----|----|----⌫---|------⌫--|---|--⌫|-|---|-⌫-⌫-|------⌫--⌫|-|----⌫---------⌫|----⌫-|--⌫-⌫------|-------|--|-|-----⌫---|---⌫--------|----|--|--------|-|------|----------|----|---------|
I temqueecclesi amsancteEuphemie,posi tamuia Appia ,similiterdedi c auit.	-⌫-----|-------⌫-|-----|--------|----⌫--|--|-----⌫|--------|----⌫-⌫----|
Cle rum quoquediuers is o r d i n ibus et hon oribusampliauit.	---⌫--|-----|------⌫-|-⌫-⌫-⌫-⌫-⌫---|-|---⌫-----|---------|
H ic rep eritinu rbeRoma, in monasterio quodapp ellaturBe tianum,Nestorianitas,monachosSy ros , quos perdiuersamon a s teria diuis it [b 1 Kb].	-⌫-|---⌫---|-|-⌫--|----|-|---------|---|---⌫------|--⌫------|-------------|-------|--⌫---⌫|---|--|------|---⌫-⌫-⌫----|-----⌫-|-|-⌫--||
Inq u opredi ctomonasteriomonachosRo manosins ti tuit.	-|-⌫-⌫|-----⌫--|---------|-------|--⌫----|---⌫--⌫----|
HuiustemporibusEcclesi aRauennatum,que se abE cclesia Romana segregauera tcausaautocephalie, denuosepristinesedi ap ostolicesubiugaui t .	----|---------|-------⌫|----------|--|-|-|-⌫------|-----|-----------⌫|----|------------|----|-|-------|---|--⌫-------|---------⌫-⌫|
SANCTUSAGATHO .	------|------⌫|
[19Kb][Al taserra,Antonius:85Kb][Bencinus:7 Kb][Binius,Seuerin us;	-----|---⌫-------|--------|----|---------|-⌫--|-------|-------⌫--|
140Agatho, nationeSicu lus,exmo nachis, sed it ann osduos,mensessex,di estresa 1 K b].	--|------|------|----⌫---|-|--⌫------|---⌫-|---⌫-|----|-----|---|--⌫-|---||-⌫-⌫-||
Tantumben ign usetm ansuetusfuit,ut etiam omnib ushilarisetiocunduscomprobaretur.	-----|---⌫---⌫-|-|-⌫-------|----|-|----|-----⌫-|------|-|-------|-------------|
Hui u s temporibus Theod or us archiepiscopusRaue nneseme tipsum sedi a postolicep ostmu lt oru mannoru mcurricula presentauit .	---⌫-⌫|---------|-----⌫--⌫-|-------------|----⌫--|----⌫-----|---|-⌫--------|-⌫--|--⌫--⌫---⌫|------⌫|--------|-----------⌫|
Hic suscepitdiu alem iussionempiissimor um princ ipumConstantini Herac l ii e tTiberiiAugustorum,pe rEpiphaniumgloriosuma secretis ,mis sampre cessorisu oDonop ape,inuitantemat qu ead hortan temu td ebeats ac erdotes uelmissos su osdirigere inregiamurbemproadunati onefaciendasanctarumDeiEccl esiarum,quodet ordinaren ondist ulit [a 1K b] .	--|-------|---⌫---|--------|---------⌫-|-----⌫---|----------|-----⌫-⌫-|-⌫|------|----------|--⌫|---------|--------||--------⌫|---⌫--|---⌫------|--⌫|---|-⌫---|---------|--⌫--⌫|--⌫------⌫--|-⌫|-⌫----|-⌫--⌫------|--|-----|--⌫-|-------|-|-----|----|--|-------⌫--|-------|--------|--|----⌫-------|---|-|-------|-⌫-|----⌫---|-|--⌫-||
141Huiu s temporibusind i ct.	--|----⌫|---------|---⌫-⌫--|
uIII lunae clipsim pertulitmens.	---|---|-⌫------|-------|----|
S imiliter etmortalitasm aioratquegrauissimasubsecuta estmense suprascripto,Iul io,Au gustoetSeptembr.	-⌫-------|-|---------|-⌫---|----|---------|--------|--|----|------------|---⌫--|--⌫----|-|--------|
inurbeRoma, qua lis nect empori bus alioru mpontificumesse[g1Kb]memor atur.	-|---|----|---⌫--|--|-⌫------⌫--|------⌫|---------|---|-|---|-----⌫----|
1 42 [l 1Kb ] DieuicesimasecundamensisNouembris, in b asilica qu eTrullu sappellat ur, intrapalatiumsub regalicultu, res identecumCon s t antinoA ug.	-⌫-|-|---⌫|--|-------|------|-----|---------|-|-⌫------|--⌫|------⌫|--------⌫--|----|-------|--|-----|-----|---⌫-----|--|---⌫-⌫-⌫-----|-⌫--|
Georgio p atria rchaC onstantinop ol itano,acMacarioA ntiocheno, suscepti sun tmissi s edisapostol ice, deinde metropoliteuel episcopiOrient ali u mpar tiumnumero c entumquinquaginta.	------|-⌫-----⌫---|-⌫-----------⌫--⌫-----|-|------|-⌫---------|-------|---⌫|----|-⌫---|-------⌫---|-----|----------|--|-------|------⌫---⌫-⌫|---⌫---|-----|-⌫----|------------|
Qui pronia do r antes,re sider eeosprecepit unac umnostris .	--|----|-⌫--⌫-⌫-----|--⌫-----⌫|--|-------|--|-⌫-|-------⌫|
Posthec patricii, ypa tiomnesqueinclyti[m1K b] introier unt,ethabi ta i nquis itioneab eiuspietate [ n1Kb], cuiuspartis deb eret ost ensi oa pprobari.	---|--|--------|---⌫-|-------|------|-|--⌫-|--------⌫---|-|----⌫-|-⌫-----⌫-----|-|---|------|-⌫|---||----|-----|---⌫---|---⌫----⌫|-⌫--------|
Lega tisedisa post olicedixeru nt: Opport un a ueri tasetrati oe xi git,uta parte[o 1Kb] eor umqui unamuoluntatemetoperationeminDomi noIes uChristoasserunt,apostol icesedis exponer e [p 1Kb].	----⌫-|----|-⌫----⌫----|------⌫--|------⌫--⌫|----⌫--|-|----⌫|-⌫--⌫---|-||----|-|---|---⌫-|--|---|---------|-|----------|-|----⌫-|---⌫|------|--------|-------⌫--|----|-------⌫|-|---||
43Die 12mensisDe cembris[a1Kb]residentesynodocumeiu spietate sus ceptisuntmissised isapostolice,et precepiteos insynodo [b1Kb ]residere.	-|--|-|-----|--⌫------|-|---|--------|-----|--|---⌫|------|---⌫----|---|----|---⌫-|----------|-|-------|--|-|-----|-|---⌫|--------|
Presentanteslocumsan ctissimia c beatis simiAgatho nis pape.	-----------|----|---⌫-------|-⌫|------⌫---|------⌫--|----|
Quib usdictum est utomneslibr osqu os scirent ad causamfideipertinere, coram synodoadducer ent, quode tfactum est .	----⌫-|-----|--|-|----|----⌫-|--⌫-|------|-|-----|----|---------|----|-----|-------⌫---|---|-⌫|-----|---⌫|
EtuocatoGeorgi o d iacono et chartophylace Eccle sie Constantinopol itane,preceptumest eiutiuxtaeorum n o titiam codicesexbibliothecaE ccl esi e admed umdeducere t,etdumadd uctie ssentetrele gerentur, utrique similesrepe rti [ c1Kb]sunt,dua sna turas duasq ueuoluntatese tope rationesin DominoIesu Christohabentes.	-|-----|------⌫|-⌫-----|-|------------|-----⌫--|--------------⌫-----|--------|--|-|-|----|----|-⌫-⌫-----|------|-|----------|-⌫---⌫---⌫|-|--|-|--------⌫-|-|--|---⌫---|-⌫----|-|----⌫--------|------|------|----⌫--|-⌫|---|----|---⌫|--⌫----|-----⌫-|---------|-⌫|---⌫-------|-|-----|---|------|--------|
144Sequentidiein eodemsecre tario residentesynodo un a cump rincipe,synodicasan ctissim iAgathonis paperelectaest,et adsin g ulacomprobata Patru mdi ctainserta[f1Kb],inquasynodica episcopiOccide ntalispartissubscri pseru nt n umer o cen tumuigintiquinque [g 1Kb].	--|-------|--|-|----|-----⌫----|--------|-----|--⌫|--|-⌫-------|-------|---⌫-------⌫|--------|---|------|---|-|-|---⌫-⌫--|---------|-----⌫|--⌫--|------|-|---||-|--|-------|-------|------⌫-----|-----|-------⌫-----⌫-|-⌫----⌫|---⌫--|------|------|-|---||
Cumque posthec adhort a tus est,necdicen dusMacariusas anctasynodo, uelapio principe,omnique senatu,utprofitereturuna mautduasconfiteriuoluntatesu elope rationes, quin ulla tenu s audiuit, sed potius nequeuna m ne queduasi nSaluatoredicere uoluit.	-----|---|--|------⌫-⌫--|---|--|-----⌫--|-------||-⌫----|------|--||--|--------|------|------|-|-----------|---⌫|--|---|--------|---------|-⌫-|---⌫--------|--|-⌫----⌫----⌫|-------|--|-----|----|---⌫|--⌫--|---|-⌫|--------|-----|------|
[h 1Kb]D ein deprotulitpi issimusetserenis simus pri ncepstomumadrelegendum,inquem uanum hereticu mdo gmaMaca riieratconscr iptum,eteiusm anusub scriptum,apertissimeun am uoluntatemin D ominoa ffirmanti s.	-|---|-⌫---⌫-|-------|--⌫------|-|-------⌫----|---⌫----|----|-|----------|-|---|----|--------⌫|--⌫--|----⌫--|---|------⌫-----|-|---|-⌫--|---⌫--------|----------|--⌫-|---------|-|-⌫----|-⌫---------⌫-|
Subipsiusscrip ti oneetTheodoriexpatriarche,uti quei uxtaeum tenoremibi s ubscripti oerat[i1Kb ].	--|-----|-----⌫--⌫--|-|-------|------------|---⌫--|-⌫---|--|------|--|-⌫---------⌫|---|-|---⌫||
145Dieuicesima quint amensis Februarii , residente synod o una cumpioprincipesimulque etleg atissedisapostolice, Macariu madesseiu s serunt.	--|--|-------|-----⌫|-----|---------⌫|--------|-----⌫|--|--|--|-------|-------|-|---⌫---|----|----------|-------⌫|-----|--⌫-⌫------|
Etd ataaprincipe licentiauts epartes, quisinquasuellet[q 1Kb] ,diui deret,Georgiuspa tr i a rcharegieci uit atis cumsuisinpar tesorthodoxum stetit.	-|-⌫--||-------|-------|-|-⌫|------|---|-|---|-----|-|---||----⌫-----|-------|--⌫--⌫-⌫-⌫---|----|--⌫---⌫---|--|---|-|---⌫--|---------|------|
M acarius uerocumsuisinpa rte aliahere ticorum.	-⌫------|---|--|---|-|--⌫--|---|----⌫-------|
Etdeducentesad mediumprofess i on emGeorgiip atriarche , quamfecerat ,por recta es t [r1Kb] pri ncip ietrelectaes t.	-|---------|-|-----|-------⌫-⌫--⌫-|------|-⌫---------⌫|---|-------⌫|---⌫----|--⌫|-|---|---⌫----⌫|-|------|--⌫-|
Etcommonitussupra scriptusMacari usquidse ntiretuelcre deret, respond itse inea[s 1Kb] p erfid iaquamant e proposuerat,perdurare ,et n ul latenuso rthodoxed eiacquiescere.	-|---------|-----⌫-------|------⌫-|---|--⌫-----|--|---⌫-----|-------⌫-|-|-|-|-|---|-⌫-----⌫-|---|---⌫|-----------|---------⌫|-|-⌫--⌫------|-⌫-------|-⌫-|-----------|
Eahorasanctasynodu su nacumprin c ipe eiusorariuma ufer riiuss eru ntacoll o eius,etex silie ns Basiliusepiscopus Creten si sEcclesie,eiusorari umab stulit,etanathematizant es proieceru nte um foris syno d.	-|---|-----|------⌫|-⌫-|--|----⌫-⌫--|---|------|-⌫----⌫-|----⌫---⌫-||----⌫|----|-|--⌫-----⌫-|-------|--------|------⌫--⌫|--------|---|-----⌫-|--⌫------|-|--------------⌫-|---------⌫-|-⌫-|----|----⌫-|
s i mu lque etthronum e ius.	-⌫-⌫--⌫---|-|------|-⌫---|
St ephanum autemdiscipulumeiuscerui cibus asancta synodoclerici R omanieiicientesexpulerunt.	--⌫------|----|---------|---|-----⌫----||-----|-----|------|-⌫----|---------|----------|
146[f 1 Kb]H ic suscep itdiualemi us si onemsecundumsuampostula tionem,ut suggessit,per quamreuelataestquantit as queso litae ra tdariproordinationepontific is facienda.	--|-|-⌫--|-⌫-|------⌫-|------|-⌫--⌫--⌫---|-------|---|-------⌫------|-|---------|--|---|-------|--|-------⌫-|--|--⌫---|-⌫--⌫|---|--|----------|--------⌫-|--------|
Sictamenut,sicontigeritposteius[g1Kb]transitu melectionem f i eri,n on debea tordinari qui electus fuerit,nisipri us decretumge neralei ntroducaturin regiam urb em secund umantiqua mconsuetudinem,etcumeorum c onscient ia etiussione de b ea tordinatioproueni re.	--|----|--|-|---------|---|---|-|---|--------⌫|---------|-⌫-⌫---|-⌫-|-----⌫|-------|--|------|------|---|---⌫-|-------|--⌫-----|-⌫----------|-|-----|---⌫-|------⌫-|-------⌫|-------------|-|--|----|-⌫--------⌫-|-|-------|--⌫-⌫--⌫|--------|-------⌫--|
