Etuocetube	Et uoce tube
ei᷒quifacitisuolũtatẽei᷒	ei᷒ qui facitis uolũtatẽ ei᷒
Benedicitedñoõiaoꝑaei᷒inõiloco	B enedicite dño õia oꝑa ei᷒ in õi loco
dñationesei᷒benedicaĩa	dñationes ei᷒ benedic aĩa
meadñoBenedicaĩam̃adñodñed̃sm̃smagnificat᷒	mea dño Benedic aĩa m̃a dño dñe d̃s m̃s magnificat᷒
esuehem̃t̃Confessionẽ⁊decorẽinduistiamict᷒lumine	es uehem̃t̃ Confessionẽ ⁊ decorẽ induisti amict᷒ lumine
sic̃uestim̃toExtẽdẽscelũsic̃pellẽquitegisaquissuꝑiora	sic̃ uestim̃to Extẽdẽs celũ sic̃ pellẽ qui tegis aquis suꝑiora
ei᷒Quiponisnubẽascẽsũtuũ	ei᷒ Qui ponis nubẽ ascẽsũ tuũ
quiambulassuꝑpẽnasuẽtoꝝQuifacis	qui ambulas suꝑ pẽnas uẽtoꝝ Qui facis
angl̃ostuossp̃s⁊ministrostuos	angl̃os tuos sp̃s ⁊ ministros tuos
ignẽurẽtẽQuifũdastit̃rãsuꝑstabilitatẽsuã	ignẽ urẽtẽ Qui fũdasti t̃rã suꝑ stabilitatẽ suã
nõinclinabiturinscl̃mscl̃iAbissussic̃uestim̃tũ	nõ inclinabitur in scl̃m scl̃i Abissus sic̃ uestim̃tũ
amictusei᷒sr̃mõtesstab̃taq̃Abincrepatõetua	amictus ei᷒ sr̃ mõtes stab̃t aq̃ Ab increpatõe tua
fugiẽtauocetonitruitui	fugiẽt a uoce tonitrui tui
formidab̃tAscendũtmõtes⁊descẽdũt	formidab̃t Ascendũt mõtes ⁊ descẽdũt
cãpiinlocũquẽfũdasti	cãpi in locũ quẽ fũdasti
eisTerminũposuisti	eis Terminũ posuisti
q̃nõtͣnsgͤdiẽt᷑neqꝯũtent᷑oꝑire	q̃ nõ tͣnsgͤdiẽt᷑ neq ꝯũtent᷑ oꝑire
t̃rãQuiemittisfõtesinꝯuallibint̃mediũ	t̃rã Qui emittis fõtes in ꝯuallib int̃mediũ
mõtiũꝑtͣnsib̃taq̃Potabũtom̃sbestieagriexpectab̃t	mõtiũ ꝑtͣnsib̃t aq̃ Potabũt om̃s bestie agri expectab̃t
onagriinsitisua	onagri in siti sua
Suꝑeauolucres	Suꝑ ea uolucres
celihabitab̃tdemediopetrar̃dabũtuocesLigãsmõtes	celi habitab̃t de medio petrar̃ dabũt uoces Ligãs mõtes
desuꝑioribsuisdefructuoꝑũtuoꝝsaciabit᷑	de suꝑiorib suis de fructu oꝑũ tuoꝝ saciabit᷑
t̃raProducesfenũium̃tiᷤdemtuũSuꝑaspidembasillicũ	t̃ra Produces fenũ ium̃tiᷤ dem tuũ Suꝑ aspidem  basillicũ
ambulabisꝯculcabisleonemdraconẽQm̃	ambulabis  ꝯculcabis leonem  draconẽ Qm̃
inmesꝑauitet	in me sꝑauit et
liberaboeum	liberabo eum
ꝓtegameumqm̃cognouit	ꝓtegam eum qm̃ cognouit
nom̃meũClamabitadme	nom̃ meũ Clamabit ad me 
egoexaudiam	ego exaudiam
eũcũip̃o	eũ cũ ip̃o
sumintribulatione	sum in tribulatione
eripiameumgl̃ificaboeumLongitudinedierumrepleboeũ	eripiam eum  gl̃ificabo eum Longitudine dierum replebo eũ
ostendamillisallitaremeũps̃cãticiin	 ostendam illi sallitare meũ ps̃ cãtici in
diesabb̃iBonumestꝯfit̃idñopsallere	die sabb̃i Bonum est ꝯfit̃i dño  psallere
nõituoaltissimeAd	nõi tuo altissime Ad
annũciandũmanemĩamtuamueritatẽtuamꝑnoctẽIn	annũciandũ mane mĩam tuam  ueritatẽ tuam ꝑ noctẽ In
decacordopsalteri	decacordo psalteri
cumcanticoincitharaQuiadelectastimedñeinfc̃ura	cum cantico in cithara Quia delectasti me dñe in fc̃ura
tuainoperibmanuũ	tua  in operib manuũ
tuaꝝexultaboQuam	tuaꝝ exultabo Quam
magnificatasuntoperatuadñenimisꝓfundefc̃esũtcogitationes	magnificata sunt opera tua dñe nimis ꝓfunde fc̃e sũt cogitationes
tueVirinsipiensñ	tue Vir insipiens ñ
cognoscetstultusñintelligethecCumexortifuerint	cognoscet  stultus ñ intelliget hec Cum exorti fuerint
pcc̃oressic̃fenũapparuerintom̃s	pcc̃ores sic̃ fenũ  apparuerint om̃s
quioꝑanturiniquitatẽUt	qui oꝑantur iniquitatẽ Ut
int̃eantinscl̃mscl̃i;tuaũ	int̃eant in scl̃m scl̃i ; tu aũ
altissim᷒inet̃numdñe	altissim᷒ in et̃num dñe
Qm̃ecceinimicituidñe	Qm̃ ecce inimici tui dñe
qm̃ecceinimici	qm̃ ecce inimici
tuiperibũtdispergenturom̃squioperant᷑iniqͥtatẽEt	tui peribũt  dispergentur om̃s qui operant᷑ iniqͥtatẽ Et
exaltabr̃sicutunicorniscornumeũ	exaltabr̃ sicut unicornis cornu meũ
senectusmeaĩmĩauberi	 senectus mea ĩ mĩa uberi
Etdespexitocl̃smeusinimicosmeis	Et despexit ocl̃s meus inimicos meis
ĩsurgentibinmemalignantibaudiet	 ĩsurgentib in me malignantib audiet
aurismeaIust᷒	auris mea Iust᷒
utpalma	ut palma
florebitsicutcedruslibaniml̃tiplicabr̃	florebit sicut cedrus libani ml̃tiplicabr̃
Plantastiindomodñiin	Plantasti in domo dñi in
atͥisdom᷒deinr̃iflorebuntAdhucml̃tiplicabunturĩ	atͥis dom᷒ dei nr̃i florebunt Adhuc ml̃tiplicabuntur ĩ
senectaub̃i	senecta ub̃i 
benepacienteserũtutannũcientQm̃rectus	bene pacientes erũt ut annũcient Qm̃ rectus
dñsdeusnr̃ñestiniquitasineo	dñs deus nr̃  ñ est iniquitas in eo
lauscanticid̃d	laus cantici d̃d
ĩdieañsabbatũqñfũdataẽterra	ĩ die añ sabbatũ qñ fũdata ẽ terra
Dñsregnauitdecorẽĩdutusĩdut᷒	Dñs regnauit decorẽ ĩdutus ĩdut᷒
estdñsfortitudinemcĩxitseEtenimfirmauitorbemt̃re	est dñs fortitudinem  cĩxit se Etenim firmauit orbem t̃re
quiñꝯmouebr̃Paratasedestuaextc̃ascl̃o	qui ñ ꝯmouebr̃ Parata sedes tua ex tc̃ a scl̃o
tuesEleuauerũtfluminadñe	tu es Eleuauerũt flumina dñe
eleuauer̃tfluminauocemsuamEleuauer̃t	eleuauer̃t flumina uocem suam Eleuauer̃t
fluminafluctussuosauocibaqͣꝝml̃taꝝMirabileselationes	flumina fluctus suos a uocib aqͣꝝ ml̃taꝝ Mirabiles elationes
marismirabilis	maris mirabilis
ĩaltis	ĩ altis
dñsTestimoniatuacredibiliafc̃a	dñs Testimonia tua credibilia fc̃a
s̃tnimisdomũtuãdecetsc̃itudo	s̃t nimis domũ tuã decet sc̃itudo
dñeĩlõgitudinemdierumps̃dauidIIIIͣsabbatiDeusultionũ	dñe ĩ lõgitudinem dierum ps̃ dauid IIIIͣ sabbati Deus ultionũ
dñsdeusultionũlib̃eegit	dñs deus ultionũ lib̃e egit
Exaltarequi	Exaltare qui
iudicast̃rã	iudicas t̃rã
redderetͥbutionẽsr̃bis	redde retͥbutionẽ sr̃bis
Usqͦpcc̃oresdñeusqͦpcc̃oresgl̃abunt᷑effabuntur	Usqͦ pcc̃ores dñe usqͦ pcc̃ores gl̃abunt᷑ effabuntur 
loq̃nturiniquitatẽloquẽturom̃squioꝑanturiniusticiamPopl̃mtuũdñe	loq̃ntur iniquitatẽ loquẽtur om̃s qui oꝑantur iniusticiam Popl̃m tuũ dñe
humiliauer̃thereditatemtuãuexauerũtViduamaduenam	humiliauer̃t  hereditatem tuã uexauerũt Viduam  aduenam
int̃fecerũtpupillosoccideruntdixer̃tñuidebitdñs	int̃fecerũt  pupillos occiderunt  dixer̃t ñ uidebit dñs
necintellegetd̃s	nec intelleget d̃s
iacobIntellegiteĩsipientesĩppl̃ostultialiqñ	iacob Intellegite ĩsipientes ĩ ppl̃o  stulti aliqñ
sapiteQuiplantauitauremñaudietautquifĩxitoculos	sapite Qui plantauit aurem ñ audiet aut qui fĩxit oculos
ñconsiderat	ñ considerat
Quicorripitgentesñarguetqui	Qui corripit gentes ñ arguet  qui
docethoĩemscĩamDñsscitcogitationeshoĩm	docet hoĩem scĩam Dñs scit cogitationes hoĩm
qm̃uanesũtBeatus	qm̃ uane sũt Beatus
h̃oquemtuerudierisdñedelegetua	h̃o quem tu erudieris dñe  de lege tua
docueriseũUtmitigeseisadieb	docueris eũ Ut mitiges eis a dieb
malisdonecfodiatur	malis donec fodiatur
pcc̃oribfoueaQuia	pcc̃orib fouea Quia
ñrepellet	ñ repellet
dñsplebẽsuamhereditatemsuamñderelinq̃t	dñs plebẽ suam  hereditatem suam ñ derelinq̃t
Quoadusqiusticiaꝯũtaturĩiudiciũquiiuxtaillam	Quoadusq iusticia ꝯũtatur ĩ iudiciũ  qui iuxta illam
om̃squirectosuntcorde	om̃s qui recto sunt corde
quisꝯsurgetmͥadũsusmalignantes	quis ꝯsurget mͥ adũsus malignantes
autquisstabitmecũ	aut quis stabit mecũ
adũsusoperantesiniquitatẽNisidñsadiuuitmepaulominus	adũsus operantes iniquitatẽ Nisi  dñs adiuuit me paulo minus
h̃itassĩ	h̃itass ĩ
infernoaĩameaSidicebammotusestpesmeusmĩa	inferno aĩa mea Si dicebam motus est pes meus mĩa
tuadñeadiuuabatme	tua dñe adiuuabat me
Scd̃mml̃titudinemdoloꝝmeoꝝincordemeoꝯsolationestue	Scd̃m ml̃titudinem doloꝝ meoꝝ in corde meo ꝯsolationes tue
letificauerũtaĩam	letificauerũt aĩam
meamNumqͥdadherettͥsedesĩiquitatisquifingislaboremĩ	meam Numqͥd adheret tͥ sedes ĩiquitatis qui fingis laborem ĩ
ceptoCaptabuntĩaĩamiusti	cepto Captabunt ĩ aĩam iusti 
sangͥneminnocentẽꝯdẽpnabũtEtfc̃usest	sangͥnem innocentẽ ꝯdẽpnabũt Et fc̃us est
mͥdñsinrefugiũd̃sm̃sĩadiutoriumspei	mͥ dñs in refugiũ  d̃s m̃s ĩ adiutorium spei
meeEtreͩdetillisiniquitatem	mee Et reͩdet illis iniquitatem
ip̃oꝝin	ip̃oꝝ  in
maliͭͥaeoꝝdisꝑdeteosdisꝑdetillosdñs	maliͭͥa eoꝝ disꝑdet eos disꝑdet illos dñs
deusnr̃lauscantici	deus nr̃ laus cantici
ip̃idauidVeniteexultemus	ip̃i dauid Venite exultemus
dñoiubilem᷒deosalutarinr̃oPreoccupem᷒faciẽei᷒ĩ	dño iubilem᷒ deo salutari nr̃o Preoccupem᷒ faciẽ ei᷒ ĩ
ꝯfessioneĩ	ꝯfessione  ĩ
psalmisiubilem᷒eiQm̃deusmagn᷒dñsrex	psalmis iubilem᷒ ei Qm̃ deus magn᷒ dñs  rex
magnussr̃om̃sdeosqm̃ñrepellit	magnus sr̃ om̃s deos qm̃ ñ repellit
dñsplebemsuamQuiaĩmanuei᷒sũtom̃sfines	dñs plebem suam Quia ĩ manu ei᷒ sũt om̃s fines
t̃realtitudinesmontiumip̃i᷒s̃tQm̃ip̃iusẽmare	t̃re  altitudines montium ip̃i᷒ s̃t Qm̃ ip̃ius ẽ mare
ip̃efecit	 ip̃e fecit
illudsiccamman᷒ei᷒	illud  siccam man᷒ ei᷒
formaueruntVeniteadorem᷒ꝓcidamusañdeũplorem᷒coramdño	formauerunt Venite adorem᷒  ꝓcidamus añ deũ plorem᷒ coram dño
quifecitnos	qui fecit nos 
ip̃eẽdñsdeusnr̃	ip̃e ẽ dñs deus nr̃
Etnosppl̃s	Et nos ppl̃s
pascueei᷒	pascue ei᷒ 
ouesmanusei᷒hodiesiuocemeius	oues manus ei᷒ hodie si uocem eius
audieritisnoliteobdurarecordaur̃aSicutin	audieritis nolite obdurare corda ur̃a Sicut in
irritationescd̃mdiemtemptationisĩdesertoUbitẽptauer̃tme	irritatione scd̃m diem temptationis ĩ deserto Ubi tẽptauer̃t me
pr̃esur̃iꝓbauer̃t	pr̃es ur̃i ꝓbauer̃t 
uider̃toꝑameaQuadragintaãnisoffensusfuigenerationi	uider̃t oꝑa mea Quadraginta ãnis offensus fui generationi
illidixisemꝑhiierrant	illi  dixi semꝑ hii errant
cordeEtistiñcognouer̃t	corde Et isti ñ cognouer̃t
uiasmeasquibiurauiin	uias meas quib iuraui in
irameasiintroibuntĩreqͥemmeamps̃d̃dqñ	ira mea si introibunt ĩ reqͥem meam ps̃ d̃d qñ
domusedificabaturp᷒captiuitatemCantatedñocãticũ	domus edificabatur p᷒ captiuitatem Cantate dño cãticũ
nouũcantatedñoõist̃a	nouũ cantate dño õis t̃a
Cantatedñobenedicitenõiei᷒annũciatededieĩ	Cantate dño  benedicite nõi ei᷒ annũciate de die ĩ
diemsalutareei᷒Annũciateint̃	diem salutare ei᷒ Annũciate int̃
gentesgl̃amei᷒in	gentes gl̃am ei᷒ in
õibpopl̃ismirabiliaeiusQm̃	õib popl̃is mirabilia eius Qm̃
magn᷒dñslaudabilisnimis	magn᷒ dñs  laudabilis nimis
t̃ribil̃ẽsuꝑõsdeosQm̃	t̃ribil̃ ẽ suꝑ õs deos Qm̃
om̃sdiigentiũdemoniadñsaũcelosfecitConfessio	om̃s dii gentiũ demonia dñs aũ celos fecit Confessio
pulcritudoĩꝯspectuei᷒sc̃imoniamagnificentia	 pulcritudo ĩ ꝯspectu ei᷒ sc̃imonia  magnificentia
ĩsc̃ificationeei᷒Affertedño	ĩ sc̃ificatione ei᷒ Afferte dño
patͥegentiũaffertedñogl̃amnõiethonorẽ	patͥe gentiũ afferte dño gl̃am nõi et honorẽ
affertedñogl̃amnõiei᷒Tollitehostias	afferte dño gl̃am nõi ei᷒ Tollite hostias
ĩtroiteĩatͥaei᷒adoratedñminatrio	 ĩtroite ĩ atͥa ei᷒ adorate dñm in atrio
sc̃oeiusCõmoueat᷑a	sc̃o eius Cõmoueat᷑ a
facieei᷒uniũsat̃radiciteĩ	facie ei᷒ uniũsa t̃ra dicite ĩ
gentibdñsregnauitEt·H·correxitorbemt̃requi	gentib  dñs regnauit Et ·H· correxit orbem t̃re qui
nonꝯmouebr̃iudicabitppl̃osĩeqͥtateLetent᷑	non ꝯmouebr̃ iudicabit ppl̃os ĩ eqͥtate Letent᷑
celiexultett̃racõmoueaturmare	celi  exultet t̃ra cõmoueatur mare 
plenitudoei᷒gaudebũtcãpiõiaq̃	plenitudo ei᷒ gaudebũt cãpi  õia q̃
ineissũtTũc	in eis sũt Tũc
exultabuntõialignasiluaꝝafacie	exultabunt õia ligna siluaꝝ a facie
dñiuenitqm̃uenitiudicaret̃ramIudicabitorbemt̃re	dñi  uenit qm̃ uenit iudicare t̃ram Iudicabit orbem t̃re
ĩeqͥtatepopulosĩueritate	ĩ eqͥtate  populos ĩ ueritate
suaps̃d̃dqñt̃raei᷒restitutaest	sua ps̃ d̃d qñ t̃ra ei᷒ restituta est
eiDñsregnauitexultett̃raletenturĩsulemulte	ei Dñs regnauit exultet t̃ra letentur ĩsule multe
Nubescaligoincircuituei᷒iusticiaiudiciumcorrectio	Nubes  caligo in circuitu ei᷒ iusticia  iudicium correctio
sedisei᷒Ignisañip̃m	sedis ei᷒ Ignis añ ip̃m
cedetĩflãmabitĩcircuitu	cedet  ĩflãmabit ĩ circuitu
inimicosei᷒Alluxer̃tfulguraeius	inimicos ei᷒ Alluxer̃t fulgura eius
orbit̃reuiditꝯmotaestt̃ra	orbi t̃re uidit  ꝯmota est t̃ra
Montessic̃	Montes sic̃
cerafluxer̃tafacie	cera fluxer̃t a facie
dñi;afaciedñiõist̃raAnnũciauer̃t	dñi ; a facie dñi õis t̃ra Annũciauer̃t
celiiusticiamei᷒uider̃tom̃sppl̃igl̃amei᷒Confundãtur	celi iusticiam ei᷒  uider̃t om̃s ppl̃i gl̃am ei᷒ Confundãtur
õsquiadorantsculptiliaquigl̃anturĩsimulacris	õs qui adorant sculptilia  qui gl̃antur ĩ simulacris
suisAdorateeum	suis Adorate eum
õsangl̃ieiusaudiuitletata	õs angl̃i eius audiuit  letata
estsyonEtexultauer̃tfilieiudep̃piudiciatua	est syon Et exultauer̃t filie iude p̃p iudicia tua
dñeQm̃tu	dñe Qm̃ tu
dñsaltissim᷒sr̃õemt̃ramnimisexaltatuses	dñs altissim᷒ sr̃ õem t̃ram nimis exaltatus es
sr̃om̃sdeosQuidiligitisdñmoditemalumcustoditdñs	sr̃ om̃s deos Qui diligitis dñm odite malum custodit dñs
aĩassc̃oꝝsuoꝝdemanupcc̃orisliberauiteosLux	aĩas sc̃oꝝ suoꝝ de manu pcc̃oris liberauit eos Lux
ortaestiustorectiscordeleticiaLetaminiiusti	orta est iusto  rectis corde leticia Letamini iusti
indño	in dño 
ꝯfiteminimemoriesc̃ificatõis	ꝯfitemini memorie sc̃ificatõis
ei᷒psalm᷒d̃dCantatedñocanticũnouũmirabiliafecitSaluauit	ei᷒ psalm᷒d̃d Cantate dño canticũ nouũ  mirabilia fecit Saluauit
sibidext̃aeiusbrachiumsc̃meiusNotũ	sibi dext̃a eius  brachium sc̃m eius Notũ
fecitdñssalutaresuũĩꝯspectugẽtiũ	fecit dñs salutare suũ ĩ ꝯspectu gẽtiũ
reuelauitiusticiamsuãRecordatus	reuelauit iusticiam suã Recordatus
estmĩesueueritatissuedomuiisr̃lVideruntom̃s	est mĩe sue  ueritatis sue domui isr̃l Viderunt om̃s
t̃minit̃resalutaredeinr̃iiubilatedeo	t̃mini t̃re salutare dei nr̃i iubilate deo
omnist̃racantateexultatepsallitepsallitedñoĩ	omnis t̃ra cantate  exultate  psallite psallite dño ĩ
cytharaĩcytharauoce	cythara ĩ cythara  uoce
psalmiĩtubisductilibuocetube	psalmi ĩ tubis ductilib  uoce tube
corneeIubilateĩꝯspecturegisdñimoueat᷑	cornee Iubilate ĩ ꝯspectu regis dñi moueat᷑
mareplenitudo	mare  plenitudo
eiusorbis	eius orbis
t̃raꝝuniũsi	t̃raꝝ  uniũsi
quih̃itant	qui h̃itant
ineoFluminaplaudentmanusimil̃montesexultabũt	in eo Flumina plaudent manu simil̃ montes exultabũt
aꝯspectudñiqm̃uenitiudicaret̃rãIudicabitorbem	a ꝯspectu dñi qm̃ uenit iudicare t̃rã Iudicabit orbem
t̃raꝝiniusticia	t̃raꝝ in iusticia 
ppl̃osinequitateps̃d̃dDñs	ppl̃os in equitate ps̃d̃d Dñs
regnauitirascant᷑ppl̃iquisedessr̃cherubinmoueaturt̃raDñs	regnauit irascant᷑ ppl̃i qui sedes sr̃ cherubin moueatur t̃ra Dñs
ĩsyonmagnusexcelsus	ĩ syon magnus  excelsus
sr̃õsppl̃osConfiteant᷑nõituomagnoquoniamt̃ribile	sr̃ õs ppl̃os Confiteant᷑ nõi tuo magno quoniam t̃ribile 
sc̃mẽhonorregisiudiciumdiligitTuꝑasti	sc̃m ẽ  honor regis iudicium diligit Tuꝑasti
directionesiudiciũiusticiamĩiacobtufecistiExaltate	directiones iudiciũ  iusticiam ĩ iacob tu fecisti Exaltate
dñmdeũnr̃m	dñm deũ nr̃m
adoratescabellumpedũei᷒	 adorate scabellum pedũ ei᷒
qm̃sc̃mẽMoyses	qm̃ sc̃m ẽ Moyses 
aaroninsacerdotibei᷒samuelint̃eos	aaron in sacerdotib ei᷒  samuel int̃ eos
qͥinuocãtnom̃ei᷒Inuocabãt	qͥ inuocãt nom̃ ei᷒ Inuocabãt
dñmip̃eexaudiebateosincolũpna	dñm  ip̃e exaudiebat eos in colũpna
nubisloq̃baturadeosCustodiebanttestimoniaei᷒	nubis loq̃batur ad eos Custodiebant testimonia ei᷒
ceptũq̃ddeditillis	 ceptũ q̃d dedit illis
Dñedeusnr̃tuexaudiebaseosdeustuꝓpiciusfuisti	Dñe deus nr̃ tu exaudiebas eos deus tu ꝓpicius fuisti
eisulciscensinõsadinuẽtioneseoꝝExaltate	eis  ulciscens in õs adinuẽtiones eoꝝ Exaltate
dñmd̃mnr̃madorate	dñm d̃m nr̃m  adorate
ĩmõte	ĩ mõte
sc̃oei᷒qm̃sc̃us	sc̃o ei᷒ qm̃ sc̃us
dñsdeusnr̃ps̃ĩconfessioneIubilate	dñs deus nr̃ ps̃ ĩ confessione Iubilate
deoõist̃raseruitedñoĩleticia	deo õis t̃ra seruite dño ĩ leticia
Introiteinconspectu	Introite in conspectu
eiusinexultationeScitoteqm̃dñsip̃eestdeus	eius in exultatione Scitote qm̃ dñs ip̃e est deus
ip̃efecitnos	ip̃e fecit nos
nonipsinosPopl̃seiusoues	 non ipsi nos Popl̃s eius  oues
pascueeiusĩtroiteportasei᷒ĩ	pascue eius ĩtroite portas ei᷒ ĩ
ꝯfessioneatͥaei᷒inhymnisꝯfitemini	ꝯfessione atͥa ei᷒ in hymnis ꝯfitemini
Laudatenom̃ei᷒qm̃	Laudate nom̃ ei᷒ qm̃
suauisẽdñsinet̃num	suauis ẽ dñs in et̃num
mĩaei᷒usq	mĩa ei᷒  usq
ĩgñatõegñatõẽ	ĩ gñatõe  gñatõẽ
ũitasei᷒ps̃ip̃id̃dMiscdĩamiudiciumcantabotͥ	ũitas ei᷒ ps̃ ip̃i d̃d Miscdĩam  iudicium cantabo tͥ
dñepsallã	dñe psallã
intelligamĩuiaĩmacl̃ataqñueniesadmePerambl̃abam	 intelligam ĩ uia ĩmacl̃ata qñ uenies ad me Perambl̃abam
ĩinnocentiamcordismeiĩmediodomusmeeNõ	ĩ innocentiam cordis mei ĩ medio domus mee Nõ
ꝓponebamañocl̃osmeosreminiustamfacientesuaricationesodiuiNõ	ꝓponebam añ ocl̃os meos rem iniustam facientes uaricationes odiui Nõ
adhesitmͥcorprauũdeclinantemame	adhesit mͥ cor prauũ declinantem a me
malignũñcognoscebamDetrahentẽsecreto	malignũ ñ cognoscebam Detrahentẽ secreto
ꝓximosuohuncꝑsequebar	ꝓximo suo hunc ꝑsequebar
Superboocl̃o⁊ĩsaciabilicordecũhocñ	Superbo ocl̃o ⁊ ĩsaciabili corde cũ hoc ñ
edebãOcl̃imeiadfidelest̃re	edebã Ocl̃i mei ad fideles t̃re
utsedeantmecũambulãsĩuiainmacl̃atahicmͥministrabat	ut sedeant mecũ ambulãs ĩ uia inmacl̃ata hic mͥ ministrabat
Nonh̃itabitinmediodomusmeequi	Non h̃itabit in medio domus mee qui
facitsr̃biamqͥloqͥturiniqͣnondirexitĩꝯspectu	facit sr̃biam qͥ loqͥtur iniqͣ non direxit ĩ ꝯspectu
ocl̃oꝝmeoꝝInmatutinoĩt̃ficiebam	ocl̃oꝝ meoꝝ In matutino ĩt̃ficiebam
om̃spcc̃orest̃reutdisꝑderẽdeciuitatedñiõs	om̃s pcc̃ores t̃re ut disꝑderẽ de ciuitate dñi õs
operantesiniquitatemor̃o	operantes iniquitatem or̃o
pauperiscũauxiliaret᷑corãdñoeffud̃cẽsuam	pauperis cũ auxiliaret᷑  corã dño effud̃ cẽ suam
Dñeexaudior̃onemmeam	Dñe exaudi or̃onem meam 
clamorm̃sadteueniatNõaũtasfaciemtuãa	clamor m̃s ad te ueniat Nõ aũtas faciem tuã a
meĩquacũq	me ĩ quacũq
dietͥbulorinclinaadmeauremtuamInquacũq	die tͥbulor inclina ad me aurem tuam In quacũq
dieĩuocaueroteuelocit̃exaudimeQuia	die ĩuocauero te uelocit̃ exaudi me Quia
defecer̃tsicutfum᷒diesmei	defecer̃t sicut fum᷒ dies mei
ossameasic̃cremium	 ossa mea sic̃ cremium
aruer̃tPercussussũutfenũaruitcormeũ	aruer̃t Percussus sũ ut fenũ  aruit cor meũ 
oblitussũcomed̃epanemmeũAuoce	oblitus sũ comed̃e panem meũ A uoce
gemitusmeiadhesitosmeũ	gemitus mei adhesit os meũ
carnimeeSimilisfc̃s	carni mee Similis fc̃s
sũpellicanosolitudinisfc̃ssũ	sũ pellicano solitudinis fc̃s sũ
sic̃niticoraxindomicilioVigilaui	sic̃ niticorax in domicilio Vigilaui 
fc̃ssumsicut	fc̃s sum sicut
passersolitariusĩtectoToradieexꝓbrabant	passer solitarius ĩ tecto Tora die exꝓbrabant
mͥinimicimei	mͥ inimici mei 
qͥlaudabantmeadũsũmeiurabãt	qͥ laudabant me adũsũ me iurabãt
Quiacinerẽtãꝙͣpanẽmanducabã	Quia cinerẽ tãꝙͣ panẽ manducabã
potũmeũcũfletu	 potũ meũ cũ fletu
miscebamAfacieireindignationistueeleuansallisisti	miscebam A facie ire indignationis tue  eleuans allisisti
meDiesmeisicutũbradeclinauer̃t	me Dies mei sicut ũbra declinauer̃t 
egosic̃fenũaruiTuaũdñe	ego sic̃ fenũ arui Tu aũ dñe
ĩet̃nũꝑmanes	ĩ et̃nũ ꝑmanes 
memorialetuũĩgñationegñationem	memoriale tuũ ĩ gñatione  gñationem
Tuexsurgensgñemisereberis	Tu exsurgens gñe misereberis
syontẽpusmiserendieiusuenittemp᷒	syon  tẽpus miserendi eius  uenit temp᷒
Qm̃placuer̃tseruis	Qm̃ placuer̃t seruis
tuislapideseiust̃reei᷒miserebũtur	tuis lapides eius t̃re  ei᷒ miserebũtur
Ettimebũtgentesnom̃tuũdñeom̃sregest̃re	Et timebũt gentes nom̃ tuũ dñe  om̃s reges t̃re
gl̃amtuãQuiaedificauitdñssyõuidebr̃in	gl̃am tuã Quia edificauit dñs syõ  uidebr̃ in
gl̃asuaRespexitĩ	gl̃a sua Respexit ĩ
or̃oemhumiliũñspreuitprecem	or̃oem humiliũ  ñ spreuit precem
eoꝝScribanturhecin	eoꝝ Scribantur hec in
gñationealt̃appl̃squi	gñatione alt̃a  ppl̃s qui
creabr̃laudabitdñmQuiaꝓspexit	creabr̃ laudabit dñm Quia ꝓspexit
