fecitconstantin᷒	fecit constantin᷒
om̃emhomĩemuenientẽinhũcmũdumInmundoillumsed	om̃em homĩem uenientẽ in hũc mũdum In mundo illum sed
seasidioneprocreatumVerumpostꝙͣasillanauiolencia	se asidione procreatum Verum postꝙͣ a sillana uiolencia
cesarianaequitasreduxitgubernaculaRomaniImperii	cesariana equitas reduxit gubernacula Romani Imperii
iustioreprincipeoptinente	iustiore principe optinente
inpubcacustodiasp̃umposuit	in pubca custodia sp̃um posuit
EodempresideR.pubceinconsiml̃imendaciomuliebris	Eodem preside R. pubce in consiml̃i mendacio muliebris
temẽitasrepressaestSiquidemcum	temẽitas repressa est Siquidem cum
seprorubria	se pro rubria
quedamperindeacfalsocredita	quedam perinde ac falso credita
essincendioperpetinichiladseꝑtinentibbonisinser̃et	ess incendio perpeti nichil ad se ꝑtinentib bonis inser̃et
neqeiautsplendidi	neq ei aut splendidi
testesautcohortisAugustifauor	testes aut cohortis Augusti fauor
deesspropterinexpungnabl̃emCesaris	deess propter inexpungnabl̃em Cesaris
constanciamirritapropoĩtinefariiabiitIdembarbarumquendamproptereximiam	constanciam irrita propoĩti nefarii abiit Idem barbarum quendam propter eximiam
sil̃itudinemCapadocieRegnumaffectantem	sil̃itudinem Capadocie Regnum affectantem
tamꝙͣAriathes	tamꝙͣ Ariathes
essquemaM.Antonio	ess quem a M . Antonio
interemptumluceclariuseratꝙͣꝙͣpene	interemptum luce clarius erat ꝙͣꝙͣ pene
tociusorientisCiuitatiumetgentium	tocius orientis Ciuitatium et gentium
credulasuffragacõnefultumcaput	credula suffragacõne fultum caput
dementerImpẽioinminensiustoImpendisuppliciocoegitExplicitUaleriusMaximus	dementer Impẽio inminens iusto Impendi supplicio coegit Explicit Ualerius Maximus
Annomͦccccmoterciocͥca	Anno mͦ ccccmo tercio cͥca
festũassupͦͥᷤMariaFilimandatadataquesunt	festũ assupͦͥᷤ Maria Fili mandata data que sunt
congrualaudiIncipit	congrua laudi Incipit
speculũsacerdotũcclesiesancteRegimẽquiduc̃esancte	speculũ sacerdotũ cclesie sancte Regimẽ qui duc̃e sancte
uishecmetralege	uis hec metra lege
desc̃aꝯditalegeQuesiꝑleg̃e	de sc̃a ꝯdita lege Que si ꝑleg̃e
bñuis⁊cordetenereactiꝯplerepot̃is	bñ uis ⁊ corde tenere acti ꝯplere pot̃is
bonasemꝑhaberehocspeculũclarũ	bona semꝑ habere hoc speculũ clarũ
curãmõstrans	curã mõstrans
aĩarũCondotibicarũ	aĩarũ Condo tibi carũ
plusꝙͣsitgẽmauelaurũQuopossisaĩassacͣmẽt̃reddere	plusꝙͣ sit gẽma uel aurũ Quo possis aĩas sacͣmẽt̃ reddere
mũdasCriminauitare	mũdas Crimina uitare
uirtutesmultiplicareut	uirtutes multiplicare ut
bñuiuẽdosubiectissanctadocendo	bñ uiuẽdo subiectis sancta docendo
Tandemleteris	Tandem leteris
incelis⁊speculeris	in celis ⁊ speculeris
adducẽdogregẽsũmũꝑsecularegẽhoc	adducẽdo gregẽ sũmũ ꝑ secula regẽ hoc
ꝯcedentedñobñcũctaregente	ꝯcedente dño bñ cũcta regente
primotñ	primo tñ
dñmrogotrinũ	dñm rogo trinũ
sẽꝑ⁊unũa	sẽꝑ ⁊ unũ a
quocũctabonamanãtutdetmichidona	quo cũcta bona manãt ut det michi dona
Cũquibhocspeculũualeãꝯplerenouellũ	Cũ quib hoc speculũ ualeã ꝯplere nouellũ
utilemũdanisaĩabusedificandisdemodo⁊formahui᷒	utile mũdanis aĩabus edificandis de modo ⁊ forma hui᷒
libriDetitulopandãtibiprimoꝯmoda	libri De titulo pandã tibi primo ꝯmoda
quedãutẜuesuitãpost	quedã ut ẜues uitã post
hecdiceturhonestam	hec dicetur honestam
Quedebesscirefaciãpost	Que debes scire faciã post
istasubirehincꝙineccl̃aresidencia	ista subire hinc ꝙ in eccl̃a residencia
sitfaciendaQue	sit facienda Que
sũtofficiatibi	sũt officia tibi
subiũgãfugiendaposthecofficiatibidebitaiũgonouena	subiũgã fugienda post hec officia tibi debita iũgo nouena
Scilicinsacradignetractessac̃mentaut	Scilic in sacra digne tractes sac̃menta ut
missascelebres	missas celebres
deuoteposteacernesposteamonstraturquid	deuote post ea cernes postea monstratur quid
quomodoꝯfiteaturQuomododoctrinãtradastransportatieẽnt⁊	quomodo ꝯfiteatur Quomodo doctrinã tradas transportati eẽnt ⁊
easuplem̃toadductoquoãpli᷒duab.legionib.ꝙͣ	ea suplem̃to adducto quo ãpli᷒ duab. legionib. ꝙͣ
xmilia⁊quadringẽtipeditessexcentieꝗteseẽnt⁊sociũ	x milia ⁊ quadringẽti pedites sexcenti eꝗtes eẽnt ⁊ sociũ
lat̃inoĩisduodecĩmiliasexcẽtieꝗtes	lat̃i noĩis duodecĩ milia sexcẽti eꝗtes
quoꝝfortioꝑaadũsusceltiberosliisususꝗnt᷒fului᷒eẽt	quoꝝ forti oꝑa adũsus celtiberos liis usus ꝗnt᷒ fului᷒ eẽt
quossiuideret᷑secũdeportaret⁊suplicatõesdec̃te	quos si uideret᷑ secũ deportaret ⁊ suplicatões dec̃te
ꝙisꝓspererempublicã	ꝙ is ꝓspere rem publicã
gesisset⁊	gesisset ⁊
cet̃itoresĩ	cet̃i tores ĩ
ꝓuĩciasꝗntofabiobutroniꝓrogatũingalliã	ꝓuĩcias ꝗnto fabio butroni ꝓrogatũ in galliã
imꝑiũẽ	imꝑiũ ẽ
octolegionesterex̃citũuet̃emꝗĩligurib.ĩ	octo legiones ter ex̃citũ uet̃em ꝗ ĩ ligurib. ĩ
speꝓpinquamissiõiserãteo	spe ꝓpinqua missiõis erãt eo
ãnoeẽplacuit	ãno eẽ placuit
⁊isipeex̃cit᷒	⁊ is ipe ex̃cit᷒
egreexplebat᷑ꝑꝑpestilentiaq̃t̃ciũ	egre explebat᷑ ꝑꝑ pestilentia q̃ t̃ciũ
iããnu	iã ãnu
urbẽroͣnaatqitaliã	urbẽ roͣna atq italiã
uastabattortit᷒minuti᷒⁊hautitaml̃to	uastabat tor tit᷒ minuti᷒ ⁊ haut ita ml̃to
p᷒ꝯsulgne᷒calfurni᷒	p᷒ ꝯsul gne᷒ calfurni᷒
morit᷑ml̃tiqaliiõiuordinũillustresuiripost̃moꝓdigiiloco	morit᷑ ml̃tiq alii õiu ordinũ illustres uiri post̃mo ꝓdigii loco
eacladesh̃riceptagne᷒ẜuili᷒pontifexmaxi᷒piaculaire	ea clades h̃ri cepta gne᷒ ẜuili᷒ pontifex maxi᷒ piacula ire
deũꝯꝗr̃eiussixuirilibros	deũ ꝯꝗr̃e iussi x uiri libros
inspic̃eꝯsulapol̃iexculapiosalutis	inspic̃e ꝯsul apol̃i exculapio salutis
donauouere⁊daresignaĩaurataq̃uouitdeditqx	dona uouere ⁊ dare signa ĩaurata q̃ uouit deditq x
uirisuplicationẽĩbiduũualitudinisc̃a	uiri suplicationẽ ĩ biduũ ualitudinis c̃a
⁊ꝑõiaforaꝯciliabulaq	⁊ ꝑ õia fora ꝯciliabulaq
edixeruntNUncitaqquoniamprincipaleserroresnõhabentiũ	edixerunt NUnc itaq quoniam principales errores nõ habentiũ
legẽin	legẽ in
premissahui᷒opusculiꝑtesatisuidẽtureuersi	premissa hui᷒ opusculi ꝑte satis uidẽtur euersi
Adiugulandũerroreslegem	Ad iugulandũ errores legem
habentiũEritulteriusinsistendũPorroiudeiint̃legẽ	habentiũ Erit ulterius insistendũ Porro  iudei int̃ legẽ
h̃ntesPrimũ	h̃ntes Primũ
sibiarrogant	sibi arrogant
locũpͥmiĩhacẜaparteaggrediẽdisuntSciendum	locũ pͥmi ĩ hac ẜa parte aggrediẽdi sunt Sciendum
igit᷑Q̃diudeisscissuradecẽtribuũhocnom̃inposuitAntea	igit᷑ Q̃d iudeis scissura decẽ tribuũ hoc nom̃ inposuit Antea
quippehebreiul̃ysraeldicebãturExquoautẽinduo	quippe hebrei ul̃ ysrael dicebãtur Ex quo autẽ in duo
regnapopulusillediuisus	regna populus ille diuisus
estQuicũqexeisreges	est Quicũq ex eis reges
habuerũtdestirpeiudeseudetribuiudaIudeid	habuerũt de stirpe iude seu de tribu iuda Iudei d
dictisũtDecemuõtrib.etquicũq	dicti sũt Decem uõ trib. et quicũq
insamariaIhẽoboamregẽsibi	in samaria Ihẽoboam regẽ sibi
constituerũtIsraelisuntuocatiQuib.yeroboãduosuitulosaureos	constituerũt Israel i sunt uocati Quib. yeroboã duos uitulos aureos
fatiẽsUnũposuitindanetalteꝝinbethel	fatiẽs Unũ posuit in dan et alteꝝ in bethel
DixitqeisregnũtelorũSedtamen	Dixitq eis regnũ telorũ Sed tamen
dc̃iIudeiexpectauerunt⁊crediderunt	dc̃i Iudei expectauerunt ⁊ crediderunt
uenturũsicutpatreseorũ	uenturũ sicut patres eorũ
antiquicrediderũtEttñininferno	antiqui crediderũt Et tñ in inferno
fuerũtEtquisiuixissent	fuerũt Et qui si uixissent
usqadtempus	usq ad tempus
aduentusꝓphetexp̃itãtũ	aduentus ꝓphete xp̃i tãtũ
credidissentipixp̃mquãtum	credidissent ipi xp̃m quãtum
etisticrediderũt	et isti crediderũt
Cũxp̃sꝓph̃ãaggrauaredebebatcordaIudeorũeteorũoculos	Cũ xp̃s ꝓph̃ã aggrauare debebat corda Iudeorũ et eorũ oculos
excecareetauresclaudereutysa.viEtperconsequens	excecare et aures claudere ut ysa. vi Et per consequens
crederenonpoterant	credere non poterant
utIo.xiiNonneantiqui	ut Io. xii Nonne antiqui
pr̃eseorũĩterfecer̃tsanctosꝓph̃as	pr̃es eorũ ĩterfecer̃t sanctos ꝓph̃as
etiãadeomissos	etiã a deo missos
sicutysayametIeremiãetaliosꝙͣpluressed	sicut ysayam et Ieremiã et alios ꝙͣ plures sed
tñdictiantiquiet	tñ dicti antiqui et
sanctipatresininfernodãpnatifuerunt	sancti patres in inferno dãpnati fuerunt
insanguĩetestam̃tisaluatideinfernoergoetisti	in sanguĩe testam̃ti saluati de inferno ergo et isti
DicitemichioIusticiaquidhabuitsignificaredelatere	Dicite michi o Iusticia quid habuit significare de latere
xp̃iiudicisnostrisanguĩemetclarãaquamemanasseAitIusticia	xp̃i iudicis nostri sanguĩem et clarã aquam emanasse Ait Iusticia
nescioAitmisericordiaPostꝙͣnescistedoceboEt	nescio Ait misericordia Postꝙͣ nescis te docebo Et
aitipasãguĩeillefuitsanguisfederisde	ait ipa sãguĩe ille fuit sanguis federis de
quosupͣdc̃mestInquosanguĩeom̃escircũcisos	quo supͣdc̃m est In quo san guĩe om̃es circũcisos
nonpreuaricatoreslegiset	non preuaricatores legis et
adeoetlegisnonfornicatoreseduceredebebat	adeo et legis non fornicatores educere debebat
deinfernoAquaillafuitfederisgentiũ	de inferno Aqua illa fuit federis gentiũ
populiInquaaquaipedc̃asgentesinppl̃met	populi In qua aqua ipe dc̃as gentes in ppl̃m et
regnumdebebathereditareutysaye	regnum debebat hereditare ut ysaye
liiSicingloriosuseritinteruirosaspectus	lii Sic ingloriosus erit inter uiros aspectus
etformaeiusinterfilios	et forma eius inter filios
hoĩmipeasꝑgetgentesmultassuꝑip̃m	hoĩm ipe asꝑget gentes multas suꝑ ip̃m
cõtinebunt᷑regesossuũ	cõtinebunt᷑ reges os suũ
quiaquib᷒nonestnarratũnondeeouidebuntet	quia quib᷒ non est narratũ non de eo uidebunt et
quinonaudieruntcontemplatisuntetetiãipexp̃squi	qui non audierunt contemplati sunt et etiã ipe xp̃s qui
debuitexpͥmicũ	debuit expͥmi cũ
semperinteristosduospopulos	semper inter istos duos populos
fũitdistinctioutgẽxxvet	fũit distinctio ut gẽ xxv et
esterxdequibussanguĩeetaqua	ester x de quibus sanguĩe et aqua
habeturfiguraleuixiiiicinfine	habetur figura leui xiiii c in fine
ubisacerdoslegisinsanguĩeet	ubi sacerdos legis in sanguĩe et
aquisuiuentibaspergebatleprosũ	aquis uiuentib aspergebat leprosũ
etmũdabaturItaxp̃elegissacerdos	et mũdabatur Ita xp̃e legis sacerdos
aspergensdesuo	aspergens de suo
lateresanguĩem⁊	latere sanguĩem ⁊
aquãuiuammũdũ	aquã uiuam mũdũ
leꝓsũinpc̃tismũdauit⁊mũdabitAsillusquos	leꝓsũ in pc̃tis mũdauit ⁊ mũdabit As illus quos
dicisdetribussceleribusetde	dicis de tribus sceleribus et de
quarto⁊c̃TuIusticiadebesscireteOratio	quarto ⁊c̃ Tu Iusticia debes scire te Oratio
sanctiambrosiiquedebetdiciantemissam	sancti ambrosii que debet dici ante missam
Summesacerdosetuerepontifexquiteobtulistideopatri	Summe sacerdos et uere pontifex qui te obtulisti deo patri
hostiampuramet	hostiam puram et
immaculataminaracrucispronobismiseris	immaculatam in ara crucis pro nobis miseris
pcc̃oribusquiqdedistinobiscarnemtuamadmanducandumetsanguinem	pcc̃oribus quiq dedisti nobis carnem tuam ad manducandum et sanguinem
tuũadbibendumetposuistimisteriumistud	tuũ ad bibendum et posuisti misterium istud
inuirtutespiritussãctidicenshecquocienscũqfeceritisin	in uirtute spiritus sãcti dicens hec quocienscũq feceritis in
meimemoriamfaNecletheosseuaperamnesUosfata	mei memoriam fa Nec letheos seua per amnes Uos fata
trahentsedcũ	trahent sed cũ
sũmasExigethorasconsumptadiesIteradsuperosgl̃ia	sũmas Exiget horas consumpta dies Iter ad superos gl̃ia
pandetSedtudomitormagneferaꝝOrbisqsiml̃pacatorades	pandet Sed tu domitor magne feraꝝ Orbisq siml̃ pacator ades
Nũcquoqnr̃asrespiceterrasEtsiqua	Nũc quoq nr̃as respice terras Et si qua
nouabeluauultuQuatietppl̃osterroregrauiTu	noua belua uultu Quatiet ppl̃os terrore graui Tu
fulminib.frangetrisulcisFortiusipogenitoretuoFulminamittesExpliciunt	fulminib. frange trisulcis Fortius ipo genitore tuo Fulmina mittes Expliciunt
TragedieSeneceDeo	Tragedie Senece Deo
GraciasAmenScripteacconpletepermanus	Gracias Amen Scripte ac conplete per manus
IohãnisTenNordedeDoetinchemClericiTraiecteñdyoc̃SubAnno	Iohãnis Ten Norde de Doetinchem Clerici Traiecteñ dyoc̃ Sub Anno
dñiMͦccccͦviiiiDie	dñi Mͦ ccccͦ viiii Die
decimanonaMensisIanuariiEpitaphiu	decimanona Mensis Ianuarii Epitaphiu
SeneceCuralabormeritusũptiꝓmunerehonoresItealias	Senece Cura labor meritu sũpti ꝓ munere honores Ite alias
posthancsolicitateanimasMeproculauob̃	post hanc solicitate animas Me procul a uob̃
deuseuocatilicetactis	deus euocat ilicet actis
RebusterrenishospitaterraualeCorpusauaratñsolẽpnib.	Rebus terrenis hospita terra uale Corpus auara tñ solẽpnib.
accipesaxisNamqaĩamceloreddim᷒ossatibi	accipe saxis Namq aĩam celo reddim᷒ ossa tibi
Expliciuntuocabulaugucionis	Expliciunt uocabula ugucionis
incipientiaaZXplicitExpositiouocabulorumexsententiaugutionis	incipientia a Z Xplicit Expositio uocabulorum ex sententia ugutionis
ꝯpilacioneIacobiꝯdamMag̃ri	ꝯpilacione Iacobi ꝯdam Mag̃ri
Isaacphisicide	Isaac phisici de
paduacompleta	padua completa
clugieAnnoxp̃iMcccxxiiidems̃	clugie Anno xp̃i Mcccxxiii de ms̃
nouembrisEt	nouembris Et
scriptaꝑmeIohannem	scripta ꝑ me Iohannem
ꝯdamd̃Siluestrideluxaueneciaruoriginariu	ꝯdam d̃ Siluestri de luxa ueneciaru originariu
⁊teruisiiciuempublicumImperialiAuct̃e	⁊ teruisii ciuem publicum Imperiali Auct̃e
notarium⁊tũcCancelariumMagnifici⁊	notarium ⁊ tũc Cancelarium Magnifici ⁊
potentisdñidñiNicolaiMudatioproẜenisimo⁊excellentissimoducali	potentis dñi dñi Nicolai Mudatio pro ẜenisimo ⁊ excellentissimo ducali
dñioveneciaꝝtociusInsulecretehonorabiliscapitañgeneralis⁊	dñio veneciaꝝ tocius Insule crete honorabilis capitañ generalis ⁊
CompletaInciuitatecandideAnnonatiuitatisdñinr̃iih̃u	Completa In ciuitate candide Anno natiuitatis dñi nr̃i ih̃u
xp̃iMccccxiiIndic̃quĩtadieSabati	xp̃i Mccccxii Indic̃ quĩta die Sabati
xviimensisdecembrisciosa	xvii mensis decembris ciosa
qualiasuntõiasignamortẽꝓnosticiaQueuõinparte	qualia sunt õia signa mortẽ ꝓnosticia Que uõ in parte
auferũtuelauferrisignificant	auferũt uel auferri significant
utsignanũciãtiatorturãuelꝑalisimautappoͣ̃	ut signa nũciãtia torturã uel ꝑalisim aut appoͣ̃
uelcardiacãaͭ	uel cardiacã aͭ
sil̃iapessimaquidẽsunts	sil̃ia pessima quidẽ sunt s
mĩorismalicieꝙͣillaquecisemortẽꝓnosticãtDe	mĩoris malicie ꝙͣ illa que cise mortẽ ꝓnosticãt De
qͥbom̃ibspãlr̃ꝑtractãenõ	qͥb om̃ib spãlr̃ ꝑtractãe nõ
spectatintͦduconumpñtiũformesiuetenorispredc̃isꝯtenti	spectat intͦduconum pñtiũ forme siue tenori s predc̃is ꝯtenti
gr̃asr̃ferimdñoih̃uxp̃o	gr̃as r̃ferim dño ih̃u xp̃o
qͥꝯsid̃acõesintͦductoriaspͥmepartis	qͥ ꝯsid̃acões intͦductorias pͥme partis
menequetheoricadr̃dadimpleuitEt	mene que theorica dr̃d adimpleuit Et
quiiãinr̃giͭͦsanitatisnr̃o⁊	qui iã in r̃giͭͦ sanitatis nr̃o ⁊
affomisde	affomis de
Ingeniosanitatis	Ingenio sanitatis
h̃undanterinchoauitconsid̃acões	h̃undanter inchoauit consid̃acões
praticenecc̃as⁊sꝑamcũdeuocõeꝙ	pratice necc̃as ⁊ sꝑam cũ deuocõe ꝙ
ipeꝑficietinꝯtodc̃oꝝaffoꝝ	ipe ꝑficiet in ꝯto dc̃oꝝ affoꝝ
⁊inaliisaffomisꝑticuter	⁊ in aliis affomis ꝑticuter
expͥmentibquepermedicũsapientemconsid̃anda	expͥmentib que per medicũ sapientem consid̃anda
suntinmorbisquoꝝdãm̃brorumꝑticuriuminquib	sunt in morbis quoꝝdã m̃brorum ꝑticurium in quib
uelutinexemplo	uelut in exemplo
siuespeculoclarouiarc̃ꝓcessus	siue speculo claro uia rc̃ ꝓcessus
incetẽisaꝑtissimecognoscaͬacũctisamatõibusũitatisducentumparuulos	in cetẽis aꝑtissime cognoscaͬ a cũctis amatõibus ũitatis ducentum paruulos
aduiamqueducitad	ad uiam que ducit ad
xp̃mQuiconuertifecerit	xp̃m Qui conuerti fecerit
peccatoremaberroreuie	peccatorem ab errore uie
suesaluabitaĩameiusamorteetoperitmultitudinem	sue saluabit aĩam eius a morte et operit multitudinem
peccatorumExhocuerbo	peccatorum Ex hoc uerbo
traherepotuitgregorius	trahere potuit gregorius
nullumessedeoaccepciussacrificiumꝙͣ	nullum esse deo accepcius sacrificium ꝙͣ
zelumanimarumꝙsitanta	zelum animarum ꝙ si tanta
sollicitudinisinquietudinesitotuigiliisetcuriisĩmortalibuspermedia	sollicitudinis inquietudine si tot uigiliis et curiis ĩmortalibus per media
uitepericulaquerunthominessaluate	uite pericula querunt homines saluate
resuanasiamiam	res uanas iam iam
periturassicolligeresataguntuilesterrenarũopum	perituras si colligere satagunt uiles terrenarũ opum
sarcinulasquasapostolusarbitrabaturutstercoraEt	sarcinulas quas apostolus arbitrabatur ut stercora Et
dumhecaguntlaudanturutindustriiutdiligẽtes	dum hec agunt laudantur ut industrii ut diligẽtes
utofficiosiet	ut officiosi et
utilesreipublice	utiles rei publice
Uideteoro	Uidete oro
quantaestuelinherciauelinfidelitasdeanimarumĩmortaliumsalute	quanta est uel inhercia uel infidelitas de animarum ĩmortalium salute
noncurarexp̃ianosymoqualis	non curare xp̃ianos ymo qualis
illaestimpudentissimaperuersitaseosinculpareDñsqnuncapertis	illa est impudentissima peruersitas eos inculpare Dñs q nunc apertis
nuncoccultisprepedirequiducereparuulos	nuncoccultis prepedire qui ducere paruulos
satagũtaiatArdisTantaardebat	satagũt aiat Ardis Tanta ardebat
curautarchitectopermiserituel	cura ut architecto permiserit uel
utsuãpecuniam	ut suã pecuniam
consumeretdũmodoperduceretspecus	consumeret dũmodo perduceret specus
epistrinisinmareabiectamolequaestusbisquotidieab	epistrinis in mare abiecta mole qua estus bis quotidie ab
exorͭalunaadproximũ	exorͭa luna ad proximũ
nouãintroireacredirerursusinmarepossetac	nouã introire ac redire rursus in mare posset ac
refrigerarepiscinasNoscumhęc&ecce	refrigerare piscinas Nos cum hęc & ecce
strepitusdestraatq.leua	strepitus destra atq. leua
candidatusnosterdesignatusĘdilis	candidatus noster designatus Ędilis
adestaduillãCuinos	adest ad uillã Cui nos
occidimus&gratulatiĩCapitoliũpersequimurIlloinde	occidimus & gratulati ĩ Capitoliũ persequimur Illo inde
cunctosuãdomũnosnostrã	cuncto suã domũ nos nostrã
Oppinioninostrosermone	Oppinioni nostro sermone
depastioneuillaticasumatimhocquẽexposuihabito	de pastione uillatica sumatim hoc quẽ exposui habito
MTerrenciiUarronisrerũrusticarumdeuillaticispastionibus	M Terrencii Uarronis rerũ rusticarum de uillaticis pastionibus
liberterciusexplicitfeliciter1414MTC	liber tercius explicit feliciter 1414 M T C
EPISTOLARŨADATTICŨLXIIIINCIPITFELICITERCICEROatticosal.	EPISTOLARŨ AD ATTICŨ L XIII INCIPIT FELICITER CICERO attico sal.
Adciceronemitascripsistiutneqseuerius	Ad ciceronem ita scripsisti ut neq seuerius
neqtemperatiusscribipotueritnecmagisꝙͣquẽado	neq temperatius scribi potuerit nec magis ꝙͣ quẽad o
modũego	modũ ego
maximeuellemprudentissimeet̃adtulliosquareaut	maxime uellem prudentissime et̃ ad tullios quare aut
istaproficientautaliudagamus	ista proficient aut aliud agamus
Depecunia	De pecunia
uͦuideoateomnẽdiligentiamadhiberi	uͦ uideo a te omnẽ diligentiam adhiberi
uelpotiusiamadhibitãesseefficisatehortoshabeo	uel potius iam adhibitã esse efficis a te hortos habeo
necuͦullumgenuspossessionisestquodmalimmaximescilicet	nec uͦ ullum genus possessionis est quod malim maxime scilicet
obeamcausamquaesusceptaestcuiusfestinationemihitollis	ob eam causam quae suscepta est cuius festinatione mihi tollis
qm̃deestatepolliceris	qm̃ de estate polliceris
uelpotiusrecipisdeindeet̃adκαταβί	uel potius recipis deinde et̃ ad καταβί
uitãMarciTullii	uitã Marci Tullii
CiceroniscontraCatilinamOracionesiiiiorQuo	Ciceronis contra Catilinam Oraciones iiiior Quo
usqtandem	usq tandem
abut̃ecatilinapac̃ianr̃aQuãdiufuroristetuusnos	abut̃e catilina pac̃ia nr̃a Quãdiu furor iste tuus nos
eludetQuẽ	eludet Quẽ
adfinemeffrenatasese	ad finem effrenata sese
iactabitaudaciaNichilnenocturnũpresidiũpalaciinichilurbis	iactabit audacia Nichil ne nocturnũ presidiũ palacii nichil urbis
vigilienichiltimoresppl̃inichilconcursus	vigilie nichil timores ppl̃i nichil concursus
bonoꝝoĩmnichilhicmunitissim᷒	bonoꝝ oĩm nichil hic munitissim᷒
habendisenatusloc᷒nich̃	habendi senatus loc᷒ nich̃
hoꝝorauultusqmouerũtPateretuaconsilia	hoꝝ ora uultusq mouerũt Patere tua consilia
nonsentisConstrictãiamhoꝝomniũsciencia	non sentis Constrictã iam hoꝝ omniũ sciencia
tenericoniuracionẽ	teneri coniuracionẽ
tuãnõuidesQͥdꝓximaquid	tuã nõ uides Qͥd ꝓxima quid
superiorinocteegerisubifuerisquidconsilii	superiori nocte egeris ubi fueris quid consilii
ceperisquoscõuocauerisquẽnr̃mignorarearbitrarisOtp̃rao	ceperis quos cõuocaueris quẽ nr̃m ignorare arbitraris O tp̃ra o
moressenat᷒hocintelligitconsuluidethictamenuiuituiuit	mores senat᷒ hoc intelligit consul uidet hic tamen uiuit uiuit
Immoueroinsenatũuenitfit	Immo uero in senatũ uenit fit
publicicõsiliiparticepsNotat⁊	publici cõsilii particeps Notat ⁊
designatoculis	designat oculis
adcedẽunũqͤnqnr̃mNosautẽfortesuiri	ad cedẽ unũqͤnq nr̃m Nos autẽ fortes uiri
satisfac̃ereipubliceuidem᷑si	satisfac̃e rei publice uidem᷑ si
istiustelaacfuroremuitem᷒Ad	istius tela ac furorem uitem᷒ Ad
mortemtecatilinaduciiussuconsulisiãpͥdemoportebat	mortem te catilina duci iussu consulis iã pͥdem oportebat
Intecõferri	In te cõferri
pestemistam	pestem istam
ꝙͣtuĩnos	ꝙͣ tu ĩ nos
om̃siãmachinarisAnuerouiramplissim᷒	om̃s iã machinaris An uero uir amplissim᷒
pscipiopõtifexmaxim᷒tiberinũgracchũmediocriterlabefactãte	p scipio põtifex maxim᷒ tiberinũ gracchũ mediocriter labefactãte
statũr.paepͥuatusinterfecitCatilinaueroorbemterrecede	statũ r. pae pͥuatus interfecit Catilina uero orbem terre cede
atqincendiͦuastare	atq incendiͦ uastare
cupientẽnos	cupientẽ nos
ꝯsulesperferem᷒Namillanimisantiqͣpret̃eoq̃dqser	ꝯsules perferem᷒ Nam illa nimis antiqͣ pret̃eo q̃dq ser
caderetUoluitenĩinexcelsum	caderet Uoluit enĩ in excelsum
leuariadconiũutruente	leuari ad co niũ ut ruente
illũde	illũ de
excelsooculiom̃iũꝑuigitur	excelso oculi om̃iũ ꝑui gitur
estiniquitaselatõnisutinaltũselime	est iniquitas elatõnis ut in altũ se lime
seerigatSedsc̃aoratioomnẽhumiamuniũsamdeicit	se erigat Sed sc̃a oratio omnẽ humi am uniũsam deicit
uanitatẽItemsermo	uanitatẽ Item sermo
BEatoꝝmartyrũclara	BEatoꝝ martyrũ clara
gestaetsminafideliumincitam̃ta	gesta et s mina fidelium incitam̃ta
sunteArmantur	sunt e Armantur
enĩfilioꝝanimidũp	enĩ filioꝝ animi dũ p
turtriumphiClamatutiqxp̃ianoꝝcorpioꝝ	tur triumphi Clamat utiq xp̃ianoꝝ cor pioꝝ
sanguissp̃ualiũbellatoꝝqͣntũamartria	sanguis sp̃ualiũ bellatoꝝ qͣntũ amar tria
hecMaioraũhisestcaritasxiiii	hec Maior aũ his est caritas xiiii
Sectaminicaritatẽ	Sectamini caritatẽ
Emulaminisp̃ualiamagisautẽutꝓph̃etisQͥ	Emulamini sp̃ualia magis autẽ ut ꝓph̃etis Qͥ
enĩloquitur	enĩ loquitur
linguanõhõibloquit᷑	lingua nõ hõib loquit᷑
seddeoNemoenĩauditSp̃saũloquiturmyst̃ia	sed deo Nemo enĩ audit Sp̃s aũ loquitur myst̃ia
Nãquiꝓph̃at	Nã qui ꝓph̃at
hõibloquituradedificatõem	hõib loquitur ad edificatõem
etexhortatõemet	et exhortatõem et
consolationẽQͥ	consolationẽ Qͥ
loquiturlinguasemetip̃medificatQͥautemꝓph̃at	loquitur lingua semet ip̃m edificat Qͥ autem ꝓph̃at
eccl̃amdeiedificatUoloaũ	eccl̃am dei edificat Uolo aũ
uosom̃sloquilinguismagisaũproph̃areNam	uos om̃s loqui linguis magis aũ proph̃are Nam
maiorestquiproph̃atquã	maior est qui proph̃at quã
quiloquiturlinguanisiforteinterteturuteccl̃aedificatõemaccipat	qui loquitur lingua nisi forte intertetur ut eccl̃a edificatõem accipat
Nuncaũfr̃essi	Nunc aũ fr̃es si
ueñoad	ueño ad
uoslinguisloquensquiduoꝓdero	uos linguis loquens quid uoꝓdero
nisiuobisloquaraut	nisi uobis loquar aut
inreuelatõeautinscĩaaumenetillesũ	in reuelatõe aut in scĩa au men et illesũ
ĩuẽitGestaãthuisc̃iiulianiadintegrũ	ĩuẽit Gesta ãt hui sc̃i iuliani ad integrũ
habereneqͥuimadmanũSC̃ebrigideuirg̃is	habere neqͥuim ad manũ SC̃e brigide uirg̃is
kl̃isfebroariiexgestiseiusBEatabrigidaortafuit	kl̃is febroarii ex gestis eius BEata brigida orta fuit
